period,グループ,組数,構成比%
After (4/1-4/23),1名,12,11.7
After (4/1-4/23),2名,55,53.4
After (4/1-4/23),3-4名,22,21.4
After (4/1-4/23),5名以上,11,10.7
After (4/1-4/23),平均GS,103,3.16
Before同窓 (3/1-3/23),1名,33,23.9
Before同窓 (3/1-3/23),2名,61,44.2
Before同窓 (3/1-3/23),3-4名,23,16.7
Before同窓 (3/1-3/23),5名以上,17,12.3
Before同窓 (3/1-3/23),平均GS,138,2.83
Before月 (3/1-3/31),1名,45,23.9
Before月 (3/1-3/31),2名,84,44.7
Before月 (3/1-3/31),3-4名,30,16.0
Before月 (3/1-3/31),5名以上,23,12.2
Before月 (3/1-3/31),平均GS,188,2.77
YoY (2025/4/1-4/23),1名,61,27.2
YoY (2025/4/1-4/23),2名,96,42.9
YoY (2025/4/1-4/23),3-4名,43,19.2
YoY (2025/4/1-4/23),5名以上,22,9.8
YoY (2025/4/1-4/23),平均GS,224,2.62
