取引No,会計日,会計時間,合計,小計,内消費税,修正金額合計,修正後合計,修正後内消費税,現金,クレジットカード(Airペイ),交通系電子マネー(Airペイ),QUICPay(Airペイ),iD(Airペイ),QR決済(Airペイ QR),クレジットカード(オンライン決済),クレジットカード/電子マネー(Square),ポイント(Airペイ ポイント),ポイント(ホットペッパーグルメ),Pontaポイント(Airウォレット),金券合計,売掛合計,おつり,現金以外おつり不支払額,全体割引/割増(税込),個別割引/割増(税込),割引/割増合計(税込),人数,商品点数,滞在時間,伝票名,レジ担当者名,ID,カテゴリー名,メニュー名,価格,注文数量
RB0120260401185350000,2026/04/01,18:56:03,1600,1600,,,1600,,,,,,,,,,,,,,,,,,,,0,3,00:00:00,,,,,,,
RB0120260401185350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,未設定,No charge,0,1
RB0120260401185350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW CLASSIC COCKTAIL,森のジントニック,1500,1
RB0120260401185350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW CLASSIC COCKTAIL,デイドリームレモネード,1700,1
RB0120260401185721000,2026/04/01,20:35:58,31500,31500,,,31500,,,,,,,,,,,,,,,,,,,,4,10,00:00:00,,,,,,,
RB0120260401185721000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,600,4
RB0120260401185721000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ワイン,ラ・ロスカ カヴァ ブリュット,6000,1
RB0120260401185721000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ソフトドリンク,フィーバーツリーソーダ,800,8
RB0120260401185721000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW CLASSIC COCKTAIL,カルヴァドスモヒート,1500,3
RB0120260401185721000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW CLASSIC COCKTAIL,ベルガモットモスコミュール,1500,1
RB0120260401185721000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLD APPETIZERS,マッシュルームサラダとコールドカット,1300,1
RB0120260401185721000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLD APPETIZERS,牛肉と季節のフルーツのカルパッチョ,1500,2
RB0120260401185721000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLD APPETIZERS,ワカモレチップス,1200,2
RB0120260401185721000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOT APPETIZERS,マティポテ,1300,2
RB0120260401185721000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOT APPETIZERS,カマンベールフォンデュ,1400,1
RB0120260401205020000,2026/04/01,22:31:31,8730,8730,,,8730,,,,,,,,,,,,,,,,,,,,1,8,00:00:00,,,,,,,
RB0120260401205020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,600,1
RB0120260401205020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ソフトドリンク,コーラ,800,2
RB0120260401205020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW CLASSIC COCKTAIL,オーチャードマティーニ,1500,1
RB0120260401205020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR SNACKS ,BAR 専用チョコレート,600,2
RB0120260401205020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR SNACKS ,オリーブ,700,1
RB0120260401205020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR SNACKS ,キャンディピーカン,700,1
RB0120260401205020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOT APPETIZERS,マティポテ,1300,1
RB0120260401205020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAIN DISHES,ボロネーゼラザニア,2100,1
RB0120260401213519000,2026/04/01,23:06:04,3400,3400,,,3400,,,,,,,,,,,,,,,,,,,,1,3,00:00:00,,,,,,,
RB0120260401213519000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,600,1
RB0120260401213519000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ウイスキー（ハイボール・ボトル・オリジナル）,ウイスキー,1300,1
RB0120260401213519000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW CLASSIC COCKTAIL,森のジントニック,1500,1
RB0120260401214914000,2026/04/01,23:28:54,7200,7200,,,7200,,,,,,,,,,,,,,,,,,,,2,5,00:00:00,,,,,,,
RB0120260401214914000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,600,2
RB0120260401214914000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW CLASSIC COCKTAIL,サンセットソルティドッグ,1500,1
RB0120260401214914000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRUITS COCKTAIL,ローズガーデン,1500,1
RB0120260401214914000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DESSERT COCKTAIL,ティラミスロブロイ,1500,1
RB0120260401214914000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DESSERT COCKTAIL,キャラメルナッツキャデラック,1500,1
RB0120260402192253000,2026/04/02,20:28:17,17900,17900,,,17900,,,,,,,,,,,,,,,,,,,,2,6,00:00:00,,,,,,,
RB0120260402192253000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,600,2
RB0120260402192253000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW CLASSIC COCKTAIL,森のジントニック,1500,2
RB0120260402192253000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW CLASSIC COCKTAIL,森のジントニック,1500,3
RB0120260402192253000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW CLASSIC COCKTAIL,森のジントニック,1500,4
RB0120260402192253000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOT APPETIZERS,マティポテ,1300,1
RB0120260402192253000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAIN DISHES,ミントのジェノベーゼ,1900,1
RB0120260402212646000,2026/04/02,22:53:40,10400,10400,,,10400,,,,,,,,,,,,,,,,,,,,2,7,00:00:00,,,,,,,
RB0120260402212646000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,600,2
RB0120260402212646000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ワイン（グラス）,デバルド・ロッソ,1200,1
RB0120260402212646000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAPANESE COCKTAIL,焙煎ファッションド,1900,1
RB0120260402212646000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAPANESE COCKTAIL,桜ブロッサム,1900,1
RB0120260402212646000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DESSERT COCKTAIL,ソイ抹茶アレキサンダー,1500,1
RB0120260402212646000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR SNACKS ,キャンディピーカン,700,2
RB0120260402212646000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOT APPETIZERS,フィグバター＆ブリオッシュ,1300,1
RB0120260402214657000,2026/04/02,23:12:57,10200,10200,,,10200,,,,,,,,,,,,,,,,,,,,2,5,00:00:00,,,,,,,
RB0120260402214657000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,600,2
RB0120260402214657000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,丸氷,100,1
RB0120260402214657000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ウイスキー,ボウモア12年,1600,3
RB0120260402214657000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ウイスキー,ラフロイグ10年,1700,2
RB0120260402214657000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR SNACKS ,キャンディピーカン,700,1
RB0120260402215538000,2026/04/02,23:51:13,14700,14700,,,14700,,,,,,,,,,,,,,,,,,,,2,6,00:00:00,,,,,,,
RB0120260402215538000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,600,5
RB0120260402215538000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ビール,ガージェリー,1300,1
RB0120260402215538000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW CLASSIC COCKTAIL,森のジントニック,1500,2
RB0120260402215538000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW CLASSIC COCKTAIL,デイドリームレモネード,1700,1
RB0120260402215538000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAPANESE COCKTAIL,ゆずマティーニ,1900,2
RB0120260402215538000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAPANESE COCKTAIL,桜ブロッサム,1900,1
RB0120260402233234000,2026/04/03,00:02:32,17700,17700,,,17700,,,,,,,,,,,,,,,,,,,,4,8,00:00:00,,,,,,,
RB0120260402233234000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,600,4
RB0120260402233234000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,丸氷,100,1
RB0120260402233234000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ウイスキー（ハイボール・ボトル・オリジナル）,ハウスハイボール,1200,5
RB0120260402233234000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ウイスキー,タリスカー10年,1400,1
RB0120260402233234000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ビール,ハートランド,1000,1
RB0120260402233234000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ウイスキー,ハイランドパーク10年,1400,1
RB0120260402233234000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW CLASSIC COCKTAIL,森のジントニック,1500,2
RB0120260402233234000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR SNACKS ,BAR 専用チョコレート,600,4
RB0120260403180145000,2026/04/03,18:24:47,165000,165000,,,165000,,,,,,,,,,,,,,,,,,,,24,2,00:00:00,,,,,,,
RB0120260403180145000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,イベント,イベント費用,9000,1
RB0120260403180145000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,コース&セット,6500円飲み放題付（2時間制）,6500,24
RB0120260403212246000,2026/04/03,23:28:46,11800,11800,,,11800,,,,,,,,,,,,,,,,,,,,2,8,00:00:00,,,,,,,
RB0120260403212246000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ラム,フロールデカーニャ12年,1500,1
RB0120260403212246000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,600,2
RB0120260403212246000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,丸氷,100,3
RB0120260403212246000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ジン,タンカレーNo10,1400,2
RB0120260403212246000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ラム,ロイヤルセンテナリオ12年,1200,1
RB0120260403212246000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ウイスキー,ラフロイグ10年,1700,1
RB0120260403212246000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAPANESE COCKTAIL,ゆずマティーニ,1900,1
RB0120260403212246000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR SNACKS ,BAR 専用チョコレート,600,2
RB0120260403222802000,2026/04/04,00:55:06,51100,51100,,,51100,,,,,,,,,,,,,,,,,,,,4,11,00:00:00,,,,,,,
RB0120260403222802000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,ドリンク,1400,4
RB0120260403222802000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,600,11
RB0120260403222802000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ウイスキー（ハイボール・ボトル・オリジナル）,ハウスハイボール,1200,5
RB0120260403222802000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ウイスキー,タリスカー10年,1400,7
RB0120260403222802000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ビール,ガージェリー,1300,7
RB0120260403222802000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ビール,ガージェリー,1300,1
RB0120260403222802000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ジャパニーズウイスキー,余市,1800,4
RB0120260403222802000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW CLASSIC COCKTAIL,森のジントニック,1500,2
RB0120260403222802000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR SNACKS ,オリーブ,700,1
RB0120260403222802000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR SNACKS ,キャンディピーカン,700,1
RB0120260403222802000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLD APPETIZERS,BFAカプレーゼ,1100,1
RB0120260404184046000,2026/04/04,19:56:12,8800,8800,,,8800,,,,,,,,,,,,,,,,,,,,2,6,00:00:00,,,,,,,
RB0120260404184046000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,ドリンク,1500,1
RB0120260404184046000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,600,2
RB0120260404184046000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW CLASSIC COCKTAIL,森のジントニック,1500,1
RB0120260404184046000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW CLASSIC COCKTAIL,ベルガモットモスコミュール,1500,1
RB0120260404184046000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAPANESE COCKTAIL,撫子ネグローニ,1900,1
RB0120260404184046000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLD APPETIZERS,ワカモレチップス,1200,1
RB0120260404195033000,2026/04/04,20:47:02,12800,12800,,,12800,,,,,,,,,,,,,,,,,,,,2,6,00:00:00,,,,,,,
RB0120260404195033000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,600,2
RB0120260404195033000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,丸氷,100,2
RB0120260404195033000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ラム,ロンサカパ23,1500,2
RB0120260404195033000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW CLASSIC COCKTAIL,森のジントニック,1500,4
RB0120260404195033000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW CLASSIC COCKTAIL,サンセットソルティドッグ,1500,1
RB0120260404195033000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR SNACKS ,ビーツのフムス,900,1
RB0120260404210708000,2026/04/04,22:50:17,12900,12900,,,12900,,,,,,,,,,,,,,,,,,,,2,6,00:00:00,,,,,,,
RB0120260404210708000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,600,2
RB0120260404210708000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRUITS COCKTAIL,ローズガーデン,1500,2
RB0120260404210708000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRUITS COCKTAIL,トロピカルヴェール,1500,3
RB0120260404210708000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DESSERT COCKTAIL,キャラメルナッツキャデラック,1500,1
RB0120260404210708000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOT APPETIZERS,マティポテ,1300,1
RB0120260404210708000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOT APPETIZERS,カマンベールフォンデュ,1400,1
RB0120260404213617000,2026/04/04,22:52:19,4900,4900,,,4900,,,,,,,,,,,,,,,,,,,,2,4,00:00:00,,,,,,,
RB0120260404213617000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,600,2
RB0120260404213617000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW CLASSIC COCKTAIL,森のジントニック,1500,1
RB0120260404213617000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRUITS COCKTAIL,ローズガーデン,1500,1
RB0120260404213617000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR SNACKS ,キャンディピーカン,700,1
RB0120260404210733000,2026/04/04,23:12:39,13600,13600,,,13600,,,,,,,,,,,,,,,,,,,,2,9,00:00:00,,,,,,,
RB0120260404210733000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,600,2
RB0120260404210733000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW CLASSIC COCKTAIL,森のジントニック,1500,1
RB0120260404210733000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW CLASSIC COCKTAIL,カルヴァドスモヒート,1500,1
RB0120260404210733000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW CLASSIC COCKTAIL,サンセットソルティドッグ,1500,1
RB0120260404210733000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAPANESE COCKTAIL,桜ブロッサム,1900,1
RB0120260404210733000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRUITS COCKTAIL,ローズガーデン,1500,1
RB0120260404210733000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRUITS COCKTAIL,トロピカルヴェール,1500,1
RB0120260404210733000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DESSERT COCKTAIL,ティラミスロブロイ,1500,1
RB0120260404210733000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DESSERT COCKTAIL,ソイ抹茶アレキサンダー,1500,1
RB0120260404231545000,2026/04/04,23:49:14,3000,3000,,,3000,,,,,,,,,,,,,,,,,,,,2,3,00:00:00,,,,,,,
RB0120260404231545000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,未設定,No charge,0,2
RB0120260404231545000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW CLASSIC COCKTAIL,オーチャードマティーニ,1500,1
RB0120260404231545000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW CLASSIC COCKTAIL,オリエンタルアフタヌーン,1500,1
