store_code,store_name,account_id,entry_at,exit_at,day_of_week,account_total,customer_count,item_count,has_reservation,is_course,menu_name,price,quantity,subtotal,category1,ordered_at,cost_rate
"bfa-001","FIVE Arrows","RB0120251201184920000","2025-12-01 10:18:17","2025-12-01 10:18:17","月","5060","2","3","f","f","tablecharge","500","2","1000","その他","",""
"bfa-001","FIVE Arrows","RB0120251201184920000","2025-12-01 10:18:17","2025-12-01 10:18:17","月","5060","2","3","f","f","Arrow Head","2000","1","2000","オリジナルカクテル","",""
"bfa-001","FIVE Arrows","RB0120251201184920000","2025-12-01 10:18:17","2025-12-01 10:18:17","月","5060","2","3","f","f","Cafe Oaxaca","1600","1","1600","オリジナルカクテル","",""
"bfa-001","FIVE Arrows","RB0120251201202815000","2025-12-01 11:42:14","2025-12-01 11:42:14","月","4950","2","3","f","f","tablecharge","500","2","1000","その他","",""
"bfa-001","FIVE Arrows","RB0120251201202815000","2025-12-01 11:42:14","2025-12-01 11:42:14","月","4950","2","3","f","f","Japanese High Tea","1800","1","1800","ジャパニーズカクテル","",""
"bfa-001","FIVE Arrows","RB0120251201202815000","2025-12-01 11:42:14","2025-12-01 11:42:14","月","4950","2","3","f","f","ゴールデンタイムフィズ","1700","1","1700","オリジナルカクテル","",""
"bfa-001","FIVE Arrows","RB0120251201195724000","2025-12-01 11:56:25","2025-12-01 11:56:25","月","4950","1","3","f","f","tablecharge","500","2","1000","その他","",""
"bfa-001","FIVE Arrows","RB0120251201195724000","2025-12-01 11:56:25","2025-12-01 11:56:25","月","4950","1","3","f","f","Japanese High Tea","1800","1","1800","ジャパニーズカクテル","",""
"bfa-001","FIVE Arrows","RB0120251201195724000","2025-12-01 11:56:25","2025-12-01 11:56:25","月","4950","1","3","f","f","ゴールデンタイムフィズ","1700","1","1700","オリジナルカクテル","",""
"bfa-001","FIVE Arrows","RB0120251201222908000","2025-12-01 14:31:42","2025-12-01 14:31:42","月","11550","4","5","f","f","tablecharge","500","4","2000","その他","",""
"bfa-001","FIVE Arrows","RB0120251201222908000","2025-12-01 14:31:42","2025-12-01 14:31:42","月","11550","4","5","f","f","柚子と旨味のセッションサワー","2200","1","2200","ジャパニーズカクテル","",""
"bfa-001","FIVE Arrows","RB0120251201222908000","2025-12-01 14:31:42","2025-12-01 14:31:42","月","11550","4","5","f","f","山葵と梨のスマッシュ","2300","1","2300","ジャパニーズカクテル","",""
"bfa-001","FIVE Arrows","RB0120251201222908000","2025-12-01 14:31:42","2025-12-01 14:31:42","月","11550","4","5","f","f","Arrow Head","2000","1","2000","オリジナルカクテル","",""
"bfa-001","FIVE Arrows","RB0120251201222908000","2025-12-01 14:31:42","2025-12-01 14:31:42","月","11550","4","5","f","f","Corpse Reviver No.5","2000","1","2000","オリジナルカクテル","",""
"bfa-001","FIVE Arrows","RB0120251202202756000","2025-12-02 12:24:02","2025-12-02 12:24:02","火","6160","1","4","f","f","tablecharge","500","1","500","その他","",""
"bfa-001","FIVE Arrows","RB0120251202202756000","2025-12-02 12:24:02","2025-12-02 12:24:02","火","6160","1","4","f","f","黒板メニュー　肉料理","1800","1","1800","黒板メニュー","",""
"bfa-001","FIVE Arrows","RB0120251202202756000","2025-12-02 12:24:02","2025-12-02 12:24:02","火","6160","1","4","f","f","Syndicate","1800","1","1800","オリジナルカクテル","",""
"bfa-001","FIVE Arrows","RB0120251202202756000","2025-12-02 12:24:02","2025-12-02 12:24:02","火","6160","1","4","f","f","セイロンバックスフィズ","1500","1","1500","オリジナルカクテル","",""
"bfa-001","FIVE Arrows","RB0120251202202650000","2025-12-02 12:29:04","2025-12-02 12:29:04","火","7260","2","5","f","f","No charge","0","2","0","未設定","",""
"bfa-001","FIVE Arrows","RB0120251202202650000","2025-12-02 12:29:04","2025-12-02 12:29:04","火","7260","2","5","f","f","サイレントプール","1600","1","1600","ジン","",""
"bfa-001","FIVE Arrows","RB0120251202202650000","2025-12-02 12:29:04","2025-12-02 12:29:04","火","7260","2","5","f","f","Syndicate","1800","1","1800","オリジナルカクテル","",""
"bfa-001","FIVE Arrows","RB0120251202202650000","2025-12-02 12:29:04","2025-12-02 12:29:04","火","7260","2","5","f","f","Espresso Martini","1800","1","1800","オリジナルカクテル","",""
"bfa-001","FIVE Arrows","RB0120251202202650000","2025-12-02 12:29:04","2025-12-02 12:29:04","火","7260","2","5","f","f","焙じ茶ジンソーダ","1400","1","1400","ジャパニーズカクテル","",""
"bfa-001","FIVE Arrows","RB0120251202224002000","2025-12-02 13:40:57","2025-12-02 13:40:57","火","960","0","2","f","f","No charge","0","1","0","未設定","",""
"bfa-001","FIVE Arrows","RB0120251202224002000","2025-12-02 13:40:57","2025-12-02 13:40:57","火","960","0","2","f","f","生ハム盛り","1600","1","1600","スナック","",""
"bfa-001","FIVE Arrows","RB0120251202213535000","2025-12-02 14:20:43","2025-12-02 14:20:43","火","10300","2","9","f","f","生チョコレート","1000","1","1000","スナック","",""
"bfa-001","FIVE Arrows","RB0120251202213535000","2025-12-02 14:20:43","2025-12-02 14:20:43","火","10300","2","9","f","f","ドリンク","1200","1","1200","その他","",""
"bfa-001","FIVE Arrows","RB0120251202213535000","2025-12-02 14:20:43","2025-12-02 14:20:43","火","10300","2","9","f","f","ドライフルーツ","1000","1","1000","スナック","",""
"bfa-001","FIVE Arrows","RB0120251202213535000","2025-12-02 14:20:43","2025-12-02 14:20:43","火","10300","2","9","f","f","tablecharge","500","2","1000","その他","",""
"bfa-001","FIVE Arrows","RB0120251202213535000","2025-12-02 14:20:43","2025-12-02 14:20:43","火","10300","2","9","f","f","丸氷","100","1","100","その他","",""
"bfa-001","FIVE Arrows","RB0120251202213535000","2025-12-02 14:20:43","2025-12-02 14:20:43","火","10300","2","9","f","f","牡蠣のレモンマリネ","1000","1","1000","スナック","",""
"bfa-001","FIVE Arrows","RB0120251202213535000","2025-12-02 14:20:43","2025-12-02 14:20:43","火","10300","2","9","f","f","本わさびジンソニック","1800","1","1800","ジャパニーズカクテル","",""
"bfa-001","FIVE Arrows","RB0120251202213535000","2025-12-02 14:20:43","2025-12-02 14:20:43","火","10300","2","9","f","f","焙じ茶ジンソーダ","1400","1","1400","ジャパニーズカクテル","",""
"bfa-001","FIVE Arrows","RB0120251202213535000","2025-12-02 14:20:43","2025-12-02 14:20:43","火","10300","2","9","f","f","サングリア赤　1,800円","1800","1","1800","ワイン（グラス）","",""
"bfa-001","FIVE Arrows","RB0120251202210917000","2025-12-02 14:23:27","2025-12-02 14:23:27","火","9020","4","6","f","f","ドリンク","1200","1","1200","その他","",""
"bfa-001","FIVE Arrows","RB0120251202210917000","2025-12-02 14:23:27","2025-12-02 14:23:27","火","9020","4","6","f","f","tablecharge","500","4","2000","その他","",""
"bfa-001","FIVE Arrows","RB0120251202210917000","2025-12-02 14:23:27","2025-12-02 14:23:27","火","9020","4","6","f","f","ハートランド","1000","1","1000","ビール","",""
"bfa-001","FIVE Arrows","RB0120251202210917000","2025-12-02 14:23:27","2025-12-02 14:23:27","火","9020","4","6","f","f","フレンチフライ","1000","1","1000","アラカルト","",""
"bfa-001","FIVE Arrows","RB0120251202210917000","2025-12-02 14:23:27","2025-12-02 14:23:27","火","9020","4","6","f","f","本日のデザート","1200","1","1200","デザート","",""
"bfa-001","FIVE Arrows","RB0120251202210917000","2025-12-02 14:23:27","2025-12-02 14:23:27","火","9020","4","6","f","f","Syndicate","1800","1","1800","オリジナルカクテル","",""
"bfa-001","FIVE Arrows","RB0120251202230457000","2025-12-02 15:08:02","2025-12-02 15:08:02","水","11330","2","7","f","f","チーズ盛り合わせ","2200","1","2200","スナック","",""
"bfa-001","FIVE Arrows","RB0120251202230457000","2025-12-02 15:08:02","2025-12-02 15:08:02","水","11330","2","7","f","f","tablecharge","500","2","1000","その他","",""
"bfa-001","FIVE Arrows","RB0120251202230457000","2025-12-02 15:08:02","2025-12-02 15:08:02","水","11330","2","7","f","f","丸氷","100","1","100","その他","",""
"bfa-001","FIVE Arrows","RB0120251202230457000","2025-12-02 15:08:02","2025-12-02 15:08:02","水","11330","2","7","f","f","グレンファークラス 12年","1800","1","1800","ウイスキー","",""
"bfa-001","FIVE Arrows","RB0120251202230457000","2025-12-02 15:08:02","2025-12-02 15:08:02","水","11330","2","7","f","f","スプリングバンク 10年","1800","1","1800","ウイスキー","",""
"bfa-001","FIVE Arrows","RB0120251202230457000","2025-12-02 15:08:02","2025-12-02 15:08:02","水","11330","2","7","f","f","ビックピート","1600","1","1600","ウイスキー","",""
"bfa-001","FIVE Arrows","RB0120251202230457000","2025-12-02 15:08:02","2025-12-02 15:08:02","水","11330","2","7","f","f","サングリア赤　1,800円","1800","1","1800","ワイン（グラス）","",""
"bfa-001","FIVE Arrows","RB0120251202234539000","2025-12-02 16:27:17","2025-12-02 16:27:17","水","7480","2","4","f","f","tablecharge","500","2","1000","その他","",""
"bfa-001","FIVE Arrows","RB0120251202234539000","2025-12-02 16:27:17","2025-12-02 16:27:17","水","7480","2","4","f","f","柚子と旨味のセッションサワー","2200","1","2200","ジャパニーズカクテル","",""
"bfa-001","FIVE Arrows","RB0120251202234539000","2025-12-02 16:27:17","2025-12-02 16:27:17","水","7480","2","4","f","f","Niu Japonica","1600","1","1600","ジャパニーズカクテル","",""
"bfa-001","FIVE Arrows","RB0120251202234539000","2025-12-02 16:27:17","2025-12-02 16:27:17","水","7480","2","4","f","f","Arrow Head","2000","1","2000","オリジナルカクテル","",""
"bfa-001","FIVE Arrows","RB0120251202223852000","2025-12-02 16:56:35","2025-12-02 16:56:35","水","77660","7","15","f","f","No charge","0","7","0","未設定","",""
"bfa-001","FIVE Arrows","RB0120251202223852000","2025-12-02 16:56:35","2025-12-02 16:56:35","水","77660","7","15","f","f","カルパッチョ","1700","2","3400","アラカルト","",""
"bfa-001","FIVE Arrows","RB0120251202223852000","2025-12-02 16:56:35","2025-12-02 16:56:35","水","77660","7","15","f","f","クラシックカクテル","1500","5","7500","カクテル","",""
"bfa-001","FIVE Arrows","RB0120251202223852000","2025-12-02 16:56:35","2025-12-02 16:56:35","水","77660","7","15","f","f","黒板メニュー　肉料理","3000","1","3000","黒板メニュー","",""
"bfa-001","FIVE Arrows","RB0120251202223852000","2025-12-02 16:56:35","2025-12-02 16:56:35","水","77660","7","15","f","f","ハウスハイボール","1300","28","36400","ウイスキー（ハイボール・ボトル・オリジナル）","",""
