store_code,store_name,account_id,entry_at,exit_at,day_of_week,account_total,customer_count,item_count,has_reservation,is_course,menu_name,price,quantity,subtotal,category1,ordered_at,cost_rate
"bfa-001","FIVE Arrows","RB0120260101195600000","2026-01-01 11:28:53","2026-01-01 11:28:53","木","8140","2","4","f","f","チーズ盛り合わせ","2200","1","2200","スナック","",""
"bfa-001","FIVE Arrows","RB0120260101195600000","2026-01-01 11:28:53","2026-01-01 11:28:53","木","8140","2","4","f","f","tablecharge","500","2","1000","その他","",""
"bfa-001","FIVE Arrows","RB0120260101195600000","2026-01-01 11:28:53","2026-01-01 11:28:53","木","8140","2","4","f","f","柚子と旨味のセッションサワー","2200","1","2200","ジャパニーズカクテル","",""
"bfa-001","FIVE Arrows","RB0120260101195600000","2026-01-01 11:28:53","2026-01-01 11:28:53","木","8140","2","4","f","f","Arrow Head","2000","1","2000","オリジナルカクテル","",""
"bfa-001","FIVE Arrows","RB0120260101202141000","2026-01-01 12:01:38","2026-01-01 12:01:38","木","8250","2","4","f","f","tablecharge","500","2","1000","その他","",""
"bfa-001","FIVE Arrows","RB0120260101202141000","2026-01-01 12:01:38","2026-01-01 12:01:38","木","8250","2","4","f","f","柚子と旨味のセッションサワー","2200","1","2200","ジャパニーズカクテル","",""
"bfa-001","FIVE Arrows","RB0120260101202141000","2026-01-01 12:01:38","2026-01-01 12:01:38","木","8250","2","4","f","f","山葵と梨のスマッシュ","2300","1","2300","ジャパニーズカクテル","",""
"bfa-001","FIVE Arrows","RB0120260101202141000","2026-01-01 12:01:38","2026-01-01 12:01:38","木","8250","2","4","f","f","Arrow Head","2000","1","2000","オリジナルカクテル","",""
"bfa-001","FIVE Arrows","RB0120260101212605000","2026-01-01 13:04:39","2026-01-01 13:04:39","木","6930","2","4","f","f","tablecharge","500","2","1000","その他","",""
"bfa-001","FIVE Arrows","RB0120260101212605000","2026-01-01 13:04:39","2026-01-01 13:04:39","木","6930","2","4","f","f","【AL】茉莉花Majorca","1700","1","1700","ノンアルコールカクテル","",""
"bfa-001","FIVE Arrows","RB0120260101212605000","2026-01-01 13:04:39","2026-01-01 13:04:39","木","6930","2","4","f","f","Tommy's Verde Margarita","1800","1","1800","オリジナルカクテル","",""
"bfa-001","FIVE Arrows","RB0120260101212605000","2026-01-01 13:04:39","2026-01-01 13:04:39","木","6930","2","4","f","f","サングリア白　1,800円","1800","1","1800","ワイン（グラス）","",""
"bfa-001","FIVE Arrows","RB0120260101214317000","2026-01-01 14:52:48","2026-01-01 14:52:48","木","11550","2","4","f","f","tablecharge","500","2","1000","その他","",""
"bfa-001","FIVE Arrows","RB0120260101214317000","2026-01-01 14:52:48","2026-01-01 14:52:48","木","11550","2","4","f","f","デバルド・ビアンコ","1200","5","6000","ワイン（グラス）","",""
"bfa-001","FIVE Arrows","RB0120260101214317000","2026-01-01 14:52:48","2026-01-01 14:52:48","木","11550","2","4","f","f","Japanese High Tea","1800","1","1800","ジャパニーズカクテル","",""
"bfa-001","FIVE Arrows","RB0120260101214317000","2026-01-01 14:52:48","2026-01-01 14:52:48","木","11550","2","4","f","f","Hojicha Negroni","1700","1","1700","ジャパニーズカクテル","",""
"bfa-001","FIVE Arrows","RB0120260101225821000","2026-01-01 15:11:04","2026-01-01 15:11:04","金","13420","2","7","f","f","生チョコレート","1000","1","1000","スナック","",""
"bfa-001","FIVE Arrows","RB0120260101225821000","2026-01-01 15:11:04","2026-01-01 15:11:04","金","13420","2","7","f","f","tablecharge","500","2","1000","その他","",""
"bfa-001","FIVE Arrows","RB0120260101225821000","2026-01-01 15:11:04","2026-01-01 15:11:04","金","13420","2","7","f","f","黒板メニュー　肉料理","3000","1","3000","黒板メニュー","",""
"bfa-001","FIVE Arrows","RB0120260101225821000","2026-01-01 15:11:04","2026-01-01 15:11:04","金","13420","2","7","f","f","山葵と梨のスマッシュ","2300","1","2300","ジャパニーズカクテル","",""
"bfa-001","FIVE Arrows","RB0120260101225821000","2026-01-01 15:11:04","2026-01-01 15:11:04","金","13420","2","7","f","f","ゴールデンタイムフィズ","1700","1","1700","オリジナルカクテル","",""
"bfa-001","FIVE Arrows","RB0120260101225821000","2026-01-01 15:11:04","2026-01-01 15:11:04","金","13420","2","7","f","f","Fifth Taste Mary","1800","1","1800","オリジナルカクテル","",""
"bfa-001","FIVE Arrows","RB0120260101225821000","2026-01-01 15:11:04","2026-01-01 15:11:04","金","13420","2","7","f","f","焙じ茶ジンソーダ","1400","1","1400","ジャパニーズカクテル","",""
