"store_code","store_name","account_id","entry_at","exit_at","day_of_week","account_total","customer_count","item_count","has_reservation","is_course","menu_name","price","quantity","subtotal","category1","ordered_at","cost_rate"
"bfa-001","BAR FIVE Arrows","RB0120250131185243000","2025-02-01 00:33:54","2025-02-01 00:33:54","土","49610","3","12","f","f","黒板メニュー　その他","1800","1","1800","黒板メニュー","",""
"bfa-001","BAR FIVE Arrows","RB0120250131185243000","2025-02-01 00:33:54","2025-02-01 00:33:54","土","49610","3","12","f","f","ボトルワイン","7000","2","14000","ワイン","",""
"bfa-001","BAR FIVE Arrows","RB0120250131185243000","2025-02-01 00:33:54","2025-02-01 00:33:54","土","49610","3","12","f","f","ラリエ","15000","1","15000","ワイン","",""
"bfa-001","BAR FIVE Arrows","RB0120250131185243000","2025-02-01 00:33:54","2025-02-01 00:33:54","土","49610","3","12","f","f","黒板メニュー　肉料理","800","1","800","黒板メニュー","",""
"bfa-001","BAR FIVE Arrows","RB0120250131185243000","2025-02-01 00:33:54","2025-02-01 00:33:54","土","49610","3","12","f","f","本日のデザート","1200","3","3600","デザート","",""
"bfa-001","BAR FIVE Arrows","RB0120250131185243000","2025-02-01 00:33:54","2025-02-01 00:33:54","土","49610","3","12","f","f","デバルド・ビアンコ","1000","1","1000","ワイン","",""
"bfa-001","BAR FIVE Arrows","RB0120250131185243000","2025-02-01 00:33:54","2025-02-01 00:33:54","土","49610","3","12","f","f","フレンチフライ","900","1","900","アラカルト","",""
"bfa-001","BAR FIVE Arrows","RB0120250131185243000","2025-02-01 00:33:54","2025-02-01 00:33:54","土","49610","3","12","f","f","ガージェリー","1300","2","2600","ビール","",""
"bfa-001","BAR FIVE Arrows","RB0120250131185243000","2025-02-01 00:33:54","2025-02-01 00:33:54","土","49610","3","12","f","f","ガージェリー","1300","1","1300","ビール","",""
"bfa-001","BAR FIVE Arrows","RB0120250131185243000","2025-02-01 00:33:54","2025-02-01 00:33:54","土","49610","3","12","f","f","生チョコレート","1000","1","1000","バースナック","",""
"bfa-001","BAR FIVE Arrows","RB0120250131185243000","2025-02-01 00:33:54","2025-02-01 00:33:54","土","49610","3","12","f","f","本日のパスタ","1600","1","1600","アラカルト","",""
"bfa-001","BAR FIVE Arrows","RB0120250131185243000","2025-02-01 00:33:54","2025-02-01 00:33:54","土","49610","3","12","f","f","tablecharge","500","3","1500","その他","",""
"bfa-001","BAR FIVE Arrows","RB0120250131225039000","2025-02-01 01:15:59","2025-02-01 01:15:59","土","19030","2","8","f","f","生チョコレート","1000","1","1000","バースナック","",""
"bfa-001","BAR FIVE Arrows","RB0120250131225039000","2025-02-01 01:15:59","2025-02-01 01:15:59","土","19030","2","8","f","f","ビーフジャーキー","800","1","800","バースナック","",""
"bfa-001","BAR FIVE Arrows","RB0120250131225039000","2025-02-01 01:15:59","2025-02-01 01:15:59","土","19030","2","8","f","f","知多","1700","4","6800","ウイスキー","",""
"bfa-001","BAR FIVE Arrows","RB0120250131225039000","2025-02-01 01:15:59","2025-02-01 01:15:59","土","19030","2","8","f","f","陽気な楊貴妃","1500","1","1500","オリジナルカクテル","",""
"bfa-001","BAR FIVE Arrows","RB0120250131225039000","2025-02-01 01:15:59","2025-02-01 01:15:59","土","19030","2","8","f","f","飲む香水","1500","1","1500","オリジナルカクテル","",""
"bfa-001","BAR FIVE Arrows","RB0120250131225039000","2025-02-01 01:15:59","2025-02-01 01:15:59","土","19030","2","8","f","f","柚子のジン&トニック","1300","3","3900","オリジナルカクテル","",""
"bfa-001","BAR FIVE Arrows","RB0120250131225039000","2025-02-01 01:15:59","2025-02-01 01:15:59","土","19030","2","8","f","f","MIXローストナッツ","800","1","800","バースナック","",""
"bfa-001","BAR FIVE Arrows","RB0120250131225039000","2025-02-01 01:15:59","2025-02-01 01:15:59","土","19030","2","8","f","f","tablecharge","500","2","1000","その他","",""
"bfa-001","BAR FIVE Arrows","RB0120250201002735000","2025-02-01 01:47:29","2025-02-01 01:47:29","土","2400","1","2","f","f","ハートランド","1000","4","4000","ビール","",""
