取引No,会計日,会計時間,合計,小計,内消費税,修正金額合計,修正後合計,修正後内消費税,現金,クレジットカード(Airペイ),交通系電子マネー(Airペイ),QUICPay(Airペイ),iD(Airペイ),QR決済(Airペイ QR),クレジットカード(オンライン決済),クレジットカード/電子マネー(Square),ポイント(Airペイ ポイント),ポイント(ホットペッパーグルメ),Pontaポイント(Airウォレット),金券合計,売掛合計,おつり,現金以外おつり不支払額,全体割引/割増(税込),個別割引/割増(税込),割引/割増合計(税込),人数,商品点数,滞在時間,伝票名,レジ担当者名,ID,カテゴリー名,メニュー名,価格,注文数量
RB0120260228183150000,2026/03/01,05:33:37,26000,26000,,,26000,,,,,,,,,,,,,,,,,,,,4,1,00:00:00,,,,,,,
RB0120260228183150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,コース&セット,6500円飲み放題付（2時間制）,6500,4
RB0120260228200214000,2026/03/01,06:19:02,8910,8910,,,8910,,,,,,,,,,,,,,,,,,,,2,5,00:00:00,,,,,,,
RB0120260228200214000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,500,2
RB0120260228200214000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ジャパニーズカクテル,Niu Japonica,1600,1
RB0120260228200214000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オリジナルカクテル,Arrow Head,2000,1
RB0120260228200214000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オリジナルカクテル,Syndicate,1800,1
RB0120260228200214000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オリジナルカクテル,ゴールデンタイムフィズ,1700,1
RB0120260228190127000,2026/03/01,06:21:22,9240,9240,,,9240,,,,,,,,,,,,,,,,,,,,2,7,00:00:00,,,,,,,
RB0120260228190127000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,500,2
RB0120260228190127000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,丸氷,100,2
RB0120260228190127000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オリジナルカクテル,セイロンバックスフィズ,1500,1
RB0120260228190127000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オリジナルカクテル,Tommy's Verde Margarita,1800,1
RB0120260228190127000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ウイスキー,ハイランドパーク10年,1400,1
RB0120260228190127000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ウイスキー,オーヘントッシャン 12年,1300,1
RB0120260228190127000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ドリンク,梅酒,1200,1
RB0120260228210316000,2026/03/01,07:01:40,17490,17490,,,17490,,,,,,,,,,,,,,,,,,,,4,5,00:00:00,,,,,,,
RB0120260228210316000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,500,4
RB0120260228210316000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ジャパニーズカクテル,Niu Japonica,1600,1
RB0120260228210316000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オリジナルカクテル,セイロンバックスフィズ,1500,1
RB0120260228210316000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オリジナルカクテル,Espresso Martini,1800,4
RB0120260228210316000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オリジナルカクテル,Tommy's Verde Margarita,1800,2
RB0120260228195615000,2026/03/01,07:06:55,16390,16390,,,16390,,,,,,,,,,,,,,,,,,,,2,9,00:00:00,,,,,,,
RB0120260228195615000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,スナック,生チョコレート,1000,1
RB0120260228195615000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,500,2
RB0120260228195615000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,アラカルト,前菜の盛り合わせ,1800,1
RB0120260228195615000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,黒板メニュー,黒板メニュー　肉料理,3000,1
RB0120260228195615000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ビール,ガージェリー,1300,1
RB0120260228195615000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ジャパニーズカクテル,Japanese High Tea,1800,1
RB0120260228195615000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ジャパニーズカクテル,Niu Japonica,1600,1
RB0120260228195615000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ご飯もの,ラザニア,1600,1
RB0120260228195615000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ワイン（グラス）,"サングリア赤　1,800円",1800,1
RB0120260228221918000,2026/03/01,08:22:44,7370,7370,,,7370,,,,,,,,,,,,,,,,,,,,3,6,00:00:00,,,,,,,
RB0120260228221918000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,スナック,MIXローストナッツ,800,1
RB0120260228221918000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,500,3
RB0120260228221918000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,丸氷,100,1
RB0120260228221918000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ビール,ガージェリー,1300,1
RB0120260228221918000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ジャパニーズカクテル,焙じ茶ジンソーダ,1400,1
RB0120260228221918000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ウイスキー,アードベック 10年,1600,1
RB0120260228183124000,2026/03/01,08:31:45,24310,24310,,,24310,,,,,,,,,,,,,,,,,,,,2,9,00:00:00,,,,,,,
RB0120260228183124000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,未設定,No charge,0,1
RB0120260228183124000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,コース&セット,招待日和コース(食事のみ)+チャージ別＋サ別,10000,1
RB0120260228183124000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,500,1
RB0120260228183124000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ウイスキー（ハイボール・ボトル・オリジナル）,ハウスハイボール,1300,1
RB0120260228183124000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ワイン（グラス）,デバルド・ロッソ,1200,2
RB0120260228183124000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ノンアルコールカクテル,シャーリーテンプル,1300,2
RB0120260228183124000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オリジナルカクテル,ゴールデンタイムフィズ,1700,1
RB0120260228183124000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オリジナルカクテル,Tommy's Verde Margarita,1800,1
RB0120260228183124000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ジャパニーズウイスキー,余市,1800,1
000120260301205634248,2026/03/02,05:57:11,4700,4700,,,4700,,,,,,,,,,,,,,,,,,,,1,3,00:00:00,,,,,,,
000120260301205634248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,500,1
000120260301205634248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ワイン（グラス）,パナメラ・カルベネ・ソーヴィニョン,1600,2
000120260301205634248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ソフトドリンク,紅茶,1000,1
000120260301205805616,2026/03/02,05:58:33,4730,4730,,,4730,,,,,,,,,,,,,,,,,,,,1,3,00:00:00,,,,,,,
000120260301205805616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,500,1
000120260301205805616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ビール,ガージェリー,1300,2
000120260301205805616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ワイン（グラス）,デバルド・ロッソ,1200,1
000120260301205900177,2026/03/02,05:59:36,4510,4510,,,4510,,,,,,,,,,,,,,,,,,,,1,2,00:00:00,,,,,,,
000120260301205900177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,500,1
000120260301205900177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オリジナルカクテル,Tommy's Verde Margarita,1800,2
000120260301210542258,2026/03/02,06:06:13,12210,12210,,,12210,,,,,,,,,,,,,,,,,,,,1,2,00:00:00,,,,,,,
000120260301210542258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,500,4
000120260301210542258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ビール,ガージェリー,1300,7
000120260301211224778,2026/03/02,06:12:49,5390,5390,,,5390,,,,,,,,,,,,,,,,,,,,1,3,00:00:00,,,,,,,
000120260301211224778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,500,1
000120260301211224778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,黒板メニュー,黒板メニュー　肉料理,1800,1
000120260301211224778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ビール,ガージェリー,1300,2
RB0120260301185156000,2026/03/02,06:37:24,48620,48620,,,48620,,,,,,,,,,,,,,,,,,,,5,11,00:00:00,,,,,,,
RB0120260301185156000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,デザート,バースデープレート,1500,1
RB0120260301185156000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,500,10
RB0120260301185156000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ビール,ハートランド,1000,1
RB0120260301185156000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ビール,ガージェリー,1300,7
RB0120260301185156000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ワイン（グラス）,デバルド・ロッソ,1200,2
RB0120260301185156000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ワイン（グラス）,デバルド・ロッソ,1200,1
RB0120260301185156000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ワイン（グラス）,パナメラ・カルベネ・ソーヴィニョン,1600,3
RB0120260301185156000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,アラカルト,フレンチフライ,1000,4
RB0120260301185156000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ご飯もの,マルゲリータ,1800,6
RB0120260301185156000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ジャパニーズカクテル,Japanese High Tea,1800,2
RB0120260301185156000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ソフトドリンク,オレンジジュース,800,1
RB0120260301215100000,2026/03/02,07:57:37,12760,12760,,,12760,,,,,,,,,,,,,,,,,,,,3,7,00:00:00,,,,,,,
RB0120260301215100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,500,3
RB0120260301215100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,アラカルト,フレンチフライ,1000,1
RB0120260301215100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ジャパニーズカクテル,山葵と梨のスマッシュ,2300,1
RB0120260301215100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オリジナルカクテル,Syndicate,1800,1
RB0120260301215100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オリジナルカクテル,セイロンバックスフィズ,1600,1
RB0120260301215100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オリジナルカクテル,ゴールデンタイムフィズ,1700,1
RB0120260301215100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ジャパニーズカクテル,Hojicha Negroni,1700,1
