"H.集計フラグ","H.店舗","H.伝票番号","H.伝票番号枝番","H.曜日","H.支払ステータス","H.伝票処理日","H.返還元年月(返品)","H.返還元年月日(赤伝)","H.テーブル番号","H.客数（合計）","H.客数（男）","H.客数（女）","H.客数（選択なし）","H.深夜料金","H.テーブルチャージ料金","H.サービス料金","H.小計","H.総商品数","H.伝票金額","H.伝票税額","H.税抜金額10%","H.税額10%","H.税抜金額8%","H.税額8%","H.非課税金額","H.不課税金額","H.お預かり金額","H.おつり","H.免税額（一般品）","H.免税額（消耗品）","H.値引金額","H.支払金額（現金）","H.支払金額（クレジットカード）","H.支払金額（ポイント）","H.支払金額（電子マネー）","H.支払金額（商品券：釣り無）","H.商品券差額","H.支払金額（商品券：釣り有）","H.商品券現金釣銭","H.支払金額（その他）","H.レジ担当者ID","H.スタイリスト（理美容のみ）","H.受付番号","H.テーブル合算後伝票番号","H.税集計区分","H.支払メモ","H.領収書発行回数","H.領収書発行最終日付","H.キッチンプリンタ印字成否","H.キッチンプリンタ印字日付","H.レシートプリンタ印字成否","H.レシートプリンタ印字日付","H.基幹転送成否","H.基幹転送日付","C.お客様","C.お客様代表","C.客層","H.元伝票番号","H.登録番号","H.事業者名","H.集計営業日","H.伝票発行日"
"*","001:麻布しき 旗の台店","No:202500100003347","0","月","10:会計済","2025/09/01 12:00:12","","","000000001:カウンター１","1","1","0","0","0","0","0","1200","1","1100","100","1000","100","0","0","0","0","10100","9000","0","0","100","1100","0","0","0","0","0","0","0","0","0105:佐々木昌一","","","","6:税率単位","","0","","1:成功"," ","1:成功","2025/09/01 12:00:16","1:成功","2025/09/01 12:00:48","","","","","T7010401147721","株式会社 麻布しき","01","2025/09/01 11:31:15"
"*","001:麻布しき 旗の台店","No:202500100003348","0","月","10:会計済","2025/09/01 12:15:42","","","000000005:カウンター５","2","1","1","0","0","0","0","3000","2","3000","272","2728","272","0","0","0","0","0","0","0","0","0","0","3000","0","0","0","0","0","0","0","0105:佐々木昌一","","","","6:税率単位","","0","","1:成功"," ","1:成功","2025/09/01 12:15:46","1:成功","2025/09/01 12:17:36","","","","","T7010401147721","株式会社 麻布しき","01","2025/09/01 11:36:32"
"*","001:麻布しき 旗の台店","No:202500100003349","0","月","10:会計済","2025/09/01 12:19:33","","","000000016:テーブル４","3","3","0","0","0","0","0","4600","3","4600","418","4182","418","0","0","0","0","0","0","0","0","0","0","0","0","4600","0","0","0","0","0","0105:佐々木昌一","","","","6:税率単位","","1","20250901121937","1:成功"," ","1:成功","2025/09/01 12:19:37","1:成功","2025/09/01 12:20:01","","","","","T7010401147721","株式会社 麻布しき","01","2025/09/01 11:53:45"
"*","001:麻布しき 旗の台店","No:202500100003350","0","月","10:会計済","2025/09/01 13:02:05","","","000000001:カウンター１","1","0","1","0","0","0","0","1200","1","1200","109","1091","109","0","0","0","0","0","0","0","0","0","0","0","0","1200","0","0","0","0","0","0105:佐々木昌一","","","","6:税率単位","","0","","1:成功"," ","1:成功","2025/09/01 13:02:08","1:成功","2025/09/01 13:04:36","","","","","T7010401147721","株式会社 麻布しき","01","2025/09/01 12:36:31"
"*","001:麻布しき 旗の台店","No:202500100003351","0","月","11:分割会計済","2025/09/01 13:35:40","","","000000003:カウンター３","2","0","2","0","0","0","0","2300","2","2100","190","1910","190","0","0","0","0","2100","0","0","0","200","2100","0","0","0","0","0","0","0","0","","","","","6:税率単位","","0","","1:成功"," ",""," ","1:成功","2025/09/01 13:36:56","","","","","T7010401147721","株式会社 麻布しき","01","2025/09/01 12:39:43"
"","001:麻布しき 旗の台店","No:202500100003351","1","月","11:分割会計済","2025/09/01 13:35:15","","","000000003:カウンター３","2","0","2","0","0","0","0","1100","1","1000","90","910","90","0","0","0","0","1000","0","0","0","100","1000","0","0","0","0","0","0","0","0","0105:佐々木昌一","","","","6:税率単位","","0","","1:成功"," ","1:成功","2025/09/01 13:35:18","1:成功","2025/09/01 13:36:56","","","","","T7010401147721","株式会社 麻布しき","01","2025/09/01 12:39:43"
"","001:麻布しき 旗の台店","No:202500100003351","2","月","11:分割会計済","2025/09/01 13:35:40","","","000000003:カウンター３","2","0","2","0","0","0","0","1200","1","1100","100","1000","100","0","0","0","0","1100","0","0","0","100","1100","0","0","0","0","0","0","0","0","0105:佐々木昌一","","","","6:税率単位","","0","","1:成功"," ","1:成功","2025/09/01 13:35:43","1:成功","2025/09/01 13:36:56","","","","","T7010401147721","株式会社 麻布しき","01","2025/09/01 12:39:43"
"*","001:麻布しき 旗の台店","No:202500100003352","0","月","11:分割会計済","2025/09/01 13:34:39","","","000000016:テーブル４","5","5","0","0","0","0","0","5800","5","5300","480","4820","480","0","0","0","0","3200","0","0","0","500","3200","0","0","2100","0","0","0","0","0","","","","","6:税率単位","","0","","1:成功"," ",""," ","1:成功","2025/09/01 13:34:41","","","","","T7010401147721","株式会社 麻布しき","01","2025/09/01 12:40:30"
"","001:麻布しき 旗の台店","No:202500100003352","1","月","11:分割会計済","2025/09/01 13:32:31","","","000000016:テーブル４","5","5","0","0","0","0","0","1200","1","1100","100","1000","100","0","0","0","0","1100","0","0","0","100","1100","0","0","0","0","0","0","0","0","0105:佐々木昌一","","","","6:税率単位","","0","","1:成功"," ","1:成功","2025/09/01 13:32:34","1:成功","2025/09/01 13:34:41","","","","","T7010401147721","株式会社 麻布しき","01","2025/09/01 12:40:30"
"","001:麻布しき 旗の台店","No:202500100003352","2","月","11:分割会計済","2025/09/01 13:33:32","","","000000016:テーブル４","5","5","0","0","0","0","0","1100","1","1000","90","910","90","0","0","0","0","0","0","0","0","100","0","0","0","1000","0","0","0","0","0","0105:佐々木昌一","","","","6:税率単位","","0","","1:成功"," ","1:成功","2025/09/01 13:33:35","1:成功","2025/09/01 13:34:41","","","","","T7010401147721","株式会社 麻布しき","01","2025/09/01 12:40:30"
