No,タイトル,フック,解決策,エンド,処理済み
1,原価率40％の商品があっても,げんか率40％！？別に問題ないんです,原価は当てはめに行くのではなく意味を持たせてからが飲食店経営の始まりです,利益を取る商品、集客を担う商品、満足度を上げる商品この3つに分けて考えると原価の付け方に自信が持てますよ,
2,口コミ増やします！系の営業電話は無視してください,「口コミ増やします！」という営業電話は基本的に無視してください,"多くのプラットフォームでは
・対価を伴う投稿
・誘導、操作された評価
これらが規約違反の対象になります","問題なのは、
違反した“業者”ではなく、
店側のアカウントが
ペナルティを受ける点",
3,飲食コンサル目線のPOSレジ比較,自称POSレジ大好き芸人なんですが、,"・CRM機能が欲しければダイニーかファンフォ
導入コストを抑えたいのであればファンフォで卓の全員をCRM管理したい場合はダイニーです
・買い切りサービスであればsquare、ただデメリットは追加オーダーが多い業種は向かないのとカード決済手数料が少し高め
・分析しまくりたい方はスマレジ
API公開していて連携サービスが多いのが魅力
・Airレジは無料でしかも導入が圧倒的に簡単ですが分析は少し弱いです",見たい数字が「すぐ」見えるか、現場が入力をサボらないか、最後に経営判断に役立つかが重要です,
4,瓶ビールとサーバー,瓶ビールVSサーバーに結末をつけましょう,前提条件に人材が流動的でかつ1日20杯以下であれば瓶ビール一択です,"洗浄と注ぎ方でクオリティに差が出る上に原価が合わないです
ちなみにみなさん一杯目の乾杯はやっぱりビールですか？",
5,原価高騰による値上げは仕方ない,また原価が上がった…値上げするしかないなって価格だけ触ってお客数が減ってません？,まずは全部の品の利益額を書き出し利益貢献順に並べて上位の物から値上げしていきましょう,「原価が上がったので値上げします」ではなく「内容を変えずに続けるため、価格を見直しました」という風な伝え方にも意識しましょう,
6,ありとあらゆる数字を出して基本の会話を数字ですること,"スタッフとこーんな会話してませんか？
「最近ちょっと客足が弱いなぁ」
「忙しい割に売れてへん」
「値上げした方がいい気がする」
これらの共通点が分からん人からじわじわお店の成長止まりますよ","今から一気に数字化するものあげるのでいつでも見直せるように保存しておいてください
・毎日出す数字
売上（円）
客数（人）
客単価（円）
前週同曜日比（±％）

・毎週出す数字
商品別売上 上位5品
商品別数量 上位5品
廃棄金額（円）
人件費率（％）

・毎月出す数字
月売上（円）
営業利益（円）
営業利益率（％）
固定費合計（円）
現金残高（円）",今日から会話のベースを定性的なものを無くして定量的なものに絞ってみてください,
7,飲食店経営するなら借金を恐れるな,飲食店経営するなら借金を恐れるな,"返済額が月利益の30％以内、使い道が1行で説明できる、借入後90日以内に数字が変わる
これら全てに当てはまらないのであれば借り入れしてはいけません",借金は恐れなくていいので、その前に経営を可視化してください,
8,横領事件が起きました→棚卸,横領事件が起きました！！,横領が起きる店には必ず共通点があって、それは棚卸しをしていないことなんです,大事なスタッフを守るためにも横領を起こさない法整備としてのルールは大事です,
9,AIで動画作って集客してる飲食店オーナーさん,AIで動画を作って集客している飲食店オーナーさん、集客に繋がらん理由は技術ではないです,見ている人の何の解決にもならず感情が動いていないんです,どんな人がどんな感情になってほしいのか、それを決めずに何となく投稿するのはやめましょう,
10,お客様がリピートしない理由,次に来る理由がないからリピートに繋がらないんです,来店後に接触が何もなく、二回目行かないことによる機会損失が何もないんです,あなたのお店を思い出してもらえる導線があるか確認してください,
11,戦略確率×実行確率,飲食店の業績はすごくシンプルで戦略確率×実行確率という式で表せます,的確な戦略と、それをこなす実行量であなたのお店は上手くいきます,戦略確率×実行確率のどちらかが50％を切るようなら一度立ち止まって見直してみましょう,
12,確定申告で焦ってる人向け,今あなた確定申告でめちゃくちゃ焦ってますね？,売上と経費を月でまとめて、現金残高と帳簿を控えてください,この業務がどうしても苦手っていう方はどんどんバックオフィスは外注しましょう,
