,"1
過去に伸びたもの",,ネタメモ：原価率40％の商品があっても,
構成,,秒数,シーン,"①セリフを考える（ライティング）
1本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,げんか率40％！？別に問題ないんです
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,原価は当てはめに行くのではなく意味を持たせてからが飲食店経営の始まりです
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,利益を取る商品、集客を担う商品、満足度を上げる商品この3つに分けて考えると原価の付け方に自信が持てますよ
,,,,
,"2
過去に伸びたもの",,ネタメモ：口コミ増やします！系の営業電話は無視してください,
構成,,秒数,シーン,"①セリフを考える（ライティング）
2本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,「口コミ増やします！」という営業電話は基本的に無視してください
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"多くのプラットフォームでは
・対価を伴う投稿
・誘導、操作された評価
これらが規約違反の対象になります"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"問題なのは、
違反した“業者”ではなく、
店側のアカウントが
ペナルティを受ける点"
,,,,
,"3
過去に伸びたもの",,ネタメモ：飲食コンサル目線のPOSレジ比較,
構成,,秒数,シーン,"①セリフを考える（ライティング）
3本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,自称POSレジ大好き芸人なんですが、
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"・CRM機能が欲しければダイニーかファンフォ
導入コストを抑えたいのであればファンフォで卓の全員をCRM管理したい場合はダイニーです
・買い切りサービスであればsquare、ただデメリットは追加オーダーが多い業種は向かないのとカード決済手数料が少し高め
・分析しまくりたい方はスマレジ
API公開していて連携サービスが多いのが魅力
・Airレジは無料でしかも導入が圧倒的に簡単ですが分析は少し弱いです"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,見たい数字が「すぐ」見えるか、現場が入力をサボらないか、最後に経営判断に役立つかが重要です
,,,,
,"4
過去に伸びたもの",,ネタメモ：瓶ビールとサーバー,
構成,,秒数,シーン,"①セリフを考える（ライティング）
4本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,瓶ビールVSサーバーに結末をつけましょう
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,前提条件に人材が流動的でかつ1日20杯以下であれば瓶ビール一択です
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"洗浄と注ぎ方でクオリティに差が出る上に原価が合わないです
ちなみにみなさん一杯目の乾杯はやっぱりビールですか？"
,,,,
,"5
今伸びてるもの",,ネタメモ：原価高騰による値上げは仕方ない,
構成,,秒数,シーン,"①セリフを考える（ライティング）
5本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,また原価が上がった…値上げするしかないなって価格だけ触ってお客数が減ってません？
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,まずは全部の品の利益額を書き出し利益貢献順に並べて上位の物から値上げしていきましょう
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,「原価が上がったので値上げします」ではなく「内容を変えずに続けるため、価格を見直しました」という風な伝え方にも意識しましょう
,,,,
,"6
今伸びてるもの",,ネタメモ：ありとあらゆる数字を出して基本の会話を数字ですること,
構成,,秒数,シーン,"①セリフを考える（ライティング）
6本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,"スタッフとこーんな会話してませんか？
「最近ちょっと客足が弱いなぁ」
「忙しい割に売れてへん」
「値上げした方がいい気がする」
これらの共通点が分からん人からじわじわお店の成長止まりますよ"
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"今から一気に数字化するものあげるのでいつでも見直せるように保存しておいてください
・毎日出す数字
売上（円）
客数（人）
客単価（円）
前週同曜日比（±％）

・毎週出す数字
商品別売上 上位5品
商品別数量 上位5品
廃棄金額（円）
人件費率（％）

・毎月出す数字
月売上（円）
営業利益（円）
営業利益率（％）
固定費合計（円）
現金残高（円）"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,今日から会話のベースを定性的なものを無くして定量的なものに絞ってみてください
,,,,
,"7
今伸びてるもの",,ネタメモ：飲食店経営するなら借金を恐れるな,
構成,,秒数,シーン,"①セリフを考える（ライティング）
7本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,飲食店経営するなら借金を恐れるな
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"返済額が月利益の30％以内、使い道が1行で説明できる、借入後90日以内に数字が変わる
これら全てに当てはまらないのであれば借り入れしてはいけません"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,借金は恐れなくていいので、その前に経営を可視化してください
,,,,
,"8
今伸びてるもの",,ネタメモ：横領事件が起きました→棚卸,
構成,,秒数,シーン,"①セリフを考える（ライティング）
8本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,横領事件が起きました！！
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,横領が起きる店には必ず共通点があって、それは棚卸しをしていないことなんです
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,大事なスタッフを守るためにも横領を起こさない法整備としてのルールは大事です
,,,,
,"9
今伸びてるもの",,ネタメモ：AIで動画作って集客してる飲食店オーナーさん,
構成,,秒数,シーン,"①セリフを考える（ライティング）
9本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,AIで動画を作って集客している飲食店オーナーさん、集客に繋がらん理由は技術ではないです
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,見ている人の何の解決にもならず感情が動いていないんです
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,どんな人がどんな感情になってほしいのか、それを決めずに何となく投稿するのはやめましょう
,,,,
,"10
今伸びてるもの",,ネタメモ：お客様がリピートしない理由,
構成,,秒数,シーン,"①セリフを考える（ライティング）
10本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,次に来る理由がないからリピートに繋がらないんです
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
