,"1
過去に伸びたもの",,ネタメモ：食品消費税ゼロが飲食店にもたらす影響,
構成,,秒数,シーン,"①セリフを考える（ライティング）
1本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,食料品消費税ゼロの法案ちゃんと確認してますか？
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,正解は3つだけ。これ以外やらんでいいです
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,①食品ゼロが“0%課税か非課税か”を前提確認 → ②POSの区分設定確認 → ③課税売上割合と控除方式を税理士と再計算。
,,,,
,"2
過去に伸びたもの",,ネタメモ：人件費を真っ先に削ると人を失います,
構成,,秒数,シーン,"①セリフを考える（ライティング）
2本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,人件費削った瞬間から閉店までの一歩踏み出してますよ
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,稼働設計の見直しをして人件費は結果で下げる
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,シフトと客数の重なりを1時間単位で見直してください
,,,,
,"3
過去に伸びたもの",,ネタメモ：儲かりやすいが潰れやすい、儲かりにくいが潰れにくい,
構成,,秒数,シーン,"①セリフを考える（ライティング）
3本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,"日常食は潰れにくいけど、ほぼ儲からないですが
特別食は儲かりやすいけど、普通にやれば潰れます"
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,日常食は回転率と再現性、特別食は単価と演出をそれぞれ前提にしてください
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,自分は潰れにくさを取るのか、稼ぎやすさを取るのかをまず決めてから始めてください
,,,,
,"4
過去に伸びたもの",,ネタメモ：居抜き物件を選んだら失敗,
構成,,秒数,シーン,"①セリフを考える（ライティング）
4本目"
