構成,,秒数,シーン,①セリフを考える（ライティング）
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,口コミで反論したことある飲食店オーナーさんそれ閉業への第一歩踏んでますよ
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,反論はせずに真摯に対応している姿勢で信頼を獲得する場所です
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させる,4,17,お客様からいただいたマイナス発言はちゃんと受け止め改善に当たりましょう
,,,,
,3,,ネタメモ：客単価の上げ方,
構成,,秒数,シーン,①セリフを考える（ライティング）
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,客単価の上げ方をただの値上げと思ってるのであれば三流です
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,価値を感じていただければ価格は自然と上がります
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させる,4,17,小手先の数字を見るのではなく価値提供がされているか今一度確認して下さい
,,,,
,4,,ネタメモ：低単価のお店が勝つ方法,
構成,,秒数,シーン,"①セリフを考える（ライティング）
4本目(๑•̀o•́๑)۶"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,結局安いお店は強いねん
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
