No,﻿タイトル,フック,解決策,エンド,処理済み
1,ネタメモ：他店さんの商品を並べた時に圧倒的に見た目で勝ってますか？,あなたのお店の予約が鳴らないたった一つの理由は見た目です,まだお店のことを知らん人に「うちは味え勝負してるねん」なんて１ミリも伝わりませんよ,極端な話隣の店舗の商品と並べて圧倒的に見た目で勝てる商品を作りましょう,
2,ネタメモ：業者打ち合わせは定期的に→原価が変わる,原価高いわって嘆いてるだけの人はただの業務怠慢です,業者さんと定期的に打ち合わせして価格の交渉はちゃんとしてください,"あくまで業者さんも『人』です長くいい関係を構築して行きましょう",
3,ネタメモ：体調管理こそ最大の投資→体調不良での閉店が一番悔しい,"最近、フォロワーさんから体調不良でお店を閉めないといけないと連絡があったんです会ったことない方ですが背景を考えるとすごく寂しい気持ちになりました","経営者として体調が理由でお店を閉めるのは一番悔しいと思いますそうならないように健康維持に一番投資してください",応援され愛され続ける店舗を作るにはあなたの健康が必須です,
4,ネタメモ：プライベートな投稿するな（フィード、ストーリー）,自分の子供や友達との飲み会をまさか投稿してないですよね？,お店のアカウントで集客したいなら見ている人が欲しい情報だけあげてください,"あなたの私生活は誰も興味持ってませんお店の集客を本気で考えるのであればプライベートな投稿は全くいらないです",
5,ネタメモ：社長には長所短所あれど欠点があると致命傷になる,社長には長所短所あれど欠点があると致命傷になります,財務が弱い、マーケは分からん、接客・料理なんて知らんではどこかが穴になって組織崩壊起こします,全部自分でやらなくてもいいですが、最低限理解できるくらいの教養はつけておきましょう,
6,ネタメモ：万アカでドヤ顔してる飲食店正直痛いです,万アカでドヤ顔してる飲食店正直痛いです,SNSをやる理由が集客ではなくただのフォロワー稼ぎになってるんです,少ないフォロワーでもちゃんと興味のある人に届いて来店に繋げるのがあなたがSNSを使う一番の目的ですよね？,
7,ネタメモ：可処分時間の奪い合い＝提供価値は料理のクオリティだけではない　サンリオ,「あなたの貴重な1分、僕にください」これがマーケティングの真髄です,今の時代は可処分時間の争奪戦です。飲食業に限らず有りとあらゆる他産業との戦いです,"提供価値は料理だけではないんです今目の前を通り過ぎて行く人の1分を奪える価値をあなたは出せていますか？",
8,ネタメモ：辞めても誰にも怒られない内は続けろ,今の仕事しんどいな…もう辞めてしまおかな…って人ちょっと待って,急に辞めても誰にも怒られへんうちは続けときましょう,今の職場で学べることがなかったり理不尽な扱いを受けているという理由以外は今辞めるのは勿体無いです,
9,ネタメモ：EC→情報を盛りだくさん（量感やサイズなど）,ECサイトにこだわり書いている人、絶対に売れません,"サイトはあくまで意思決定の場所ですここは量感やサイズ、おすすめの喫食シーンなど情報を盛り沢山入れましょう",拘りや想いはECサイト内ではなく認知を広げるフェーズです,
10,ネタメモ：社長は空気を作れ,負けムードになってる会社は何があっても売れません,社長のたった一つの仕事は「空気を作る」ことです,スタッフ全員に勝ち癖を付けることが唯一お店を上手くいかせる鍵なんです,
11,ネタメモ：SNSの二重認証はしないとやばい,アカウント乗っ取られた…最悪。せっかく5000人もフォロワー居たのに…,取り返すのも時間と労力がかかるので店舗を運営しながらはとてもじゃないけどできません,SNSから集客できている飲食店は大打撃になるので今すぐ対策してください,
12,ネタメモ：キャッシュアウト→判断鈍る,飲食店の一番の失パターンは「キャッシュアウト」です,お金がないことのなにが一番怖いかと言うと判断が鈍ることです,"飲食はキャッシュフロー経営と言われるくらいお金周りがとにかく早い産業です一瞬の読み間違いが大きな痛手になるので常に意思決定に集中できる状況を作っておいてください",
