No,テーマ,シーン1,シーン2,シーン3,シーン4,シーン5,シーン6,シーン7,シーン8,シーン9,シーン10,シーン11,シーン12,シーン13,シーン14,シーン15,シーン16,シーン17,参考例ID
1,限界利益と粗利の違い,まさか限界利益と粗利、ごっちゃにして経営判断してませんよね？,「どっちも利益やろ？」って、正直あんまり意識してへんかった…ってこと、ないですか？,売上から原価引いた“粗利”だけ見て、「よし、儲かってる！」って安心しがちですよね。,でもそれ、めっちゃ危ない判断基準なんです。,粗利だけ見てると、売れば売るほど赤字になるメニューに気づかず、気づいた頃には資金ショート寸前…なんてことになりますよ。,「細かい数字は税理士さん任せやし…」って、現場の判断から目をそらしてませんか？,僕も昔は、どんぶり勘定で“なんとなく”利益が出てる気になってました。,でも内心、「このままでほんまに大丈夫か？」って不安がずっとあったんですよね。,その不安、見て見ぬふりしてたら、いつかお店の体力、全部持っていかれますよ。,このあと話すのは、その“なんとなく”の経営から抜け出して、1円単位で儲けをコントロールするための大事な話です。,粗利は“お店全体の健康診断”、限界利益は“メニューごとの戦闘力”みたいなもんです。,例えば、1杯売るごとに固定費をどれだけカバーできるか？を見るのが限界利益。お店全体の筋肉量が粗利って感じです。,結論、限界利益と粗利は全くの別物。見る目的が全然違うんです。,粗利は売上から“売上原価”を引いたもの。限界利益は売上から“変動費”を引いたもの。この違いが重要なんです。,まずはメニューごとの変動費を洗い出して、限界利益を計算してみてください。意外なメニューがお店を支えてることに気づきますよ。,「数字は苦手や…」って思ってた僕でも、これを知ってからメニュー開発の視点が180度変わりました。,飲食店は固定費を回収するゲーム。判断軸は“限界利益”に置いてくださいね。,スタッフが辞めない育成、実は評価制度より先にやるべきことがある;スタッフが辞めるのは、給料のせいだけじゃない;売上が下がったときは割引じゃなく販路を増やせ;価値を人に宿すと、集客が強くなる;現場のスタッフ全員で生産者に会いに行け
2,PMの重要性,夢見てた飲食店が大失敗に終わりたくないなら、たった一人味方に付けるだけなんです。,あれもこれも…やること多すぎて、何から手ぇつけたらええか分からん！ってなってません？,内装、厨房、仕入れ先、求人…ぜんぶ自分でやらなアカンって抱え込んでる。,それ、一番アカンやつです。,気づいたら予算オーバー、オープンも遅れて、始まる前から赤字まみれになりますよ。,「自分が一番わかってるし、自分でやらな」って、責任感で自分を追い込んでません？,お店作りって決断の連続で、ほんま孤独でしんどいですよね。よう分かります。,ほんまはメニュー開発とか、どんなサービスするかとか、そっちに頭使いたいんちゃいます？,その想いが一番大事やのに、雑務に追われてたらええ店なんて作れませんて。,今日は、そのバラバラな作業をぜんぶまとめてくれる「現場監督」の重要性について話しますわ。,船頭が自分だけの船と、ちゃんと航海士がおる船。どっちが無事に港に着くと思います？,お店作りって、いろんな職人さんが集まる工事現場と一緒。まとめ役がおらんと、家建ちませんやん。,結論、飲食店作るときは、全部を最後まで管理する人を一人決めな、絶対失敗します。,その人が業者との連絡、予算、スケジュールの管理を全部巻き取ってくれるんです。,あなたは「こんなお店にしたい」って想いを伝えることだけに集中したらええんです。,「あれ、どうなったっけ？」っていう無数の心配事から解放されるだけで、見える世界が変わりますよ。,プロジェクトマネジメントはあなたの仕事ちゃいます。プロに任せて、あなたは「ええ店作ること」に全振りしましょ。,ロードサイド型店舗の生き残り戦略;PLは％で見れるように;アルコール出ない問題;週に一回15分の1on1が行えないお店は組織構造、時間の使い方をまず疑え;チェーン店に勝つ方法
3,飲食店の媒体依存からインフルエンサー依存,インフルエンサー使ってるお店、正直もう流行らんくなりますよ。,「インフルエンサーに頼らな、もう集客できひんのちゃうか…」って焦ってませんか？,とりあえずDM送って、無料で食事提供して…って、必死にお願いしてません？,でも、それって根本的な解決にはなってないんです。,インフルエンサーのブームが去ったら、お客さんも一気にいなくなって、お店は空っぽ。そんな未来、怖くないですか？,「でも、一瞬でもお客さんが来てくれるんやから、やらんよりマシやん」って思ってますよね。,その気持ち、めっちゃわかります。誰も来えへん店の静けさって、ほんま心折れますもんね。,でもそれって、自分のお店の魅力を自分で伝えきれてないっていう、ただのSOSサインなんです。,他人に集客を丸投げしてるうちは、ほんまの意味でお店は強くなれませんよ。,このあと、なんでインフルエンサー依存が危ないんか、その本質的な理由を話します。,昔のグルメ媒体依存と、今のインフルエンサー依存って、実は構造が全く一緒なんです。,他人のメガホンを借りて一瞬叫んでもらうだけで、自分のお店の声の出し方を忘れてる状態ですわ。,答えはシンプルで、自分のお店のファンを、自分の言葉で直接つくること。これしかないです。,大事なんは「誰に」「何を」「どう伝えるか」。この3つだけです。,まずは来てくれたお客さんに「また来てください」だけじゃなく、お店のこだわりを自分の言葉で伝えてみましょ。,派手なPRより、地道なコミュニケーションの方が、結局はお店の財産になりますから。,集客は飲食店経営の舵みたいなもん。自分のお店の未来を、他人任せにするんはもうやめましょ。,人気店は「やりたくないこと」も決めてる;開業してから考えるな　今いるお客さんの視点から逆算しろ;POSレジの紹介;今もコロナ前と同じやり方してる店　変わらないことがリスク;ぶっちゃけ飲食店の成功は立地で決まるかどうか
4,輪ゴムの使用は禁止,キッチンにある輪ゴム、今すぐ全部捨ててください。それ、店を潰す爆弾かもしれんで。,「え、なんで？袋の口とか縛るのに便利やん」って思いますよね。,仕込んだ食材の袋をパッと留めたり、伝票まとめたり、つい使ってまうよな。,でもその“つい”が、一番危ないねん。,もし劣化した輪ゴムが料理に混入したら？SNSで拡散されて、一発で信用なくすで。,「うちは気ぃつけてるから大丈夫」って、どっかで思ってへん？,忙しいキッチンやと、手軽なもんに頼りたくなる気持ち、めっちゃわかるで。,でも心のどこかで「これ、ほんまはアカンよな…」って薄々気づいてたんとちゃう？,その小さな油断が、大事なお店を守れんようになる。便利さより、安全が先やで。,今日は、なんで輪ゴムがアカンのか、そのほんまの理由と、今すぐできる対策を話しますわ。,輪ゴムを使う店と、使わへん店。お客さんからの信頼度が全然ちゃうねん。,輪ゴムって、キッチンに置かれた見えへん地雷みたいなもんや。いつ爆発するかわからん。,結論、輪ゴムはキッチンから完全撤去。これが衛生管理の基本中の基本や。,HACCPの考え方でも、輪ゴムは劣化して千切れやすいから、異物混入リスクが高すぎるって言われてんねん。,まずはキッチンにある輪ゴムを全部探して捨てる。代わりにテープとか、専用のクリップを使うようにルール化してください。,「まさかうちが」って思うやろ？でも事故はそういう油断から起きる。お客様の信頼を守るためやで。,輪ゴムだけやない。ホチキスとかクリップもキッチンには置かんこと。当たり前の徹底が店を守るんや。,通販・実店舗・百貨店、全部やるべきほんまの理由は売上じゃなく耐性を作ってる;開業してから考えるな　今いるお客さんの視点から逆算しろ;集客に即効性を求めてはいけない;物価高の今やるべきこと;SNS投稿ばかり頑張っている人、まずは自分のお店のリピーター比率を理解しましょう（マーケティングファネル）
5,キッチン内ではアクション数を減らせ,キッチンの中、無駄な動きだらけの店は利益を垂れ流してるだけですよ。,なんでか知らんけど提供が遅れる…って悩んでませんか？,調理中にあっち行ったりこっち来たり、同じもん何回も探したりしてません？,それ、全部コストの無駄遣いです。,その数秒のロスが積もり積もって、提供遅れ、調理ミス、スタッフの怪我に繋がるんです。,「うちは大丈夫」って思ってるかもしれませんけど、一回キッチンの動き、動画で撮ってみてください。たぶん、びっくりするくらい無駄だらけですよ。,まあ、忙しいと動線とか考えてる余裕ないですもんね。気持ちはめっちゃ分かります。,でも心のどこかで、「もっとスムーズにできひんかな…」ってずっと思ってませんでした？,その「なんとなく」の非効率が、店の利益とスタッフの体力を毎日じわじわ削ってるんです。,今日は、キッチン内のアクションを劇的に減らして、提供スピードを上げる具体的な方法を教えます。,これを知らんままだと、頑張ってるのに儲からへん…っていう悪循環から一生抜け出せませんよ。,キッチンの動線って、工場の生産ラインと一緒です。一歩でも少ない方が、生産性が上がるに決まってますよね？,答えはシンプルです。「調理工程の分解」と「動線の最適化」、これだけを徹底してください。,よく使う器具は手の届く範囲に置く。仕込みで小分けにする。振り返るだけの動きをなくす。この3つです。,まずは一番出るメニューの調理工程を書き出して、一個でも減らせる作業がないか探してみてください。歩く、探す、持ち替える、全部コストですよ。,「こんなことで？」って思うかもしれませんけど、この積み重ねがスタッフの負担を軽くして、お店の利益を守るんです。,調理工程を見直して、一個でも省ける作業がないか、動線を変えるだけでスムーズに動けないか、今すぐ再確認してください。,飲食店経営は“戦時”と“平時”を分けて考えろ;通販・実店舗・百貨店、全部やるべきほんまの理由は売上じゃなく耐性を作ってる;立地選び　一等地信仰が危ない理由;スタッフに任せる前に、なんでやるべきかの視座を揃える　自由＝放置じゃない;Google口コミ＝QSC＋店舗内研修
6,お通しカット有り？無し？,お通しカット有りか無しか…その議論してる時点で、もう負けてますよ。,会計の時に「え、これ何のお金？」ってお客さんに思われるの、一番避けたいですよね？,「まあ文化やし、言わんでも分かるやろ」って、説明を省いたりしてません？,それ、お客さんからしたら“勝手に課金された”って不信感でしかないです。,その数百円が原因で、悪い口コミ書かれて店の信用なくすとか、ほんまにもったいないですよ。,「断られたら売上下がるし、なんか気まずいな…」って、心のどこかで思ってません？,席料みたいなもんやし、いちいち説明するのも…って気持ち、めっちゃ分かります。,でもほんまは、お客さんに気持ちよく過ごしてほしいだけですよね？,その“お店の当たり前”が、お客さんの“当たり前”とは限らんのですわ。,今日は、お通しをトラブルの種やなくて、お店のファンを作るきっかけに変える話をします。,“仕方なく払うお通し代”と、“これならお金払う価値あるわって思われるお通し”。全然ちゃいますよね。,お通しって、お店の最初の“おもてなし”ですやん。ここでガッカリされたら、後の料理も楽しんでもらえません。,結論、揉め事をなくす方法はたった一つ。出す前のコミュニケーションです。,ポイントはシンプル。『①有料であること』『②今日の内容』『③断れること』を最初に伝えるだけ。,「本日のお通しは〇〇ですが、いかがなさいますか？」この一言を徹底するだけで、お客さんの納得感が全然違います。,その丁寧な対応が、「この店、信頼できるな」っていう安心感に変わるんです。,お会計で揉めるのは、説明不足か、お通しがお金を取れるクオリティやない証拠です。,POSレジの紹介;繁盛店＝「良さげな店」ではなく勝ちパターンを持ってる店;ロードサイド型店舗の生き残り戦略;SNS投稿ばかり頑張っている人、まずは自分のお店のリピーター比率を理解しましょう（マーケティングファネル）;チェーン店に勝つ方法
7,社長の仕事は「こなす」ではなく「積み上げる」,「こなす」仕事から「積み上げる」仕事に切り替えた瞬間から、ほんまの社長業が始まります。,毎日忙しいのに、なんか前に進んでる気せえへんな…って感じてませんか？,仕込みして、発注して、シフト組んで…今日も一日終わった、ってなってません？,それ、社長の仕事ちゃいますよ。,そのまやと5年後も同じ毎日。売上も利益も横ばいで、ただただ自分がしんどいだけです。,「自分が現場おらんと店が回らん」って、心のどっかで思てません？,目の前のことで手一杯になる気持ち、めっちゃ分かります。僕もそうでしたから。,でもほんまは、未来の売上のために時間を使いたい。それが本音ちゃいますか？,その気持ち大事です。でも、今のやり方やと一生時間は作れませんよ。,今日は、日々の作業を「未来への投資」に変える、社長がほんまにやるべき仕事の話をします。,「こなす仕事」は今日の売上。「積み上げる仕事」は来年、5年後の売上を作るんです。,毎日必死に魚を釣るのが「こなす仕事」。もっと釣れる網を作るのが「積み上げる仕事」ですわ。,社長の仕事はたった一つ。未来の利益を「仕組み」で作ることです。,例えば、リピート客を生む仕組み、新しい集客の柱、スタッフが育つ環境。この3つを考えるのが仕事です。,まずは週に3時間だけ、現場を離れて「積み上げる」時間を強制的に作ってください。スマホも置いてくださいね。,最初は不安かもしれん。でも、その時間が未来のお店の安心を作るんです。,今目の前の仕事をこなしてるだけでは集客に時間は使えません。未来の利益のために、コツコツ積み上げていきましょ。,無借金経営のデメリット;集客に即効性を求めてはいけない;PLは％で見れるように;飲食店経営は“戦時”と“平時”を分けて考えろ;googleマップの口コミ=顧客体験（小手先で上げれるものではない）
8,脳内優先順位が1位じゃないと存在してないのと同じ,日本で二番目に高い山、言えますか？…それ、あなたのお店の今のポジションかもしれへんで。,「うちの店、味はええのに、なんでか選ばれへん…」そう思ってません？,美味しい料理作って、たまにSNS更新して…「いつか誰かが見つけてくれる」って信じてる。,その『いつか』は、永遠に来ーへんのです。,気づいたら周りに新しい店ができて、お客様の記憶から消えて、静かにお店を閉めることになる。それが一番悲しいでしょ。,「宣伝とか苦手やし…」「何から手つけたらええか分からん」って、心のどこかで思ってますよね？,ほんまは、もっと自分のお店の良さを知ってほしい。もっとたくさんの人に来てほしいって願ってるはずやのに。,でも結局、「うちは味で勝負してるから」って、一番大事な『伝える努力』から逃げてるだけなんです。,その気持ち、めっちゃ分かります。でも、待ってるだけじゃ誰も店のドア開けてくれへんのです。,このあと、お客様の頭の中で「〇〇といえば、うちの店」って一番に思い出してもらうための、たった一つの考え方をお話します。,『なんでもある便利な店』は誰の記憶にも残らんけど、『〇〇がめちゃくちゃ美味い店』は忘れられへんのです。,お客様の頭の中って山の高さランキングと一緒で、「このエリアでイタリアンなら？」って聞かれて、富士山みたいにパッと名前が出てこんとあかんのです。,結論、お客様の脳内優先順位で1位になれへんかったら、それはもう存在してないのと同じなんですわ。,『安さ』で1位、『名物メニュー』で1位、『接客』で1位。なんでもええ。何か一つで圧倒的1位を目指すんです。,まずは「〇〇（地域名） 〇〇（ジャンル）」でお客様が使う言葉で検索して、自分のお店が何番目に出てくるか見てみてください。そこが今の現在地です。,2番手で満足してる場合ちゃいますよ。あなたのお店には、1番になれる魅力が絶対あるはずです。,そのジャンル、そのエリアで一番に名前が挙がる店になる。本気で外部への発信、やっていきましょ。,マクドナルドから真似すべき戦法;意思決定と合意形成;POPの意味;撤退しない店舗作りのための「最初の一等地」より、「最後に残る一席」の選び方;物価高の今やるべきこと
9,キッチン内でのタバコ,キッチン内でタバコ吸ってるお店、それ違法ですよ。,「昔からの慣習やし、今さら注意しにくいわ…」って思ってません？,休憩中に換気扇の下で一本だけ…とか、つい許してしまってる。,それ、優しさちゃいます。ただの見て見ぬふりです。,もしお客さんの料理に灰が一本でも入ったら？一発で信頼なくしてお店畳むことになりますよ。,「うちは身内みたいなもんやから大丈夫」って、そのなあなあが一番危ないんです。,分かりますよ、長年のスタッフに強く言われへん気持ちも。,でも心のどこかで「これ、衛生的にほんまにあかんよな…」って罪悪感ありますよね。,その小さな罪悪感が、いつか取り返しのつかん問題になるんです。,実はこれ、ただのマナー違反やなくて、お店を守るための法律の話なんです。,ルールを守って信頼されるお店と、なあなあで不信感を持たれるお店。どっちが生き残ると思います？,料理って、お客さんの口に入るもんでしょ？そこにタバコの煙が入るって、ありえへん話ですよね。,結論、キッチン内での喫煙は改正健康増進法で原則禁止されてます。,これ、知らんかったでは済まされへんくて、行政指導や罰則の対象になる可能性が高いんです。,今日からルール化してください。喫煙は決められた屋外の場所だけ。例外はなしです。,最初は面倒がられるかもしれん。でも「お店とみんなを守るためや」って本気で伝えたら、絶対分かってくれます。,キッチンは聖域です。その意識が、お店の未来を守ります。,なぜ新入社員のエンゲージメントが3年で低下するのか;飲食店経営は数字が全て　でも数字の裏には人がいることを忘れるな;飲食店経営は“戦時”と“平時”を分けて考えろ;誕生日よりも水曜日を狙え;バイトの意識が劇変する現場研修のやり方とは
10,物の配置は常時・随時・一時に分ける,キッチンの物の配置、感覚で決めてる店から潰れていきますよ。,「なんか動きにくいな…」って、毎日思いながら仕事してません？,で、気づいたら「とりあえず空いてるスペース」に物が溢れてるんです。,それ、毎日数分の無駄を積み重ねてるだけですわ。,その“数秒のロス”が積もり積もって、ピークタイムの回転率を下げてるって気づいてます？,「片付けたいけど、どこから手つけてええか分からん…」ってなってません？,忙しいから後回しにしたくなる気持ち、めっちゃ分かります。,でもそれって、実は“配置のルール”がないから、どこに戻せばええか分からんだけなんです。,そのままだと、新しいスタッフが入るたびに同じことの繰り返しですよ。,でも大丈夫。たった一つの“分類ルール”で、キッチンの生産性は劇的に上がります。,この動画を見終わる頃には、ごちゃごちゃのキッチンが“仕組み化されたコックピット”に見えてきます。,キッチンの配置って、料理のレシピと一緒なんです。段取りが決まってないと、味もスピードもブレるでしょ？,答えはシンプルです。全ての物を“常時・随時・一時”の3つに分けてください。,“常時”は手の届く範囲。“随時”は1、2歩で取れる場所。“一時”はバックヤード。これだけです。,まず、毎日使う塩や包丁は“常時”。週1で使う特殊な調味料は“随時”。ストック品は“一時”に振り分けてみてください。,「あれどこ？」がなくなって、スタッフ全員がストレスなく動けるようになりますよ。,物の配置は売上に直結します。この動画見終わったら、一度キッチンを見渡して無駄がないか教えてください。,飲食店は立地で決まる？;なぜ新入社員のエンゲージメントが3年で低下するのか;新卒を採っても育たない本当の理由　教育者が正解を持ちすぎてる;CFの8つの型で自店の経営状況の判断を;予約ゼロ→満席に変えた価格の順番　値下げより設計が先
