No,テーマ,シーン1,シーン2,シーン3,シーン4,シーン5,シーン6,シーン7,シーン8,シーン9,シーン10,シーン11,シーン12,シーン13,シーン14,シーン15,シーン16,シーン17,参考例ID
1,原価率40％の商品があっても,原価率40%の商品？それ、あってもええんですよ。,「原価率は30%以内にせな！」って、もう耳にタコができるくらい聞いてきましたよね。,全メニューの原価率をExcelで睨んで、必死で30%に収めようとしてません？,それ、数字に縛られてるだけで経営ちゃいますよ。,結局、魅力のないメニューばっかりになって、お客さんも離れて、利益も残らん…最悪の悪循環ですわ。,「高い原価のメニュー置いたら、儲けがなくなるやん…」って、不安になりますよね。,僕も昔は全商品の原価率を30%以下にせなって、そればっかり考えてましたわ。,ほんまは「これを食べてもらいたい！」っていう想いがあるのに、原価のせいで諦めてるだけちゃいます？,その気持ち、痛いほど分かります。でも、全部同じ基準で見るからしんどくなるんです。,このあと、原価率に振り回されへんための『メニューの役割分担』について話します。,『全メニュー平均点』を目指すんやなくて、『エースで稼いで、他で守る』チームを作るんです。,高級フレンチのコースかて、フォアグラの原価は高いけど、パンやスープで調整してる。それと一緒ですわ。,原価率は『平均』で見るもんちゃいます。メニューに『役割』を与えることから経営は始まります。,具体的には、①集客のための『目玉商品』、②利益を稼ぐ『主力商品』、③満足度を上げる『ついで買い商品』、この３つです。,原価40%の看板メニューでお客さんを呼んで、原価20%のドリンクやサイドメニューでしっかり利益を取る。この組み合わせが大事なんです。,今まで「原価が高いから…」って諦めてたメニュー、もしかしたら最強の集客商品になるかもしれへんで。,利益、集客、満足度。この３つの役割でメニューを見直してみてください。お店、変わりますよ。,焼肉屋の仕込みの壁を超える仕組みとは;開業3年以内に潰れる飲食店の共通点「自己流」は99％破滅の道;加工品を賢く取り入れる;スタッフが辞めるのは、給料のせいだけじゃない;人時売上高
2,口コミ増やします！系の営業電話は無視してください,「口コミ増やします！」って電話、絶対出たらあきません。,でも正直、口コミが伸び悩んでたら「話だけでも…」って思ってしまいますよね？,月々数万円で評価上げますよ、なんて言われたら、つい頼りたくなってまう。,でもそれ、お店を危険に晒すだけなんです。,最悪の場合、あなたのお店のページが検索結果から永久に消されます。,最近、グルメサイトの評価が頭打ちで、どうしたらええか分からんようになってませんか？,口コミが大事なんは分かってる。真面目にやってるのに報われへんのがしんどいんですよね。,「楽したい」んじゃなくて、「正当に評価されたい」だけやのに…って。,その気持ちはほんまに大事。でも甘い話に乗ったら、今まで積み上げた信頼を一瞬で失いますよ。,なんでその電話が危ないんか、今からその“たった一つの理由”をはっきり言います。,自然に増える口コミは「資産」。お金で買った口コミはただの「負債」です。,それって、テストでカンニングするようなもん。バレたら即退学、つまりアカウント停止ですわ。,答えはシンプルです。ほとんどのグルメサイトで、お金で口コミを買うんは明確な規約違反なんです。,具体的には「対価を払って書いてもらう」「業者を使って評価を操作する」この２つは一発アウトです。,やから営業電話が来たら「結構です」と即答する。これだけでお店を守れます。,焦る気持ちは痛いほど分かります。でも、その焦りが一番危ないんです。,一番の問題は、罰を受けるんが業者やなくて、あなたのお店やってことです。,スタッフが辞めるのは、給料のせいだけじゃない;一見客で回す飲食はいつか潰れる;POSレジの紹介;予約ゼロ→満席に変えた価格の順番　値下げより設計が先;飲食店経営は“戦時”と“平時”を分けて考えろ
3,飲食コンサル目線のPOSレジ比較,自称POSレジ大好き芸人なんですが、POSレジ選び間違えてるお店、ほんまに多すぎます。,「どれも一緒やろ」って、営業さんの言うままになんとなく決めてません？,とりあえず安いやつとか、みんな使ってるからっていう理由で選んで、後で後悔するパターン、めっちゃありますよ。,それ、お店の成長を止める一番の原因かもしれません。,欲しいデータが見れんくて結局どんぶり勘定。気づいた時にはもう手遅れ…なんてことになりかねません。,「機能が多すぎて全然使いこなせてへん…」とか、「もっとこうやったらええのに」って、内心モヤモヤしてません？,わかります。種類が多すぎて、どれが自分のお店に合うかなんて、なかなかわからんすよね。,ほんまはもっと数字を見て、ちゃんと次の一手を考えたいだけなんですよね？,でも、その「なんとなく」で選んだレジが、未来の売上を静かに食いつぶしてるんです。,今日は僕が、あなたのお店にぴったりのPOSレジの選び方、目的別にサクッと解説しますね。,POSレジをただの「会計機」で終わらせるか、「経営の武器」にするか。この差はめちゃくちゃデカいですよ。,POSレジってお店の「頭脳」みたいなもん。自分の店に合わへん頭脳を積んだら、そら上手く動かへんでしょ。,結論、どんなお店にしたいか、その目的によって選ぶべきPOSレジは全く違います。,例えばCRM機能が欲しいならダイニーかファンフォ。とにかく分析しまくりたい方はスマレジです。,導入コストを抑えたいならファンフォ、買い切りならSquareもあり。無料で簡単なのはAirレジやけど分析はちょっと弱いです。,大事なんは「何ができるか」より、「自分のお店が何をしたいか」をはっきりさせることです。,見たい数字がすぐ見れるか、現場がサボらず入力できるか。これが経営判断の分かれ道です。,加工品を賢く取り入れる;今もコロナ前と同じやり方してる店　変わらないことがリスク;スタッフに任せる前に、なんでやるべきかの視座を揃える　自由＝放置じゃない;撤退しない店舗作りのための「最初の一等地」より、「最後に残る一席」の選び方;なぜこの店は夢を語ってるだけで予約が埋まるのか？
4,瓶ビールとサーバー,瓶ビールVSサーバー論争、今日ここでハッキリさせましょう。,「やっぱりお客様には美味しい生ビールを飲んでほしい」って思いますよね。,開業したらとりあえずビールサーバーを置くのが当たり前、みたいに考えてませんか？,それ、もしかしたら思考停止かもしれませんよ。,そのままだと、洗浄不足でまずいビールを出し、ロスで原価は上がり続け、誰も得しない状況になります。,「正直、毎日の洗浄しんどいな…」「思ったよりビール出えへんな…」って、心のどこかで感じてません？,美味しい一杯を提供したいその気持ち、めっちゃわかります。僕もずっとそうでした。,でも、その手間と見えないコストが、お店の利益をじわじわ削ってることにも気づいてますよね。,お客様のためを思うのは素晴らしい。でも、それで自分のお店がしんどなったら本末転倒です。,今日は、あなたの店に本当にサーバーが必要か、それとも瓶ビールの方が賢い選択なのか、その判断基準を具体的にお伝えします。,サーバーを置いて赤字を垂れ流す店と、瓶ビールで賢く利益を出す店。その差はどこにあるのか。,ビールサーバーって、毎日ちゃんと手入れせんとすぐ味が落ちる、繊細な機械なんですわ。,結論、人材が流動的で、1日の出数が20杯以下なら、もう瓶ビール一択です。,理由はシンプル。洗浄の手間、品質のブレ、そして何より廃棄ロスを含めた実質原価が合わないからです。,まずは直近1ヶ月のビール杯数を日割りで計算してみてください。もし平均20杯を切ってたら、それがサーバーを見直すサインです。,「サーバーをやめるなんて…」って抵抗あるかもしれません。でも、その決断がお店の未来を救う一歩になるんです。,洗浄と注ぎ方で味がブレるサーバーより、いつ飲んでも美味しい瓶ビール。これも一つの『おもてなし』やないですか？,開業3年以内に潰れる飲食店の共通点「自己流」は99％破滅の道;繁盛してる風に騙されるな　1日100人来ても、潰れる店がある理由;あなたの店、SNSやる前に現場の空気が整ってますか？;FL比率;インスタグラマー集客はやめろ
5,原価高騰による値上げは仕方ない,その値上げ、やり方間違ってたらお客さんゼロになりますよ。,また仕入れ値上がっとる…でも値上げしたらお客さん来んくなるんちゃうか…。,しゃあないから、とりあえず全部のメニューを50円ずつ上げとくか…ってやってません？,それ、一番やったらあかんやつです。,お客さんは離れて、利益も残らん。気づいたら“値上げ損”で店が傾いてますよ。,“値上げは悪”みたいに思えて、ほんまは罪悪感感じてますよね？,お客さんに負担かけたくないけど、このままやと自分の首が締まるだけ…。,なんでうちだけこんな苦労せなあかんねんって、正直思ってますやん。,その気持ち、痛いほどわかります。でも感情論だけやと、お店は守れません。,僕も昔、値上げで大失敗しました。でも“ある順番”を知ってから、客数を減らさず利益を確保できるようになったんです。,“全部一律で上げる”のと“貢献度が高いもんから上げる”のでは、お客さんの反応が全然違います。,エースで4番の看板メニューと、ベンチの補欠選手。どっちの給料から見直すべきか、って話ですわ。,値上げは“利益貢献度が高い順”に手をつける。これが鉄則です。,まずは全メニューの販売数と“1個あたりの利益額”を書き出して、利益貢献順に並べてみてください。,そのリストの上位3つから、価格を見直す。たったこれだけで、ダメージは最小限に抑えられます。,値上げは“お客さんへの裏切り”やない。“お店を守るための決断”なんです。,「原価が上がったんで」やなく、「味を守るためです」って伝えていきましょ。,PLは％で見れるように;限界利益;なぜこの店は夢を語ってるだけで予約が埋まるのか？;アルコール出ない問題;人気店は「やりたくないこと」も決めてる
6,ありとあらゆる数字を出して基本の会話を数字ですること,「最近客足弱いなぁ」「忙しい割に儲かってへん」こんな会話、心当たりありません？この共通点が分からんお店から成長が止まります。,「なんか知らんけど、しんどい」が口癖になってません？,感覚で「値上げした方がええ気ぃする」とか「今日は暇やから早よ閉めよか」とか決めてません？,それ、全部ただの感想です。,気づいた時には「なんで赤字なんかわからん」状態になって、打つ手が全部カンに頼るようになります。,「数字を見るのが苦手」とか「そんなん見てる暇ない」って、後回しにしてません？,毎日忙しい中で細かい数字まで追うのがしんどい気持ち、めっちゃ分かります。,でも心のどこかで「ちゃんと見なあかん」って焦ってる自分もいませんか？,その感覚経営から抜け出さんと、一生懸命働いてもお店は強くなりませんよ。,今から会話の全部を「数字」に変えるだけで、お店が劇的に変わる方法を具体的にお伝えします。いつでも見返せるように保存しといてください。,「なんとなく売上が悪い」と話すお店と、「先週の木曜より客単価が500円低い」と話すお店、どっちが伸びると思いますか？,数字を見ない経営って、体重計乗らんとダイエットするようなもんですよ。痩せてるか太ってるかすら分からんのです。,結論、会話の主語を「感覚」から「数字」に変える。これだけです。,まずは毎日出す数字。「売上・客数・客単価・前週同曜日比」この4つは絶対です。,慣れてきたら週次で「商品別売上トップ5」と「人件費率」、月次で「営業利益」まで見れるようにしましょう。,これができるようになると「なんでしんどいんか」が全部言葉にできるようになります。,今日から「なんか」とか「たぶん」を禁止。会話のベースを数字に絞ってみてください。,オーナーしか作れない属人料理;問題の本質を探す→新規集客欲しいのにメニュー開発、人が辞めるから人事評価など;今もコロナ前と同じやり方してる店　変わらないことがリスク;ロードサイド型店舗の生き残り戦略;ネット情報の統一化
7,飲食店経営するなら借金を恐れるな,飲食店経営で借金できひん店、はっきり言って危ないですよ。,「借金だけは絶対したくない」って、心のどっかで思ってません？,手元の現金だけでなんとかしようとして、毎月カツカツの資金繰りしてるとか。,それ、経営ちゃいます。ただの延命です。,このままやと、売上がちょっと落ちただけで一気に資金ショート。チャンスがきても指くわえて見てるだけになります。,「借金は怖い。でもこのままじゃアカン…」って、ほんまは気づいてますよね？,新しい設備入れたいけどお金ないし、人も増やしたいけど給料払えるか不安やし…って、毎日考えますもんね。,「もし返されへんかったらどうしよう…」っていう、あの漠然とした恐怖が一番しんどいんですよね。,その気持ち、痛いほど分かります。でもそれって、「正しい借金の仕方」を知らんだけなんです。,このリールでは、お店を成長させる“良い借金”と、ただ首を絞めるだけの“悪い借金”の、明確な見分け方をお伝えします。,赤字を埋めるための借金と、未来の売上を作るための借金は、全くの別物なんです。,借金って、言うたら“エンジンオイル”みたいなもん。入れへんと走られへんし、入れすぎても壊れる。適量が大事なんです。,結論、借りてええのは「未来の利益を前借りできる」借金だけです。,良い借金の条件は3つ。①返済額が月の利益の30%以内、②使い道が一行で説明できる、③90日以内に数字が変わる。これだけです。,この3つに当てはまらんのやったら、それはただの“悪い借金”。絶対に借りたらあきません。,ちゃんと計画された借金は、恐怖やなくて“希望”なんです。お店を次のステージに上げるための、大事な一手やから。,借金を恐れる前に、まずはお店の経営をちゃんと可視化してください。そこから見えてくるもんがあります。,財務三表の説明;売上が下がったときは割引じゃなく販路を増やせ;飲食店経営は数字が全て　でも数字の裏には人がいることを忘れるな;開業してから考えるな　今いるお客さんの視点から逆算しろ;限界利益
8,横領事件が起きました→棚卸,うちの店で、横領事件が起きました。,「ウチは大丈夫」って、心のどこかで思ってません？,スタッフを信じてるからって、レジ締めも在庫管理もなあなあになってる。,それ、信頼とちゃいます。ただの管理不足です。,気づいた時にはお金だけやなく、店の信頼も、スタッフとの関係も全部失いますよ。,「疑うなんてしんどい…」って、見て見ぬフリしてませんか？,スタッフを家族みたいに思ってるから、疑いたくない気持ち、めっちゃわかります。,でも本音では「もし裏切られたら…」って不安でいっぱいですよね。,その優しさが、逆に大事なスタッフを犯罪者にしてしまうかもしれへんのです。,実は、横領が起きる店には必ず共通点があって、それを潰すだけで未然に防げるんです。,性善説で管理ゼロの店と、ルールで守る店。どっちがスタッフを大切にしてると思いますか？,鍵のかかってない金庫を目の前に置いとくようなもんですよ。誘惑する環境を、こっちが作ってしまってるんです。,答えは一つ。毎月、きっちり棚卸しをすることです。,横領が起きる店は、ほぼ100%棚卸しをしてません。食材もドリンクも、数字で現実を見ましょう。,毎月決めた日に、必ず複数人で実施する。一人に任せない。これが鉄則です。,このひと手間が、あなたの大事な店と、真面目に働いてくれてるスタッフを守るんです。,スタッフを守るためのルール作りは、経営者の愛情です。,意思決定と合意形成;カット済みの納品（肉・野菜）→歩留や人件費;SNSなんて正直めんどい　でも伝える努力をやめへん理由;夜営業で売上伸び悩んでるお店のソフトドリンクの発想が間違ってる;無意識のクセが命取り（所作は人格、ふるまいはブランド）
9,AIで動画作って集客してる飲食店オーナーさん,AIで動画作って集客してるオーナーさん、それ、集客に繋がらん理由は技術の問題ちゃいますよ。,最新のAI使って動画作ってるのに、なんで予約増えへんのやろ…ってなってませんか？,とりあえず美味しそうな料理の映像をAIに作らせて、音楽つけて投稿…みたいなこと、してません？,でもそれ、お客さんから見たらただの“綺麗な映像”でしかないんです。,時間と労力かけてるのに、誰の心にも刺さらんと、ただ投稿数だけが増えていくんです。,「AI使えば楽に集客できる」って聞いたのに、なんかちゃうな…って薄々感じてますよね？,流行りに乗り遅れたないし、楽できるならって頑張ってAI勉強したんですよね。わかります。,ほんまは「誰に」「何を」伝えたいかより、「どうやって作るか」に必死になってません？,その気持ちめっちゃわかるんですけど、道具に振り回されてたら本質見失いますよ。,この後、AI動画が“ただの映像”から“予約に繋がる武器”に変わる、たった一つのポイントを話します。,ただ綺麗なだけの動画と、見た人が「行きたい！」って思う動画、何が違うと思います？,AIに「美味しいラーメンの動画作って」って頼むのは、バイトに「なんかええ感じに接客しといて」って言うてるようなもんです。,結論、動画が見てる人の何の解決にもなってなくて、感情が1ミリも動いてないからです。,例えば、「仕事で疲れた30代の女性が、週末にご褒美で食べたくなるパスタ」みたいに、ターゲットと感情を絞るんです。,AIに指示出す前に、まず紙に「誰に、どんな気持ちになってほしいか」を一行だけ書いてみてください。,技術やツールに頼る前に、まずはお客さんの顔を思い浮かべることから、ほんまの集客は始まります。,どんな人がどんな感情になってほしいのか、それを決めずに何となく投稿するのは、もうやめましょ。,集客の相談より「人」に関する問い合わせが一番多い;CFの8つの型で自店の経営状況の判断を;スタッフが辞めない育成、実は評価制度より先にやるべきことがある;FL60%なんて守っていたらやっていけない;歩留計算の仕方
10,お客様がリピートしない理由,リピートされへんお店、致命的な勘違いしてますよ。,「美味しかった」って言うてくれたのに、なんで次来てくれへんのやろ…って悩んだことないですか？,美味しい料理とええ接客さえしとけば、お客さんはまた来てくれるって信じてませんか？,それ、お客さんからしたら“ただの一期一会”で終わってます。,このまやと、一生新規集客に追われて、広告費ばっかりかかる自転車操業から抜け出せませんよ。,リピート対策って言われても、ポイントカードくらいしか思いつかへん…ってなってません？,毎日忙しい中で、そこまで考える余裕ないねん…って気持ち、めっちゃわかります。,本当は、お客さんの顔と名前が一致するような、あったかい常連さんで溢れるお店にしたいんですよね。,でも、その“きっかけ”を店側が作らんと、お客さんはあなたのお店のこと、どんどん忘れていきますよ。,このあと、お金をかけんでもお客さんが“また行かなあかん理由”ができる、たった一つのシンプルな仕組みを話します。,“一回きりの関係”で終わる店と、“お客さんと繋がり続ける店”の決定的な違い、知りたくないですか？,お店とお客さんの関係って恋愛と一緒で、デートの後、次の約束もせんと連絡もせえへんかったら自然消滅しますやん。,結論、お客さんがリピートせえへんのは、お店を出た後、あなたが何のアクションも起こしてへんからです。,お客さんが二回目に来ないことによる機会損失が、何もない状態になってるんです。,お会計の時に『LINE登録で次回のドリンク1杯無料です』って声かけるだけ。これだけで繋がりが生まれます。,“美味しかった”っていう記憶が薄れる前に、あなたのお店を思い出してもらうんです。,あなたのお店、お客さんが帰った後も思い出してもらえる導線、ちゃんとありますか？まずはそこから見直してみてください。,アルコール出ない問題;立地選び　一等地信仰が危ない理由;スタッフが辞めるのは、給料のせいだけじゃない;飲食店は立地で決まる？;物件選びはなんかええな、じゃなくてロジックで選ばなあかん
