No,処理済み,処理日時,テーマ,カテゴリ,罠（課題）,放置すると,解決策,シーン1,シーン2,シーン3,シーン4,シーン5,シーン6,シーン7,シーン8,シーン9,シーン10,シーン11,シーン12,シーン13,シーン14,シーン15,シーン16,シーン17,参考例ID
1,完了,2026-01-17,限界利益と粗利の違い,数字と財務,限界利益と粗利の違いを理解していない,利益の構造が見えず忙しいのに手元にお金が残らない経営が続く,定義・目的が明確に異なる別の利益指標として認識し判断軸を限界利益に置く,まさか限界利益と粗利の違い分からん飲食店オーナーいませんよね？,「粗利出てるから大丈夫やろ」って安心しきってません？,原価率だけ見て「うちは30%切ってるから優秀」って思ってません？,それ利益の『見え方』と『残り方』を混同してるだけです,このままやと売上は伸びてるのにお金が残らん地獄にハマりますよ,「粗利と限界利益って何が違うん？」って聞かれてパッと答えられへん人多いですよね,分かりますよ数字の言葉って似たようなもんばっかりで正直ややこしいって思う気持ちも,でもほんまはこの違いを知ってるだけで経営判断が劇的に変わるって知ってましたか？,粗利だけ追いかけて失敗したお店僕は何軒も見てきました,今日はなんで「限界利益」が飲食店経営の本当の判断軸なのかをお伝えします,粗利を見てる店と限界利益を見てる店では同じ売上でも手元に残るお金が全然違うんです,例えるなら粗利は「今日の天気」限界利益は「週間予報」みたいなもんで経営の先が見えるんです,正解は飲食店経営は「売上を作る業態」やなくて「固定費を回収する業態」やと理解することなんです,粗利は単純に売上から原価を引いた額。でも限界利益は変動費全部引いて固定費を回収できるかの指標なんです,だから判断軸を「粗利」やなくて「限界利益」に置き換えるだけで本当に残るお金が見えてきます,「なんとなく黒字」って曖昧にしてた人数字の本質がやっと分かる瞬間が来ますよ,今すぐメニューごとの限界利益を計算してください。見える景色が変わります,限界利益/ゾーニング/人時売上高
2,完了,2026-01-17,PMの重要性,組織・開業,飲食店開業時にプロジェクトマネージャーを立てていない,全体管理者不在で工程遅延・予算超過・品質低下が同時発生する,開業時は全体を最後まで管理するPMを1人決めて進行させる,夢見てた飲食店が大失敗に終わりたくないならたった一人味方に付けるだけなんです,「料理さえ美味しければ何とかなる」って開業準備を軽く見てません？,内装業者と設備業者と厨房機器業者…全部バラバラに動いてて誰も全体見てない状態になってません？,それ船頭のいない船で大海原に出ようとしてるのと同じですよ,このままやとオープン日に間に合わない予算が足りない想定と全然違う店ができあがるこの三重苦が待ってます,「自分で全部管理できる」って思ってる経営者さんそれが一番危険な自信過剰なんです,分かりますよ自分の店やから自分が一番真剣やし人に任せるのは不安って気持ちも,でもほんまは料理人と経営者とプロジェクトマネージャーは全部別のスキルやって知ってましたか？,自分で全部やろうとして結局どれも中途半端になった開業者を何人も見てきました,今日はなんで「PM（プロジェクトマネージャー）を立てる」ことが開業成功の鍵なのかをお伝えします,PM不在で開業した店とPMがいた店ではオープン後の立ち上がりスピードが全然違うんです,分かりやすく言うとオーケストラの指揮者がいないコンサートみたいなもんで全員がバラバラに演奏するんです,正解は飲食店を作る時は全部を最後まで管理する人を1人決めることなんです,工程管理予算管理品質管理関係者調整…全部を横断的に見れる人が必要なんです,プロジェクトマネジメントはあなたの仕事ちゃいます。外部に依頼して本来集中すべき料理に振り切ってください,「全部自分でやらな」って思ってた人その考えが開業を難しくしてたかもしれませんよ,開業準備は「PM」を味方につけることから始めてください。成功確率が格段に上がります,開業自己流/属人料理/任せる視座
3,完了,2026-01-17,媒体依存からインフルエンサー依存,集客・販促,グルメ媒体依存からインフルエンサー依存に移行しただけ,他者に集客を依存し続けて自店の集客力が育たない,自店のSNS発信力を高め集客の舵を自分で握る,インフルエンサー使ってるお店は今後流行らんくなりますよ,「グルメサイトは高いからインフルエンサーの方がコスパええやん」って思ってません？,月に何回もインフルエンサー呼んでその時だけお客さん増えて満足してません？,でもそれ依存先が変わっただけで本質は何も変わってないですよ,そのまま続けてたらインフルエンサーが来なくなった瞬間に客足がピタッと止まります,「うちはSNS集客やってるから大丈夫」って思ってる経営者さんそれインフルエンサー頼みになってませんか？,分かりますよ自分で発信するより呼んだ方が早いしフォロワー多い人に紹介してもらった方が効果的って思う気持ちも,でもほんまはインフルエンサー依存ってグルメ媒体依存と構造が同じやって気づいてましたか？,ホットペッパーやめてインフルエンサーに切り替えたけど結局他人任せのままの店めちゃくちゃ多いです,今日はなんで「集客の舵は自分で握る」ことが長期的な繁盛の条件なのかをお伝えします,インフルエンサー依存の店と自店発信力のある店では5年後の安定感が雲泥の差なんです,例を挙げるとタクシーに乗り続けるか自転車を買うかの違いみたいなもんで自分で漕げる力を持つべきなんです,正解は集客は飲食店経営において「舵」やと認識することなんです,自分のお店の未来を媒体やインフルエンサーに委ねるのはもうやめましょう,まずは自店のInstagramで週3回投稿する習慣を作って自分の言葉でお客様に届ける力を育ててください,「インフルエンサー呼べばいいや」って思ってた人その依存体質を今日から見直しましょ,集客の舵は自分で握る。それが長く愛される店の条件です,インフルエンサー集客/マルチチャネル/SNS継続
4,完了,2026-01-17,輪ゴムの使用は禁止,衛生・現場運営,キッチン内で輪ゴムを使用している,異物混入リスクが常態化し重大なクレームや営業停止につながる,HACCP基準に従いキッチン内に小さく飛散しやすいものを持ち込まない,今すぐ輪ゴムをキッチンで使ってる人全部捨ててください,「えっ輪ゴムあかんの？普通に使ってるけど…」って驚いてません？,食材の袋止めたり調味料まとめたり便利やからって当たり前に使ってません？,でもそれお客様の口に入る異物混入リスクを毎日作り出してるんです,放っといたらある日お客様の料理から輪ゴムが出てきてSNSで炎上最悪営業停止ですよ,「うちは気をつけてるから大丈夫」って思ってる経営者さんその油断が一番危険なんです,分かりますよ輪ゴムなんて小さいもんやしそこまで神経質にならんでもって思う気持ちも,でもほんまは日本のHACCP関連の公的資料でキッチン内に持ち込まないよう推奨されてるって知ってましたか？,異物混入事故の原因で輪ゴムやホチキスの芯って実はめちゃくちゃ多いんです,今日はなんで「小さな異物管理」が飲食店の信頼を守る鍵なのかをお伝えします,異物管理が甘い店と徹底してる店ではトラブル発生確率が10倍以上違うんです,よくあるのは一回も事故起きてへんから大丈夫って思ってたらある日突然起きるパターンですよね,正解は輪ゴム・ホチキス・クリップなど小さく飛散・落下しやすいものは一切持ち込まないことなんです,代わりにシリコン製のクリップや洗えるゴムバンドを使ってください,仕込み作業から提供まで全工程で異物混入リスクを排除する仕組みを作るんです,「輪ゴムぐらいで…」って思ってた人その考えがお店の信頼を危うくしてたかもしれませんよ,今日からキッチン内の輪ゴムを全廃して安全な代替品に切り替えてください,異物混入/衛生管理/HACCP対応
5,完了,2026-01-17,キッチン内ではアクション数を減らせ,現場運営,キッチン内の動作数・工程数が多すぎる,提供時間の遅れ・調理ミス・厨房内事故が頻発する,動線と調理工程を見直し無駄なアクションを1つでも削減する,キッチンの中ではとにかくアクションを減らさなあかん,「忙しい時は仕方ない」ってバタバタ動き回ることを当たり前にしてません？,調味料取りに行って冷蔵庫開けてまた戻って…1品作るのに何歩歩いてるか数えたことあります？,でもそれ「頑張ってる」んやなくて「効率が悪い」だけですよ,このままやと提供時間は遅くなるミスは増えるスタッフは疲弊する三重苦から抜け出せませんよ,「キッチンは忙しいもん」って諦めてる経営者さんその考えが利益を削ってるんです,分かりますよ毎日必死に回してるのに動線なんて考える余裕ないって気持ちも,でもほんまはアクション数を減らすだけで売上を落とさず労働時間を減らせるって知ってましたか？,動線がぐちゃぐちゃなキッチンで働かせてスタッフが辞めていった経験ありませんか？,今日はなんで「アクション数の削減」がキッチン改革の第一歩なのかをお伝えします,無駄な動きが多い店と動線が最適化された店では同じ料理でも提供時間が2倍違うんです,分かりやすく言うと料理は「技術」やなくて「工程設計」で決まるもんなんです,正解は調理工程を見直して省ける作業を1つでも見つけることなんです,よく使う調味料は手の届く範囲に冷蔵庫の開閉は最小限に動線を直線化する,1回の調理で歩く歩数を数えてそれを半分にする方法を考えてみてください,「今まで無駄に動いてた…」って気づいた人キッチンが劇的に変わりますよ,調理工程を見直して明日から1アクションでも減らすことから始めましょう,現場動線/キッチン設計/オペレーション効率
6,完了,2026-01-17,お通しカット有り？無し？,接客・サービス,お通しの扱いに関してルールが曖昧,お会計時のトラブルやクレームが発生する,お客様とのコミュニケーションを徹底しお通しの価値を明確に伝える,お通しカットは有り派ですか？無し派ですか？,「お通し文化は日本の伝統やから」って当たり前のように出してません？,「300円くらいやしみんな払ってくれるやろ」って説明もせずに出してません？,でもそれお客様との信頼関係を壊す地雷を毎回仕込んでるようなもんですよ,このままやとお会計時に「これ頼んでません」って揉めて口コミで悪評書かれますよ,「お通しでクレーム来たことないから大丈夫」って思ってる経営者さんそれ運が良かっただけかもしれません,分かりますよお通し代も大事な売上やしいちいち説明するのも面倒って気持ちも,でもほんまはお通しで揉める店って根本的にコミュニケーションが足りてないんですよ,お会計でモメるのってお通しがお金取れるクオリティやないか説明不足かのどっちかなんです,今日はなんで「お通しの明確化」がトラブル予防の第一歩なのかをお伝えします,お通しで揉める店とスムーズに受け入れられる店ではお客様の印象が全然違うんです,よく考えてみてくださいレストランで頼んでないものが出てきて後で請求されたら嫌な気持ちになりますよね？,正解はお客様としっかりコミュニケーションを取ることなんです,席に着いたら「本日のお通しは○○で○○円いただいております」と明確に伝えてください,カットOKなら「ご不要でしたらお申し付けください」と選択肢も提示するんです,「お通しでトラブるなんて…」って思ってた人実は伝え方で全部解決できますよ,お通しは「出すか出さないか」やなくて「どう伝えるか」が勝負です,接客品質/顧客コミュニケーション/クレーム予防
7,完了,2026-01-17,社長の仕事は「こなす」ではなく「積み上げる」,経営者哲学,日々の業務を「こなす」だけで未来への投資ができていない,現状維持で集客に時間が使えず競合に置いていかれる,未来の利益を作るために日々コツコツと積み上げる仕事に切り替える,「こなす」仕事から「積み上げる」仕事に切り替えた瞬間から社長業です,毎日目の前の仕事に追われて気づいたら1日が終わってません？,「今日も忙しかった」ってそれで満足してません？,でもそれ「経営」やなくて「作業」してるだけですよ,このままやといつまで経っても集客に時間が使えずジリ貧経営が続きますよ,「忙しくしてたら何とかなる」って思ってる経営者さんその考えが成長を止めてるんです,分かりますよ人手も足りひんし自分がやらな回らへんって焦る気持ちも,でもほんまは社長の本当の仕事は「今日の売上」やなくて「未来の利益」を作ることやって知ってましたか？,目の前の忙しさに追われて気づいたら1年経っても何も変わってない…そんな経験ありませんか？,今日はなんで「積み上げる仕事」への転換が経営者に必須なのかをお伝えします,こなす仕事ばかりの経営者と積み上げる時間を確保してる経営者では3年後の成長が雲泥の差なんです,分かりやすく言うと毎日水を汲んでる人と井戸を掘ってる人の違いみたいなもんです,正解はどこまで行ってもお店の一番の評価は「どれだけ利益を残したか」やと理解することなんです,目の前の仕事をこなしてるだけでは集客に時間が使えません,社長は未来の利益を今作るために日々コツコツと積み上げる仕事をしてください,「毎日忙しいのに成長しない…」って思ってた人仕事の質を変える時が来ましたよ,今日から1日1時間未来への投資の時間を確保してください。それが社長業の始まりです,経営者哲学/時間投資/長期視点経営
8,完了,2026-01-17,脳内優先順位が1位じゃないと存在してないのと同じ,ブランド設計,お客様の脳内で第一想起されるポジションにいない,選択肢にすら入らず来店機会を逃し続ける,そのジャンル・エリアで一番に名前が出るくらい本気で外部露出する,日本一高い山は富士山では二番目に高い山を答えられますか？,「うちは知る人ぞ知る隠れ家」って控えめなスタンスで満足してません？,「美味しければ口コミで広がる」って待ちの姿勢でいてません？,でもそれお客様の選択肢にすら入ってないってことですよ,このままやと「○○食べたい」って思った時にあなたの店は一生思い出してもらえませんよ,「派手な宣伝は性に合わない」って思ってる経営者さんその謙虚さが機会損失になってるんです,分かりますよ自分から「うちが一番」って言うのは恥ずかしいって気持ちも,でもほんまは脳内優先順位が1位やないと存在してないのと同じやって知ってましたか？,「○○なら絶対あの店」って思い出してもらえる店になってないと選ばれへんのです,今日はなんで「第一想起」を取ることが集客の本質なのかをお伝えします,2番手の店と1番手の店では同じ味でも来店頻度が5倍以上違うんです,例えるなら検索結果の1ページ目に出るか3ページ目に出るかの違いみたいなもんです,正解はそのジャンルそのエリアであなたのお店が一番最初に名前が出るくらい本気で外部露出することなんです,SNSでもGoogleマップでも「○○といえばこの店」ってポジションを取りにいってください,毎日発信し続けてお客様の脳内に「刷り込む」くらいの気持ちでやるんです,「控えめにやってた…」って気づいた人勝負に出る時が来ましたよ,1位を取りにいく。それが本気で経営してる証拠です,ブランディング/認知度向上/第一想起戦略
9,完了,2026-01-17,キッチン内でのタバコ,衛生・法務,キッチン内でタバコを吸っている,改正健康増進法違反で行政指導・罰則の対象となる,キッチン内での喫煙を完全禁止しルール化と喫煙場所の分離を徹底する,キッチン内でタバコ吸ってるお店それ違法ですよ,「ちょっと一服」ってキッチンの換気扇の下で吸ってません？,「昔からこうやってきた」って古い習慣を放置してません？,でもそれ改正健康増進法に完全に違反してる可能性が高いんですよ,このままやと行政指導が入って最悪罰則の対象になりますよ,「飲食店やから喫煙は仕方ない」って思ってる経営者さんそれ法律が変わったこと知らんのですか？,分かりますよ忙しい現場でスタッフの休憩場所を確保するのも大変やって気持ちも,でもほんまはキッチン内での喫煙は法的・衛生的リスクがめちゃくちゃ高いって知ってましたか？,食品衛生の観点からもタバコの灰や煙が食材に触れる環境は絶対にあかんのです,今日はなんで「キッチン内禁煙」が経営を守る必須条件なのかをお伝えします,禁煙ルールがない店と徹底してる店ではトラブル発生時のダメージが全然違うんです,よく考えてみてくださいお客様の料理を作る場所でタバコ吸ってるって知ったらどう思いますか？,正解はキッチン内での喫煙を完全禁止して別の場所に喫煙スペースを設けることなんです,お店を守る意味でも今日からルール化してスタッフ全員に周知してください,喫煙場所を分離して休憩時間にそこだけで吸えるようにするんです,「昔からの習慣やった…」って気づいた人今すぐルールを変えましょ,法令遵守は経営の大前提です。キッチン内禁煙を今日から徹底してください,法令遵守/衛生管理/リスクマネジメント
10,完了,2026-01-17,物の配置は常時・随時・一時に分ける,現場運営,物の配置に理論がなく雑然としている,作業効率が下がりキッチンが混乱する,全ての物を常時・随時・一時に分類し適切な距離に配置する,物の配置に理論のない店舗から潰れていきますよ,キッチンの物なんとなく「ここでええか」って置いてません？,使わん物もそのへんに置いたままどんどん雑然としてません？,でもそれ毎日何分もの無駄な動きを生んでるんですよ,このままやと物を探す時間取りに行く時間全部積み重なって大損失になりますよ,「キッチンなんてこんなもん」って諦めてる経営者さんその考えが効率を殺してるんです,分かりますよ毎日忙しくて整理する時間もないしとりあえず使えればええって気持ちも,でもほんまは物の配置を理論化するだけで作業効率が劇的に変わるって知ってましたか？,整理されたキッチンと雑然としたキッチンでは1日の疲労度が全然違うんです,今日はなんで「配置の理論化」がキッチン改革の基本なのかをお伝えします,配置がバラバラの店と理論的に整理された店では同じ料理でも作る速さが2倍違うんです,分かりやすく言うと常に使う物は手の届く範囲たまに使う物は数歩先滅多に使わない物は棚の奥これだけなんです,正解は全ての物を「常時・随時・一時」に分けることなんです,常時使う物は手の届く範囲随時使う物は1〜2歩で届く範囲一時的な物はバックヤードに振り分けてください,この動画を見終わったら一度キッチンを見渡して無駄がないか確認してみてください,「配置なんて考えたことなかった…」って気づいた人整理だけで世界が変わりますよ,今日からキッチンを見直して「常時・随時・一時」の3分類を始めましょう,現場整理/5S活動/作業効率化
