No,テーマ,シーン1,シーン2,シーン3,シーン4,シーン5,シーン6,シーン7,シーン8,シーン9,シーン10,シーン11,シーン12,シーン13,シーン14,シーン15,シーン16,シーン17,参考例ID
1,口コミで反論,口コミに反論してるオーナーさん、それ、自分で店潰してるようなもんやで。,事実とちゃうこと書かれたら、そらムカつくし、言い返したなるわな！,『いや、うちはそんなことしてません！』って、つい長文で説明してもうたりしてへん？,でもな、その反論、火に油を注いでるだけやで。誰も得せんわ。,それを続けたら、しまいには『あの店主、ヤバい』って噂だけが広がって、誰も来んようになるで。,ほんまは『店のこだわりを分かってほしい』だけやのに、気づいたらお客さんと戦ってへんか？,一生懸命やってるのに、なんでこんな書かれ方せなあかんねんって、悔しい気持ちめっちゃわかるで。,その怒りの裏にはな、『もっとうちの店を信じてや』っていう悲しい気持ちがあるんやろ。,そのプライドは大事や。でもな、口コミ欄はあんたの正しさを証明する場所ちゃうねん。,今から、アンチさえもファンに変えてまう、最強の返信術を教えるわ。,反論は1人の敵を作るけど、神対応は100人のファンを作るんや。,口コミ欄はリングちゃうで。みんなが見てる舞台や。そこでどう振る舞うかが、店の品格になるんや。,ええか、口コミは反論する場所ちゃう。誠実さを見せて、信頼を勝ち取る場所なんや。,まずは謝罪。次に事実確認の約束。そして改善策の提示。この3つだけ守ったらええ。,たとえ理不尽な内容でも、『貴重なご意見ありがとうございます』この一言で、店の器のデカさを見せつけんねん。,クレーム対応見てる周りのお客さんが、『この店、信頼できるな』って思ってくれたら、最高やん？,マイナスの声こそ、成長の種や。しっかり受け止めて、もっとええ店にしていこや。,googleマップの口コミ=顧客体験（小手先で上げれるものではない）;オーナーが現場に入る店 vs 入らない店　本当に利益が出てるのはどっち？;マクドナルドから真似すべき戦法;人が辞めないチームの作り方　給与より信じたくなる空気があるか;ゾーニング
2,客単価の上げ方,客単価の上げ方、ただの値上げやと思ってるんやったら、それ三流のやることですよ。,最近、材料費も高いし、もうちょい単価上げたいねんけどなぁ…って悩んでますよね。,とりあえず人気メニューを100円だけ値上げしてみるか、とかやってませんか？,それ、お客さんからしたらただの『負担増』でしかないから、一番やったらアカンやつです。,そのうち『あそこ、なんか高くなったな』って言われて、静かにお客さん離れていきますよ。,メニューごとの原価率とか、ちゃんと計算してるようで、実はどんぶり勘定になってません？,売上は欲しい、でもお客さんに嫌われたくない。その気持ち、めっちゃ分かりますわ。,ほんまは値上げするの、怖いんですよね？自分の商品に自信がないから、ちょっとだけ値段いじることしかできへん。,その不安な気持ちは正しい。でも、そのやり方やとジリ貧になるだけやで。,実は、お客さんが喜んでお金を払ってくれる『魔法の上げ方』があるんです。,ただの値上げは『奪う』行為やけど、価値を上げるのは『与える』行為なんですわ。,例えば、ただのハイボールやなくて、『うちでしか飲まれへん特別なハイボール』やったら、100円高くても頼むでしょ？,結論、客単価は『上げる』もんやなくて『上がる』もんなんです。価値を伝えさえすれば。,それは特別な食材かもしれんし、最高の接客かもしれん。お客さんが『うわ、すごい』って思う体験のことですわ。,まずは今のメニューにプラスアルファの価値を乗せられへんか考えてみて。セットメニューとか、限定トッピングとかね。,お客さんに『これなら高くてもええわ』って、納得して気持ちよくお金払ってもらいたくないですか？,目先の数字をいじるんはもうやめましょう。お客さんへの価値提供、そこから見直してみてください。,googleマップの口コミ=顧客体験（小手先で上げれるものではない）;オーナーが現場に入る店 vs 入らない店　本当に利益が出てるのはどっち？;マクドナルドから真似すべき戦法;人が辞めないチームの作り方　給与より信じたくなる空気があるか;ゾーニング
3,低単価のお店が勝つ方法,結局、安いお店は強いねん。でもな、ただ安いだけのお店は真っ先に潰れんで。,「うちは安さしかウリがないし…」って、内心ヒヤヒヤしながら営業してへん？,周りが値下げしたら、焦って自分とこも値段下げたり、無理なサービス始めたりしてへんか？,それ、自分の首絞めてるだけやで。体力勝負になったら大手には絶対勝たれへんねん。,そのまやと、気づいた時には利益ゼロ。ただ忙しいだけで常連さんもおらん店になってまうで。,ほんまは『安さ』以外の価値で勝負したいって、ずっと思ってるんちゃう？,でも、今さら値上げもできひんし、どうしたらええか分からんのやんな。めっちゃ分かるで、その気持ち。,「安くて良い店」って言われるんは嬉しいけど、その裏で経営がカツカツなんは、もうしんどいやろ。,その気持ち、痛いほど分かる。でもな、お客さんの善意に甘え続けるわけにはいかんのやで。,今日は、安くてもちゃんと利益を出せる店の『カラクリ』を話しますわ。,ただの安い定食屋と、マクドナルド、何が違うと思う？利益の出し方が全然ちゃうねん。,300円の牛丼で勝負するんやなくて、お客さんが気づいたら1000円使ってくれてる、そんな仕組みが大事なんや。,低単価で勝つ秘訣は『値上げ』やない。『客単価の上げ方』を変えることや。,メインの安い商品はあくまで入口。利益率の高いサイドメニューとかドリンクをセットで頼んでもらう流れを作るんや。,お客さんが使える金額の中で『ちょっとええもん』を選べる選択肢を用意する。松竹梅の『竹』を売るイメージやな。,安くてもしっかり利益が残って、お客さんにも満足してもらえる。そんな理想の店、作りたいやんな？,お客さんの財布事情を意識できひん店からは人が離れるだけ。賢く儲ける仕組みを作ったもんが勝つんやで。,googleマップの口コミ=顧客体験（小手先で上げれるものではない）;オーナーが現場に入る店 vs 入らない店　本当に利益が出てるのはどっち？;マクドナルドから真似すべき戦法;人が辞めないチームの作り方　給与より信じたくなる空気があるか;ゾーニング
4,許認可・手続き一覧（これは台本構成無視でOKです）,煩わしい開業前の手続き、順番間違えたら全部水の泡やで！,保健所？消防署？警察署？どこに何出したらええねん…って頭パンクしてへん？,とりあえずネットで調べて、出てきたやつから手当たり次第にやってしまってるやろ。,そのやり方、一番時間と金をムダにする典型的なパターンやからな？,一個でも書類が漏れてたら、オープンの日にシャッター開けられへん…なんて笑えへん事態になるで。,ほんまは料理とか内装とか、もっとワクワクすることに時間使いたいんちゃうん？,役所の言葉って難しすぎて、何回も電話して聞き直したり、たらい回しにされたり…もうウンザリしますよね。,「なんで俺がこんなことまで…」って、自分の店作る夢が、ただの事務作業に思えてきて虚しなってくるよな。,その気持ち、痛いほどわかる。でもな、誰も代わりにやってくれへんのが現実やねん。,でも大丈夫。これだけは絶対押さえとけっていう『開業手続きの最短ルート』、今から話すわ。,手探りでやるのがジャングルをコンパス無しで進むようなもんやとしたら、今から話すのは舗装された高速道路みたいなもんや。,家建てる時かて、基礎工事からやるやろ？飲食店の開業も順番が命。保健所の許可が下りてへんのに、内装工事進めても意味ないねん。,結論、手続きは『保健所』と『消防署』、この2つを最優先で動くんや。,内装工事を始める前に、まず図面持ってこの2つに相談せなアカン。ここでOKもらえへんと、工事したもん全部壊してやり直しになるからな。,まずは自分の店の管轄の保健所と消防署に電話一本入れて、『飲食店やりたいんですけど』ってアポ取るとこから始めてみて。,わけわからん書類の山にウンザリする前に、やるべきことスッキリさせたいですやん？,全部覚えんでええ。まずは保健所と消防署。夢の城、手続きミスで崩さんようにしよし。,googleマップの口コミ=顧客体験（小手先で上げれるものではない）;オーナーが現場に入る店 vs 入らない店　本当に利益が出てるのはどっち？;マクドナルドから真似すべき戦法;人が辞めないチームの作り方　給与より信じたくなる空気があるか;ゾーニング
5,賄いは税金がかかる,お店の賄い、無料で出してたらそれ脱税かもしれんで！「知らんかった」じゃ済まされへんからな！,「スタッフ頑張ってくれてるし、賄いくらいタダでええやん」って、その気持ちはめっちゃわかるで。,でも結局、帳簿にもつけんと「今日の余りもん食べとき〜」って感じでなあなあにしてへん？,その優しさが、税務署から見たら「給与」扱いされて、ガッツリ課税対象になるんやで。,ある日突然、税務調査で過去5年分さかのぼられて、追徴課税ドカン！なんて目も当てられへんことになるで。,「うちは小さい店やからバレへんやろ」って、心のどっかで思てたら、それが一番危ないんや。,賄い有料にしたらスタッフのやる気下がるんちゃうか…って、お金のことやから言い出しにくいよな。,ほんまはちゃんとしたいけど、ケチやと思われたくないし、波風立てたくないってのが本音やろ？,でもな、そのなあなあが店を潰す原因になるんや。知らんままは、経営者として失格やで。,大丈夫。ちゃんとスタッフに感謝も伝わって、しかも合法的に非課税にできるルールがあるから教えるわ。,知らずにビクビク脱税するのと、ルール通り堂々と福利厚生にするの、どっちがええに決まってるやろ？,交通ルール知らんかった言うて赤信号無視したらアカンやろ？税金もそれと全く一緒やねん。,賄いを非課税にする方法は、たった2つの条件をどっちかクリアするだけや。,まず一つは、スタッフが賄い代の半分以上を負担すること。,"もう一つは、お店の負担額がスタッフ1人あたり月3,500円以下であること。これだけや。",「え、それだけでええんや」って安心せえへん？ルールを知れば、何も怖いことなんてないんよ。,「有料にしたらスタッフ辞める」はただの言い訳や。ちゃんとルール守って、胸張れる店にしましょ。,googleマップの口コミ=顧客体験（小手先で上げれるものではない）;オーナーが現場に入る店 vs 入らない店　本当に利益が出てるのはどっち？;マクドナルドから真似すべき戦法;人が辞めないチームの作り方　給与より信じたくなる空気があるか;ゾーニング
6,自分の「やりたい」と、お店の「繁盛」は別物,やりたいことやってるうちは、一生人気店にはなれません！,「俺のこだわり、わかってくれる客だけ来たらええねん」って、心のどっかで思てませんか？,自分が好きなマニアックなメニューを並べたり、趣味全開の内装にしたり…心当たりありますよね？,それ、お客さんからしたら、ただの「店主の自己満」かもしれへんで。,そのまやと、気づいた頃にはお客さんが離れて、独りよがりの店になって静かに終わっていくだけや。,「でも、このこだわりだけは譲られへん…」って今、首を縦に振ったんちゃいます？,自分の「好き」を形にしたい、自分の城を持ちたいって気持ち、痛いほどわかります。それが原動力やもんな。,でもほんまは「このこだわり、お客さんにちゃんと伝わってるんかな？」って、夜中に不安になったりせえへん？,その情熱はホンマに宝物や。でも、お客さんが求めてへんかったら、ただの趣味で終わってまうで。,これから、あなたのその「やりたいこと」を「売れること」に変える、たった一つの考え方を話しますわ。,芸術家は自分の作品を売るけど、うちら商売人はお客さんの「欲しい」を売るんや。,誰も通らへん道で最高の歌をうたっても、誰の心にも響かへんのと一緒やねん。,繁盛店は「自分のやりたいこと」を「お客様が求める形」に翻訳してるだけなんですわ。,例えば、こだわりのコーヒー豆も「仕事前にシャキッとしたい人向け」って伝えるだけで、お客さんのための商品に変わるやろ？,あなたのこだわりは一旦横に置いといて、「お客さんがこの店に何を求めてるか」を考えてみて。,自分の「好き」が、お客さんの「嬉しい！」に変わる瞬間、想像しただけでワクワクしませんか？,あなたのお店、お客さんにとって「使いづらいこだわり」になってへん？「あって良かった」と言われる店、作っていきましょ。,googleマップの口コミ=顧客体験（小手先で上げれるものではない）;オーナーが現場に入る店 vs 入らない店　本当に利益が出てるのはどっち？;マクドナルドから真似すべき戦法;人が辞めないチームの作り方　給与より信じたくなる空気があるか;ゾーニング
7,初期回収・返済など,投資回収期間も答えられへん経営者さん、それギャンブルと一緒やで！,毎日の売上に必死で、いつ元が取れるかなんて考える余裕ないわ…ってなってへん？,『まあ、なんとかなるやろ』って、どんぶり勘定で返済計画立ててたりしてへんよな？,その『なんとなく』が一番アカンねん。それ経営ちゃう、ただの願望や。,そのまやと、気づいた時には資金ショート寸前。追加融資も断られて、大事な店を畳むことになるで。,ほんまはちゃんと計算せなあかんて分かってる。でも、数字見るの苦手やし、正直ちょっと怖いんやろ？,ええ店作ってお客様に喜んでもらいたい。でも、お金の不安がずっと頭の片隅から離れへんのちゃう？,『いつになったら楽になんねやろ…』って、寝る前に天井見ながらため息ついてるん、知ってるで。,その気持ち、痛いほどわかるわ。でもな、見て見ぬフリしてる間にも、時間はどんどん過ぎていくだけやで。,でも大丈夫。今日はその不安を『見える化』して、希望に変えるための、めっちゃ簡単な計算式を教えるわ。,これを知ってるかどうかで、ゴールのないマラソンが、ちゃんとゴールテープのあるレースに変わんねん。,車の運転で言うたら、目的地も決めんとガソリンメーターも見んと走ってるようなもんや。そらガス欠するに決まってるやんか。,答えはシンプルや。投資回収期間は『初期投資額 ÷ 年間の利益』。これだけ覚えといて。,年間の利益ってのは、売上から原価も人件費も家賃もぜーんぶ引いて、最後に手元に残るお金のことな。,この数字がもし10年以上やったら計画が甘い証拠や。すぐに利益率か集客の方法を見直さなあかんサインやで。,自分の店の健康状態が数字でハッキリわかったら、漠然とした不安も消えて、次の一手が打ちやすくなるやろ？,感覚での経営はもう終わりや。ちゃんと数字で計画立てて、最短で黒字化する道筋、今すぐ描き始めよ！,googleマップの口コミ=顧客体験（小手先で上げれるものではない）;オーナーが現場に入る店 vs 入らない店　本当に利益が出てるのはどっち？;マクドナルドから真似すべき戦法;人が辞めないチームの作り方　給与より信じたくなる空気があるか;ゾーニング
8,融資における最大額と自己資金,自己資金なんぼあったらええねん問題、今日で終わらせます。結論、ないと話になりません！,ええビジネスプランあんのに、自己資金がネックや…って頭抱えてませんか？,とりあえず立派な事業計画書だけ作って、金融機関に乗り込もうとしてへん？,その計画書、自己資金の欄がスカスカやったら、中身読んでもらえもせんで。,結局、門前払いをくらって時間だけ無駄にして、開業の夢もどんどん遠のいていくだけやで。,「誰かが出してくれるやろ」とか「熱意でなんとかなる」って、心のどっかで甘えてませんでした？,はよ自分の店持ちたい、その焦る気持ちは痛いほどわかります。,でもほんまは、お金の話って難しくて、誰に相談したらええかわからんのが本音ちゃいます？,その気持ちはわかるけどな、お店への本気度を示すんは情熱やのうて、まず通帳の数字やねん。,じゃあ具体的に、いくら貯めたら銀行が『こいつ本気やな』って見てくれるんか、話しますわ。,自己資金って、マラソンでいう最初の体力みたいなもん。ゼロやったらスタートラインにすら立てへんのよ。,例えば1000万借りたいのに貯金10万やったら、「この人、計画性ないな」って思われて終わりやん？,融資で絶対に見られるんは、あなたの『覚悟』です。その覚悟を形で示すんが自己資金なんや。,金融機関は、あなたがどれだけリスクを背負う覚悟があるかを見てる。それが通帳に表れるんや。,まず目指すは、融資希望額の3分の1。これがあって初めて、交渉のテーブルにつけると思ってください。,「3分の1か…遠いな」って思うかもしれん。でも、それがあなたの夢への本気度の証明になるんです。,どれだけ熱いロマンを語っても、最後に見られるんは事業の実現性。そろばん弾いて、夢を現実にしましょ。,googleマップの口コミ=顧客体験（小手先で上げれるものではない）;オーナーが現場に入る店 vs 入らない店　本当に利益が出てるのはどっち？;マクドナルドから真似すべき戦法;人が辞めないチームの作り方　給与より信じたくなる空気があるか;ゾーニング
9,飲食店経営者におすすめのメディア（SNS・本）,忙しいを言い訳に情報収集してへん店、正直もう終わりですよ。,毎日仕込みと営業でヘトヘトやのに、勉強する時間なんかないわ…って思てません？,たまにネットで話題の記事をチラ見するくらいで、インプットした気になってへん？,それ、情報収集やなくてただの暇つぶしやからな？,気づいた頃には周りのお店に置いていかれて、お客さんも静かに離れていくだけやで。,本当はもっと勉強せなあかんって、心のどこかで焦ってるんちゃいます？,でも、どの情報がホンマに役立つんか分からんし、SNSも本も多すぎて選ばれへんのよな。,時間もお金も無駄にしたくないから、結局何もできずに一日が終わってしまう…。,その気持ち、痛いほどわかる。でもな、その間にライバル店はどんどん先に進んでるで。,今日は僕が現場でホンマに役立った情報源だけを、こっそり教えますわ。,自己流で走り続ける店と、巨人の肩に乗る店とでは、見える景色が全然ちゃうねん。,ええレシピ本もなしに、勘だけで毎日最高の料理作れって言われてるようなもんやで、今の状態は。,結論、インプットは『専門誌』と『信頼できる個人の発信』この2つだけでええ。,雑誌なら『飲食店経営』『月刊食堂』『近代食堂』。この3冊はガチで現場のヒントが詰まってる。,SNSは情報の海やから、信頼できる人を一人見つけるのが近道。手前味噌やけど、僕の発信もその一つやと思ってくれてええで。,これなら忙しい合間でも、明日からすぐ始められそうやろ？,インプットを止めたら経営者として終わりやで。まずは僕の過去の投稿、全部見返してみて。そこに答えあるから。,googleマップの口コミ=顧客体験（小手先で上げれるものではない）;オーナーが現場に入る店 vs 入らない店　本当に利益が出てるのはどっち？;マクドナルドから真似すべき戦法;人が辞めないチームの作り方　給与より信じたくなる空気があるか;ゾーニング
10,肉を洗ってはいけない,良かれと思ってお肉洗ってる店、食中毒まっしぐらですよ？,「え、洗った方がキレイになるやん？」って、本気で思てません？,シンクで鶏肉ジャブジャブ洗って、その水しぶきが周りに飛び散ってる…ようある光景やけど、それ一番アカンやつです。,それ、キレイにしてるんとちゃう。菌を店中にばら撒いてるだけやからな？,もしお客さんから食中毒が出たら、営業停止どころか、一発で信用なくして廃業やで。,「うちは大丈夫」って思ってるかもしれんけど、その根拠、ちゃんと説明できますか？,お客さんに安全で美味しいもん食べさせたい、その気持ちは痛いほどわかるで。,でもその『良かれと思って』が、一番危ない落とし穴になってるかもしれへんねん。,知らんかったんはしゃーない。でもプロとして「知らんかった」では、お客さんの健康は守られへんのやで。,なんで肉を洗うのがアカンのか、そのほんまの理由、ちゃんと話しますわ。,まな板を毎回きっちり消毒するんは当たり前やん？肉を洗うんは、その消毒したまな板にわざわざ菌を塗り広げてるようなもんやねん。,カンピロバクター菌とかは目に見えへん。水しぶきと一緒に、シンク周りに飛び散る。見えへん時限爆弾みたいなもんやで。,結論、生の肉は絶対に洗わんこと。加熱すれば菌はちゃんと死ぬんやから。,肉のドリップが気になるんやったら、キッチンペーパーで優しく拭き取るだけでええ。それで十分や。,一番ええのは、もう一回保健所に行って衛生管理の基本を学び直すこと。それが自分と店を守る一番の近道や。,「まさか自分が…」ってヒヤッとしたやろ？この知識ひとつで、お店もお客さんも守れるんやったら、安いもんやんか。,飲食店営業許可書は「お店やっていいよー」やない。安全に食事を提供できることへの『信頼の証』やからな。,googleマップの口コミ=顧客体験（小手先で上げれるものではない）;オーナーが現場に入る店 vs 入らない店　本当に利益が出てるのはどっち？;マクドナルドから真似すべき戦法;人が辞めないチームの作り方　給与より信じたくなる空気があるか;ゾーニング
