No,1,2,3,4,5,6,7,8,9,10,11
テーマ,口コミで反論,客単価の上げ方,低単価のお店が勝つ方法,許認可・手続き一覧（これは台本構成無視でOKです）,賄いは税金がかかる,自分の「やりたい」と、お店の「繁盛」は別物,初期回収・返済など,融資における最大額と自己資金,飲食店経営者におすすめのメディア（SNS・本）,肉を洗ってはいけない,人件費の下げ方
シーン1,口コミにカチンときて反論したことあるオーナーさん、それ、自分で自分の店の評判、潰してますよ。,客単価の上げ方、ただの値上げやと思ってるんやったら、正直言って三流やで。,結局、安い店は強いねん。でもな、ただ安いだけやったら一瞬で潰れるで。,開業手続き、全部覚えんでええ！でも一個でも抜けたら即営業停止、そんな地雷踏んでませんか？,そのまかない、脱税かも。「知らんかった」じゃ済まされへんで。,やりたいことやってるうちは、一生人気店にはなれませんで。,投資回収期間、パッと答えられへん経営者さん、まさかおらへんですよね？,自己資金ゼロで融資？そんな甘い話、あるわけないでしょ！,忙しいを言い訳にして、学ぶのやめてる店、正直ヤバない？,え、まさかお店でお肉、洗ってませんよね？それ、食中毒まっしぐらの危険行為ですよ。,めんどくさっ！て思うオペレーション、いつまで残しとくんですか？
シーン2,事実とちゃうこと書かれて、ほんま腹立ちますよね。なんでやねん！ってなりますやん。,「お客さん離れたらどうしよ…」って、夜な夜なメニューとにらめっこしてへん？,「安さ」でしか勝負できひん…って、内心めっちゃ焦ってへん？,保健所、消防署、警察署…あっちこっち走り回って、もう何が何やら分からんようになってません？,スタッフのために、ええもん食べさせてあげたい…その気持ち、めっちゃわかります。,「自分の城やし、好きなことやりたい」って、その気持ち、めっちゃわかります。,毎月の返済日が近づくたびに、胃がキリキリ…そんな毎日になってませんか？,「結局、自己資金なんぼあったらええねん…」って、ネットの情報に振り回されて頭抱えてません？,毎日ヘトヘトで、SNS見る時間もないわ…って、ため息ついてません？,お客様のためにキレイにしてるつもり…その善意が、一番危ないって気づいてますか？,「また今月も人件費が…」って、給料日前にため息ついてません？
シーン3,その勢いで『いや、うちはこうです！』って、つい正論で言い返してしまってません？,とりあえず一番出るメニューを100円だけ上げてみたり、そっとセットメニュー作ったり…小手先でごまかしてへんか？,必死で原価削って、自分の休みも削って、なんとか値段を維持してるんとちゃう？,ネットで拾ったリスト見て、『これで完璧や』って安心しきってません？,『まかないは福利厚生やから無料が当たり前』って、心のどこかで思てません？,「わかる人にはわかるはずや」って、自分がええと思うもん、どんどんメニューに入れてません？,目の前の売上ばっかり追いかけて、肝心要の返済計画は後回しにしてません？,見栄張って「なんとかなる」って言い聞かせたり、親から借りて「見せ金」作ろうとか考えてたりしませんか？,たまにネットで流れてくる情報だけ見て、勉強した気になってません？,シンクで鶏肉をジャブジャブ…その飛び散った水滴、周りの食材に菌をばら撒いてるんです。,とりあえずシフト削ったり、少ない人数で無理やり回したりして、現場がギスギスしてません？
シーン4,とはいえ、お客さんから見たらただの言い訳。完全に逆効果なんですわ。,とは言え、そのやり方はビクビク値上げや。お客さんにもその不安、バレてるで。,ぶっちゃけ、ただの消耗戦や。お客さんのためにも、自分のためにもなってへんで。,ほんまな、めっちゃ危ないですよ。あなたの店、そのリストでほんまに大丈夫です？,実務上は、税務署から見たら給料と同じ『現物給与』扱いになるんですわ。,とはいえ、お客さんからしたら「知らんがな」かもしれへんで。,とはいえ、ゴールが見えへんマラソンを、目隠しで走ってるようなもんですよ。,率直に言うと、全部バレます。一番やったらアカンやつです。,ほんまな、ただの気休め。知識やなくて、ただの雑音やで。,違うんです、洗浄ちゃいます。ただの『カンピロバクター拡散作業』になってますよ。,とはいえ、それは人件費削減やない。ただの現場崩壊への第一歩やで。
シーン5,このままやと、『器の小さい店』ってレッテル貼られたら、もう誰も来てくれへんようになりますよ。,このまま続けたら、利益は雀の涙。忙しいだけで心も財布もすり減って、店の価値も上がらんまま終わってまうで。,このままやと、忙しいだけで利益はゼロ。気づいたら心も体もボロボロで閉店やで。,そのままやと、取れてませんね』って言われて、シャッター閉めることになったら…目も当てられへんで。,このまま放置すると、ある日突然の税務調査でごっそり追徴課税…笑えへん未来が待ってますよ。,このままやと、こだわりだけが虚しく残って、お客さんの足はどんどん遠のいていきますよ。,このままだと、働いても働いても借金が減らん…利益ゼロの地獄ループにハマります。,このままやと、熱意だけ空回りして、融資担当者から冷たい目で見られて門前払い。夢のスタートラインにも立てませんよ。,そのままやと、周りは進化してるのに自分だけ取り残されて、気づいた時にはお客さん、静かに離れていきますよ。,このまま続けたら、たった一人の食中毒でお店の信用はゼロに。営業停止どころか、廃業もありえます。,このままでは、ええスタッフから辞めていって、店の評判も味もガタ落ち。最悪、店じまいですよ。
シーン6,正直なところ、後味悪いだけや。,ほんまは、心のどっかで思ってるんちゃう？,実のところ、お客さんが離れるんが怖くて言われへんのやろ？,内心では、なんとかなるやろ』って心のどっかで思ってません？その油断が一番怖いんですわ。,正直、ちょっと甘く見てません？,正直、ちょっと焦ってますよね？,正直なところ、なんとかなるやろ」って口では言うてますけど、ほんまは夜も眠れへんくらい不安でしょ？,本音を言えば、お守りみたいな安心材料が欲しいだけなんですよね。,内心では、ほんまは今のやり方に限界感じてますよね？,正直、保健所の抜き打ち検査、ほんまに100%自信あります？,正直、無駄な作業をなくしたいって心の底では思ってますよね？
シーン7,一生懸命やってるのに、なんで心ない一言で評価されなあかんねん…って、悔しい気持ちでいっぱいですよね。,でも、その価値をどう値段にのせたらええか分からんのやろ？,「安さ」以外に何で勝負したらええんか、もう分からんようになってるんちゃうか。,ほんまは書類仕事なんかより、メニュー開発とか内装とか、もっとワクワクすることに時間使いたいんですよね。,スタッフのモチベーション下げたくないし、お金取るのも気まずい…って悩みますよね。,こだわりを捨てるのはイヤやけど、店がヒマなのも耐えられへん…その板挟み、しんどいですよね。,「一体いつになったら、このプレッシャーから解放されんねん…」って、内心焦ってますよね。,どんだけ熱い想いがあっても、お金の話になると急に不安になる気持ち、めっちゃ分かりますわ。,手っ取り早く、今の自分の店に効く情報だけが欲しい。そう思ってるんちゃいます？,忙しいし、衛生管理の基本なんて今さら誰にも聞かれへん…って内心、焦ってますよね。,「この仕込み、もっと楽にならんかな…」って毎日感じてるその気持ち、めっちゃ分かります。
シーン8,自分の店を否定された気がして、自分自身が攻撃されたみたいに感じてしまう。その気持ち、痛いほど分かります。,値上げはしたい。でも嫌われたくない。その板挟み、めっちゃしんどいよな。,自分の料理の価値を、自分で下げてしもてるみたいで、ほんまは悔しいよな。,『誰か代わりにやってくれへんかな…』ってのが本音でしょ。僕もそうでしたから。,その優しさと、いつバレるかわからん不安の板挟み、ほんまはしんどくないですか？,お客さんが来んのは、自分のセンスが全否定されてるみたいで、ほんまは悔しいんちゃいます？,ほんまは、お金の心配なんか忘れて、もっとええ料理とかサービスに集中したいんですよね？,心の奥底では「自分の覚悟、安く見られたない」って思ってるんちゃいます？,でも、情報が多すぎて何が正解か分からんし、失敗するのも怖い。それが本音でしょ？,『知らんかった』では済まされへんプレッシャー、ほんまはめちゃくちゃしんどいんとちゃいますか？,でも「昔からのやり方やし…」って、変えること自体が億劫になってるんちゃいます？
シーン9,きつい言い方になるけど、その感情でお客さんと戦ったら、経営者としては三流ですわ。,あえて言うけど、自分の首絞めてるって気づかなあかんで。,あえて断言するけど、お客さんの財布を無視した安売りは、ただの自己満足やで。,ちょっと耳痛いけど、痛いほど分かります。でも、知らんかったでは済まされへんのが経営者の世界なんです。,結局のところ、店とスタッフを危険に晒してるって気づかなあきません。,あえて厳しく言うと、めっちゃ大事です。でも、それにお金払うんは、あなたやなくてお客さんなんです。,厳しめに言うけど、一生楽にはなれへんのです。,断っておくけど、情熱だけじゃなくて、通帳の数字で覚悟を見せる場なんです。,ちょっと耳痛いけど、痛いほど分かります。でも、学ぶのをやめた瞬間から、店の成長は止まるんです。,聞いてな、その『自己流の常識』がお客様を危険に晒す一番の原因になるんです。,きつい言い方になるけど、その無駄を放置した店から静かに沈んでいくんです。
シーン10,じゃあここから本題や。マイナスの口コミこそ、お店の信頼を爆上げする最大のチャンスなんです。,ここからが勝負や。お客さんが「この値段でも安いくらいや！」って喜んでくれる、ほんまの客単価の上げ方、教えたるわ。,さて、具体に入るで。安くてもちゃんと利益出して、お客さんに『また来たい！』って愛される店の作り方、教えたるわ。,さあ、次いくで。山ほどある手続きの中から『これだけは絶対押さえとけ』っていう最重要ポイントを凝縮してお伝えします。,まずは一緒に進めよか。国が認めたルールがあるんです。,ほな本題や。あなたの『やりたいこと』と、お店の『繁盛』を両立させる、たった一つの考え方をお伝えします。,ここから巻き返すで。その終わりの見えへん不安を、具体的な希望に変える方法、しっかり教えますわ。,次に、具体的な話をするで。銀行が「この人になら安心して貸せる」って思う、自己資金のリアルな話をしますわ。,さあ、次いくで。忙しい経営者のために、僕がガチで読んでるメディアだけを厳選してお伝えします。,ここから一緒に進めよか。意外と知られてないけど、命に関わる衛生管理の基本をちゃんとお伝えします。,さて、本題に入ろか。人を削るんやなくて、仕組みで人件費を最適化する、ほんまのやり方お伝えしますわ。
シーン11,反論でファンを失う店と、神対応でファンを増やす店。その差は紙一重です。,値段だけ上げる店と、価値を上げて結果的に値段が上がる店。未来は雲泥の差やで。,ただ安いだけの店と、『この値段でこれ！？』って感動される店。目指すんは後者やろ。,手続きをただの作業と見る店と、店を守る盾と見る店。スタート地点で天と地ほどの差がつきます。,知らずにビクビクする経営と、知って堂々とする経営。天と地ほどの差が出ます。,作り手が主役の店と、お客さんが主役の店。1年後、笑ってるのはどっちやと思います？,計画のない経営はただのギャンブル。計画があれば、それはちゃんとした事業なんです。,夢を語るだけの計画書と、コツコツ貯めた自己資金で裏付けされた計画書。信頼度は天と地ほどの差があります。,自己流で走り続ける店と、巨人の肩に乗る店。1年後の売上、天と地ほど差がつきますよ。,正しい知識がある店とない店では、お客様が負うリスクが天国と地獄ほどちゃいます。,根性論で疲弊していく店と、仕組みで楽して儲かる店。あなたはどっちの未来を選びますか？
シーン12,口コミ欄は、言い合う法廷ちゃいます。お店の姿勢を見せるための舞台なんですわ。,ただの「唐揚げ」を「秘伝のタレで3日漬け込んだ、やみつき鶏カラ」って言うだけで、価値って変わるやろ？そういうことや。,100円ショップが強いんは、100円っていう『市場』を自分で作って、その中で王様になってるからやねん。,開業手続きって、家の土台作りと一緒。見えへんけど、ここがグラついたら全部一瞬で崩れますからね。,これって交通ルール知らんと車運転してるようなもん。いつか事故るに決まってますやん。,どんなに最高の曲を作っても、誰も聴いてくれへんかったら、ただの鼻歌と一緒なんです。,投資回収計画って、カーナビと一緒。ゴールが分からんと、今どこ走ってるかも分からんようになります。,自己資金って、マラソンのためのトレーニングみたいなもん。本気度を示す一番分かりやすい証拠なんですわ。,情報収集って、店の『健康診断』みたいなもんやねん。定期的にやらんと、気づかんうちに病気になってまっせ。,肉をシンクで洗うんは、火事の現場で扇風機まわすようなもん。善意で被害を拡大させてるだけなんです。,今のやり方って、穴の空いたバケツで水を運んでるようなもん。大事なんは水を増やすことやなくて、まず穴を塞ぐことです。
