No,テーマ,シーン1,シーン2,シーン3,シーン4,シーン5,シーン6,シーン7,シーン8,シーン9,シーン10,シーン11,シーン12,シーン13,シーン14,シーン15,シーン16,シーン17,参考例ID
1,ネタメモ：キッチン志望はホールから,ほんまのプロの料理人になりたいなら、絶対ホールから経験すべきです。,キッチン志望の子に「ホールもやって」って言うたら、やる気なくすんちゃうかな…って心配してませんか？,本人の希望やからって、すぐ厨房に入れて、ひたすら仕込みばっかりやらせてません？,それ、一番成長を遅らせる育て方ですよ。,そのままやと、お客様の顔が見えへん、ただの“作業がうまい人”になって、いつまで経っても売れる料理は作れません。,「はよ技術覚えさせてあげたい」っていう親心はわかるんです。でもそのせいで、作った料理がどう食べられてるか知らんままの子、育ててません？,僕も昔は、職人は厨房におるべきやと思ってました。気持ちは痛いほどわかります。,でも心のどこかで「ホールは料理より下」みたいな古い考え、ありませんでした？,その考えが、未来のエースの可能性を潰してるかもしれへん。ほんまに育てたいなら、厳しいことも言わなあきませんよ。,この後、なんでホール経験が最強の料理人を育てるのか、その理由を具体的にお伝えします。,お客様の顔を知らん料理人と、知ってる料理人。5年後、どっちがお店に利益をもたらしてると思いますか？,ホールを知らん料理人は、お客さんの顔を見んとラブレター書いてるようなもん。誰に届けたいんか、わからんのです。,結論、お客様の気持ちも分からん人間が、大した料理を作れるわけがないんです。,ホールに立つと①お客様の反応が直に見れる、②売れる・残される理由がわかる、③サービスの視点が身につく。この3つがデカいんです。,まずは週に1日、1時間でもええ。ホールに出て「今日のおすすめ、僕が仕込んだんです！」って言わせてみてください。,一見遠回りに見えて、これがお客様に愛される料理人になるための一番の近道なんです。,普段キッチンに篭ってるスタッフがおるなら、明日からホールに出てお客様と会話させてみてください。,Google口コミ＝QSC＋店舗内研修;ロードサイド型店舗の生き残り戦略;求人が来ない理由とブランドイメージの関連性;POSレジの紹介;繁盛店＝「良さげな店」ではなく勝ちパターンを持ってる店
2,ネタメモ：1卓あたりのオーダーの時間（モバイルオーダー）,オーダー聞きに行く時間、ホンマに勿体無いわぁ。それ、店の利益削ってますよ。,でも「お客さんとの会話も大事やし…」って、なかなか変えられへんのですよね。,お客さんに呼ばれたら、他の作業を全部止めて飛んで行ってませんか？,それ、実はやらんでもええ仕事なんです。,その時間でドリンク提供が遅れたり、他の席の対応が疎かになったり…結局、店全体の回転率を下げてしまってますよ。,「ウチみたいな小さい店には関係ないわ」とか「機械はなんか冷たいし…」って、心のどこかで思ってません？,お客さんとのコミュニケーションを大事にしたいその気持ち、めっちゃわかります。,でも本音では、ピークタイムのオーダー対応、めちゃくちゃしんどい時ありますやん。,そのこだわりが、実はスタッフの負担を増やして、店の成長を止めてるかもしれへんのです。,今から、そのオーダー時間をゼロにして、売上を上げるための時間に使う方法、具体的にお伝えしますね。,オーダー取るのに必死なスタッフと、お客さんの満足度を上げる会話に時間を使えるスタッフ。どっちがええですか？,オーダー取る作業って、ただの伝言ゲームみたいなもん。その時間を、もっと美味しい食べ方の提案とかに使った方が絶対ええでしょ。,結論、モバイルオーダーを賢く導入することです。,これでオーダーミスは無くなるし、スタッフはドリンク提供や料理の説明に集中できる。結果、客単価も満足度も上がるんです。,やることはシンプル。QRコードを各テーブルに置くだけ。まずは無料トライアルがあるやつから試してみたらええんです。,最初は抵抗あるかもしれん。でも、スタッフが笑顔で働ける時間が増えるのを想像してみてください。,顧客の満足を上げるのはオーダーを取る時だけちゃいます。今すぐ、お店の無駄な時間を洗い出してみましょ。,オーナーが現場に入る店 vs 入らない店　本当に利益が出てるのはどっち？;リピーター比率＝再訪人数÷来店延人数で算出　SNSが生きる最低条件を可視化　改善策（商品・接客・体験設計）;求人が来ない理由とブランドイメージの関連性;AI×飲食　ChatGPTでできる3つの時短;飲食経営に感情は要るのか？やりがいだけでは勝てない時代
3,ネタメモ：成功に法則性はないが、失敗には法則性がある,成功には法則ないけど、失敗には法則があるって知ってました？,「なんでウチは上手くいかへんのやろ…」って、答えのない問いに時間使ってません？,流行ってる店の真似してみたり、成功者の本を読んでみたり…でも、結局何も変わらんみたいな。,そのやり方、ゴールが見えへん迷路に入ってるだけですわ。,このままやと、他人の真似事で終わって、気づいたら運転資金がショートして閉店です。,「何か一つ、魔法みたいな答えがあるはずや」って探し続けてる感覚、ないですか？,そらそうですよね、毎日必死でやってるからこそ、確実な答えが欲しくなるんです。,でも心のどこかで『真似しても一緒にはなられへん』って気づいてるから、しんどいんですよね。,その不安な気持ち、僕も経験したから分かります。でも、空ばっかり見てたら足元の穴に気づけませんよ。,今日は成功法則を探すのをやめて、『絶対に踏んだらあかん失敗の地雷』を避けるだけで、お店がどれだけ安定するかを話します。,成功を追いかけるのは、霧の中を全力疾走するようなもん。失敗を避けるのは、足元をしっかり見て歩くことです。,めっちゃ美味いラーメン作っても、どんぶりの底に穴が空いてたらスープ全部漏れますやん。その穴を塞ぐのが先なんです。,飲食店の成功は、実はめちゃくちゃシンプルで。『失敗せえへんこと』、ただこれだけなんです。,特に多い失敗の法則は３つ。どんぶり勘定の財務、人の辞めグセ、そして掃除が行き届いてない店です。,まずは月末のPLだけじゃなくて、日々の現金残高をちゃんと追ってみてください。お金の流れが見えるだけで、無駄な支出っていう穴が見つかります。,派手な成功じゃなくてええんです。まずは、静かにお金が漏れていく蛇口を、一つずつ締めていきましょ。,財務・マーケ・人事…どこから穴を塞げばいいか分からん人は、僕がプロフで配ってる無料の資料で今すぐ確認してください。,メニュー開発は固定概念に囚われてはいけない（リフレーミング）;オーナーしか作れない属人料理;飲食店経営は数字が全て　でも数字の裏には人がいることを忘れるな;価値を人に宿すと、集客が強くなる;現場の1秒が崩れると、客単価が300円下がる　動線の再設計術
4,ネタメモ：お客様を席に入れる順番（席稼働）,お客様の案内に理論のないお店、マジで終わりますよ。,「空いてる席にお客様通すだけやん」って、まさか本気で思ってませんよね？,来た順に、入口近くの席や窓際のええ席から案内してしまってませんか？,それ、一番やったらあかんやつです。,そのせいで、後から来た4人組を断って、気づかんうちに売上をドブに捨ててますよ。,満席のはずやのに、売上が思ったより伸びへん日、ありますよね？,忙しいと、つい何も考えんと席に通してしまう気持ち、めっちゃわかります。,ほんまは「席の組み合わせとか考えるん、めんどくさいな…」ってのが本音ちゃいます？,でも、その一手間を惜しむお店から、静かに利益が漏れていくんです。,この後、たった1つの意識で売上が変わる『席の埋め方』の鉄則、しっかりお伝えしますね。,何も考えずに埋める店と、戦略的に埋める店とでは、一日の売上が数万円変わることもザラにあります。,席案内ってテトリスと一緒なんです。変なとこにブロック置いたら、すぐゲームオーバーでしょ？,答えはシンプルです。常に『席稼働率』を意識して、潰れる席が出ないように案内すること。,まず2名様は2名席へ。4名席は最後まで温存。そして奥の席から埋めていく。基本はこれだけです。,まずはお店のテーブル配置図を書いて、どの席から埋めるか、優先順位を全員で共有してください。,パズルがピタッとハマるみたいに席が埋まると、売上だけやなく、お店の一体感も生まれますよ。,4名がけ席に2名様を座らせたら、あなたのお店の半分は使えてないことになっちゃいますよ？,価値を人に宿すと、集客が強くなる;集客の相談より「人」に関する問い合わせが一番多い;料理のこだわりより、提供の仕組み　味は記憶。動線は現実。;googleマップの口コミ=顧客体験（小手先で上げれるものではない）;開業してから考えるな　今いるお客さんの視点から逆算しろ
5,ネタメモ：0円でできる接客（ホスピタリティ）,完全無料でできる最強のマーケティング、それが接客やのに、知らんのはマジでありえへん！,「接客なんて、愛想良くしてたらええんやろ」って、心のどこかで思ってません？,マニュアル通りに「いらっしゃいませ」言うて、注文聞いて、料理運んで…,それ、ただの作業ですわ。,その“普通”の接客が、お客様が二度と来ぇへん理由になってるかもしれへんで。,正直、「接客にまで頭回らんわ…」って、本音では思ってますよね？,わかります。仕込みも発注もあって、毎日忙しいですもんね。,ほんまはもっとお客様に喜んで欲しいのに、何から手つけてええかわからん…って感じちゃいますよね。,でもその“何から”がわからんままやと、ええ料理も台無しになりますよ。,このあと、お金をかけずに明日からできる、お客様の心を掴むホスピタリティのコツ、話します。,“ただの店員さん”から、“また会いに来たい人”になる。その違い、ほんのちょっとしたことなんです。,料理に最後のひと手間かけるみたいに、接客にも“記憶に残る一言”を添えるだけなんですわ。,結論、接客を通してお客様を幸せにするんは、特別なスキルやなくて、誰にでもできるんです。,ポイントは3つ。「名前で呼ぶ」「一言添える」「覚えてることを伝える」。これだけ。,例えば「〇〇さん、いつもので良いですか？」とか、「そのネクタイ、素敵ですね」とか。ほんまにこれだけでええんです。,「自分のこと見てくれてる」って感じたお客様は、もうあなたの店のファンになってますよ。,ホスピタリティをバカにする店は、集客で泣きます。全業務の中で、接客の優先順位、本気で上げていきましょ。,エリアリサーチ　主導線と副動線;限界利益;スタッフが辞めるのは、給料のせいだけじゃない;飲食店がキッチンカー参入で儲からない理由;チェーン店に勝つ方法
6,ネタメモ：1way2job,人時売上高を爆上げする、簡単なマジックがあるの知ってますか？,『スタッフは頑張ってるのに、なんで利益が出えへんのやろ…』って頭抱えてませんか？,スタッフが一つの作業を終えてから、次何しよかなーって考えてる時間、ありません？,その一瞬の『間』が、店の利益を全部食い潰してるんです。,その無駄な動きが積み重なって、気づいた頃には人件費で首が回らんようになってますよ。,「うちのスタッフは真面目にやってるから大丈夫」って、どこかで思ってません？,一人ひとりは一生懸命やってくれてるの、わかります。でも、それが結果に繋がってないのがしんどいんですよね。,本当はもっと効率化したいけど、どう教えたらええか分からん…ってのが本音ちゃいますか？,その気持ちめっちゃ分かります。でも、その教え方を知らんままやと、いつまで経ってもお店は変わりません。,今から、スタッフ全員の生産性を2倍にする『1way3job』っていう考え方を具体的に教えますね。,一つのことしかできひんスタッフと、一つの動きで三つの仕事ができるスタッフ。どっちが店に利益残すかは、もうわかりますよね？,例えば、お客様のテーブルを片付ける時に、ただお皿を下げるだけやないんです。,答えはシンプルです。『1way3job』を全スタッフに叩き込んでください。,テーブル片付けなら、①お皿を下げて、②テーブルを拭いて、③近くのお客様に『お飲み物いかがですか？』って聞く。これで3jobです。,まずはキッチンの洗い場からでもええです。『何かを取りに行くついでに、何かを持って帰ってくる』。このルールを徹底させてください。,最初は面倒くさがられるかもしれん。でも、これが当たり前になった時、お店の空気も利益も劇的に変わります。,一人当たりの生産性を上げるには、同じ時間内にどれだけ多くの仕事をこなせたか。これだけです。,繁盛してる風に騙されるな　1日100人来ても、潰れる店がある理由;そのオペレーションを続けることが、継続コストがあなたの首を絞めてる;Google口コミ＝QSC＋店舗内研修;価値を人に宿すと、集客が強くなる;物件選びはなんかええな、じゃなくてロジックで選ばなあかん
7,ネタメモ：AI✖️人の接客,まさか「うちは飲食やからAIなんて関係ないわ」とか言ってませんよね？,「接客は人の心が一番やろ」って、AIをちょっと下に見てませんか？,常連さんの好みとかアレルギーとか、全部自分の頭の中だけで管理しようとしてません？,それ、めっちゃ効率悪いし、危ないですよ。,そのやり方やと、あなたが休んだら店が回らんくなるし、新人はいつまでたっても育ちません。,AIに仕事奪われるとか、店の温かみがなくなるとか、そんな風に誤解してませんか？,ほんまはもっと楽したいし、スタッフ全員の接客レベルも底上げしたいんですよね。,でも、今さら新しいこと覚えるの面倒やし、何から手つけてええか分からんってのが本音でしょ？,その気持ち、めっちゃ分かります。でも、そのまやと時代に置いていかれますよ。,今日はAIを敵やなくて最強の相棒にして、接客の質を爆上げする方法を具体的にお伝えします。,個人の記憶力に頼る接客と、データに基づいた心遣い。お客様が喜ぶのはどっちやと思いますか？,AIって、全スタッフがいつでも見れる『最強の接客ノート』みたいなもんなんですわ。,AIに顧客データを全部覚えさせて、人は『おもてなし』に100%集中する。これが正解です。,AIに来店回数、好きなメニュー、記念日を記録させる。人はその情報を見て最高の提案をするだけ。,これだけで新人さんでもベテランみたいな接客ができるし、あなたの脳のストレージも無駄遣いせんで済みます。,「全部覚えな…」っていうプレッシャーから解放されて、もっと心から接客を楽しめるようになりますよ。,食わず嫌いはもったいない。まだAI触ったことない人は、まず検索代わりに使うとこから始めてみてください。,価値を人に宿すと、集客が強くなる;物件選びはなんかええな、じゃなくてロジックで選ばなあかん;閉業率が高く絶対に選ばない3つの業態;無意識のクセが命取り（所作は人格、ふるまいはブランド）;FL60%なんて守っていたらやっていけない
8,ネタメモ：社会保険料→労務調査,税務調査ばっかり気にしてませんか？ほんまに怖いのは労務調査ですよ。,「うちは大丈夫やろ」って、心のどこかで思ってません？,タイムカードは手書きのまま、残業代はどんぶり勘定…つい、やってしまいがちですよね。,それ、めちゃくちゃ危ないサインです。,ある日突然、労基署が来て『過去2年分の未払い残業代、数百万円です』って言われたら、お店一発で飛びますよ。,社会保険とか労働契約とか、正直ややこしいし、後回しにしてるんちゃいます？,日々の営業で手一杯で、そんな書類仕事まで見てられへんって気持ち、めっちゃわかります。,「今まで何も言われへんかったし、大丈夫やろ」って、心のどこかで甘く見てるんですよね。,でも、その『知らんかった』が一番アカンのです。お店を守るために、もう見て見ぬフリはできません。,今日は、社労士さんがいなくても、まずこれだけは絶対チェックしとけ！っていう3つのポイントを話します。,ちゃんと対策してるお店は枕を高くして寝れるけど、してないとこは時限爆弾抱えてるようなもんです。,例えば、休憩時間や言うて仕込みさせてたり、賄いの時間を労働時間に入れてなかったり…心当たり、ありませんか？,労務調査で絶対見られるのは、この3つです。ここだけは押さえといてください。,①労働時間と残業代の正しい記録、②雇用契約書の作成と保管、③社会保険の加入義務。まずはここから。,今すぐ、全スタッフのタイムカードと給与明細、雇用契約書を机に並べて見直してみてください。それが第一歩です。,ちゃんとやっとけば、スタッフも安心して働けるし、何よりオーナーであるあなたが一番安心できるんです。,調査を拒否するだけでも罰則です。お店とスタッフを守るために、今すぐ対策しましょう。,夜営業で売上伸び悩んでるお店のソフトドリンクの発想が間違ってる;現場のスタッフ全員で生産者に会いに行け;バイトの意識が劇変する現場研修のやり方とは;ぶっちゃけ飲食店の成功は立地で決まるかどうか;マクドナルドから真似すべき戦法
9,ネタメモ：SNSの発信もマーケットインで,その投稿、誰が見るねん！ってツッコみたくなる投稿してませんか？,毎日頑張って更新してるのに、全然お客さん増えへん…ってなってますよね。,今日のまかないとか、新メニューの写真だけとか、ついあげてしまいがち。,でもそれ、お客さんがほんまに知りたい情報とちゃいますよ。,このままやと、ただの自己満日記になって、誰にも想いが届かんまま終わってしまいます。,ほんまは「何を発信したらええかわからん」って、手が止まってません？,お店のことで手一杯やのに、SNSまで考えなあかんの、正直しんどいですよね。,結局、いいねの数ばっかり気にして、疲れてもうてるんちゃいますか？,その頑張り、めっちゃわかります。でも、やり方変えへんと一生報われませんよ。,この後、自己満投稿から脱出して、お客さんが勝手に見に来てくれる『マーケットイン』の考え方、お伝えしますね。,「うちのオススメこれです！」やなくて、「お客さんは何に困ってますか？」から考えるんです。,「絶品パスタできました！」より、「雨の日、駅近のここでサクッとランチしませんか？」の方がお客さんには響くんです。,結論、SNSの発信もぜんぶマーケットイン。お客さん目線で考えてください。,考えるのは3つだけ。「誰が」「どんな時に」「何を知りたいか」。これだけです。,投稿する前に一回だけ、「これでお客さんのどんな悩みが解決するやろ？」って自問自答してみてください。,あなたのお店のこだわりは、お客さんの「知りたい」と繋がった時に、初めて価値になるんです。,投稿ボタン押す前に見返せるように、この投稿、保存しといてくださいね。,カット済みの納品（肉・野菜）→歩留や人件費;家族経営の強み;料理のこだわりより、提供の仕組み　味は記憶。動線は現実。;人気店は「やりたくないこと」も決めてる;財務三表の説明
10,ネタメモ：ハラスメントを黙認している人は経営者失格,ハラスメントを黙認してる人、飲食店経営者として失格です。,“見て見ぬフリ”が一番ラクや…って、正直思ってませんか？,ベテランが新人にキツく当たってても、“指導や”って自分に言い聞かせてへん？,それ、指導とちゃいます。ただのイジメです。,ええスタッフから辞めていって、気づいたら店は最悪の雰囲気。売上もダダ下がりです。,“昔はもっと厳しかった”とか、“俺らの時代は…”って、心のどこかで思ってません？,注意したらベテランが辞めるかもしれん…その怖さ、めっちゃ分かります。,ほんまは“波風立てたくない”だけ。でも、そのせいで一番大事なもん失ってますよ。,気持ちは分かるけど、その優しさがお店を潰すんです。,今から、ハラスメントをゼロにして、スタッフが辞めへん強いチームを作る方法を具体的にお伝えします。,見て見ぬフリを続けるお店と、ちゃんと向き合うお店。1年後、笑ってるのはどっちやと思います？,腐ったリンゴを箱に入れっぱなしにしたら、他のリンゴも全部腐る。お店もそれと一緒です。,経営者の仕事は、断固として“NO”を突きつけること。それ以外にないです。,まずルールを明文化する。そして個人面談で全員の意見を聞く。最後に、加害者には毅然と対応する。,「昔は殴られて育った」とかいう精神論はもう通用しません。そんな古臭い考えは今すぐ捨ててください。,“この店で働けてよかった”ってスタッフに言われたら、経営者としてこれ以上嬉しいことないでしょ？,お客さんを笑顔にする前に、まず従業員を笑顔にできな、飲食業やる資格ないですよ。,物件選びはなんかええな、じゃなくてロジックで選ばなあかん;人時売上高;夜営業で売上伸び悩んでるお店のソフトドリンクの発想が間違ってる;閉業率が高く絶対に選ばない3つの業態;オーナーしか作れない属人料理
