No,テーマ,シーン1,シーン2,シーン3,シーン4,シーン5,シーン6,シーン7,シーン8,シーン9,シーン10,シーン11,シーン12,シーン13,シーン14,シーン15,シーン16,シーン17,参考例ID
1,ネタメモ：他店さんの商品を並べた時に圧倒的に見た目で勝ってますか？,あなたのお店の予約が鳴らない理由、それ“見た目”ですわ。,料理写真って、いわば本の表紙みたいなもん。中身が面白くても、表紙で損してたら手に取ってもらえません。,つい「うちは味で勝負してるから」って、自分に言い聞かせてたりして。,それ、お客様には１ミリも伝わってませんよ。,このままやと、どんなに美味しい料理も知られることなく、誰の記憶にも残らんと終わってしまいます。,ほんまは「SNSで見ても、うちの料理なんかパッとせえへんな…」って、心のどこかで気づいてるんちゃいます？,美味しいもん作ってるプライドがあるからこそ、伝わらんのがもどかしい。その気持ち、めっちゃ分かります。,心の底では「見た目ちゃうねん、中身や！」って叫びたいんですよね。,そのこだわりは宝物です。でも、まずはお客様の目に留まらんと、スタートラインにも立てへんのですわ。,今日は、味自慢のお店が“見た目”で損せえへんための、超具体的な考え方をお伝えします。,「美味しそうな店」と「美味しい店」。初めてのお客様が暖簾をくぐるんは、どっちやと思いますか？,,まだお店を知らん人に「うちは味で勝負してる」なんて、ほんまに通用せえへんのです。,意識するのはたった３つ。「彩り」「高さ」「器とのバランス」。これだけで料理は化粧したみたいに変わります。,まず自分の店の看板メニュー、スマホで撮ってみてください。それ見て、今すぐ食べたい！って心の底から思いますか？,丹精込めて作った一皿やからこそ、最高の顔でテーブルに届けたい。そう思いません？,極端な話、隣のお店の料理と並べて、圧倒的に見た目で勝てる一皿。それ、目指しましょ。,試食の仕方　ワンポーション食わんかい;人気店は「やりたくないこと」も決めてる;googleマップの口コミ=顧客体験（小手先で上げれるものではない）;売上目標の決め方;無借金経営のデメリット
2,ネタメモ：業者打ち合わせは定期的に→原価が変わる,原価高いわって嘆いてるだけの人は、ただの業務怠慢です。,請求書見るたびに「また上がってるわ…」って、ため息ついてません？,業者さんから言われた値段を、そのまま受け入れてしまってませんか？,それ、一番やったらあかんことです。,そのままだと、気づいた頃には利益がほとんど残らん店になってしまいますよ。,「交渉とか面倒やし、どうせ変わらんやろ」って、どこかで諦めてません？,忙しい中で業者さんとの時間とるの、大変なんはめっちゃ分かります。,本当は「関係が悪くなったらどうしよう」って、ちょっと怖かったりしますよね。,その気持ちは大事です。でも、お店を守るのもあなたの仕事です。,このあと、業者さんとWin-Winの関係を築きながら、賢く原価を抑える方法を話します。,言われたまま払う店と、ちゃんと対話する店。数年後にはとんでもない差が生まれます。,業者さんとの関係って、お客さんとの関係と一緒なんです。ちゃんと向き合わな、ええ関係は築けません。,やることはシンプルです。業者さんと定期的に打ち合わせして、価格の交渉はちゃんとしてください。,ただ「安くして」やなくて、「最近の相場どうですか？」とか「この食材、他にいいのあります？」って情報交換するんです。,まずは月に1回、15分でええから話す時間を作ってみてください。それだけで全然ちゃいます。,交渉って思うからしんどいんです。ただの『相談』やと思えば、気持ちも楽になりません？,あくまで業者さんも『人』です。長くいい関係を築いていきましょう。,物価高の今やるべきこと;竹矢匠吾が思う飲食店経営のやりがい;新卒を採っても育たない本当の理由　教育者が正解を持ちすぎてる;問題の本質を探す→新規集客欲しいのにメニュー開発、人が辞めるから人事評価など;POSレジの紹介
3,ネタメモ：体調管理こそ最大の投資→体調不良での閉店が一番悔しい,体調不良でお店を臨時休業するの、それ経営ちゃいます。一番やったらあかん“人災”ですよ。,「自分が倒れたら、この店は終わりや…」って、ほんまは毎日ヒヤヒヤしてません？,「気合で乗り切る！」とか言うて、栄養ドリンクを水みたいに飲んでごまかしてませんか？,それ、根性論でも美談でもない。ただのリスク管理不足です。,その無理がたたって、ある日突然店に立てんようになって…常連さんに頭下げる未来、想像したことありますか？,「俺がおらな、この店は回らんのや」って、自分を追い込んでるの、ほんまはしんどいですよね？,休んだら売上がゼロになる恐怖、僕も死ぬほど分かりまっせ。,でも心の奥では、「このままやとアカン」って、自分の体が一番よう分かってるはずです。,その責任感は素晴らしい。けど、そのせいで店畳むことになったら、誰が一番悔しいですか？,このあと、売上よりも何よりも先に、飲食店経営者が投資せなあかん“たった一つのこと”を話します。,無理して稼ぐ目先の1日の売上と、10年後も笑って厨房に立てる未来、どっちが大事ですか？,自分の体は、店の“心臓”と一緒です。心臓が止まったら、どんな人気店もただの空き店舗ですよ。,結論、経営者が一番に投資すべきは、新しい機材でも広告でもない。自分の“健康”です。,週に1日は完全に休む。睡眠時間だけは死守する。年に1回は人間ドック行く。まずはこの3つから。,騙された思て、来月のカレンダーに『強制OFF』って1日だけ書いてみてください。世界変わりますから。,「店のために」無理するんやない。「店を続けるために」休むんです。この覚悟が経営者には必要です。,応援され愛され続ける店を作るためにも、まずは自分を一番大切にしたってください。,人時売上高;ネット情報の統一化;スタッフが辞めない育成、実は評価制度より先にやるべきことがある;限界利益;お客様の怒りや渇望→マーケ
4,ネタメモ：プライベートな投稿するな（フィード、ストーリー）,お店のアカウントで、自分の子供の写真とか友達との飲み会、まさか投稿してませんよね？,いやいや、ちょっとは人間味見せた方がええんちゃうん？って思いますよね。,「今日は定休日で家族サービス！」とか「友達と飲んでます！」みたいな投稿、ついやりがち。,それ、完全に逆効果なんです。,お客さんはお店の情報を見に来てるのに、『このアカウント、見ても意味ないな』って静かにフォロー外されて終わりです。,お店の公式アカウントのはずが、いつの間にか自分の日記みたいになってません？,お店のファンになってほしい、親しみを持ってほしい。その気持ちはめっちゃ分かります。,でもほんまは、毎日投稿するネタがなくて、ついプライベートなこと上げてもうてるだけちゃいます？,その気持ちは痛いほど分かるけど、お客さんはあなたの私生活に興味ないんです。,じゃあ何を投稿したら集客につながんねん？って話を、今から具体的にしますわ。,あなたの子供の写真より、新メニューのシズル感ある写真の方が100倍予約につながります。,お店のアカウントって、お店の専門誌みたいなもん。そこに編集長の日記が載ってたら読者ガッカリしますやん？,結論、お店のアカウントでは、お客さんが『行きたい！』って思う情報だけを発信してください。,例えば、メニューのこだわり、仕入れの話、スタッフの笑顔。この3つだけで十分なんです。,今すぐ自分の過去の投稿を見返して、お店と関係ない投稿は全部アーカイブ。それだけでアカウントの専門性がグッと上がります。,お客さんが見たいのは、あなたのプライベートやなくて、あなたのお店が作る最高の時間なんです。,集客を本気で考えるなら、プライベートな投稿は一切いりません。お店の魅力だけで勝負しましょ。,ECサイト伸ばしたいなら、お客様がどんな時に食べるか想像して;SNS投稿ばかり頑張っている人、まずは自分のお店のリピーター比率を理解しましょう（マーケティングファネル）;飲食店は立地で決まる？;集客の相談より「人」に関する問い合わせが一番多い;立地選び　一等地信仰が危ない理由
5,ネタメモ：社長には長所短所あれど欠点があると致命傷になる,社長の長所短所はええねん。でも“欠点”があると、店は一瞬で潰れますで。,「自分は現場一筋やから数字は苦手」とか、言うてません？,経理は税理士任せ、集客は業者任せ。自分は厨房にこもりっきり、とか。,それ、店の舵取りを放棄してるのと同じですわ。,気づいた時には資金ショート寸前。なんで売上あるのに金ないねん…って、手遅れです。,「得意なことだけやってたい」ってのが本音ちゃいます？,分かります。財務諸表とかマーケ用語とか、見ただけで頭痛なりますよね。,ほんまは「分からん」って言うのが怖いだけかもしれへん。,でも社長が分からんかったら、船のどこかに穴空いてるのに気づけんのです。,このリールでは、社長が最低限押さえなあかん“3つの教養”について話します。,穴の空いたバケツで水を汲む経営と、穴を塞いでから水を汲む経営。どっちが残ると思います？,料理は完璧やのに、原価計算できひんから作るほど赤字になる寿司屋みたいなもんですわ。,社長が全部やる必要はない。でも「財務・マーケ・人」の基本は絶対に理解せなあきません。,財務で金の流れを、マーケでお客さんの流れを、人で組織の流れを読む。この3つです。,まずはPLだけでも自分で読んでみる。インスタのインサイトを毎日見る。スタッフと1日5分話す。こっからでええんです。,「知らん」は罪やないけど、「知ろうとせん」のは社長として致命傷になります。,完璧じゃなくてええ。でも自分の店の舵取りできるくらいの知識は、絶対つけときましょ。,レトルト商品;撤退しない店舗作りのための「最初の一等地」より、「最後に残る一席」の選び方;アルコール出ない問題;エリアリサーチ　主導線と副動線;オーナーが現場に入る店 vs 入らない店　本当に利益が出てるのはどっち？
6,ネタメモ：万アカでドヤ顔してる飲食店正直痛いです,万アカでドヤ顔してる飲食店さん、正直ちょっと痛いですよ。,フォロワーは多いのに、予約はスカスカ…みたいなこと、ありません？,とりあえず“いいね”しまくったり、フォローバック狙いで無差別にフォローしたり…ついやりがちですよね。,それ、ただの数字遊びになってますよ。,そのフォロワー、ほんまに来てくれる人ですか？気づいたら“いいね”もつかへん幽霊だらけになりますよ。,「SNS頑張ってるのに、なんで予約に繋がらへんのやろ…」って、内心ずっと思ってません？,毎日投稿して、コメント返して…ほんま大変ですよね。僕も昔、フォロワーの数に一喜一憂してました。,でもほんまは、「集客せな」っていう焦りから、いつの間にか目的がすり替わってただけなんですよね。,その頑張りはすごい。でも、向かう方向がちゃうかったら、いつまで経ってもゴールには着かへんです。,このあと、フォロワーが少なくても予約で埋まるSNSの使い方、その本質をお伝えします。,1万人の無関心なフォロワーより、100人の“絶対行きたい”ファンを作る方が、よっぽど売上に繋がるんです。,SNSって、お店の前に看板出すのと一緒。誰にでもええ顔するんやなくて、「うちはこういう店です」ってハッキリ言わな、誰も入ってきません。,SNSの目的はフォロワー集めやない。あなたのお店のファンを作って、実際にお店に来てもらうことです。,やることはシンプル。①誰に来てほしいか決める、②その人が喜ぶ情報を発信する、③お店に来たくなる仕掛けを作る。これだけです。,例えば、「30代女性、仕事帰りに一人で寄れる」みたいに絞って、その人が「これ食べたい！」って思う投稿を考えてみてください。,フォロワーが減るかもしれへん。でも、残ってくれた人が、ほんまのあなたのお客さんになります。,少ないフォロワーでもちゃんと興味のある人に届いて来店に繋げるのが、あなたがSNSを使う一番の目的ですよね？,なぜこの店は夢を語ってるだけで予約が埋まるのか？;メニュー開発は固定概念に囚われてはいけない（リフレーミング）;人時売上高;世間の長期休暇に勝つ店・負ける店　イベント任せはもう通用しない;飲食店経営は数字が全て　でも数字の裏には人がいることを忘れるな
7,ネタメモ：可処分時間の奪い合い＝提供価値は料理のクオリティだけではない　サンリオ,あなたのライバルは隣の飲食店ちゃいますよ。NetflixとかYouTubeです。,美味しいもん作ってたら、お客さんは来てくれるって信じてません？,今日も必死で仕込みして、新メニュー考えて…料理のことばっかり考えてますよね。,それだけじゃ、お客さんの時間は奪えへんのです。,味は確かなのに、店の前を素通りされて、気づいたら空席だらけ…そんな未来が待ってますよ。,「うちは味で勝負してるから大丈夫」って、心のどこかで思ってません？,料理に自信があるからこそ、なんでお客さんが増えへんのか分からん…って、しんどいですよね。,ほんまは、料理だけやなくて、この店で過ごす“時間”そのものを楽しんでほしいんですよね？,その気持ち、めっちゃ分かります。でもお客さんは、もう“美味しいご飯”だけを求めてるわけやないんですわ。,今から、お客さんの“可処分時間”を奪い合う、ほんまの戦い方についてきっちり説明します。,ただ食事を“提供”する店と、『ここに来たい』と思わせる“体験”を売る店の違いですわ。,サンリオがグッズだけやなく、テーマパークで“特別な時間”を売ってるのと同じ。飲食店も“食体験”を売らなあかんのです。,今の時代は可処分時間の争奪戦です。飲食業に限らず、あらゆる産業がライバルなんです。,お客さんに提供すべき価値は3つ。『美味しい料理』と『心地よい空間』、そして『忘れられない時間』です。,例えば、お客さんがスマホを触る暇もないくらい、会話が弾むような仕掛け、何か一つでも作ってみてください。,「あそこの店に行ったら、なんか元気でるわ」って言われたら、料理人冥利に尽きると思いません？,提供価値は料理だけやないんです。今、目の前を通り過ぎる人の1分を奪う価値、あなたは出せてますか？,なぜこの店は夢を語ってるだけで予約が埋まるのか？;地域密着型店舗の落とし穴;竹矢匠吾が思う飲食店経営のやりがい;レトルト商品;売上が下がったときは割引じゃなく販路を増やせ
8,ネタメモ：辞めても誰にも怒られない内は続けろ,今の仕事しんどいな…もう辞めよかな…って思ってる人、その辞め方じゃどこ行っても一緒です。,毎日頑張ってるのに報われへんし、もう全部投げ出したくなる気持ち、分かります。,とりあえず転職サイト見たり、友達に愚痴ったりして、なんとなく辞める方向に心傾いてません？,その場の感情で動くの、ちょっと待ってください。,今、中途半端に辞めたら、次の職場でも同じ壁にぶつかって、一生環境のせいにする人生になりますよ。,「自分はもっとできるはずやのに」って気持ちと、「でも今の環境が悪い」って気持ち、行ったり来たりしてません？,このままでええんかなって、自分の将来が不安になるんですよね。めっちゃ分かります。,でもそれ、ほんまは「誰かに必要とされたい」「もっと責任ある仕事がしたい」って気持ちの裏返しちゃいますか？,その悔しさは大事。でも、誰かに引き留められるでもなく辞められるうちは、まだ戦う土俵にすら立ててないんです。,今日は、あなたが今本当に辞めるべきか、それとも踏ん張るべきか、たった一つのシンプルな基準をお伝えします。,辞めて成長する人と、辞めて後悔する人の違いは、今の場所で『やりきったか』どうかだけです。,まだ一人でコース料理全部作れへんのに、店の看板メニューに文句言うてるようなもん。まずは目の前の仕込み、完璧にできますか？,結論、あなたが急に辞めても誰も困らへん、誰にも怒られへんうちは、まだ辞めたらあきません。,あなたが抜けても店が問題なく回るってことは、まだあなたにしかできへん仕事がない証拠。つまり、まだ吸収できることがあるってことです。,まずは「この仕事だけは自分がいないと回らない」ってものを一つ作ってみてください。それができて初めて、次のステージが見えてきます。,今のしんどさは、あなたが成長しようとしてる証拠。その痛みは、未来のあなたを支える大事な経験になります。,理不尽な扱いを受けてるとかなら話は別。でもそうじゃないなら、あなたが辞めたら「めっちゃ困る！」って言われるまで、もう少しだけ頑張ってみません？,飲食経営に感情は要るのか？やりがいだけでは勝てない時代;意思決定と合意形成;FL60%なんて守っていたらやっていけない;オーナーが現場に入る店 vs 入らない店　本当に利益が出てるのはどっち？;ABC分析
9,ネタメモ：EC→情報を盛りだくさん（量感やサイズなど）,ECサイトに“想い”ばっかり書いてるお店、それじゃ絶対売れません。,うちの商品の良さ、伝えたいのに…って想いが空回りしてません？,“厳選素材”とか“秘伝の製法”とか、熱い想いを長々と語ってません？,それ、お客さん読んでませんわ。,想いだけが先走って、結局“なんかよく分からん店”やなって思われて、ページ閉じられて終わりです。,“こんなにこだわってるのに、なんで伝わらんのやろ…”って、パソコンの前でため息ついてません？,ええもん作ってる自信があるからこそ、その価値をちゃんと伝えたいんですよね。めっちゃ分かります。,でも、お客さんが知りたいんは“想い”より先に“自分にとっての価値”やって、うすうす気づいてますよね？,そのこだわりは宝物です。でも、伝え方間違えたらただの自己満で終わってまいますよ。,今日は、お客さんが“これ欲しい！”って思わずクリックしてしまうECサイトの情報の作り方、お伝えします。,“想いを語るページ”と“買う理由がわかるページ”、お客さんが選ぶのはどっちやと思います？,ECサイトってお店のメニューブックと一緒ですわ。ポエムより、写真と“何人前か”が大事でしょ？,ECサイトは“想いを語る場所”やない。“お客さんが買うかどうか決める場所”なんです。,書くべきは、量感、サイズ、おすすめの喫食シーン。この３つです。,“2〜3人前”とか“直径15cm”とか“記念日にワインと”とか、お客さんが使う場面を想像できる言葉を足してください。,あなたのこだわりがちゃんと“価値”として伝わった時、初めてお客さんの心に届くんですよ。,こだわりや想いは、SNSとか別の場所で。ECサイトでは、買うための情報に徹してください。,料理のこだわりより、提供の仕組み　味は記憶。動線は現実。;問題の本質を探す→新規集客欲しいのにメニュー開発、人が辞めるから人事評価など;アルバイトの定着;リピーター比率＝再訪人数÷来店延人数で算出　SNSが生きる最低条件を可視化　改善策（商品・接客・体験設計）;開業してから考えるな　今いるお客さんの視点から逆算しろ
10,ネタメモ：社長は空気を作れ,負けムードが蔓延してる店は、何やっても絶対にうまくいきません。,なんか最近、店全体の空気が重いな…って、薄々気づいてますよね？,だからって、ミーティングで檄を飛ばしたり、新しい施策を無理やりやらせたりしてへん？,それ、全部ムダです。,その重い空気のままやと、優秀なスタッフから辞めていって、最後は社長一人だけが頑張る店になりますよ。,『俺がこんなに頑張ってるのに、なんでみんなやる気ないねん…』って、内心イライラしてません？,売上も上げなあかんし、スタッフも育てなあかん。社長が一番しんどいのは、ほんまに分かります。,本当はもっと、みんなで笑いながら仕事したいだけやのに…って思ってますよね。,気持ちは分かるけど、その空気を作ってんのも、壊せるのも、社長だけなんです。,今から、どんなに最悪な状況でもお店の空気を一変させて、スタッフが勝手に動き出す方法、話しますね。,負けてる店は社長がプレーヤー。勝ってる店は、社長が監督なんです。,どんなに美味しいまかない作っても、みんなで黙って下向いて食べてたら美味しくないでしょ？お店もそれと一緒ですわ。,社長の仕事は、指示を出すことやない。お店の『空気』を作ること、ただそれだけです。,具体的には、社長が誰よりも楽しそうに働くこと。そして、できたことだけを褒める。これだけです。,まずは明日、朝礼で『今日も絶対うまくいくわ！』って笑顔で言うてみてください。最初は無理やりでもええんです。,社長が楽しそうやったら、スタッフも安心して働ける。売上より先に、まず社長の心を満たしてください。,スタッフ全員に勝ち癖を付けることが、お店を上手くいかせる唯一の鍵なんです。,マクドナルドから真似すべき戦法;なぜこの店は夢を語ってるだけで予約が埋まるのか？;物件選びはなんかええな、じゃなくてロジックで選ばなあかん;POPの意味;繁盛してる風に騙されるな　1日100人来ても、潰れる店がある理由
