年月,日付,売上差,客数要因寄与,客単価要因寄与,検算,前月売上,当月売上,前月客数,当月客数,前月客単価,当月客単価
2024-02,2024-02-01,537970,271070.75175481144,266899.24824518885,537970.0000000002,4376573,4914543,3973,4212,1101.5789076264787,1166.795584045584
2024-03,2024-03-01,-324663,-481669.18301474804,157006.18301474772,-324663.00000000035,4914543,4589880,4212,3806,1166.795584045584,1205.9590120861797
2024-04,2024-04-01,522727,805117.2755369799,-282390.2755369801,522726.9999999998,4589880,5112607,3806,4493,1205.9590120861797,1137.9049632762074
2024-05,2024-05-01,283253,278902.1908421966,4350.8091578039775,283253.0000000006,5112607,5395860,4493,4738,1137.9049632762074,1138.8476150274378
2024-06,2024-06-01,-606003,-670467.4115033994,64464.41150339914,-606003.0000000002,5395860,4789857,4738,4153,1138.8476150274378,1153.3486636166626
2024-07,2024-07-01,1067543,1064813.7691731956,2729.2308268050633,1067543.0000000007,4789857,5857400,4153,5076,1153.3486636166626,1153.9401103230891
2024-08,2024-08-01,-390715,-403168.4583903678,12453.458390367881,-390714.99999999994,5857400,5466685,5076,4727,1153.9401103230891,1156.4808546646923
2024-09,2024-09-01,-324550,-328564.9066155936,4014.9066155931177,-324550.00000000047,5466685,5142135,4727,4443,1156.4808546646923,1157.356515867657
2024-10,2024-10-01,435282,258880.2804383438,176401.71956165577,435281.99999999953,5142135,5577417,4443,4663,1157.356515867657,1196.1005790263778
2024-11,2024-11-01,-359745,-1024368.1010764557,664623.1010764565,-359744.9999999992,5577417,5217672,4663,3859,1196.1005790263778,1352.0787768852035
2024-12,2024-12-01,-598179,-873491.3933235694,275312.39332356886,-598179.0000000006,5217672,4619493,3859,3231,1352.0787768852035,1429.7409470752089
2025-01,2025-01-01,-771949,-640581.7210792066,-131367.2789207931,-771948.9999999997,4619493,3847544,3231,2776,1429.7409470752089,1386.0028818443805
2025-02,2025-02-01,841034,641495.2101568051,199538.78984319489,841034.0,3847544,4688578,2776,3228,1386.0028818443805,1452.4714993804214
2025-03,2025-03-01,-4688578,-2335574.1710037175,-2353003.8289962825,-4688578.0,4688578,0,3228,12,1452.4714993804214,0.0
2025-04,2025-04-01,14795601,7388399.503918246,7407201.496081754,14795601.0,0,14795601,12,9443,0.0,1566.83268029228
2025-05,2025-05-01,-2757405,-3482896.161043793,725491.1610437927,-2757405.0,14795601,12038196,9443,7280,1566.83268029228,1653.5983516483516
2025-06,2025-06-01,-9052807,-9146901.42200129,94094.42200128865,-9052807.0,12038196,2985389,7280,1783,1653.5983516483516,1674.3628715647785
2025-07,2025-07-01,7818814,7867117.883148869,-48303.88314886805,7818814.000000001,2985389,10804203,1783,6498,1674.3628715647785,1662.6966759002771
2025-08,2025-08-01,-520894,-788124.804250217,267230.8042502157,-520894.00000000134,10804203,10283309,6498,6030,1662.6966759002771,1705.3580431177445
2025-09,2025-09-01,-3080019,-3069503.8714808747,-10515.12851912429,-3080018.999999999,10283309,7203290,6030,4229,1705.3580431177445,1703.3081106644597
2025-10,2025-10-01,4018380,4050271.9322714973,-31891.932271496757,4018380.0000000005,7203290,11221670,4229,6611,1703.3081106644597,1697.4239903191651
2025-11,2025-11-01,-91617,-510294.48719462275,418677.4871946223,-91617.00000000047,11221670,11130053,6611,6316,1697.4239903191651,1762.1996516782774
2025-12,2025-12-01,-2805716,-3536525.1787584424,730809.1787584417,-2805716.000000001,11130053,8324337,6316,4384,1762.1996516782774,1898.7994981751824
2026-01,2026-01-01,-2868071,-2257557.157367425,-610513.8426325746,-2868070.9999999995,8324337,5456266,4384,3142,1898.7994981751824,1736.5582431572248
