2026/01/21 00:29 時点

[補足情報]
1. 伝票金額は、加算・値引をした結果の金額です。

項目名横の記号について(下記参照)
 H.  -->>  伝票ヘッダ情報 
 C.  -->>  お客様情報
 D.  -->>  伝票明細情報

"H.伝票番号","H.集計対象営業年月日","H.曜日","H.伝票発行日","H.伝票処理日","H.客数（合計）","H.小計","H.総商品数","D.商品カテゴリ1","D.商品カテゴリ2","D.商品","D.サブメニュー","D.価格","D.オーダーメモ","D.オーダー日時"
"No:202400200003198","2024/04/01","月","2024/04/01 10:22:55","2024/04/01 11:09:30","1","0","0","EAT IN","麺","00000000528:グリルチキンのまぜそば","白x1","0","","2024/04/01 10:22:55"
"No:202400200003198","2024/04/01","月","2024/04/01 10:22:55","2024/04/01 11:09:30","1","0","0","EAT IN","麺","00000000529:ローストビーフのまぜそば","赤x1","0","","2024/04/01 10:22:55"
"No:202400200003198","2024/04/01","月","2024/04/01 10:22:55","2024/04/01 11:09:30","1","0","0","EAT IN","麺","00000000612:麺大盛","白x1","0","","2024/04/01 10:22:55"
"No:202400200003198","2024/04/01","月","2024/04/01 10:22:55","2024/04/01 11:09:30","1","0","0","EAT IN","麺","00000000612:麺大盛","赤x1","0","","2024/04/01 10:22:55"
"No:202400200003199","2024/04/01","月","2024/04/01 11:02:07","2024/04/01 11:09:30","1","0","0","EAT IN","麺","00000000528:グリルチキンのまぜそば","赤x1","0","","2024/04/01 11:02:07"
"No:202400200003199","2024/04/01","月","2024/04/01 11:02:07","2024/04/01 11:09:30","1","0","0","EAT IN","TOトッピング","00000000340:ねぎたま","","0","","2024/04/01 11:02:07"
"No:202400200003199","2024/04/01","月","2024/04/01 11:02:07","2024/04/01 11:09:30","1","0","0","EAT IN","TOトッピング","00000000339:野菜増し","","0","","2024/04/01 11:02:07"
"No:202400200003199","2024/04/01","月","2024/04/01 11:02:07","2024/04/01 11:09:30","1","0","0","EAT IN","無料","00000000364:無料：パクチー","","0","","2024/04/01 11:02:07"
"No:202400200003200","2024/04/01","月","2024/04/01 10:22:55","2024/04/01 11:40:53","2","1507","4","EAT IN","麺","00000000528:グリルチキンのまぜそば","白x1","0","","2024/04/01 10:22:55"
"No:202400200003200","2024/04/01","月","2024/04/01 10:22:55","2024/04/01 11:40:53","2","1507","4","EAT IN","麺","00000000529:ローストビーフのまぜそば","赤x1","0","","2024/04/01 10:22:55"
"No:202400200003200","2024/04/01","月","2024/04/01 10:22:55","2024/04/01 11:40:53","2","1507","4","EAT IN","麺","00000000612:麺大盛","白x1","0","","2024/04/01 10:22:55"
"No:202400200003200","2024/04/01","月","2024/04/01 10:22:55","2024/04/01 11:40:53","2","1507","4","EAT IN","麺","00000000612:麺大盛","赤x1","0","","2024/04/01 10:22:55"
"No:202400200003200","2024/04/01","月","2024/04/01 10:22:55","2024/04/01 11:40:53","2","1507","4","EAT IN","麺","00000000528:グリルチキンのまぜそば","赤x1","990","","2024/04/01 11:02:07"
"No:202400200003200","2024/04/01","月","2024/04/01 10:22:55","2024/04/01 11:40:53","2","1507","4","EAT IN","TOトッピング","00000000340:ねぎたま","","190","","2024/04/01 11:02:07"
"No:202400200003200","2024/04/01","月","2024/04/01 10:22:55","2024/04/01 11:40:53","2","1507","4","EAT IN","TOトッピング","00000000339:野菜増し","","190","","2024/04/01 11:02:07"
"No:202400200003200","2024/04/01","月","2024/04/01 10:22:55","2024/04/01 11:40:53","2","1507","4","EAT IN","無料","00000000364:無料：パクチー","","0","","2024/04/01 11:02:07"
"No:202400200003201","2024/04/01","月","2024/04/01 11:13:23","2024/04/01 11:36:53","1","979","1","EAT IN","麺","00000000528:グリルチキンのまぜそば","白x1","890","","2024/04/01 11:13:23"
"No:202400200003202","2024/04/01","月","2024/04/01 11:13:38","2024/04/01 11:36:22","1","1188","2","EAT IN","麺","00000000528:グリルチキンのまぜそば","白x1","890","","2024/04/01 11:13:38"
"No:202400200003202","2024/04/01","月","2024/04/01 11:13:38","2024/04/01 11:36:22","1","1188","2","EAT IN","TOトッピング","00000000340:ねぎたま","","190","","2024/04/01 11:13:38"
"No:202400200003203","2024/04/01","月","2024/04/01 11:14:39","2024/04/01 11:39:59","2","2299","3","EAT IN","しるそば","00000000326:しる・グリルチキン","汁・白x1","950","","2024/04/01 11:14:39"
"No:202400200003203","2024/04/01","月","2024/04/01 11:14:39","2024/04/01 11:39:59","2","2299","3","EAT IN","しるそば","00000000326:しる・グリルチキン","汁・白x1","950","","2024/04/01 11:14:39"
"No:202400200003203","2024/04/01","月","2024/04/01 11:14:39","2024/04/01 11:39:59","2","2299","3","EAT IN","TOトッピング","00000000340:ねぎたま","","190","","2024/04/01 11:14:39"
"No:202400200003204","2024/04/01","月","2024/04/01 11:25:56","2024/04/01 11:45:16","1","979","1","EAT IN","麺","00000000528:グリルチキンのまぜそば","白x1","890","","2024/04/01 11:25:56"
"No:202400200003205","2024/04/01","月","2024/04/01 11:35:05","2024/04/01 12:04:53","1","1111","2","EAT IN","麺","00000000528:グリルチキンのまぜそば","白x1","890","","2024/04/01 11:35:05"
"No:202400200003205","2024/04/01","月","2024/04/01 11:35:05","2024/04/01 12:04:53","1","1111","2","EAT IN","ごちめし","00000000332:ごちめしセット(小盛)","","120","","2024/04/01 11:35:17"
"No:202400200003206","2024/04/01","月","2024/04/01 11:37:21","2024/04/01 12:26:27","2","2288","2","EAT IN","麺","00000000529:ローストビーフのまぜそば","赤x1","1190","","2024/04/01 11:37:21"
