時間帯,件数,平均,標準偏差,分散,変動係数
9,3,17.222222222222225,1.495765628303718,2.237314814814816,8.685090744989328
10,175,27.942857142857143,14.159965558301936,200.50462461229705,50.674723368156215
11,10471,26.579136026485852,9.064868630035265,82.17184327979743,34.105204251192404
12,17346,27.365220608017218,8.559329000777215,73.26211294354589,31.27812899220545
13,11197,28.099001220565032,10.52333133713629,110.74050243115465,37.45090885805043
14,6731,28.055298865943644,11.850038957590737,140.42342329641818,42.238149071994066
15,4392,27.672419550698237,11.555865078296419,133.5380177077907,41.759503743881474
16,3448,28.278721964423823,12.9291347003066,167.16252409867224,45.72036429571378
17,4090,28.966625916870417,14.146036729477682,200.11035515173162,48.83563853820789
18,6903,28.98478439325897,13.672530823840429,186.93809912886664,47.17140772322001
19,8739,30.272748598237783,14.252193999569988,203.12503380137875,47.079286353270305
20,8156,30.44335458558117,13.674668552821442,186.99656002952366,44.91840251828933
21,5186,28.987328062733,11.876987819262204,141.0628396589028,40.9730341256655
22,1593,26.521479388993512,9.78486095114308,95.74350383320467,36.894099335966246
23,12,13.781944444444443,10.294721257732565,105.98128577441076,74.69716119689053
