月,曜日,2024_営業日数,2024_日当たり客数,2025_営業日数,2025_日当たり客数,差分_日当たり客数,曜日順
1,月,4,138.75,4.0,97.5,-41.25,0
1,火,3,248.66666666666666,4.0,98.0,-150.66666666666666,1
1,水,4,221.75,4.0,102.25,-119.5,2
1,木,3,199.33333333333334,4.0,129.0,-70.33333333333334,3
1,金,2,272.5,4.0,130.25,-142.25,4
1,土,3,114.0,3.0,92.0,-22.0,5
1,日,3,100.0,3.0,90.66666666666667,-9.333333333333329,6
2,月,4,118.75,4.0,104.75,-14.0,0
2,火,4,168.75,4.0,135.0,-33.75,1
2,水,4,174.5,3.0,116.33333333333333,-58.16666666666667,2
2,木,5,164.0,4.0,119.75,-44.25,3
2,金,4,156.25,4.0,155.75,-0.5,4
2,土,4,110.25,4.0,101.25,-9.0,5
2,日,4,119.5,4.0,103.25,-16.25,6
3,月,4,128.25,1.0,10.0,-118.25,0
3,火,4,109.0,,,,1
3,水,4,130.5,,,,2
3,木,4,136.5,,,,3
3,金,5,159.0,1.0,2.0,-157.0,4
3,土,5,92.2,,,,5
3,日,5,106.6,,,,6
4,月,5,151.6,4.0,282.75,131.15,0
4,火,5,159.4,5.0,316.0,156.6,1
4,水,4,141.25,5.0,343.2,201.95,2
4,木,4,170.25,4.0,335.5,165.25,3
4,金,4,173.75,4.0,364.5,190.75,4
4,土,4,126.5,4.0,294.25,167.75,5
4,日,4,122.75,4.0,259.75,137.0,6
5,月,4,145.75,4.0,232.25,86.5,0
5,火,4,164.5,4.0,222.5,58.0,1
5,水,5,168.0,4.0,237.0,69.0,2
5,木,5,171.8,5.0,267.6,95.80000000000001,3
5,金,5,183.0,5.0,251.0,68.0,4
5,土,4,105.25,5.0,214.4,109.15,5
5,日,4,115.5,4.0,212.0,96.5,6
6,月,4,157.25,1.0,267.0,109.75,0
6,火,4,148.75,1.0,198.0,49.25,1
6,水,4,185.0,1.0,197.0,12.0,2
6,木,4,157.5,1.0,248.0,90.5,3
6,金,4,162.25,1.0,281.0,118.75,4
6,土,5,93.0,1.0,224.0,131.0,5
6,日,5,89.0,2.0,184.0,95.0,6
7,月,5,156.6,4.0,184.5,27.900000000000006,0
7,火,5,181.6,5.0,217.4,35.80000000000001,1
7,水,5,185.0,5.0,226.6,41.599999999999994,2
7,木,4,188.0,5.0,290.2,102.19999999999999,3
7,金,4,187.0,3.0,233.0,46.0,4
7,土,4,113.75,4.0,178.75,65.0,5
7,日,4,126.25,4.0,168.75,42.5,6
8,月,4,167.0,4.0,183.5,16.5,0
8,火,4,190.0,4.0,204.0,14.0,1
8,水,4,179.75,4.0,202.75,23.0,2
8,木,5,167.2,4.0,215.75,48.55000000000001,3
8,金,5,147.8,5.0,224.0,76.19999999999999,4
8,土,5,111.6,5.0,185.4,73.80000000000001,5
8,日,4,111.75,5.0,151.8,40.05000000000001,6
9,月,5,136.8,4.0,166.75,29.94999999999999,0
9,火,4,150.0,3.0,204.66666666666666,54.66666666666666,1
9,水,4,177.0,3.0,201.0,24.0,2
9,木,4,186.5,3.0,200.0,13.5,3
9,金,4,182.0,3.0,218.33333333333334,36.33333333333334,4
9,土,4,123.75,3.0,193.33333333333334,69.58333333333334,5
9,日,5,96.4,3.0,170.0,73.6,6
10,月,4,137.5,4.0,196.5,59.0,0
10,火,5,157.6,4.0,211.0,53.400000000000006,1
10,水,5,172.4,5.0,227.6,55.19999999999999,2
10,木,5,175.8,5.0,243.4,67.6,3
10,金,4,185.75,5.0,234.8,49.05000000000001,4
10,土,4,109.25,4.0,180.25,71.0,5
10,日,4,101.0,4.0,182.75,81.75,6
11,月,4,135.5,4.0,184.75,49.25,0
11,火,4,148.5,4.0,208.0,59.5,1
11,水,4,139.75,4.0,233.75,94.0,2
11,木,4,138.5,4.0,243.75,105.25,3
11,金,5,139.4,4.0,242.25,102.85,4
11,土,5,104.8,5.0,194.0,89.2,5
11,日,4,97.25,5.0,179.2,81.94999999999999,6
12,月,5,102.8,4.0,171.5,68.7,0
12,火,4,111.0,3.0,206.66666666666666,95.66666666666666,1
12,水,4,116.75,3.0,219.33333333333334,102.58333333333334,2
12,木,4,125.75,3.0,205.33333333333334,79.58333333333334,3
12,金,4,137.75,3.0,244.33333333333334,106.58333333333334,4
12,土,4,94.25,3.0,175.66666666666666,81.41666666666666,5
12,日,5,75.0,3.0,181.33333333333334,106.33333333333334,6
