月,時間帯,2024_営業日数,2024_日当たり客数,2025_営業日数,2025_日当たり客数,差分_日当たり客数,時間帯順
1,ランチ(11-15時),20,109.65,26.0,55.88461538461539,-53.76538461538462,0
1,アイドル(15-17時),19,21.0,25.0,8.36,-12.64,1
1,ディナー(17-22時),18,69.83333333333333,26.0,37.84615384615385,-31.987179487179482,2
1,その他,18,6.888888888888889,20.0,6.5,-0.3888888888888893,3
2,ランチ(11-15時),29,81.06896551724138,27.0,54.851851851851855,-26.217113665389526,0
2,アイドル(15-17時),29,11.413793103448276,27.0,9.777777777777779,-1.6360153256704972,1
2,ディナー(17-22時),29,48.10344827586207,27.0,47.74074074074074,-0.3627075351213307,2
2,その他,27,5.0,21.0,9.238095238095237,4.238095238095237,3
3,ランチ(11-15時),31,61.25806451612903,2.0,3.5,-57.75806451612903,0
3,アイドル(15-17時),31,8.193548387096774,,,,1
3,ディナー(17-22時),31,47.38709677419355,1.0,5.0,-42.38709677419355,2
3,その他,26,7.076923076923077,,,,3
4,ランチ(11-15時),30,76.0,30.0,148.83333333333334,72.83333333333334,0
4,アイドル(15-17時),30,10.3,30.0,30.366666666666667,20.066666666666666,1
4,ディナー(17-22時),30,56.53333333333333,30.0,135.5,78.96666666666667,2
4,その他,28,7.428571428571429,1.0,2.0,-5.428571428571429,3
5,ランチ(11-15時),31,77.6774193548387,31.0,107.48387096774194,29.80645161290323,0
5,アイドル(15-17時),31,11.419354838709678,31.0,21.29032258064516,9.870967741935482,1
5,ディナー(17-22時),31,56.193548387096776,31.0,106.06451612903226,49.87096774193548,2
5,その他,28,8.357142857142858,,,,3
6,ランチ(11-15時),30,75.03333333333333,8.0,100.0,24.96666666666667,0
6,アイドル(15-17時),30,11.4,8.0,21.375,9.975,1
6,ディナー(17-22時),30,44.3,8.0,101.5,57.2,2
6,その他,25,9.24,,,,3
7,ランチ(11-15時),31,85.41935483870968,30.0,98.2,12.780645161290323,0
7,アイドル(15-17時),31,11.96774193548387,30.0,18.666666666666668,6.698924731182798,1
7,ディナー(17-22時),31,59.645161290322584,30.0,99.53333333333333,39.88817204301075,2
7,その他,26,8.0,2.0,3.0,-5.0,3
8,ランチ(11-15時),31,79.29032258064517,31.0,84.48387096774194,5.193548387096769,0
8,アイドル(15-17時),31,12.96774193548387,31.0,18.29032258064516,5.32258064516129,1
8,ディナー(17-22時),31,53.096774193548384,31.0,91.74193548387096,38.64516129032258,2
8,その他,25,8.84,,,,3
9,ランチ(11-15時),30,78.26666666666667,22.0,88.68181818181819,10.415151515151521,0
9,アイドル(15-17時),30,10.3,22.0,19.181818181818183,8.881818181818183,1
9,ディナー(17-22時),30,52.63333333333333,22.0,84.31818181818181,31.68484848484848,2
9,その他,24,8.625,1.0,1.0,-7.625,3
10,ランチ(11-15時),31,76.54838709677419,31.0,98.64516129032258,22.096774193548384,0
10,アイドル(15-17時),31,12.225806451612904,31.0,20.548387096774192,8.322580645161288,1
10,ディナー(17-22時),31,54.74193548387097,31.0,94.06451612903226,39.32258064516129,2
10,その他,26,8.23076923076923,,,,3
11,ランチ(11-15時),30,65.33333333333333,30.0,95.3,29.96666666666667,0
11,アイドル(15-17時),30,10.133333333333333,30.0,22.566666666666666,12.433333333333334,1
11,ディナー(17-22時),30,47.1,30.0,92.63333333333334,45.53333333333334,2
11,その他,24,7.583333333333333,1.0,1.0,-6.583333333333333,3
12,ランチ(11-15時),30,59.9,22.0,95.18181818181819,35.28181818181819,0
12,アイドル(15-17時),30,7.033333333333333,22.0,16.136363636363637,9.103030303030303,1
12,ディナー(17-22時),30,36.1,22.0,87.86363636363636,51.76363636363636,2
12,その他,23,6.086956521739131,2.0,1.0,-5.086956521739131,3
