date,total_sales,total_customers,slip_count,avg_spend_per_customer,avg_customers_per_slip,weekday,weekday_name,is_weekend,lunch_ratio,dinner_ratio,alcohol_ratio,topping_ratio,soft_drink_ratio,alacarte_ratio,item_count,unique_products,avg_items_per_slip,peak_concentration,month,day
2024-01-07,0,4,1,0.0,4.0,6,Sunday,1,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3.0,0.0,1,7
2024-01-08,0,12,12,0.0,1.0,0,Monday,0,0.0,0.0,0.0,0.0,0.0,0.0,17,7,1.4166666666666667,0.0,1,8
2024-01-10,1518,91,80,16.681318681318682,1.1375,2,Wednesday,0,0.0,1.0,0.0,0.0,0.0,0.0,186,39,2.325,0.0,1,10
2024-01-11,0,37,37,0.0,1.0,3,Thursday,0,0.0,0.0,0.0,0.0,0.0,0.0,164,29,4.4324324324324325,0.0,1,11
2024-01-13,0,35,34,0.0,1.0294117647058822,5,Saturday,1,0.0,0.0,0.0,0.0,0.0,0.0,70,18,2.0588235294117645,0.0,1,13
2024-01-15,0,25,23,0.0,1.0869565217391304,0,Monday,0,0.0,0.0,0.0,0.0,0.0,0.0,86,21,3.739130434782609,0.0,1,15
2024-01-16,379755,338,294,1123.5355029585799,1.1496598639455782,1,Tuesday,0,0.405955884495469,0.285556105947143,0.0,0.0,0.0,0.0,514,28,1.748299319727891,0.270549841195839,1,16
2024-01-17,427604,395,355,1082.5417721518988,1.1126760563380282,2,Wednesday,0,0.4123436326435472,0.3001994250343166,0.0,0.0,0.0,0.0,577,23,1.6253521126760564,0.27145114086659244,1,17
2024-01-18,380715,342,317,1113.201754385965,1.0788643533123028,3,Thursday,0,0.4196287404110792,0.3279850090765357,0.0,0.0,0.0,0.0,510,24,1.608832807570978,0.2896293259940271,1,18
2024-01-19,373584,338,303,1105.2781065088757,1.1155115511551155,4,Friday,0,0.4226487523992322,0.28908902997194746,0.0,0.0,0.0,0.0,492,22,1.6237623762376239,0.298361139819873,1,19
2024-01-20,198814,179,140,1110.6927374301677,1.2785714285714285,5,Saturday,1,0.43913909483235586,0.2257939581719597,0.0,0.0,0.0,0.0,274,23,1.957142857142857,0.32062631404227065,1,20
2024-01-21,205557,185,141,1111.118918918919,1.3120567375886525,6,Sunday,1,0.29924546476159897,0.29940600417402474,0.0,0.0,0.0,0.0,269,24,1.9078014184397163,0.24027398726387328,1,21
2024-01-22,355664,329,290,1081.045592705167,1.1344827586206896,0,Monday,0,0.485229020814366,0.25360248642200106,0.0,0.0,0.0,0.0,462,23,1.5931034482758621,0.3321508178193577,1,22
2024-01-23,277563,228,209,1217.3815789473683,1.0909090909090908,1,Tuesday,0,0.528615776486508,0.2525272625965136,0.0,0.0,0.0,0.0,325,27,1.555023923444976,0.3873278675475603,1,23
2024-01-24,249592,202,185,1235.6039603960396,1.0918918918918918,2,Wednesday,0,0.5177443742773281,0.2413946455572356,0.0,0.0,0.0,0.0,284,28,1.5351351351351352,0.3586231432891577,1,24
2024-01-25,267388,219,187,1220.9497716894978,1.1711229946524064,3,Thursday,0,0.4948576600296199,0.20939608359387857,0.0,0.0,0.0,0.0,311,27,1.6631016042780749,0.38682738193187427,1,25
2024-01-26,252219,207,190,1218.4492753623188,1.0894736842105264,4,Friday,0,0.5086135461642461,0.2617209647171704,0.0,0.0,0.0,0.0,292,26,1.5368421052631578,0.3861485455100528,1,26
2024-01-27,164648,128,109,1286.3125,1.1743119266055047,5,Saturday,1,0.39176910742918225,0.2824024585783004,0.0,0.0,0.0,0.0,197,27,1.8073394495412844,0.29509620523784075,1,27
2024-01-28,135529,111,81,1220.981981981982,1.3703703703703705,6,Sunday,1,0.443250392659337,0.21749194015045054,0.0,0.0,0.0,0.0,163,28,2.0123456790123457,0.2740348846821526,1,28
2024-01-29,237041,189,169,1254.1851851851852,1.1183431952662721,0,Monday,0,0.49481891674151995,0.29381696283880765,0.0,0.0,0.0,0.0,278,30,1.6449704142011834,0.42731204104121717,1,29
2024-01-30,227337,180,157,1262.9833333333333,1.1464968152866242,1,Tuesday,0,0.5922178988326848,0.14591439688715954,0.0,0.0,0.0,0.0,284,29,1.8089171974522293,0.4235408560311284,1,30
2024-01-31,242045,199,183,1216.3065326633166,1.0874316939890711,2,Wednesday,0,0.5656556272934182,0.2691253657856844,0.0,0.0,0.0,0.0,296,28,1.6174863387978142,0.4015049468159227,1,31
2024-02-01,208197,176,164,1182.9375,1.0731707317073171,3,Thursday,0,0.5989327415860939,0.1963332804987584,0.0,0.0,0.0,0.0,259,30,1.579268292682927,0.4333491837058171,2,1
2024-02-02,236337,191,177,1237.3664921465968,1.07909604519774,4,Friday,0,0.5698990087899757,0.25743407518234523,0.0,0.0,0.0,0.0,266,26,1.502824858757062,0.44870955676080043,2,2
2024-02-03,137519,111,89,1238.9099099099099,1.247191011235955,5,Saturday,1,0.36746708473979744,0.2089299140923707,0.0,0.0,0.0,0.0,162,23,1.8202247191011236,0.2672415172215201,2,3
2024-02-04,166496,153,120,1088.2091503267975,1.275,6,Sunday,1,0.4201242071881607,0.1804968287526427,0.0,0.0,0.0,0.0,216,28,1.8,0.30582716701902746,2,4
2024-02-05,75328,81,64,929.9753086419753,1.265625,0,Monday,0,0.757447429906542,0.036799065420560745,0.0,0.0,0.0,0.0,105,18,1.640625,0.4724007009345794,2,5
2024-02-06,171985,144,128,1194.3402777777778,1.125,1,Tuesday,0,0.4233450591621362,0.2717620722737448,0.0,0.0,0.0,0.0,211,27,1.6484375,0.30905020786696513,2,6
2024-02-07,230021,191,177,1204.2984293193717,1.07909604519774,2,Wednesday,0,0.5139400315623356,0.28803022332743533,0.0,0.0,0.0,0.0,264,28,1.4915254237288136,0.40380660896179044,2,7
2024-02-08,205489,172,156,1194.703488372093,1.1025641025641026,3,Thursday,0,0.5474049192761946,0.2161664318994474,0.0,0.0,0.0,0.0,245,30,1.5705128205128205,0.41727164373171527,2,8
2024-02-09,213598,175,150,1220.56,1.1666666666666667,4,Friday,0,0.5114326913173345,0.2480173035328046,0.0,0.0,0.0,0.0,258,30,1.72,0.34081779791945616,2,9
2024-02-10,146080,122,95,1197.377049180328,1.2842105263157895,5,Saturday,1,0.2463855421686747,0.32643072289156627,0.0,0.0,0.0,0.0,173,29,1.8210526315789475,0.09246987951807228,2,10
2024-02-11,174515,147,100,1187.1768707482993,1.47,6,Sunday,1,0.3804601323668453,0.34257800189095494,0.0,0.0,0.0,0.0,226,28,2.26,0.2755121336274819,2,11
2024-02-12,169886,127,92,1337.6850393700788,1.3804347826086956,0,Monday,0,0.33119130004943154,0.3089471082550667,0.0,0.0,0.0,0.0,205,27,2.2282608695652173,0.23790692747687311,2,12
