年月,日付,売上差/営業日,客数要因寄与,客単価要因寄与,検算,前月売上/営業日,当月売上/営業日,前月客数/営業日,当月客数/営業日,前月客単価,当月客単価,前月営業日数,当月営業日数
2024-02,2024-02-01,-87978.4705882353,-100335.31106013557,12356.840471900294,-87978.47058823527,257445.4705882353,169467.0,233.7058823529412,145.24137931034483,1101.5789076264787,1166.795584045584,17.0,29.0
2024-03,2024-03-01,-21406.354838709667,-26654.559139415654,5248.2043007059765,-21406.354838709678,169467.0,148060.64516129033,145.24137931034483,122.7741935483871,1166.795584045584,1205.9590120861797,29.0,31.0
2024-04,2024-04-01,22359.588172043004,31633.342673936568,-9273.754501893554,22359.58817204301,148060.64516129033,170420.23333333334,122.7741935483871,149.76666666666668,1205.9590120861797,1137.9049632762074,31.0,30.0
2024-05,2024-05-01,3639.766666666663,3497.1409226954283,142.62574397124567,3639.766666666674,170420.23333333334,174060.0,149.76666666666668,152.83870967741936,1137.9049632762074,1138.8476150274378,30.0,31.0
2024-06,2024-06-01,-14398.100000000006,-16509.97502419087,2111.8750241908597,-14398.10000000001,174060.0,159661.9,152.83870967741936,138.43333333333334,1138.8476150274378,1153.3486636166626,31.0,30.0
2024-07,2024-07-01,29286.487096774188,29197.126813021478,89.36028375273818,29286.487096774217,159661.9,188948.38709677418,138.43333333333334,163.74193548387098,1153.3486636166626,1153.9401103230891,30.0,31.0
2024-08,2024-08-01,-12603.709677419334,-13005.434141624793,401.72446420541553,-12603.709677419378,188948.38709677418,176344.67741935485,163.74193548387098,152.48387096774192,1153.9401103230891,1156.4808546646923,31.0,31.0
2024-09,2024-09-01,-4940.177419354848,-5071.782236376544,131.6048170216985,-4940.177419354845,176344.67741935485,171404.5,152.48387096774192,148.1,1156.4808546646923,1157.356515867657,31.0,30.0
2024-10,2024-10-01,8512.177419354848,2729.2510503690423,5782.926368985775,8512.177419354817,171404.5,179916.67741935485,148.1,150.41935483870967,1157.356515867657,1196.1005790263778,30.0,31.0
2024-11,2024-11-01,-5994.277419354854,-27757.34512372287,21763.067704368063,-5994.277419354807,179916.67741935485,173922.4,150.41935483870967,128.63333333333333,1196.1005790263778,1352.0787768852035,31.0,30.0
2024-12,2024-12-01,-19939.29999999999,-29116.3797774523,9177.079777452296,-19939.300000000003,173922.4,153983.1,128.63333333333333,107.7,1352.0787768852035,1429.7409470752089,30.0,30.0
2025-01,2025-01-01,-6000.638461538474,-1310.4038588433452,-4690.234602695102,-6000.638461538447,153983.1,147982.46153846153,107.7,106.76923076923077,1429.7409470752089,1386.0028818443805,30.0,26.0
2025-02,2025-02-01,25668.57549857552,18146.827668001293,7521.747830574205,25668.575498575497,147982.46153846153,173651.03703703705,106.76923076923077,119.55555555555556,1386.0028818443805,1452.4714993804214,26.0,27.0
2025-05,2025-05-01,-104857.79677419359,-128701.23650389403,23843.439729700513,-104857.79677419353,493186.7,388328.9032258064,314.76666666666665,234.83870967741936,1566.83268029228,1653.5983516483516,30.0,31.0
2025-06,2025-06-01,-15155.278225806425,-19907.38094611565,4752.102720309215,-15155.278225806433,388328.9032258064,373173.625,234.83870967741936,222.875,1653.5983516483516,1674.3628715647785,31.0,8.0
2025-07,2025-07-01,-13033.525000000023,-10470.02433017162,-2563.500669828377,-13033.524999999998,373173.625,360140.1,222.875,216.6,1674.3628715647785,1662.6966759002771,8.0,30.0
2025-08,2025-08-01,-28420.454838709673,-37189.84291354412,8769.388074834433,-28420.454838709687,360140.1,331719.6451612903,216.6,194.51612903225808,1662.6966759002771,1705.3580431177445,30.0,31.0
2025-09,2025-09-01,-4297.372434017598,-3900.9735088372954,-396.3989251803086,-4297.372434017604,331719.6451612903,327422.2727272727,194.51612903225808,192.22727272727272,1705.3580431177445,1703.3081106644597,31.0,22.0
2025-10,2025-10-01,34567.08211143699,35760.04437273324,-1192.9622612962723,34567.08211143697,327422.2727272727,361989.3548387097,192.22727272727272,213.25806451612902,1703.3081106644597,1697.4239903191651,22.0,31.0
2025-11,2025-11-01,9012.411827956967,-4713.272209043818,13725.684037000801,9012.411827956983,361989.3548387097,371001.76666666666,213.25806451612902,210.53333333333333,1697.4239903191651,1762.1996516782774,31.0,30.0
2025-12,2025-12-01,7377.187878787867,-20612.534607356734,27989.722486144612,7377.187878787878,371001.76666666666,378378.95454545453,210.53333333333333,199.27272727272728,1762.1996516782774,1898.7994981751824,30.0,22.0
2026-01,2026-01-01,-37362.32954545453,-5267.137636589581,-32095.191908864952,-37362.32954545453,378378.95454545453,341016.625,199.27272727272728,196.375,1898.7994981751824,1736.5582431572248,22.0,16.0
