date,daypart,total_sales,total_customers,slip_count,avg_unit_price,avg_customers_per_slip,alcohol_ratio,topping_ratio,soft_drink_ratio,unique_products,items_per_slip,peak_concentration,weekday,weekday_name,is_weekend,sales_category
2026-01-05,Dinner,132860,77,59,1725.4545454545455,1.305084745762712,0.0981484269155502,0.010913743790456119,0.011139545386120728,49,2.6440677966101696,0.17356615986752974,0,Monday,0,Low
2026-01-06,Dinner,118010,73,57,1616.5753424657535,1.280701754385965,0.05431743072620964,0.004236929073807304,0.008812812473519194,38,1.9824561403508771,0.13270061859164478,1,Tuesday,0,Low
2026-01-07,Dinner,120270,74,62,1625.2702702702702,1.1935483870967742,0.0752473601064272,0.005820237798287187,0.007566309137773343,44,2.2419354838709675,0.29067930489731436,2,Wednesday,0,Low
2026-01-08,Dinner,149270,94,75,1587.9787234042553,1.2533333333333334,0.04173645072687077,0.004019561867756415,0.007838145642125009,38,1.96,0.20278689622831111,3,Thursday,0,Low
2026-01-09,Dinner,174660,106,82,1647.7358490566037,1.2926829268292683,0.06681552731020268,0.004007786556738807,0.008187335394480705,44,2.1097560975609757,0.24367342264971945,4,Friday,0,Middle
2026-01-10,Dinner,160070,100,70,1600.7,1.4285714285714286,0.04391828574998438,0.0018741800462297744,0.012994314987193103,43,2.2285714285714286,0.2485162741300681,5,Saturday,1,Middle
2026-01-11,Dinner,164850,102,65,1616.1764705882354,1.5692307692307692,0.08280254777070063,0.0018198362147406734,0.023657870791628753,48,2.723076923076923,0.19290263876251137,6,Sunday,1,Middle
2026-01-12,Dinner,151420,81,52,1869.3827160493827,1.5576923076923077,0.08030643243957206,0.001320829480914014,0.008585391625941092,46,3.019230769230769,0.37062475234447234,0,Monday,0,Middle
2026-01-13,Dinner,152300,91,67,1673.6263736263736,1.3582089552238805,0.0458962573867367,0.003282994090610637,0.011096520026263953,49,2.253731343283582,0.2233092580433355,1,Tuesday,0,Middle
2026-01-14,Dinner,156030,99,85,1576.060606060606,1.1647058823529413,0.035954624110747936,0.006409023905659168,0.011664423508299685,51,2.070588235294118,0.20835736717297956,2,Wednesday,0,Middle
2026-01-15,Dinner,217450,135,94,1610.7407407407406,1.4361702127659575,0.05132214302138423,0.005518510002299379,0.014348126005978385,55,2.404255319148936,0.19061853299609105,3,Thursday,0,High
2026-01-16,Dinner,192300,115,83,1672.1739130434783,1.3855421686746987,0.08606344253770151,0.006760270410816433,0.01014040561622465,50,2.397590361445783,0.32147685907436296,4,Friday,0,Middle
2026-01-17,Dinner,119140,74,52,1610.0,1.4230769230769231,0.05321470538861843,0.005875440658049354,0.02182306530132617,39,2.4038461538461537,0.2340104079234514,5,Saturday,1,Low
2026-01-18,Dinner,150510,91,63,1653.956043956044,1.4444444444444444,0.054813633645604945,0.0053152614444222975,0.006909839877748986,49,2.5714285714285716,0.2838349611321507,6,Sunday,1,Middle
2026-01-19,Dinner,203110,128,94,1586.796875,1.3617021276595744,0.05588104967751465,0.003938752400177244,0.016641228890748854,50,2.3617021276595747,0.20575057850425876,0,Monday,0,High
2026-01-20,Dinner,162690,99,75,1643.3333333333333,1.32,0.05138607167004733,0.0018439977872026553,0.007990657077878173,51,2.1066666666666665,0.2266887946401131,1,Tuesday,0,Middle
2025-10-01,Dinner,147770,93,78,1588.9247311827958,1.1923076923076923,0.06395073424917101,0.00812072815862489,0.0,54,2.1538461538461537,0.1969953305813088,2,Wednesday,0,Low
2025-10-02,Dinner,167240,103,76,1623.6893203883494,1.355263157894737,0.06362114326716097,0.006577373834011002,0.0,45,2.4078947368421053,0.15522602248265965,3,Thursday,0,Middle
2025-10-03,Dinner,174060,108,83,1611.6666666666667,1.3012048192771084,0.05653223026542571,0.008617718028266115,0.0,52,2.3855421686746987,0.2928875100540044,4,Friday,0,Middle
2025-10-04,Dinner,142920,92,70,1553.4782608695652,1.3142857142857143,0.06542121466554716,0.00279876854184159,0.005247691015952981,47,2.2285714285714286,0.24769101595298068,5,Saturday,1,Low
2025-10-05,Dinner,206100,109,75,1890.8256880733945,1.4533333333333334,0.09184861717612809,0.008248423095584668,0.0012130033964095099,66,3.546666666666667,0.16026200873362445,6,Sunday,1,High
2025-10-06,Dinner,120320,76,58,1583.157894736842,1.3103448275862069,0.0688996010638298,0.00581781914893617,0.016622340425531915,45,2.293103448275862,0.20079787234042554,0,Monday,0,Low
2025-10-07,Dinner,168380,102,84,1650.7843137254902,1.2142857142857142,0.07304905570732866,0.01187789523696401,0.004454210713861504,53,2.488095238095238,0.18820525002969474,1,Tuesday,0,Middle
