来店日,来店時間,合計,人数,商品点数,カテゴリー名,メニュー名,価格,注文数量,来店日時,曜日,会計ID
2025/8/9,10:31:57,1360.0,1.0,2.0,テイクアウト,TOあんこカフェ・オレ,680,1,2025-08-09 10:31:57,土,1
2025/8/9,10:31:57,1360.0,1.0,2.0,テイクアウト,TO千休抹茶ラテ,680,1,2025-08-09 10:31:57,土,1
2025/8/9,10:33:12,1360.0,1.0,2.0,ドリンク,あんこカフェ・オレ,680,1,2025-08-09 10:33:12,土,2
2025/8/9,10:33:12,1360.0,1.0,2.0,ドリンク,千休抹茶ラテ,680,1,2025-08-09 10:33:12,土,2
2025/8/9,10:54:28,680.0,1.0,1.0,テイクアウト,TO千休抹茶ラテ,680,1,2025-08-09 10:54:28,土,3
2025/8/9,10:14:22,2840.0,2.0,5.0,スイーツ,あんこカヌレ,580,1,2025-08-09 10:14:22,土,4
2025/8/9,10:14:22,2840.0,2.0,5.0,フード,だし巻きサンドイッチ,980,1,2025-08-09 10:14:22,土,4
2025/8/9,10:14:22,2840.0,2.0,5.0,フード,チキンソテーと彩り野菜のサンドイッチ,980,1,2025-08-09 10:14:22,土,4
2025/8/9,10:14:22,2840.0,2.0,5.0,ドリンクセット,ドリンクセット(紅茶),150,2,2025-08-09 10:14:22,土,4
2025/8/9,11:01:17,3800.0,1.0,5.0,テイクアウト,TOあんこカフェ・オレ,680,1,2025-08-09 11:01:17,土,5
2025/8/9,11:01:17,3800.0,1.0,5.0,テイクアウト,TOあんこカヌレ,580,2,2025-08-09 11:01:17,土,5
2025/8/9,11:01:17,3800.0,1.0,5.0,テイクアウト,TOだし巻きサンドイッチ,980,1,2025-08-09 11:01:17,土,5
2025/8/9,11:01:17,3800.0,1.0,5.0,テイクアウト,TOチキンソテーと彩り野菜のサンドイッチ,980,1,2025-08-09 11:01:17,土,5
2025/8/9,11:04:51,580.0,1.0,1.0,テイクアウト,TOあんこカヌレ,580,1,2025-08-09 11:04:51,土,6
2025/8/9,10:13:52,1980.0,1.0,2.0,フード,だし巻きサンドイッチ,980,1,2025-08-09 10:13:52,土,7
2025/8/9,10:13:52,1980.0,1.0,2.0,物販,TEAET 緑茶ティーバッグ 3g/6 個入,1000,1,2025-08-09 10:13:52,土,7
2025/8/9,10:15:14,1460.0,1.0,2.0,ドリンク,千休抹茶シェイク,880,1,2025-08-09 10:15:14,土,8
2025/8/9,10:15:14,1460.0,1.0,2.0,スイーツ,あんこカヌレ,580,1,2025-08-09 10:15:14,土,8
2025/8/9,11:22:35,980.0,1.0,1.0,テイクアウト,TOチキンソテーと彩り野菜のサンドイッチ,980,1,2025-08-09 11:22:35,土,9
2025/8/9,11:28:04,2240.0,1.0,3.0,テイクアウト,TO千休抹茶ラテ,680,1,2025-08-09 11:28:04,土,10
2025/8/9,11:28:04,2240.0,1.0,3.0,テイクアウト,TO千休抹茶シェイク,880,1,2025-08-09 11:28:04,土,10
2025/8/9,11:28:04,2240.0,1.0,3.0,テイクアウト,TOあんこわらび餅,680,1,2025-08-09 11:28:04,土,10
