予約受付日,ステータス,予約経路,AIR店舗ID,店舗コード,店舗名,来店日,開始時間,終了時間,コース名,コース金額,利用ポイント,人数,ネット予約フラグ,テーブル,予約依頼番号,発行ポイント,要望,メモ,キーワード,スマート支払い利用有無,決済確定金額
20250814 20:03:00,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250913,1800,1930,お席のみのご予約,,,2,HPG即,A5,SCR361958,100,,,,,
20250822 12:42:37,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250906,1930,2100,お席のみのご予約,,,3,HPG即,A3,SCS115860,150,,,,,
20250823 21:05:00,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250903,1840,2030,,,,4,,D個室1,,,,"ホットクBD
",,,
20250823 22:14:47,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250904,1900,2030,お席のみのご予約,,,2,HPG即,A3,SCS291509,100,,,,,
20250824 11:32:49,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250907,1700,1830,お席のみのご予約,,,2,HPG即,A5,SCS317668,100,個室があるならできるだけ個室がいいです,,,,
20250824 22:26:00,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250921,1800,1930,お席のみのご予約,,,2,HPG即,A3,SCS384074,100,,,,,
20250826 20:59:54,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250920,1830,2000,お席のみのご予約,,100,2,HPG即,B2,SCS562491,100,,,,,
20250827 11:00:05,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250913,1530,1700,お席のみのご予約,,,4,HPG即,B4,SCS597251,200,,,,,
20250829 07:57:07,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250907,1800,1930,お席のみのご予約,,,4,HPG即,B4,SCS787075,200,,,,,
20250830 00:04:59,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250902,1710,1840,お席のみのご予約,,,4,HPG即,A5,SCS886100,600,,,,,
20250830 19:22:59,退店,ホームページ予約ツール,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250913,1900,2030,お席のみのご予約,,,3,HPDS即,A3,SCS967081,,,,,,
20250831 12:56:49,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250906,1320,1450,お席のみのご予約,,,3,HPG即,A5,SCT018318,30,,,,,
20250901 00:30:02,退店,ホームページ予約ツール,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250903,1130,1300,お席のみのご予約,,,2,HPDS即,A5,SCT085930,,,,,,
20250901 11:36:56,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250907,1830,2000,お席のみのご予約,,,4,HPG即,D個室1,SCT103247,200,"ちっさい子供がいるので奥の個室が希望です(  . .)""",,,,
20250901 20:52:00,顧客キャンセル,ホームページ予約ツール,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250905,1300,1430,お席のみのご予約,,,2,HPDS即,A5,SCT156046,,,,,,
20250902 17:12:57,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250904,1830,2000,,,,3,,D個室1,,,,,,,
20250902 17:23:30,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250902,1720,1850,,,,6,,"B1, B2",,,,,,,
20250902 19:27:48,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250902,1925,2055,,,,6,,"A3, A4",,,,,,,
20250903 07:27:07,退店,ネット予約（食べログ）,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250904,1230,1400,,,,2,,A3,,,,"コース          ：お席のみのご予約
ご要望          ：
",,,
20250903 11:33:00,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250903,1135,1305,,,,2,,A1,,,,,,,
20250903 11:38:57,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250903,1150,1320,,,,2,,A3,,,,,,,
20250903 11:59:00,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250903,1200,1330,,,,2,,B3,,,,,,,
20250903 12:27:55,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250903,1225,1355,,,,1,,A4,,,,,,,
20250903 12:50:55,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250903,1250,1420,,,,1,,B2,,,,,,,
20250903 18:02:02,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250903,1830,2000,お席のみのご予約,,,3,HPG即,A5,SCT319009,150,,,,,
20250903 18:09:00,退店,ホームページ予約ツール,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250904,1300,1430,お席のみのご予約,,,3,HPDS即,A5,SCT320566,,,,,,
20250903 19:18:11,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250903,1915,2045,,,,3,,A3,,,,,,,
20250903 20:10:19,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250903,2010,2140,,,,2,,A1,,,,,,,
