H.伝票番号,H.曜日,H.伝票発行日,H.テーブル番号,H.客数（合計）,H.小計,D.オーダー番号,D.商品カテゴリ1,D.商品カテゴリ2,D.帳票集計対象商品,D.商品,D.価格,D.数量,D.オーダー担当者,D.オーダー日時,D.オーダーキャンセル担当者,D.オーダーキャンセル日時,D.オーダーステータス
No:202500100002563,金,2025/08/01 11:26:46,000000006:T6,3,2550,1,フード,お通し,Yes,00000000362:お通し,0,0,0101:オーナー,2025/08/01 11:26:46,0101:オーナー,2025/08/01 11:44:15,30:キャンセル済
No:202500100002563,金,2025/08/01 11:26:46,000000006:T6,3,2550,2,フード,お通し,Yes,00000000362:お通し,0,0,0101:オーナー,2025/08/01 11:26:46,0101:オーナー,2025/08/01 11:44:15,30:キャンセル済
No:202500100002563,金,2025/08/01 11:26:46,000000006:T6,3,2550,3,フード,お通し,Yes,00000000362:お通し,0,0,0101:オーナー,2025/08/01 11:26:46,0101:オーナー,2025/08/01 11:44:15,30:キャンセル済
No:202500100002563,金,2025/08/01 11:26:46,000000006:T6,3,2550,4,ランチ,ランチ,Yes,00000000170:唐揚げ定食,850,1,0101:オーナー,2025/08/01 11:44:15,, ,20:配膳済
No:202500100002563,金,2025/08/01 11:26:46,000000006:T6,3,2550,5,ランチ,ランチ,Yes,00000000170:唐揚げ定食,850,1,0101:オーナー,2025/08/01 11:44:15,, ,20:配膳済
No:202500100002563,金,2025/08/01 11:26:46,000000006:T6,3,2550,6,ランチ,ランチ,Yes,00000000170:唐揚げ定食,850,1,0101:オーナー,2025/08/01 11:44:15,, ,20:配膳済
No:202500100002564,金,2025/08/01 16:09:56,000000005:T5,2,6922,1,フード,お通し,Yes,00000000362:お通し,380,1,0101:オーナー,2025/08/01 16:09:56,, ,20:配膳済
No:202500100002564,金,2025/08/01 16:09:56,000000005:T5,2,6922,2,フード,お通し,Yes,00000000362:お通し,380,1,0101:オーナー,2025/08/01 16:09:56,, ,20:配膳済
No:202500100002564,金,2025/08/01 16:09:56,000000005:T5,2,6922,3,フード,逸品料理,Yes,00000000423:蒸しエビ餃子,630,1,0104:アルバイト,2025/08/01 16:12:51,, ,20:配膳済
No:202500100002564,金,2025/08/01 16:09:56,000000005:T5,2,6922,4,フード,おつまみ,Yes,00000000031:ｱﾎﾞｶﾄﾞ漬鮪のぶつ切り,680,1,0104:アルバイト,2025/08/01 16:12:51,, ,20:配膳済
No:202500100002564,金,2025/08/01 16:09:56,000000005:T5,2,6922,5,ドリンク,ソフトドリンク,Yes,00000000166:コーラ,350,1,0104:アルバイト,2025/08/01 16:12:51,, ,20:配膳済
No:202500100002564,金,2025/08/01 16:09:56,000000005:T5,2,6922,6,ドリンク,ソフトドリンク,Yes,00000000169:マンゴージュース,350,1,0104:アルバイト,2025/08/01 16:12:51,, ,20:配膳済
No:202500100002564,金,2025/08/01 16:09:56,000000005:T5,2,6922,7,フード,食事,Yes,00000000214:エビチャーハン,780,1,0104:アルバイト,2025/08/01 16:12:51,, ,20:配膳済
No:202500100002564,金,2025/08/01 16:09:56,000000005:T5,2,6922,8,フード,サラダ,Yes,00000000224:しらすのパスタ,1280,1,0104:アルバイト,2025/08/01 16:14:23,, ,20:配膳済
No:202500100002564,金,2025/08/01 16:09:56,000000005:T5,2,6922,9,フード,サラダ,Yes,00000000460:タコとトマトの大葉マリネ,890,1,0101:オーナー,2025/08/01 16:42:48,, ,20:配膳済
No:202500100002564,金,2025/08/01 16:09:56,000000005:T5,2,6922,10,ドリンク,ソフトドリンク,Yes,00000000169:マンゴージュース,350,1,0104:アルバイト,2025/08/01 16:50:28,, ,20:配膳済
No:202500100002564,金,2025/08/01 16:09:56,000000005:T5,2,6922,11,ドリンク,ソフトドリンク,Yes,00000000166:コーラ,350,1,0102:店長,2025/08/01 17:06:56,, ,20:配膳済
No:202500100002565,金,2025/08/01 17:39:34,000000002:T2,2,12026,1,フード,お通し,Yes,00000000362:お通し,380,1,0102:店長,2025/08/01 17:39:34,, ,20:配膳済
No:202500100002565,金,2025/08/01 17:39:34,000000002:T2,2,12026,2,フード,お通し,Yes,00000000362:お通し,380,1,0102:店長,2025/08/01 17:39:34,, ,20:配膳済
No:202500100002565,金,2025/08/01 17:39:34,000000002:T2,2,12026,3,ドリンク,ビール,Yes,00000000097:生ビール,560,1,0102:店長,2025/08/01 17:39:34,, ,20:配膳済
No:202500100002565,金,2025/08/01 17:39:34,000000002:T2,2,12026,4,ドリンク,ビール,Yes,00000000097:生ビール,560,1,0102:店長,2025/08/01 17:39:34,, ,20:配膳済
No:202500100002565,金,2025/08/01 17:39:34,000000002:T2,2,12026,5,フード,焼き物,Yes,00000000194:イカの一夜干し,680,1,0104:アルバイト,2025/08/01 17:42:49,, ,20:配膳済
No:202500100002565,金,2025/08/01 17:39:34,000000002:T2,2,12026,6,フード,おつまみ,Yes,00000000219:よだれ鶏,680,1,0104:アルバイト,2025/08/01 17:42:49,, ,20:配膳済
No:202500100002565,金,2025/08/01 17:39:34,000000002:T2,2,12026,7,フード,逸品料理,Yes,00000000203:モツ煮,680,1,0104:アルバイト,2025/08/01 17:42:49,, ,20:配膳済
No:202500100002565,金,2025/08/01 17:39:34,000000002:T2,2,12026,8,フード,サラダ,Yes,00000000460:タコとトマトの大葉マリネ,890,1,0104:アルバイト,2025/08/01 17:42:49,, ,20:配膳済
No:202500100002565,金,2025/08/01 17:39:34,000000002:T2,2,12026,9,ドリンク,サワー,Yes,00000000113:レモンサワー,450,1,0104:アルバイト,2025/08/01 17:49:19,, ,20:配膳済
