No,タイトル,フック,解決策,エンド,処理済み
1,ネタメモ：キッチン志望はホールから,ほんまのプロの料理人になりたいなら絶対サービスから経験すべき,お客様の気持ちも分からん人間が大した料理を作れるわけがないんです,普段キッチンに篭ってるなら明日からホールに出てお客様と会話してみてください,
2,ネタメモ：1卓あたりのオーダーの時間（モバイルオーダー）,オーダー聞きに行く無駄時間削るだけでええのに勿体無いわぁ,モバイルオーダーなどを賢く導入して本来注力すべき業務を明確に絞ってください,顧客の満足を上げるのはオーダーを取る時だけでは無いんです。 今から削れる業務を洗い出しましょう,
3,ネタメモ：成功に法則性はないが、失敗には法則性がある,成功に法則性はないが、失敗には法則性がある。ということを知ってましたか？,飲食店の成功はめちゃくちゃシンプルで失敗しないこと、たったこれだけ,財務・マーケ・人事・開発・QSC、見ないといけない項目は僕のプロフィールリンクから無料配布している資料で確認できますので受け取って無い方は今すぐ確認してください,
4,ネタメモ：お客様を席に入れる順番（席稼働）,お客様の案内に理論のないお店、終わります,席稼働率を加味して潰れる席がないか確認しながら埋めるべき場所から案内していくようにしましょう,4名がけ席に2名しか座ってなければ、あなたのお店半分しか使えてないことになっちゃいますよ？,
5,ネタメモ：0円でできる接客（ホスピタリティ）,完全無料でできる最強のマーケを知らんのはマジでありえへん！,接客を通してお客様を幸せにするのは誰でもできるはずです,ホスピタリティをバカにする人は集客で泣きます 全業務の中でも接客の優先順位を上げて行きましょう,
6,ネタメモ：1way2job,人時売上高の最大化に使える簡単なマジックを今日はこっそり教えちゃいます,1way3jobを全スタッフに叩き込んでください,一人当たりの生産性を上げるにはいかに同じ時間内に多くの仕事をこなせたかになります,
7,ネタメモ：AI✖️人の接客,オレは飲食やからAIなんて（笑）とかまさか言ってないですよね？,AIにデータを収集させて接客に落とし込むだけで無駄な脳のストレージを使わなくて済むんですよ？,まだAI触ったことない人は一度検索代わりに使うとこから始めましょう,
8,ネタメモ：社会保険料→労務調査,税務調査なんて怖くない！って言ってる人、労働基準監督署が実施する立ち入り調査もあるんですよ？,社労士のいないかたはこの項目だけまずは確認しましょう,調査拒否だけでも罰則になりますので起こさないように対策を講じておきましょう,
9,ネタメモ：SNSの発信もマーケットインで,その投稿誰が見るねん！ってツッコみたくなるような投稿してませんよね？,SNSの発信もあくまでマーケットインの考え方を持ちましょう,見ている人が見たい・知りたい情報をちゃんと出せているか投稿ボタン押す前に振り返れるようにこの投稿を保存しておいてください,
10,ネタメモ：ハラスメントを黙認している人は経営者失格,ハラスメントを黙認している人、飲食店経営者として失格です,「昔は殴られて〜」とか古すぎます,そもそもお客様に満足させてナンボの仕事してるのに従業員を邪険に扱う時点で飲食業の風下にも立てませんよ,
11,ネタメモ：価格帯熟知していますか？ 自分でその価格帯の料理どれだけ食べていますか？,高級料理は食べておけ,自分が出したい価格の料理をどれくらい熟知してますか？ その価格帯の料理をとにかく食べてください,2000円の料理作ってる人が急明日から1万円の料理は作れません,
12,ネタメモ：再生数ではなくお店に行きたい時に、その人に投稿が届くように作っているかどうか,まだ再生数とか言ってる人時代遅れです,あなたのお店に行きたい人が「行きたい！」って思ったタイミングでちゃんとその投稿が届いているかが重要なんです,上っ面の数字に捉われやすいのがSNSマーケですが本質の理解をしてない内は踊らされますよ？,

