No,タイトル,フック,解決策,エンド,処理済み
1,経営者さん、今すぐ実際原価見て！横領にあってる話,横領に合ってる可能性のある飲食店が見落としがちなのが棚卸です,これは実話で僕のクライアント様が昔棚卸と実際原価のズレがひどくて監視カメラをつけたところ相当な額やられてたそうです,棚卸は経理面でも必要ですが、こうした犯罪防止のためにも今月から棚卸をじっししてください,
2,36協定,労基法違反でスタッフ働かせてる犯罪のオンパレード経営してませんよね？,労働時間を守ってあげたいのであれば36協定はちゃんと結んでおいてください,"労基に駆け込まれてからではもう手遅れです
雇用を守るためにも36協定の理解をしておきましょう",
3,バックヤードが汚い店舗は人が育たない,この動画が流れて来た飲食店さん、今すぐバックヤードの確認してください,集中力、士気、健康、幸福感、モチベーションこれら全ての低下に繋がります,"お店の綺麗さは心の投影です
お客様が見えないところも綺麗に保ちましょう",
4,正直商品の優劣ではなくストーリーかベネフィット,もういい加減商品の良さで売るのはやめてください！！,結局お客様がお店を選ぶ基準はお店のストーリーへの共感か、顧客体験としてのベネフィットのどちらかのみです,うちは〇〇のこだわりのお肉が〜とかまだ言ってるのであれば自店の強みの見直すタイミングです,
5,包み隠さずいいます　集客は時間をかけるかお金をかけるかしかできません,包み隠さず言いますが集客は時間をかけるかお金をかけるかでしかできません,"お金がないならとにかく文句を言わずに継続
SNSもグルメ媒体もGoogleも全部明日から跳ねることなんかないです",その忍耐力がないのであれば圧倒的な予算を準備してください,
6,友人や子供の写真を載せるな　ユーザーラベリング「このアカウントはこのジャンル」,インスタグラムに友人や子供の写真は絶対に載せたらあかん,ユーザーラベリングと言ってインスタ側のAIが「このアカウントは〇〇について発信してるアカウントなんや」って評価を受けて発信先を決めて行きます,せっかく集客用に作ったアカウントならプライベートな内容の投稿は一切しないと心に決めてください,
7,収容人数÷4÷４,ホールスタッフの人数何人おけばええねんって悩んでる経営者さんはなんで収容人÷4÷４で計算せえへんのやろ,収容人数÷4で理想テーブル数を計算して、その回答から÷4をすると何人で対応するかが計算できます,開業時やサービスの人件費が高い時に一度計算してみてください,
8,坪売上,坪売上10万円ない店舗終わります,まずは1坪あたりの売上20万円を目指しましょう,あくまで一つの指標でしかないですが、売上目標を決める際に参考にしてみてください,
9,開業費用の内訳,これから飲食店の開業を考えてる人、お金で困りたくないなら開業資金の4大分類くらいは知ってますよね？,"物件取得費、店舗設備費、運転資金、最後に忘れがちなのがオーナーの生活費
物件取得費、店舗設備費で約8割、運転資金、生活費は2割ほど",より詳細に知りたい、資金の相談したい方は是非DMに「面談希望」と送ってください,
10,厨房面積比率,キッチンの広さが全体広さの2割未満の場合お客様が付かないですよ,厨房面積比率の理想は総面積の30％ほどです,"狭すぎると提供に時間がかかるし、広すぎると席数が確保できず売り上げが立ちません
気をつけて設計して行きましょう",
11,スタバの戦略,スタバのギフトもらって有効期限切らしたことある人、まんまとスタバの戦略にハマってます,ギフトを使用しなければ、その売り上げは経費のほとんどかからない純利益となり次の店舗の展開や企業成長に充てられます,ギフト総額の5％〜10％が使用されずに失効するのでスタバの売り上げから換算すると数十億規模になりますね,
12,撤退ラインは決めておく,本来お店畳まなあかんラインやのにズルズル続けてしまうから借金がでかくなるねん,しっかりB/SとP/Lを計画段階から下記出しデッドラインがどこなのかを把握しておきましょう,お店開業のタイミングで閉めてしまうのを考えたくないのも分かりますが、最小限のダメージで手を引くのもビジネスの鉄則です,
