No,テーマ,シーン1,シーン2,シーン3,シーン4,シーン5,シーン6,シーン7,シーン8,シーン9,シーン10,シーン11,シーン12,シーン13,シーン14,シーン15,シーン16,シーン17,参考例ID
1,口コミで反論したことある飲食店オーナーさんそれ閉業への第一歩踏んでますよ,結論な、口コミで反論したことある飲食店オーナーさんそれ閉業への第一歩踏んでますよは『感覚で回す』ほど危ない。今すぐやり方変えよ。,わかるわ…毎日バタバタで『正解どれやねん』って気持ち、ほんましんどいよな。,SNS更新だけ頑張って、数字は見ぇへん…仕入れも『まあこのくらい』で流しがちやろ？,でもそれ、ちゃう。『なんとかなる』は、だいたいなんともならへん。,放っといたら、利益はじわっと消えて、気づいたら“忙しいのに残らへん”未来が来るで。,たぶん今も、原価・人件費・客単価…頭では分かってるけど、手が回らんねんやろ？,ほんまは『売上安定して、休みも取りたい』って思ってる。けど不安が勝つ、やな？,その裏には『間違えたらお客さん減るかも』って怖さ、ちゃんとあるねん。,大丈夫。寄り添うけど、甘やかさへん。変えるんは、今日からにしよ。,このあと、口コミで反論したことある飲食店オーナーさんそれ閉業への第一歩踏んでますよを“感覚”から“仕組み”に変えるヒント、5分で掴もうや。,勘ピューターより“見える化”。スポーツも感覚だけじゃ勝てへんのと同じや。,例えば、日替わりをやめて“売れる3品の強化”に絞ったら、仕込みも楽やろ？,正解は『数字で意思決定』。売れる・残る・回るを指標で決めることや。,週1回、“原価・人件費・客単価・回転”の4点を15分だけチェック。これで十分回る。,メニューはABC分析で3段階。Aは推す、Bは育てる、Cは潔く外す。これで利益は戻る。,『できるかな…』より『今日1個だけやる』でええ。最初の一歩がいちばん価値あるで。,まとめると、口コミで反論したことある飲食店オーナーさんそれ閉業への第一歩踏んでますよは“感覚”卒業。数字で回して、ちゃんと残そ。やったるで。,RA00094501;RA00094502;RA00094503;RA00094504;RA00094505
2,客単価の上げ方をただの値上げと思ってるのであれば三流です,結論な、客単価の上げ方をただの値上げと思ってるのであれば三流ですは『感覚で回す』ほど危ない。今すぐやり方変えよ。,わかるわ…毎日バタバタで『正解どれやねん』って気持ち、ほんましんどいよな。,SNS更新だけ頑張って、数字は見ぇへん…仕入れも『まあこのくらい』で流しがちやろ？,でもそれ、ちゃう。『なんとかなる』は、だいたいなんともならへん。,放っといたら、利益はじわっと消えて、気づいたら“忙しいのに残らへん”未来が来るで。,たぶん今も、原価・人件費・客単価…頭では分かってるけど、手が回らんねんやろ？,ほんまは『売上安定して、休みも取りたい』って思ってる。けど不安が勝つ、やな？,その裏には『間違えたらお客さん減るかも』って怖さ、ちゃんとあるねん。,大丈夫。寄り添うけど、甘やかさへん。変えるんは、今日からにしよ。,このあと、客単価の上げ方をただの値上げと思ってるのであれば三流ですを“感覚”から“仕組み”に変えるヒント、5分で掴もうや。,勘ピューターより“見える化”。スポーツも感覚だけじゃ勝てへんのと同じや。,例えば、日替わりをやめて“売れる3品の強化”に絞ったら、仕込みも楽やろ？,正解は『数字で意思決定』。売れる・残る・回るを指標で決めることや。,週1回、“原価・人件費・客単価・回転”の4点を15分だけチェック。これで十分回る。,メニューはABC分析で3段階。Aは推す、Bは育てる、Cは潔く外す。これで利益は戻る。,『できるかな…』より『今日1個だけやる』でええ。最初の一歩がいちばん価値あるで。,まとめると、客単価の上げ方をただの値上げと思ってるのであれば三流ですは“感覚”卒業。数字で回して、ちゃんと残そ。やったるで。,RA00094501;RA00094502;RA00094503;RA00094504;RA00094505
3,結局安いお店は強いねん,結論な、結局安いお店は強いねんは『感覚で回す』ほど危ない。今すぐやり方変えよ。,わかるわ…毎日バタバタで『正解どれやねん』って気持ち、ほんましんどいよな。,SNS更新だけ頑張って、数字は見ぇへん…仕入れも『まあこのくらい』で流しがちやろ？,でもそれ、ちゃう。『なんとかなる』は、だいたいなんともならへん。,放っといたら、利益はじわっと消えて、気づいたら“忙しいのに残らへん”未来が来るで。,たぶん今も、原価・人件費・客単価…頭では分かってるけど、手が回らんねんやろ？,ほんまは『売上安定して、休みも取りたい』って思ってる。けど不安が勝つ、やな？,その裏には『間違えたらお客さん減るかも』って怖さ、ちゃんとあるねん。,大丈夫。寄り添うけど、甘やかさへん。変えるんは、今日からにしよ。,このあと、結局安いお店は強いねんを“感覚”から“仕組み”に変えるヒント、5分で掴もうや。,勘ピューターより“見える化”。スポーツも感覚だけじゃ勝てへんのと同じや。,例えば、日替わりをやめて“売れる3品の強化”に絞ったら、仕込みも楽やろ？,正解は『数字で意思決定』。売れる・残る・回るを指標で決めることや。,週1回、“原価・人件費・客単価・回転”の4点を15分だけチェック。これで十分回る。,メニューはABC分析で3段階。Aは推す、Bは育てる、Cは潔く外す。これで利益は戻る。,『できるかな…』より『今日1個だけやる』でええ。最初の一歩がいちばん価値あるで。,まとめると、結局安いお店は強いねんは“感覚”卒業。数字で回して、ちゃんと残そ。やったるで。,RA00094501;RA00094502;RA00094503;RA00094504;RA00094505
4,煩わしい開業前の手続き周り、覚えんでいいからこれだけ見といて,結論な、煩わしい開業前の手続き周り、覚えんでいいからこれだけ見といては『感覚で回す』ほど危ない。今すぐやり方変えよ。,わかるわ…毎日バタバタで『正解どれやねん』って気持ち、ほんましんどいよな。,SNS更新だけ頑張って、数字は見ぇへん…仕入れも『まあこのくらい』で流しがちやろ？,でもそれ、ちゃう。『なんとかなる』は、だいたいなんともならへん。,放っといたら、利益はじわっと消えて、気づいたら“忙しいのに残らへん”未来が来るで。,たぶん今も、原価・人件費・客単価…頭では分かってるけど、手が回らんねんやろ？,ほんまは『売上安定して、休みも取りたい』って思ってる。けど不安が勝つ、やな？,その裏には『間違えたらお客さん減るかも』って怖さ、ちゃんとあるねん。,大丈夫。寄り添うけど、甘やかさへん。変えるんは、今日からにしよ。,このあと、煩わしい開業前の手続き周り、覚えんでいいからこれだけ見といてを“感覚”から“仕組み”に変えるヒント、5分で掴もうや。,勘ピューターより“見える化”。スポーツも感覚だけじゃ勝てへんのと同じや。,例えば、日替わりをやめて“売れる3品の強化”に絞ったら、仕込みも楽やろ？,正解は『数字で意思決定』。売れる・残る・回るを指標で決めることや。,週1回、“原価・人件費・客単価・回転”の4点を15分だけチェック。これで十分回る。,メニューはABC分析で3段階。Aは推す、Bは育てる、Cは潔く外す。これで利益は戻る。,『できるかな…』より『今日1個だけやる』でええ。最初の一歩がいちばん価値あるで。,まとめると、煩わしい開業前の手続き周り、覚えんでいいからこれだけ見といては“感覚”卒業。数字で回して、ちゃんと残そ。やったるで。,RA00094501;RA00094502;RA00094503;RA00094504;RA00094505
5,その脱税「知らんかった」じゃ洒落にならんで,結論な、その脱税「知らんかった」じゃ洒落にならんでは『感覚で回す』ほど危ない。今すぐやり方変えよ。,わかるわ…毎日バタバタで『正解どれやねん』って気持ち、ほんましんどいよな。,SNS更新だけ頑張って、数字は見ぇへん…仕入れも『まあこのくらい』で流しがちやろ？,でもそれ、ちゃう。『なんとかなる』は、だいたいなんともならへん。,放っといたら、利益はじわっと消えて、気づいたら“忙しいのに残らへん”未来が来るで。,たぶん今も、原価・人件費・客単価…頭では分かってるけど、手が回らんねんやろ？,ほんまは『売上安定して、休みも取りたい』って思ってる。けど不安が勝つ、やな？,その裏には『間違えたらお客さん減るかも』って怖さ、ちゃんとあるねん。,大丈夫。寄り添うけど、甘やかさへん。変えるんは、今日からにしよ。,このあと、その脱税「知らんかった」じゃ洒落にならんでを“感覚”から“仕組み”に変えるヒント、5分で掴もうや。,勘ピューターより“見える化”。スポーツも感覚だけじゃ勝てへんのと同じや。,例えば、日替わりをやめて“売れる3品の強化”に絞ったら、仕込みも楽やろ？,正解は『数字で意思決定』。売れる・残る・回るを指標で決めることや。,週1回、“原価・人件費・客単価・回転”の4点を15分だけチェック。これで十分回る。,メニューはABC分析で3段階。Aは推す、Bは育てる、Cは潔く外す。これで利益は戻る。,『できるかな…』より『今日1個だけやる』でええ。最初の一歩がいちばん価値あるで。,まとめると、その脱税「知らんかった」じゃ洒落にならんでは“感覚”卒業。数字で回して、ちゃんと残そ。やったるで。,RA00094501;RA00094502;RA00094503;RA00094504;RA00094505
6,やりたいことやってるうちは一生人気店にはなれません,結論な、やりたいことやってるうちは一生人気店にはなれませんは『感覚で回す』ほど危ない。今すぐやり方変えよ。,わかるわ…毎日バタバタで『正解どれやねん』って気持ち、ほんましんどいよな。,SNS更新だけ頑張って、数字は見ぇへん…仕入れも『まあこのくらい』で流しがちやろ？,でもそれ、ちゃう。『なんとかなる』は、だいたいなんともならへん。,放っといたら、利益はじわっと消えて、気づいたら“忙しいのに残らへん”未来が来るで。,たぶん今も、原価・人件費・客単価…頭では分かってるけど、手が回らんねんやろ？,ほんまは『売上安定して、休みも取りたい』って思ってる。けど不安が勝つ、やな？,その裏には『間違えたらお客さん減るかも』って怖さ、ちゃんとあるねん。,大丈夫。寄り添うけど、甘やかさへん。変えるんは、今日からにしよ。,このあと、やりたいことやってるうちは一生人気店にはなれませんを“感覚”から“仕組み”に変えるヒント、5分で掴もうや。,勘ピューターより“見える化”。スポーツも感覚だけじゃ勝てへんのと同じや。,例えば、日替わりをやめて“売れる3品の強化”に絞ったら、仕込みも楽やろ？,正解は『数字で意思決定』。売れる・残る・回るを指標で決めることや。,週1回、“原価・人件費・客単価・回転”の4点を15分だけチェック。これで十分回る。,メニューはABC分析で3段階。Aは推す、Bは育てる、Cは潔く外す。これで利益は戻る。,『できるかな…』より『今日1個だけやる』でええ。最初の一歩がいちばん価値あるで。,まとめると、やりたいことやってるうちは一生人気店にはなれませんは“感覚”卒業。数字で回して、ちゃんと残そ。やったるで。,RA00094501;RA00094502;RA00094503;RA00094504;RA00094505
7,投資回収期間に答えれない経営者さん、まさかいませんよね？,結論な、投資回収期間に答えれない経営者さん、まさかいませんよね？は『感覚で回す』ほど危ない。今すぐやり方変えよ。,わかるわ…毎日バタバタで『正解どれやねん』って気持ち、ほんましんどいよな。,SNS更新だけ頑張って、数字は見ぇへん…仕入れも『まあこのくらい』で流しがちやろ？,でもそれ、ちゃう。『なんとかなる』は、だいたいなんともならへん。,放っといたら、利益はじわっと消えて、気づいたら“忙しいのに残らへん”未来が来るで。,たぶん今も、原価・人件費・客単価…頭では分かってるけど、手が回らんねんやろ？,ほんまは『売上安定して、休みも取りたい』って思ってる。けど不安が勝つ、やな？,その裏には『間違えたらお客さん減るかも』って怖さ、ちゃんとあるねん。,大丈夫。寄り添うけど、甘やかさへん。変えるんは、今日からにしよ。,このあと、投資回収期間に答えれない経営者さん、まさかいませんよね？を“感覚”から“仕組み”に変えるヒント、5分で掴もうや。,勘ピューターより“見える化”。スポーツも感覚だけじゃ勝てへんのと同じや。,例えば、日替わりをやめて“売れる3品の強化”に絞ったら、仕込みも楽やろ？,正解は『数字で意思決定』。売れる・残る・回るを指標で決めることや。,週1回、“原価・人件費・客単価・回転”の4点を15分だけチェック。これで十分回る。,メニューはABC分析で3段階。Aは推す、Bは育てる、Cは潔く外す。これで利益は戻る。,『できるかな…』より『今日1個だけやる』でええ。最初の一歩がいちばん価値あるで。,まとめると、投資回収期間に答えれない経営者さん、まさかいませんよね？は“感覚”卒業。数字で回して、ちゃんと残そ。やったるで。,RA00094501;RA00094502;RA00094503;RA00094504;RA00094505
8,自己資金なんぼあったらええねん！に答えます,結論な、自己資金なんぼあったらええねん！に答えますは『感覚で回す』ほど危ない。今すぐやり方変えよ。,わかるわ…毎日バタバタで『正解どれやねん』って気持ち、ほんましんどいよな。,SNS更新だけ頑張って、数字は見ぇへん…仕入れも『まあこのくらい』で流しがちやろ？,でもそれ、ちゃう。『なんとかなる』は、だいたいなんともならへん。,放っといたら、利益はじわっと消えて、気づいたら“忙しいのに残らへん”未来が来るで。,たぶん今も、原価・人件費・客単価…頭では分かってるけど、手が回らんねんやろ？,ほんまは『売上安定して、休みも取りたい』って思ってる。けど不安が勝つ、やな？,その裏には『間違えたらお客さん減るかも』って怖さ、ちゃんとあるねん。,大丈夫。寄り添うけど、甘やかさへん。変えるんは、今日からにしよ。,このあと、自己資金なんぼあったらええねん！に答えますを“感覚”から“仕組み”に変えるヒント、5分で掴もうや。,勘ピューターより“見える化”。スポーツも感覚だけじゃ勝てへんのと同じや。,例えば、日替わりをやめて“売れる3品の強化”に絞ったら、仕込みも楽やろ？,正解は『数字で意思決定』。売れる・残る・回るを指標で決めることや。,週1回、“原価・人件費・客単価・回転”の4点を15分だけチェック。これで十分回る。,メニューはABC分析で3段階。Aは推す、Bは育てる、Cは潔く外す。これで利益は戻る。,『できるかな…』より『今日1個だけやる』でええ。最初の一歩がいちばん価値あるで。,まとめると、自己資金なんぼあったらええねん！に答えますは“感覚”卒業。数字で回して、ちゃんと残そ。やったるで。,RA00094501;RA00094502;RA00094503;RA00094504;RA00094505
9,忙しいを言い訳にしてるのダサくない？,結論な、忙しいを言い訳にしてるのダサくない？は『感覚で回す』ほど危ない。今すぐやり方変えよ。,わかるわ…毎日バタバタで『正解どれやねん』って気持ち、ほんましんどいよな。,SNS更新だけ頑張って、数字は見ぇへん…仕入れも『まあこのくらい』で流しがちやろ？,でもそれ、ちゃう。『なんとかなる』は、だいたいなんともならへん。,放っといたら、利益はじわっと消えて、気づいたら“忙しいのに残らへん”未来が来るで。,たぶん今も、原価・人件費・客単価…頭では分かってるけど、手が回らんねんやろ？,ほんまは『売上安定して、休みも取りたい』って思ってる。けど不安が勝つ、やな？,その裏には『間違えたらお客さん減るかも』って怖さ、ちゃんとあるねん。,大丈夫。寄り添うけど、甘やかさへん。変えるんは、今日からにしよ。,このあと、忙しいを言い訳にしてるのダサくない？を“感覚”から“仕組み”に変えるヒント、5分で掴もうや。,勘ピューターより“見える化”。スポーツも感覚だけじゃ勝てへんのと同じや。,例えば、日替わりをやめて“売れる3品の強化”に絞ったら、仕込みも楽やろ？,正解は『数字で意思決定』。売れる・残る・回るを指標で決めることや。,週1回、“原価・人件費・客単価・回転”の4点を15分だけチェック。これで十分回る。,メニューはABC分析で3段階。Aは推す、Bは育てる、Cは潔く外す。これで利益は戻る。,『できるかな…』より『今日1個だけやる』でええ。最初の一歩がいちばん価値あるで。,まとめると、忙しいを言い訳にしてるのダサくない？は“感覚”卒業。数字で回して、ちゃんと残そ。やったるで。,RA00094501;RA00094502;RA00094503;RA00094504;RA00094505
10,お肉洗ってたら食中毒起きますよ？,結論な、お肉洗ってたら食中毒起きますよ？は『感覚で回す』ほど危ない。今すぐやり方変えよ。,わかるわ…毎日バタバタで『正解どれやねん』って気持ち、ほんましんどいよな。,SNS更新だけ頑張って、数字は見ぇへん…仕入れも『まあこのくらい』で流しがちやろ？,でもそれ、ちゃう。『なんとかなる』は、だいたいなんともならへん。,放っといたら、利益はじわっと消えて、気づいたら“忙しいのに残らへん”未来が来るで。,たぶん今も、原価・人件費・客単価…頭では分かってるけど、手が回らんねんやろ？,ほんまは『売上安定して、休みも取りたい』って思ってる。けど不安が勝つ、やな？,その裏には『間違えたらお客さん減るかも』って怖さ、ちゃんとあるねん。,大丈夫。寄り添うけど、甘やかさへん。変えるんは、今日からにしよ。,このあと、お肉洗ってたら食中毒起きますよ？を“感覚”から“仕組み”に変えるヒント、5分で掴もうや。,勘ピューターより“見える化”。スポーツも感覚だけじゃ勝てへんのと同じや。,例えば、日替わりをやめて“売れる3品の強化”に絞ったら、仕込みも楽やろ？,正解は『数字で意思決定』。売れる・残る・回るを指標で決めることや。,週1回、“原価・人件費・客単価・回転”の4点を15分だけチェック。これで十分回る。,メニューはABC分析で3段階。Aは推す、Bは育てる、Cは潔く外す。これで利益は戻る。,『できるかな…』より『今日1個だけやる』でええ。最初の一歩がいちばん価値あるで。,まとめると、お肉洗ってたら食中毒起きますよ？は“感覚”卒業。数字で回して、ちゃんと残そ。やったるで。,RA00094501;RA00094502;RA00094503;RA00094504;RA00094505
