貴店への流入フリーワードランキング
順位,フリーワード,流入割合,同中エリア
1,東岡崎,21.6%,107,
2,ネネチキン,14.4%,1,
3,岡崎,11.3%,251,
4,東岡崎駅,5.2%,72,
5,テイクアウト,4.1%,32,
6,ポックンパ,3.1%,1,
7,東岡崎駅前,2.1%,31,
7,居酒屋,2.1%,169,
7,ネネチキン東岡崎,2.1%,2,
7,ぽっくんぱ,2.1%,1,
11,豊田市,1.0%,19,
11,東岡崎 飲み放題 ソフトドリンク,1.0%,13,
11,東岡崎 飲み放題,1.0%,3,
11,東岡崎 ランチ,1.0%,4,
11,東岡崎 チキン,1.0%,1,
11,知立,1.0%,128,
11,子供連れ,1.0%,3,
11,韓国料理,1.0%,16,
11,韓国屋台ポックンパ　東岡崎,1.0%,1,
11,韓国 知立,1.0%,1,
11,韓国,1.0%,8,
11,岡崎市 串焼き,1.0%,4,
11,岡崎　,1.0%,4,
11,岡崎 ランチ,1.0%,39,
11,岡崎 チキン,1.0%,1,
11,飲み放題 韓国,1.0%,1,
11,安城　サラダ,1.0%,2,
11,安城 韓国料理,1.0%,10,
11,ランチ,1.0%,226,
11,ラーメン,1.0%,21,
11,ポックンパネネチキン,1.0%,1,
11,パンタグルエリコ 岡崎,1.0%,2,
11,ネネチキン 岡崎,1.0%,1,
11,テイクアウト 岡崎,1.0%,2,
11,チキン,1.0%,2,
11,チェゴチキン,1.0%,1,
11,サムギョプサル食べ放題,1.0%,4,
11,サムギョプサル,1.0%,5,
11,もつ鍋,1.0%,59,
11,ねねチキン,1.0%,1,
11,NENE CHICKEN,1.0%,1,

周辺エリア（中エリア）フリーワードランキング
順位,フリーワード,
1,刈谷駅
2,刈谷
3,東岡崎
4,岡崎
5,知立駅
6,焼肉
7,知立
8,安城
9,個室
10,東岡崎駅
11,ランチ
12,刈谷駅完全個室
13,居酒屋
14,焼き鳥
15,岡崎駅
16,串カツ田中
17,カフェ
18,鳥貴族
19,蒲郡
20,あみやき亭
