投稿日,総合評価,投稿者,利用シーン,最終審査日,口コミID,本文先頭
2025-12-07,3.0,まみ,ディナー,2025-12-09,20251207A04728,雰囲気がいい
2025-12-07,4.0,121,ディナー,2025-12-09,20251207A02599,２人だと量が多めなので3人以上で行くとちょうどいいと思います
2025-12-14,5.0,ナギ,ディナー,2025-12-17,20251214A21680,飲み放題が断然お得です！ マッコリのヤカンは注文待たずにずっと飲めて最高でした！
2025-12-15,5.0,ゆかちん,ディナー,2025-12-18,20251215A08501,今回2回目の利用です。スタッフの方みんなとても感じが良くて雰囲気が大好きです。とろけるチーズをディップして食べる系のお料理がとてもおいしいです。ただ量がすごく多いので、少人数よりもちょっと多めで利用す
2025-12-15,5.0,そら,ディナー,2025-12-17,20251215A01091,対応してくださった方みなさん感じが良くて丁寧でした。 色々柔軟に対応してくださり、また利用したいと思います。
2025-12-18,5.0,くろちゃん,ディナー,2025-12-22,20251218A08537,気楽に本格韓国料理を味わえる
2025-12-21,5.0,なわ,ランチ,2025-12-24,20251221A20020,フライドチキンが美味しかった！チヂミも！色々美味しいお店です！
2025-12-21,3.0,ゆみ,ランチ,2025-12-24,20251221A08327,唐揚げが美味しかった
2025-12-29,5.0,マロ,ディナー,2026-01-07,20251229A18822,美味しかったです
2025-12-29,5.0,miku,ディナー,2026-01-07,20251229A06607,少し人数が多い（4人程度）と色々なものが食べれていいと思いました！ メニュー豊富で楽しかった！
2025-12-30,4.0,す,ディナー,2026-01-08,20251230A13145,3人で来店。 チーズタッカルビ、もやしナムル、ドリンクを注文しました。 とても美味しく、この量で全員お腹いっぱいになりました。 お会計は合わせて6633円。お腹いっぱい食べたのに、とても良心的な値段に
2025-12-30,5.0,chie,ランチ,2026-01-07,20251230A02141,賑やかな雰囲気で楽しかったです
