投稿日,総合評価,投稿者,利用シーン,最終審査日,口コミID,本文先頭
2026-06-22,5.0,みい,ランチ,2026-06-23,20260622A02300,チキンが美味しく、残った分はお持ち帰りできるのがいいです。 また行きたいです。
2026-06-15,4.0,やまむら,ランチ,2026-06-16,20260615A02488,
2026-06-13,5.0,てる,ディナー,2026-06-16,20260613A02958,トッポギってあまり好きじゃなかったけど、認識変わりました！ここのトッポギは大好物です
2026-05-19,4.0,よっちゃん,ディナー,2026-05-21,20260519A04746,チーズタッカルビとっても美味しかったです！ 辛いチキンがほんとに辛くてびっくりでしたが、 こちらも美味しかったです！
2026-05-10,5.0,やまちゃん,ディナー,2026-05-15,20260510A04387,ヤンニョムチキンが美味しかったです！ 店員さんの対応も良く、素早く提供して頂けました。 チキンの辛さを丁寧に教えてくれて辛いものが苦手な人でも間違えず注文できます
2026-05-02,5.0,mamimami162,ディナー,2026-05-11,20260502A09617,全部美味しかったです。もっともっと食べたいメニューがあったから、また食べに行きます！！店内も、心地よい空間で良かったです。何より、女子トイレの手洗いが…めちゃくちゃ可愛かったです。是非、家にも欲しい～
2026-04-27,5.0,かな,ランチ,2026-05-07,20260427A09482,何度も利用しています。サムギョプサルが美味しい。 女性店員さんがいつも接客が素晴らしいです。
2026-04-18,4.0,こっちゃん,ディナー,2026-04-21,20260418A06642,ウイングチキンチーズ味美味しかったです！
2026-04-12,3.0,くろ,ディナー,2026-04-15,20260412A11870,賑やかな雰囲気だったので、気軽にお話しできて、よかったです。料理もあつあつで、おいしかった。一品なかなか、でてこなくて、テーブルに何もないからか？お店の方の視線を感じた。来てないことを伝えると、あわて
2026-03-30,4.0,みやびっち,ランチ,2026-04-03,20260330A20662,テイクアウトでハーフ＆ハーフチキン(ヤンニョム、スノーウィング)を注文しました。 店員さんの笑顔が素敵でした。
2026-03-28,5.0,玉露,ディナー,2026-03-31,20260328A04261,宴会で利用しました。サムギョプサルを焼いて切ってくれて親切でした。
2026-03-27,4.0,あや,ランチ,2026-03-31,20260327A04252,すべてが美味しかったです！スンドゥブも辛すぎず、食べやすくて辛いのが苦手な子でも美味しく食べれました。トイレの蛇口がステキすぎて写真＆動画撮っちゃいました。
2026-03-23,3.0,杏莉,ランチ,2026-03-26,20260323A07078,チーズフォンデュが美味しかったです！友達と楽しんで食べれました。 チーズボールも最高
2026-03-23,5.0,みい,ランチ,2026-03-26,20260323A03536,チキン、コーンチヂミ、スンドゥブを食べて、全部美味しかったです。 接客も丁寧でまた行きたいです。
2026-03-20,5.0,のぞみ,ディナー,2026-03-23,20260320A00098,ワクワク感がたまらない！ 天井に、上から机の様子の動画を撮れるやつを設置したら若い子たちに刺さるとと思います。
2026-03-06,4.0,かおたん,ディナー,2026-03-09,20260306A04078,プレーンな唐揚げを食べました。サクッとしていて、揚げたてで美味しかったです
2026-03-01,5.0,はなはな,ディナー,2026-03-04,20260301A12848,予約して伺いました！ 来店するとほぼ満席で人気の高さが伺えます♪ ボリュームも味も大満足です！
2026-02-25,5.0,ヤマユウ,ランチ,2026-02-27,20260225A04170,また行きたいです！
2026-02-03,5.0,まー,ランチ,2026-02-04,20260203A03687,テイクアウトで利用しました。 東岡崎駅からすぐのところに お店があります。念願のチキン を食べましたが、サクサクで とてもおいしかったです！
2026-01-31,5.0,ほのかっぱ,ランチ,2026-02-02,20260131A05441,お料理もすごくおいしくて、1番印象的なのは対応してくださったスタッフさんがとても素敵だったことです。私が予約した日にちがずれていたのですがにこやかに対応してくださりました。申し訳ない気持ちでいっぱいだ
