予約受付日,ステータス,予約経路,AIR店舗ID,店舗コード,店舗名,来店日,開始時間,終了時間,コース名,コース金額,利用ポイント,人数,ネット予約フラグ,テーブル,予約依頼番号,発行ポイント,要望,メモ,キーワード,スマート支払い利用有無,決済確定金額
20260207 20:38:21,貴店キャンセル,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260310,1700,1830,お席のみのご予約,,,2,HPG即,A4,SD9580846,0,,,,,
20260213 21:19:20,貴店キャンセル,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260327,1830,2030,,,,24,,"A3, A4, A5, A1, B1, B2, B3, B4, D個室2, D個室1",,,,"仮予約
また連絡くる
コース",,,
20260213 22:11:39,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260315,1230,1400,お席のみのご予約,,,2,HPG即,B3,SDA214401,20,,,,,
20260217 19:51:28,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260313,1800,2000,『各種120分飲み放題付』宴会にオススメ！生サムギョプサルのペゴパヨコース!!5000円,5500,200,4,HPG即,A3,SDA614286,200,,,,,
20260218 15:12:02,退店,ネット予約（食べログ）,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260307,1700,1900,,,,12,,"B1, B2, B3, B4",,,,"コース          ：【ハイボール、レモンサワー120分飲み放題付】チーズダッカルビライトコース◆チーズダッカルビやキムチを楽しむお値打ちなプラン
ご要望          ：
",,,
20260218 19:18:44,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260327,1830,2040,『各種120分飲み放題付』生サムギョプサルのスタンダードコース!!3980円,4378,,23,HPGリク,"A3, A4, A5, A1, B1, B2, B3, B4",RAT878337,1150,このコースのほかにチーズタッカルビを注文したいです。1人前1600円？で単品メニューに記載がありますが、23人だと何人前注文するとちょうどいいですか？/貸切/禁煙席,"チーダサンプレート追加
変更あるかも
生ビール検討3日前までに連絡
",,,
20260221 09:01:16,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260301,1800,1930,お席のみのご予約,,,2,HPG即,A1,SDB002075,100,,,,,
20260221 19:47:16,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260301,1830,2000,お席のみのご予約,,,2,HPG即,A5,SDB092557,100,,,,,
20260224 09:26:46,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260306,1900,2100,『各種120分飲み放題付』大人気のチュクミサムギョプサルのスタンダードコース!!4500円,4950,,11,HPG即,"B1, B2, B3",SDB354409,550,,,,,
20260224 12:11:43,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260307,1200,1330,お席のみのご予約,,,2,HPG即,A1,SDB365134,20,,,,,
20260225 20:36:31,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260318,2025,2155,,,,5,,"B1, B2",,,,,,,
20260226 13:49:58,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260306,1830,2030,『各種120分飲み放題付』宴会にオススメ！生サムギョプサルのペゴパヨコース!!5000円,5500,,8,HPG即,"A3, A4",SDB584639,400,,,,,
20260226 16:02:50,退店,ネット予約（食べログ）,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260314,1600,1745,,,,5,,D個室1,,,,"コース          ：お席のみのご予約
ご要望          ：
",,,
20260227 12:33:14,顧客キャンセル,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260303,1830,2000,,,,4,,B4,,,,,,,
20260227 12:34:15,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260319,1830,2030,,,,5,,"A3, A4",,,,"チュサムペゴパヨコース
飲み放題無しで食事だけ
金額伝えてます
ワンドリンクは必ずお願いしてます",,,
20260227 17:08:15,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260301,1730,1900,お席のみのご予約,,,3,HPG即,A3,SDB726413,150,,,,,
20260227 18:07:58,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260313,1835,2035,,,,6,,"B1, B2",,,,"サムポックンパ
飲み放題無しで
ワンドリンクはお願いしてます",,,
20260228 14:00:52,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260301,1900,2030,お席のみのご予約,,,3,HPG即,B1,SDB841682,150,,,,,
20260228 16:12:37,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260301,1900,2030,お席のみのご予約,,,2,HPG即,B4,SDB859126,100,なし,,,,
20260228 21:37:58,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260301,1900,2030,お席のみのご予約,,,2,HPG即,B2,SDB935743,100,,,,,
20260301 10:05:12,貴店キャンセル,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260301,1815,1945,,,,2,,D個室1,,,,,,,
20260301 11:32:01,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260301,1135,1305,,,,2,,A5,,,,,,,
20260301 11:37:08,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260301,1230,1400,お席のみのご予約,,,3,HPG即,B4,SDB972563,30,,,,,
20260301 11:45:12,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260301,1150,1320,,,,3,,A1,,,,,,,
20260301 11:53:51,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260301,1220,1350,,,,3,,B3,,,,,,,
20260301 11:54:10,キャンセル,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260301,1200,1330,,,,3,,B4,,,,,,,
20260301 12:10:20,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260301,1210,1340,,,,2,,B2,,,,,,,
20260301 12:11:47,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260301,1215,1345,,,,3,,A3,,,,,,,
20260301 12:29:24,来店待ち,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260301,1350,1520,,,,2,,D個室1,,,,,,,
20260301 12:45:39,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260301,1250,1420,,,,2,,A4,,,,,,,
20260301 13:02:12,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260301,1300,1430,,,,2,,B1,,,,,,,
20260301 13:23:29,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260301,1320,1450,,,,3,,A1,,,,,,,
20260301 13:31:49,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260301,1920,2050,,,,3,,B3,,,,,,,
20260301 13:41:44,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260301,1340,1510,,,,2,,A5,,,,,,,
20260301 15:13:46,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260301,1525,1655,,,,4,,A3,,,,,,,
20260301 15:21:37,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260301,1800,2000,,,,5,,D個室1,,,,,,,
20260301 15:27:47,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260301,1535,1705,,,,2,,A5,,,,,,,
