エリア,順位,店舗名,店舗エリア,ジャンル,アクセス数,前月比,is_own_shop
岡崎,1,炭火鰻と特選和牛ふじさん 岡崎店,男川,うなぎ,25173,-42%,false
岡崎,2,君のハンバーグを食べたい 三井アウトレットパーク岡崎店,名電山中,ハンバーグ,23665,-16%,false
岡崎,3,カフェ+ダイニングバー メローズ,東岡崎,ダイニングバー、カフェ、バル,22590,-12%,false
岡崎,4,Booon,六名、岡崎,カフェ、惣菜・デリ,22161,25%,false
岡崎,5,元気パンダ麻辣湯,岡崎、男川、美合,中華料理,17854,27%,false
岡崎,6,ESPRESSO D WORKS 三井アウトレットパーク岡崎店,名電山中、本宿,カフェ,16734,-14%,false
岡崎,7,六華亭,藤川,かき氷,16300,-25%,false
岡崎,8,Sun on Tow,岡崎,カフェ,16142,-19%,false
岡崎,9,SHIRUKOTTE 岡崎店,岡崎,カフェ,15639,-39%,false
岡崎,10,ス ラ,男川,イタリアン、ステーキ、パスタ,15009,-11%,false
岡崎,11,UROCO,男川、東岡崎、六名,カフェ,14851,6%,false
岡崎,12,とろ～り卵のオムライス さん太 岡崎羽根店,岡崎、美合、男川,オムライス、カレー、洋食,14789,-25%,false
岡崎,13,La Maison du R,大門、北岡崎,ケーキ、洋菓子,14226,28%,false
岡崎,14,自家製麺 公園前,岡崎,ラーメン、つけ麺,14121,-6%,false
岡崎,15,かも川,大門、北岡崎,うなぎ,13894,-7%,false
岡崎,16,Bistro MAOLUCE,西岡崎、六名,ビストロ、イタリアン、カフェ,13669,-8%,false
岡崎,17,まんぷく家 東岡崎駅前店,東岡崎,ラーメン,13081,-11%,false
岡崎,18,名古屋辛麺 鯱輪 岡崎店,北岡崎,ラーメン、油そば・まぜそば,12806,10%,false
岡崎,19,城北飯店,中岡崎、岡崎公園前,四川料理、中華料理、担々麺,12691,-8%,false
岡崎,20,麺屋 あきのそら,大門,ラーメン,12617,-1%,false
岡崎,21,和牛焼肉わ,北岡崎、大門,焼肉、居酒屋、ステーキ,12211,15%,false
岡崎,22,MONACO,六名,ピザ,11826,21%,false
岡崎,23,はせべ,岡崎,うなぎ,11811,-10%,false
岡崎,24,姉妹麻辣湯,北岡崎,中華料理,11150,78%,false
岡崎,25,まんぷく家 井田248店,北岡崎、大門,ラーメン,11109,-23%,false
