日付,曜日,PC,スマホ,アプリ,総合
2026-01-01,木,4,14,19,37
2026-01-02,金,11,22,70,103
2026-01-03,土,15,34,20,69
2026-01-04,日,4,29,65,98
2026-01-05,月,28,54,125,207
2026-01-06,火,5,12,37,54
2026-01-07,水,7,12,71,90
2026-01-08,木,9,32,21,62
2026-01-09,金,12,77,8,97
2026-01-10,土,13,85,80,178
2026-01-11,日,3,63,38,104
2026-01-12,月,32,52,19,103
2026-01-13,火,20,10,68,98
2026-01-14,水,13,70,50,133
2026-01-15,木,10,39,17,66
2026-01-16,金,15,7,45,67
2026-01-17,土,5,39,41,85
2026-01-18,日,11,18,65,94
2026-01-19,月,11,75,25,111
2026-01-20,火,16,105,12,133
2026-01-21,水,33,66,30,129
2026-01-22,木,16,22,36,74
2026-01-23,金,16,7,17,40
2026-01-24,土,9,39,60,108
2026-01-25,日,5,20,16,41
2026-01-26,月,24,34,53,111
2026-01-27,火,18,21,100,139
2026-01-28,水,10,26,71,107
2026-01-29,木,12,74,33,119
2026-01-30,金,34,33,91,158
2026-01-31,土,26,11,46,83
