period_start,period_end,page_type,pv,share_percent,note
2025-05,2026-05,店舗トップ,2483,44.7,
2025-05,2026-05,メニュー,1150,20.7,
2025-05,2026-05,口コミ・評価,1029,18.5,
2025-05,2026-05,料理写真,350,6.3,
2025-05,2026-05,地図・クーポン,157,2.8,
2025-05,2026-05,その他,107,1.9,
2025-05,2026-05,内観写真,103,1.9,
2025-05,2026-05,座席情報,100,1.8,
2025-05,2026-05,外観写真,50,0.9,
2025-05,2026-05,ドリンク写真,25,0.5,お店（オーナー様）によるドリンク写真が登録されていません。 ⇒ ドリンク写真を編集する
2025-05,2026-05,地図印刷,0,0.0,
2025-05,2026-05,プレミアムクーポン,0,0.0,有効なプレミアムクーポンのデータが無いか、まだ登録されていません。 ⇒ プレミアムクーポンを編集する
