日付,曜日,PC,スマホ,アプリ,総合
2026-05-26,火,5,11,44,60
2026-05-27,水,5,58,34,97
2026-05-28,木,21,40,83,144
2026-05-29,金,7,17,83,107
2026-05-30,土,16,9,12,37
2026-05-31,日,9,74,25,108
2026-06-01,月,14,11,18,43
2026-06-02,火,8,18,26,52
2026-06-03,水,9,20,8,37
2026-06-04,木,17,22,5,44
2026-06-05,金,25,32,10,67
2026-06-06,土,9,166,76,251
2026-06-07,日,6,26,23,55
2026-06-08,月,7,13,53,73
2026-06-09,火,13,19,17,49
2026-06-10,水,5,24,62,91
2026-06-11,木,15,19,17,51
2026-06-12,金,15,32,5,52
2026-06-13,土,8,14,64,86
2026-06-14,日,14,12,92,118
2026-06-15,月,11,39,30,80
2026-06-16,火,32,14,20,66
2026-06-17,水,9,11,60,80
2026-06-18,木,12,16,52,80
2026-06-19,金,18,13,17,48
2026-06-20,土,15,25,36,76
2026-06-21,日,10,20,53,83
2026-06-22,月,11,18,48,77
2026-06-23,火,11,26,14,51
2026-06-24,水,9,15,61,85
2026-06-25,木,22,37,17,76
