予約No,顧客No,来店数,キャンセル数,連絡なしキャンセル数,来店日,来店時間,滞在時間,人数,お子様人数,ステータス,受付窓口,Vポイント,卓,コース,メニュー/コース,予約属性,予約メモ,作成日,作成時間,インポート時に指定した作成日,インポート時に指定した作成時間
SD8902805,,,,,2026/02/01,14:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2026/02/01,12:41,"",""
SD8445838,,,,,2026/02/01,17:00,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2026/01/27,21:42,"",""
SD8437569,,,,,2026/02/01,17:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,D2,"","","","",2026/01/27,20:38,"",""
SD7976874,,,,,2026/02/01,18:00,105,9,0,来店済み,HOT PEPPERグルメネット予約,0,"A3, A4, A5","","","","",2026/01/23,04:46,"",""
3JNFERVZ72,120021565,1,1,0,2026/02/01,18:30,105,2,0,ユーザーキャンセル,食べログネット予約,0,B2,お席のみのご予約,"","","",2026/01/27,01:24,"",""
SD8872898,,,,,2026/02/03,19:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/01/31,22:49,"",""
SD9050150,,,,,2026/02/03,19:00,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2026/02/02,21:40,"",""
SD9128562,,,,,2026/02/03,19:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,B2,"","","","",2026/02/03,19:23,"",""
SD8654324,,,,,2026/02/06,18:30,105,2,0,ユーザーキャンセル,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/01/29,23:12,"",""
SD9427072,,,,,2026/02/06,18:30,105,4,0,来店済み,HOT PEPPERグルメネット予約,0,A3,"","","","",2026/02/06,16:12,"",""
SD9168309,,,,,2026/02/06,19:00,105,2,0,ユーザーキャンセル,HOT PEPPERグルメネット予約,0,B2,"","","","",2026/02/04,07:04,"",""
SD8169790,,,,,2026/02/06,20:00,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2026/01/24,21:13,"",""
SD9446501,,,,,2026/02/07,12:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/02/06,18:27,"",""
SD9470314,,,,,2026/02/07,12:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,B2,"","","","",2026/02/06,21:04,"",""
SD8781228,,,,,2026/02/07,17:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/01/31,09:57,"",""
