日付,データ区分,予約数,ウォークイン数,合計
2026/03/01,組数,8,0,8
2026/03/01,人数,19,0,19
2026/03/02,組数,0,0,0
2026/03/02,人数,0,0,0
2026/03/03,組数,0,0,0
2026/03/03,人数,0,0,0
2026/03/04,組数,1,0,1
2026/03/04,人数,2,0,2
2026/03/05,組数,2,0,2
2026/03/05,人数,4,0,4
2026/03/06,組数,4,0,4
2026/03/06,人数,27,0,27
2026/03/07,組数,10,0,10
2026/03/07,人数,36,0,36
2026/03/08,組数,3,0,3
2026/03/08,人数,6,0,6
2026/03/09,組数,0,0,0
2026/03/09,人数,0,0,0
2026/03/10,組数,0,0,0
2026/03/10,人数,0,0,0
2026/03/11,組数,2,0,2
2026/03/11,人数,9,0,9
2026/03/12,組数,2,0,2
2026/03/12,人数,4,0,4
2026/03/13,組数,5,0,5
2026/03/13,人数,21,0,21
2026/03/14,組数,8,0,8
2026/03/14,人数,26,0,26
2026/03/15,組数,8,0,8
2026/03/15,人数,19,0,19
2026/03/16,組数,0,0,0
2026/03/16,人数,0,0,0
2026/03/17,組数,5,0,5
2026/03/17,人数,14,0,14
2026/03/18,組数,2,0,2
2026/03/18,人数,10,0,10
2026/03/19,組数,6,0,6
2026/03/19,人数,18,0,18
2026/03/20,組数,6,0,6
2026/03/20,人数,14,0,14
2026/03/21,組数,8,0,8
2026/03/21,人数,23,0,23
2026/03/22,組数,12,0,12
2026/03/22,人数,29,0,29
2026/03/23,組数,0,0,0
2026/03/23,人数,0,0,0
2026/03/24,組数,2,0,2
2026/03/24,人数,8,0,8
2026/03/25,組数,5,0,5
2026/03/25,人数,16,0,16
2026/03/26,組数,5,0,5
2026/03/26,人数,12,0,12
2026/03/27,組数,3,0,3
2026/03/27,人数,27,0,27
2026/03/28,組数,15,0,15
2026/03/28,人数,33,0,33
2026/03/29,組数,22,0,22
2026/03/29,人数,54,0,54
2026/03/30,組数,0,0,0
2026/03/30,人数,0,0,0
2026/03/31,組数,3,0,3
2026/03/31,人数,6,0,6
