エリア,順位,店舗名,店舗エリア,ジャンル,アクセス数,前月比,is_own_shop
岡崎,1,炭火鰻と特選和牛ふじさん 岡崎店,男川,うなぎ,43278,82%,false
岡崎,2,君のハンバーグを食べたい 三井アウトレットパーク岡崎店,名電山中,ハンバーグ,28174,2%,false
岡崎,3,カフェ+ダイニングバー メローズ,東岡崎,ダイニングバー、カフェ、バル,25764,12%,false
岡崎,4,SHIRUKOTTE 岡崎店,岡崎,カフェ,25748,-20%,false
岡崎,5,六華亭,藤川,かき氷,21640,90%,false
岡崎,6,Sun on Tow,岡崎,カフェ,20044,16%,false
岡崎,7,とろ～り卵のオムライス さん太 岡崎羽根店,岡崎、美合、男川,オムライス、カレー、洋食,19671,-40%,false
岡崎,8,ESPRESSO D WORKS 三井アウトレットパーク岡崎店,名電山中、本宿,カフェ,19514,-11%,false
岡崎,9,Booon,六名、岡崎,カフェ、惣菜・デリ,17735,-7%,false
岡崎,10,ス ラ,男川,イタリアン、ステーキ、パスタ,16810,1%,false
岡崎,11,自家製麺 公園前,岡崎,ラーメン、つけ麺,15066,1%,false
岡崎,12,かも川,大門、北岡崎,うなぎ,14896,23%,false
岡崎,13,Bistro MAOLUCE,西岡崎、六名,ビストロ、イタリアン、カフェ,14892,-12%,false
岡崎,14,まんぷく家 東岡崎駅前店,東岡崎,ラーメン,14720,9%,false
岡崎,15,まんぷく家 井田248店,北岡崎、大門,ラーメン,14368,11%,false
岡崎,16,元気パンダ麻辣湯,岡崎、男川、美合,中華料理,14062,2%,false
岡崎,17,UROCO,男川、東岡崎、六名,カフェ,13977,6%,false
岡崎,18,城北飯店,中岡崎、岡崎公園前,四川料理、中華料理、担々麺,13807,1%,false
岡崎,19,はせべ,岡崎,うなぎ,13187,34%,false
岡崎,20,大正庵釜春本店,岡崎公園前、中岡崎,うどん、天ぷら、カレー,13128,-5%,false
岡崎,21,ZARAME CLASSIC,岡崎,カフェ、ドーナツ、ハンバーガー,12711,11%,false
岡崎,22,麺屋 あきのそら,大門,ラーメン,12683,21%,false
岡崎,23,FRANKLIN DINER,大門、北岡崎,ハンバーガー,12654,-60%,false
岡崎,24,つけめん舎 一輝,岡崎、六名,つけ麺、ラーメン、台湾まぜそば,12158,27%,false
岡崎,25,洋食 もりい,岡崎,洋食、ハンバーグ,11922,25%,false
岡崎,26,名古屋辛麺 鯱輪 岡崎店,北岡崎,ラーメン、油そば・まぜそば,11640,13%,false
岡崎,27,ENCとしば太,岡崎,とんかつ、カレー、バル,11180,33%,false
岡崎,28,トウゲ餃子,岡崎,餃子,11176,10%,false
岡崎,29,La Maison du R,大門、北岡崎,ケーキ、洋菓子,11119,14%,false
岡崎,30,札幌魚河岸57番 いきいき寿司 三井アウトレットパーク岡崎店,名電山中,寿司,10999,13%,false
岡崎,31,和牛焼肉わ,北岡崎、大門,焼肉、居酒屋、ステーキ,10602,-2%,false
岡崎,32,鮨の松由,東岡崎、中岡崎、北岡崎,寿司、日本料理,10384,20%,false
岡崎,33,コレドガーナ,男川,イタリアン、パスタ、ステーキ,10288,-12%,false
岡崎,34,まるぎん商店,大門、北岡崎,ラーメン、台湾まぜそば,10275,16%,false
岡崎,35,タンボラーダ,男川,スペイン料理,10264,-11%,false
岡崎,36,いざかや かごや,東岡崎,居酒屋、海鮮、串焼き,9948,-27%,false
岡崎,37,MONACO,六名,ピザ,9800,-30%,false
岡崎,38,コナズ珈琲 岡崎美合店,美合,カフェ,9775,8%,false
岡崎,39,CONNESSO okazaki,東岡崎,イタリアン、カフェ、パスタ,9562,35%,false
岡崎,40,おmochiや 匠や,大門,スイーツ,9296,68%,false
岡崎,41,F to BREAD,東岡崎,パン,9166,-8%,false
岡崎,42,萬珍軒 本店,東岡崎,中華料理、ラーメン、居酒屋,9144,6%,false
岡崎,43,キャナリィ ロウ 岡崎店,男川,イタリアン,9011,24%,false
岡崎,44,北京本店 三井アウトレットパーク岡崎,名電山中,中華料理,9003,5%,false
岡崎,45,一よし,北岡崎,うどん、そば、親子丼,8958,-24%,false
岡崎,46,TIME,新安城、北野桝塚、宇頭,カフェ、バル,8797,35%,false
岡崎,47,キブサチ 日名本店,北岡崎,ラーメン、中華料理,8783,34%,false
岡崎,48,九州中華料理店,東岡崎,中華料理,8773,47%,false
岡崎,49,カフェド アニバーサリー,六名,カフェ、ヨーロッパ料理、ハンバーグ,8612,8%,false
岡崎,50,洋食とケーキ グラメル,大門、北岡崎,ケーキ、洋食,8453,-9%,false
岡崎,51,自家謹製 萬圓屋,岡崎,うどん,8432,-13%,false
岡崎,52,完全個室居酒屋 虎白 東岡崎店,東岡崎,居酒屋、海鮮、すき焼き,8370,-2%,false
岡崎,53,竹内ススル 岡崎店,北岡崎、大門,ラーメン、油そば・まぜそば、台湾まぜそば,8047,-22%,false
岡崎,54,TOMOE 食事とお酒のだいどころ,岡崎,洋食、ダイニングバー,7959,1%,false
岡崎,55,三国志,美合,中華料理,7887,15%,false
岡崎,56,麺屋 MARUHIDE,北岡崎、大門,つけ麺、油そば・まぜそば、ラーメン,7873,17%,false
岡崎,57,蕎麦や 口福,岡崎,そば,7714,23%,false
岡崎,58,カンプッチョ,北岡崎、大門,パスタ、イタリアン,7653,78%,false
岡崎,59,SAN 岡崎店,岡崎、六名,カフェ、ケーキ,7628,21%,false
岡崎,60,よろずや,東岡崎,居酒屋、海鮮,7573,-25%,false
岡崎,61,瓦そば と 珈琲と シガ食堂,藤川、美合、男川,そば、カフェ,7519,-7%,false
岡崎,62,喜又老式麻辣烫,北岡崎、大門,四川料理,7432,54%,false
岡崎,63,スイッチバック,岡崎,スペイン料理、イタリアン、ダイニングバー,7410,-8%,false
岡崎,64,とんかつ浜名,美合,とんかつ,7366,28%,false
岡崎,65,月島もんじゃ おこげ 三井アウトレットパーク岡崎,名電山中,もんじゃ焼き,7353,15%,false
岡崎,66,サッチモ,相見、岡崎、美合,喫茶店,7272,4%,false
岡崎,67,テイ・チャングム,北岡崎,韓国料理,7262,40%,false
岡崎,68,老舗精肉店直送 岡崎焼肉 飛騨牛の奴隷 岡崎店,北岡崎、大門,焼肉、ホルモン、居酒屋,7177,9%,false
岡崎,69,LOG cafe,大門,カフェ、カレー,7008,0%,false
岡崎,70,三河ラーメン 日本晴れ,岡崎,ラーメン、餃子,6968,11%,false
岡崎,71,Pie Chefs Kitchen HOLYPLACE,北野桝塚、宇頭,カフェ,6853,-5%,false
岡崎,72,モリネコ コーヒー,美合,カフェ,6852,-12%,false
岡崎,73,deli cafe Jamming,美合,惣菜・デリ,6644,-25%,false
岡崎,74,カリーショップ スパイスマン,大門、北野桝塚、北岡崎,カレー、カフェ,6636,-1%,false
岡崎,75,ブルーブルーカフェ,西岡崎,カフェ、パスタ,6603,-4%,false
岡崎,76,朝獲れ鮮魚と天婦羅の飯場処 壱松,北岡崎,天ぷら、海鮮、日本料理,6462,50%,false
岡崎,77,steak sio.,北岡崎、大門,ステーキ,6414,-19%,false
岡崎,78,スカイレストラン パリ,東岡崎、中岡崎、岡崎公園前,フレンチ、ビュッフェ、洋食,6412,183%,false
岡崎,79,mado cafe,岡崎,カフェ,6362,16%,false
岡崎,80,姉妹麻辣湯,北岡崎,中華料理,6262,-6%,false
岡崎,81,まるぎん二号,西岡崎,ラーメン、つけ麺,6241,-8%,false
岡崎,82,天寿司 東岡崎店,東岡崎,居酒屋、寿司、海鮮,6233,-8%,false
岡崎,83,うなぎの兼光 東岡崎店,東岡崎,うなぎ,6218,32%,false
岡崎,84,エビフライと定食 うおのぶ食堂,北岡崎,食堂、海鮮,6177,-13%,false
岡崎,85,洋食 菊や,東岡崎,洋食、ハンバーグ、オムライス,6157,-4%,false
岡崎,86,restaurant ponö,中岡崎,イタリアン,5982,72%,false
岡崎,87,小哪吒麻辣燙,大門,中華料理、レストラン、ラーメン,5972,4795%,false
岡崎,88,おとぎの蔵 豆の樹,男川、六名、東岡崎,和菓子、カフェ、かき氷,5941,35%,false
岡崎,89,ととや 東岡崎本店,東岡崎,居酒屋、焼き鳥、日本酒バー,5928,-7%,false
岡崎,90,Oniwa De...,男川,カフェ,5850,18%,false
岡崎,91,食堂こなん,東岡崎,日本料理,5775,19%,false
岡崎,92,HOKI COFFEE TERRACE 岡崎店,永覚、北野桝塚、三河上郷,カフェ,5735,19%,false
岡崎,93,台湾バスラーメン 喜楽亭,岡崎、六名,ラーメン,5733,20%,false
岡崎,94,ラ・ヴィ・デュ・パン,北岡崎、大門、東岡崎,パン,5733,-7%,false
岡崎,95,咲ら珈琲,北岡崎,カフェ,5678,12%,false
岡崎,96,焼肉 三八 本店,北岡崎,焼肉,5657,1%,false
岡崎,97,ジゅんベリーCafe,北野桝塚,カフェ,5637,14%,false
岡崎,98,和韓焼肉 イルソ イルロ,美合,焼肉、ホルモン、カフェ,5607,20%,false
岡崎,99,焼き菓子処 Principiante,大門,洋菓子、カフェ,5586,-9%,false
岡崎,100,ダカフェ 本店,西岡崎、岡崎、六名,カフェ、スイーツ、クレープ・ガレット,5567,27%,false
岡崎,237,韓国屋台ポックンパ ネネチキン 東岡崎店,東岡崎,韓国料理、鳥料理、居酒屋,3173,-8%,true
