来店日,総合評価,投稿者,本文先頭
2026-01-01,3.5,お嬢chan,チーズタッカルビとてもおいしかったです！欲を言えばもう少し量を多くしてほしいです。他の具材やパンはなくてもいいので肉とチーズがもっとほしいです。メニューも気になるものがいっぱいあって、どれも捨てがたい
2026-01-01,3.0,kenzie,東岡崎駅から徒歩1分‼️ すぐ隣には コインパーキングもあります❗️ あまり韓国料理は知りませんが メニューからして かなり網羅されていると思われます。 ドリンクは いつものハイ...
2025-12-01,3.5,ジーコ5639,チヂミがかなり美味しかったが、若者多く、ソワソワしました
2025-12-01,3.0,puwana,韓国料理が食べたい人はおすすめです。 種類は結構あります。 チキンは持ち帰らせてくれたのがありがたかったです！ 3名で行きましたが、2人だと量が多いのであまり種類は食べられないかと思いました。 ...
2025-12-01,4.0,ur__ah,
2025-10-01,4.0,あやのa__ayano,"東岡崎駅ロータリー直結！ 流行りの韓国料理や人気の韓国チキンが食べれる 韓国屋台ポックンパ ネネチキンさんに行ってきたよー！ ・チュクミチーズダッカルビ(2～3人前)￥3,..."
2024-12-01,4.0,らごまる,スンドゥブが美味しかった！
2024-12-01,3.5,n.2i,またチキンが食べたくなりネネチキンへ。 今回もハーフ&ハーフでスノーパウダーとホットブリングをチョイス。 味は相変わらず美味しかったですが、チキンのカリカリ感が前よりも落ちたような？ でも店員さ...
2024-11-01,3.2,駅近散歩,岡崎城に行った帰りにランチに寄りました。 スンドゥブと白飯です。 東岡崎駅のすぐ近くです。 日曜日のお昼時ということもあってか、わりと混んでいました。 地元の人気店なのかな。 並ぶほどではあ...
2024-08-01,3.0,ベーグル@愛知,
2024-04-01,4.0,さきいか723,ランチで行きました。チキンは骨無しのハーフサイズを頼みました。ヤンニョムチキンと名前は忘れましたが、チーズの粉がかかったチキンを頼みました。チキンはやはり揚げたてが美味しかったです。チーズボールや盛岡
2023-11-01,3.5,!ぴっち★,韓国の味を知ってるせいかチキンが全然あれ？でびっくり！笑 プリンクルのハーフの骨付きたべたけど 胸肉もしっかり入ってる。 骨付きとはなんだ？笑 ランチにいったのでローストポーク丼頼んだ、茶...
2023-08-01,5.0,ふなみおばさん,糸ピンスを食べに行きました。初めての糸ピンスでした。とっても美味しい！！！また食べに行きたいです。今回はチョコミント味でしたが、夫がイチゴ味を食べたがっているので、次はイチゴ狙いです。楽しみ。 ...
2023-03-01,3.6,りゅー0216,〰️ 〰️ 〰️ ⋆┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈⋆ 食べるのが大好きな人と繋がりたい✨ 愛知を中心に様々なグルメやスイーツを紹介◎ 他の情報はこちらから@ryuji_nagoy...
2023-02-01,,poppy17,UFOチキン美味しすぎチキンがいいね チヂミカリカリ美味しい LINE追加で新規はドリンク無料 さつまいもチーズボール美味し過ぎたけどちょっと頼み過ぎたお腹パンパン
2022-09-01,3.9,三河グルメサングラスkouso,こんばんは 駅近で本格的な韓国料理が食べられるお店のご紹介✨ . さて本日は駅近で本格的な韓国料理が食べられるお店のご紹介です！ お店は名鉄東岡崎駅の出口から徒歩1分のところにあるお店‼️ ...
2022-07-01,4.0,coco松明,糸ピンス 初体験！ 可愛すぎました ピンスとは 韓国版かき氷。 それの糸のように細いバージョンです。 削った氷の上に味付けではなく、独特なレシピとマシーンで作るので、濃厚な味...
2022-03-01,3.4,胃下垂みみ子ちゃん,
2022-02-01,3.5,msk1012,ランチの時間帯に初めて行ってきました。 とても満足です！ 美味しいし、お店もめちゃくちゃ韓国っぽい！ Kpopアイドルがテレビで流れてたり、 韓国語のポスターがあったりして楽しめました♪ ...
2021-09-01,3.4,k-house,最近、コロナの影響ですっかりランチスポットが減ってしまった東岡崎駅界隈。メシ屋を探すのもひと苦労です。 そんな中、待望の新店舗がオープンしました！ 場所は東岡崎駅南口のロータリーの東側。 ...
