投稿者,口コミタイトル,口コミ内容,総合点数,投稿日,訪問日,口コミタイプ,使った金額_夜,料理・味,サービス,雰囲気,CP,酒・ドリンク,この口コミへのいいね数
ねこのこ全国ぐるめ,私が超通ってたバー、ここは文句なし,"週3で通っていたのにレビューをまだ書いていなかった…！しかし、最もお気に入りのバーです。

支配人バーテンダーの村上さんを応援するつもりで通っていたのですがここはスタッフさんも入れ替わりあるので会話して楽しいんです。常連それぞれにもひっそり推しメンみたいなのがいましたね(笑)

最近行ってないのは単に私が転居したから。支配人は新しい店でスタートさせたのですが、それでも通うのを辞めたくないバーではあります。

なんと言ったって空間が落ち着くからです。広々としていて緑が癒し。騒がしくなり過ぎないのも芸術的なインテリアやデザインが好きなんです。お酒のラインナップも大体なんでもあって文句はないです。駅から近いのも重宝できる理由のひとつ。

あとは接待使いにも良くてソファやテーブル席があること、お食事のクオリティが高くてお腹いっぱいにできること、すべて都合良くて居心地が良いです。隠れ家系もいいですが知られすぎると居心地が悪いのです。その意味で、長居するならここ一択。

もちろん初見さんも入りやすいし、デート使いなんかにも良いと思います。実はここで出会った方と私は入籍しました(笑)こんな駅近で雰囲気が良いのに変なお客さんは少なく、質の良いお客さんが来られているのもポイントが高いです。今はどうか分からないんですけども。

また都内に訪れたときはこちらにも顔を出したいと思います。",4.5,'25/09/24,'24/11,夜,"￥5,000～￥5,999",4.5,4.0,5.0,4.0,5.0,18
もぐもぐちゃんねる。,,"【#barfivearrows 】 #新宿

Barも食事も楽しめるアートギャラリーなBar️♡ 

入るとホテルラウンジみたいな特別空間！
場所が新宿だったので、もっとラフな感じかと思ったら、敷居が高い訳じゃないけど、思ったよりもちゃんとしたバーでテンション上がりました♡笑

メニューになかったけど、オレンジフレッシュカクテルも作ってくれて嬉しい〜

1杯3000円くらい。1人でふらって一杯飲んで帰るのも良さそう〜

_______

東京都新宿区西新宿1-13-1 今佐ビル6F

: カード：VISA / Master / JCB / Amex / Diners、PayPay、iD、QUICPay

ーーーーーーーーー

・サービス料：10％、チャージ：￥500

・予約可能

・貸切可能

・カップル、仕事の人同士多め

・34席（カウンター6席、テーブル18席、ソファ10席）

・隠れ家レストラン、バー

ーーーーーーーーー",4.0,'24/08/06,'24/07,夜,"￥3,000～￥3,999",,,,,,18
Kotatora,大人のお酒女子会にはぴったり。オリジナルカクテルにとてもオシャレな空間！,"女子会の二次会で利用。
様々なアートが飾られた空間に広々ソファー、という雰囲気抜群のオシャレ空間。

■場所
新宿駅から徒歩５分程度
駅チカでこんなにオシャレな場所があるなんて嬉しすぎる！

■店内
大理石のカウンターや、壁に飾られた素敵なアート。
ソファー席は広々ゆったり。
新宿駅チカという立地を忘れてしまうような、素敵な空間です。

■注文
・氷の華マティーニ
・珈琲と天草のネグローニ
・飲む香水
・桃と桜と梅

■感想
ワインもたくさんあるようですが、オリジナルカクテルが豊富だったので、
せっかくなのでカクテルを注文！
私が頼んだ、桃と桜と梅は「バーボン＋桃＋桜＋梅+和三盆」という、和の要素を感じられるカクテル。
バーボンの甘さと、桃の香りがベストマッチ。梅の爽やかさもあるので甘すぎない、しっかりしたカクテル。
すっきりではなく、こっくりしたカクテル。なので、ゆっくり味わいながら。
しっかり濃いお酒です（笑）
素敵な空間と美味しいカクテルをゆっくり楽しめる、大人の女子会にはぴったりの場所でした！",3.5,'23/10/10,'23/10,夜,"￥3,000～￥3,999",3.5,3.5,3.5,3.4,3.5,37
meast_meal,本格的な料理も楽しめる雰囲気最高のBAR,"本格的な料理も楽しめるBAR@新宿 ホテルのラウンジのような空間で居心地最高です！

京王プラザホテル近く ビルの6階
新宿の喧騒とかかけ離れた素敵な空間

7席程のバーカウンターと
ばっちり寛げそうなソファ席

各種料理が本格的なので、
一次会からの利用もオススメの
ダイニングバーです

聞けば、フランスで10年修行された
シェフが料理を担当しており、
本格的なメニューを提供してるとのこと

当然カウンター席にて
今宵の新宿飲みのスタートです

まずは生ビールから〜

生ビールの入れ方も本格的で
見ただけで美味さが伝わってきます

そんな拘りの生ビールは、
新潟のガージェリーというクラフトビール

東京でこれを飲める場所は、
ほぼないそうです

クラフトビールって若干癖があり、
あまり好きではないのですが、
このビールは最高！

仕事終わりの喉の渇きを
満たしてくれちゃいます〜

最初に提供されるチャームから極上の逸品
オリーブオイル ディル 美桜鷄のハム

ひとくちで食べるのが
もったいないくらいの味わい

食事系の注文は、

BARスタイル シーザーサラダ 1600円
真鯛のガーリックソース　1400円

泡系の白で合わせます

サラダも彩り豊かで
バーカウンターにあう洗練された一品

真鯛のガーリックソース
新鮮な真鯛にガーリックソースが絡み
白ワインとマッチする味わい

心の底から美味い！です

そして、最後は、
厚切りローストビーフ 2200円

まさに、神業の逸品
厚切りなのに、柔らかく味わい深い

控えめに言って、激ウマです〜

当然赤ワインの登場です

赤ワインにローストビーフ
まさに至福のひととき　

そんな気分になれるのは、
お店の雰囲気でしょうか？

バーカウンターなのに、　
目の前には緑が広がる空間

そんなこんなで今宵も、
素敵なバーを満喫です〜",4.2,'23/06/16,'23/06,夜,,4.2,4.2,4.2,4.0,4.1,8
アポミ,,"【フォロー】しておけば...
マッチングアプリ.デートがより素敵な時間に//❤︎

マチアプ記録※私個人の意見です…
˗ˏˋ どんな人と行くべき？ ˎˊ˗
 お酒が弱い・イイなと思っている人

18時〜20時ハッピーアワーが穴場
カクテル、ハイボールほぼ600円

新宿とは思えへん、落ち着いたお洒落な空間
深夜まで本格的な料理とお酒が楽しめアポに最適！

フルーツを使ったカクテルは飲みやすく
お酒が弱い人でも楽しめるのが魅力

また会いたい。

┈┈┈┈┈┈┈ ŧ‹”ŧ‹” ┈┈┈┈┈┈┈┈ 

＊ワイン ホワイトヘブン　1600円
＊季節のフレッシュフルーツカクテル 1800円
＊季節のジン&トニック　1600円

・前菜三種盛り合わせ　1800円
・フォアグラのブリュレ　1200円
・濃厚ライスカルボナーラ　1600円
・牛ハラミロースト 仁淀川山椒とマデラソース　2,800円

┈┈┈┈┈┈┈ ŧ‹”ŧ‹” ┈┈┈┈┈┈┈┈

◤マチアプ飯◯査定ポイント◢
予算…¥3.000〜4.000程度/人
照明…やや暗い
雰囲気…大人デート
話しやすさ…オシャレで落ち着いた空間
駅からの距離…徒歩5分以内
他のお客さんとの距離…広々した席間隔
※他に知りたい情報があればコメント下さい.ᐟ

アポミおすすめ利用場面
アポ1回目：〇←やや高い為
アポ2回目：◎
アポ3回目：◎
アポ4回以上：◎
付き合ったぜ：◎

♡：：：♡：：：♡：：：♡：：：♡

Bar Dining FIVE Arrows
　東京都新宿区西新宿1-13-1 今佐ビル 6F
　JR新宿駅西口 徒歩3分
　　都営大江戸線 都庁前駅 徒歩5分
　18:00-25:00（L.O.23:30）

♡：：：♡：：：♡：：：♡：：：♡
.
行ってみたい！という方は【❤️】をコメントして～
.
【新宿】#マッチングアプリ 3回目のﾃﾞｰﾄで行くべき#新宿デート #マッチングアプリ体験記 #新宿グルメ",4.1,'25/04/08,'23/04,夜,"￥3,000～￥3,999",,,,,,14
東京グルメ（都内の食べ歩き日記）,,"【Bar FIVE Arrows 新宿】
新宿駅から徒歩7分、Bar FIVE Arrowsに行ってきたよー

累計3回目の来店、店内は薄暗く、落ち着いた雰囲気で、奥にはソファ席もありくつろげる事もでき、カップルや大切な人と行くのがオススメ✨

今回は学校の友達と行ってきたよ。《男・女で2人で利用。》

カウンター席では、お洒落なバーテンダーさん @yukinoyuki_ に沢山のお酒を作っていただきました。どれもこれも美味しすぎた

季節のフルーツやオリジナルカクテルも作ってくれるホスピタリティーが高い　@yukinoyuki_ さん。
シャンパンをサービスしてもらいました。ありがとうございます。

また、是非行かなければ✨フードメニューでは、昨日から新しいメニューに切り替わりついつい食べ過ぎてしまいました。サーモンのレアカツと鴨のロティ、チーズの盛り合わせはお酒が進む

~~~~~~~《注文メニュー》~~~~~~~~~
~~~~~~~~~food内容~~~~~~~~~
・アミューズ　　　　　2000円
・サーモンのレアカツ　2400円
・チーズの盛り合わせ　1870円
・鴨のロティ　　　　　1600円
・サーモンとキノコ
　のレモンクリーム　　1650円
・シラスとからすみ
　のペペロンチーノ　　1780円
・フィッシュ&チップス 1760円
・フルーツパフェ　　　2430円
・ティラミス　　　　　1100円
~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~~~~~drink内容~~~~~~~~~
・珈琲と甘草ネグローニ　　　1600円
・氷の華マティーニ　　　　　1400円
・クラシックカクテル　　　　1400円
・フルーツカクテル　　　　　1700円
・黒い稲妻ファッションド　　1700円
・フルーツカクテル　　　　　3600円
・自家製リモンチェッロ　　　1400円
・楊貴妃　　　　　　　　　　1700円
・グラスワイン赤　　　　　　1400円
・ウイスキー　　　　　　　　2000円
・エスプレッソ・ショコラ　　1600円
~~~~~~~~~~~~~~~~~~~~~~~~~~~~",5.0,'24/10/15,'23/03,夜,,,,,,,21
@なゆたぬき,ハイレベルな創作料理が食べれるアートなBAR。紫色の飲む香水カクテルがエレガントで美味しい！,"BAR ✕ ART

Barって地下にひっそりあるイメージでしたが、こちらのBarは6階にありました。

エレベーターを降りると右側がガラスの扉。左側はトイレ。
ガラスの扉を開けると…緑溢れるラグジュアリーなBarがありました。

今回注文したのは
••┈お気軽シェアセット┈••
☑グラススパークリング
☑前菜3種盛り
☑鴨のロティ
☑ライスカルボナーラorアランチーニビスク仕立て
→¥3800(チャージ料¥1000込み)

18:00～2組限定のシェアコースです。

追加注文
☑ハイビスカスのピニャコラーダ
☑飲む香水
☑本日のドルチェ

⋆⋅⋅⋅⊱∘──────∘⊰⋅⋅⋅⋆

『前菜3種盛り』
・キノコのキッシュ
・ナタトゥユ
・ヤングコーンのトントロスモーク巻き
スパークリングワインに合う前菜でした。

『鴨のロティ』
大きな鴨肉が見事です。
ソースはブラッドオレンジソース。
ブラッドオレンジ大好きなので嬉しい。
鴨のロティとめっちゃ合います。
鴨を低温調理ではなくこんなに柔らかく調理できるのは日本で数人しかいないとのこと。
鴨ってちょっとクセがあるイメージですが、そのクセもなくめちゃめちゃ美味しい。
ケール、芽キャベツが乗っていて栄養バランスもgood。

『ライスカルボナーラ』
オシャレ～。
上に乗っているのは半熟卵。
その下にはベーコン。
一番下がライス。
混ぜ合わせて食べると…カルボナーラやぁ♪

『アランチーニビスク仕立て』
シチリア名物アランチーニ。
イタリア郷土料理のライスコロッケです。
ソースにはペルノ酒使用。
濃厚なソースで美味しいので絡めまくって食べました。

『本日のドルチェ』
デザートが食べたくて追加注文。
デザート2種類から選べて『カタラーナ』をチョイス。
ぅわぁ可愛い♡
カタラーナをフォークで刺すと表面カリッ♪中がフワッと♪
気持ち良い感触でした。

カクテル
『ハイビスカスのピニャコラーダ』
メニューにはないものですがオススメで
シャカシャカ作ってくれました。
あれ？同じカクテルなのにグラスが違う？！
敢えてグラスを変えて違う雰囲気を味わってほしいとのこと。
素敵な心遣いですね。

『飲む香水』
すみれリキュール、ラベンダーシロップでバイオレットカラーに。
最後にローズウォーターをシュッと振りかけて完成。
綺麗な紫。
薔薇の香りがエレガント。

店内の壁には大きな絵画。
入口近辺にも現代アートが飾られていました。
中でも気に入ったのが、赤ちゃんの顔。
可愛くて癒やされます。
ショーケースの中には徳川家末裔の方のサイン入りのお酒や
数百万円するマッカラン未開封が飾られていました。

スタッフ全員話しやすく、1人でも気軽に来れそうな雰囲気。

◎お気軽シェアセット
利用可能時間:18:00~19:30(滞在1時間半限定)
利用可能人数:2~6名",4.2,'23/03/17,'23/03,夜,"￥5,000～￥5,999",4.2,4.2,4.2,4.2,4.2,186
かえるとかえる,西新宿にあるおしゃれなバー,"西新宿にあるバーです。それだけで緊張…
大きな扉をそっと開けると、目の前にグリーン！
想像よりも明るい優しい光。良かった。

「お気軽シェアセット」は、2名〜利用可能。
・グラススパークリング
・前菜3種盛り
・鴨のロティ
・ライスカルボナーラまたはアランチーニビスク仕立て
これで¥3,800(しかもチャージ料¥1,000込)
チャージ料込みです。

「前菜3種盛り」
きのこのキッシュ、ラタトゥユ、ヤングコーンの豚トロ燻製巻きの3種。燻が凄い。

「鴨のロティ」
2人分でこのボリューム感！
ブラッドオレンジソースとマッシュポテトにぴったりな、低温調理された鴨肉。クセも少なく、柔らかかったです。

「ライスカルボナーラ」
揚げた半熟たまごとベーコン、そしてライス。
混ぜて食べたら…カルボナーラのご飯版。
クリーム濃厚！酒泥棒！ずるい！

「アランチーニビスク仕立て」
ソースにペルノ酒を使っていて。このソース好きだなぁ。

ここでカクテル登場。
同じドリンクでもグラスが違うと、雰囲気も変わります。そして気分も上がります。

「ハイビスカスのピニャコラーダ」
なんだか南国感。
ココナッツリキュールでちょっと甘め。

「飲む香水」
1番人気のカクテル。
すみれリキュールにラベンダーシロップ。
ローズウォーターをシュシュッとして仕上げ。
キレイな紫色。炭酸の粒々もキラキラ。

翌日二日酔いになると、全身の毛穴からくさいアルコール成分出てる様な気がするんだけど。
「飲む香水」飲んだ翌日なら、いい香りしそうw

店内はグリーンあり、現代アートあり。
洗練された空間でいただく、カクテルとお料理。
最高の東京、新宿の夜でした。

ところで南国系ドリンクってストロー2本付いてるけど、1本予備って知ってました？
今まで知らずに2本同時に吸引してました…w",3.7,'24/07/24,'23/03,夜,,,,,,,8
takumi__room,新宿でバーに行きたいならここ！,"【BAR FIVE ARROWS】新宿
@bar_five_arrows 
@yukinoyuki_ 

新宿でバーに行きたいならここに行こう！ゆうきさんは圧倒的にイケメン且つ人望が厚い方です！BARなのでお酒も美味しいですが料理もレベルが高い！現状はシェフの出勤が現状21時までですが海外などで修行されている田中さんが腕を奮っております！

（頼んだメニュー）
▪️チャーム ¥2,000
▪️ハニーブランデー&ジンジャー¥1,800
▪️飲む香水 ¥1,700
▪️トビウオとシラスの大根パスタ ¥1,600
▪️柑橘とハーブのジントニック¥1,500
（店舗詳細）
BAR FIVE Arrows
050-5589-5775
東京都新宿区西新宿1-13-1 今佐ビル 6F
https://tabelog.com/tokyo/A1304/A130401/13274215/

#新宿#新宿グルメ#新宿ディナー#新宿バー#新宿ごはん#新宿デート#新宿bar#フレンチ#ダイニングバー#barfivearrows",4.0,'22/08/28,'22/08,夜,"￥4,000～￥4,999",4.0,4.5,4.0,2.5,3.5,103
moromikouzi,BAR FIVE Arrows　管理人が行った居酒屋紹介します！,"BARFIVEArrows　管理人が行った居酒屋紹介します！2023年9月10日
 Twitter Facebook Google+ LinkedIn Pinit Pocket LINE LINETweetPocket!function(d,i){if(!d.getElementById(i)){varj=d.createElement(""script"");j.id=i;j.src=""https://widgets.getpocket.com/v1/j/btn.js?v=1"";varw=d.getElementById(i);d.body.appendChild(j);}}(document,""pocket-btn-js"");
おぉ、すごい、これはガチでインスタ映え！
私もね、こーゆー写真撮れるんですよ

まぁ、需要があるかどうかはともかくとして
今回私が伺いましたのが、新宿駅西口側にあるBARFIVEAarrowsさん。
どうもここんとこオシャレなお店が続くなぁこちらのお店も私的オシャレスカウターがあっちゅう間にぶっ壊れるくらいオシャレですいるだけでなんかもう、クラクラしちゃう

店内をぐるっと撮影した写真も付けてますけどね、店内に現代アートが飾ってあったりとか、壁に植物のカーテンみたいになってたりとか、間接照明とか、うん、私のオシャレ語彙が貧相すぎて表現しきれてませんけど、うん、オシャレ

ホントに語彙が貧相
大体が店名のFIVEArrowsからして、世界最大の財閥と名高い「ロスチャイルド家」の初代と言われるマイアー・アムシェル・ロスチャイルドが、5人の息子を象徴する5本の矢を現在の家紋に描いたという、その5本の矢が元になっているっつって、取り扱うシャンパン・ワインの銘柄はロートシルト（ロスチャイルド家の別読み）を中心としているなんて言われたら、うん、オシャレ

ありがたいのはこれだけオシャレなお店で、1本100万円とかするワインも置いてあったりもするそうで、使おうと思えば一晩で何十万とか何百万とか使うことも可能だそうですが
結構食事のメニューもバッチリありまして、一番カジュアルなコースなら、オープンの18時にサッとご飯食べてサクッと飲んで、みたいな利用もできる、ってこと。
それならちょっといい居酒屋くらいの、数千円での利用もできるので、いや、それくらいでこのオシャレなお店の常連になれるというなら、それは通う価値あるなぁ
ココ、俺の行きつけ、とか、言いたい
この一番カジュアルなコースなんですが、それでも鴨のロティだの、ライスカルボナーラだのアランチーニビスクだの、結構お腹いっぱい食べられます！

このライスカルボナーラの上に乗ってる揚げ卵黄をつぶして卵黄がとろりと出てくるところなんかね、もうたまらんのですよ！ここまでくると、もうなんか、エロい

当然お酒も美味しいです、ワインもカクテルも美味しいんですが、ビールについてもガージェリー・エステラという知る人ぞ知るビールを出しています
こちら注文を受けた数だけを醸造タンクから毎日樽詰めし、冷蔵便で翌日お店に届けるという、コンディションを追求した無濾過ビール。60日以上かけて発酵・熟成させたビールが、常に「前日に詰めたばかりの樽」が届くというビールで、豊かでバランスが取れた味わいと飲みやすさを両立しているのが特徴なんですそんじょそこらの居酒屋じゃぁ出てこないプレミアムなビール！苦みが結構しっかりしつつもスッキリ飲める美味しいビール・・・うわぁ、ピッチャーで出してくんねぇかな

こんな発想のヤツにこんな美味しいビール飲ませちゃいけないんですよBARFIVEArrowsは、単なる飲食店ではなく、「場所」や「体験」を売るお店。
そのためにお客さん一人一人にキチンと向き合い、しっかり顔と名前を覚えたり好みを覚えたり、なんなら利き腕まで覚えてお酒をコッチから出す、みたいなところまでやってるそう

パークハイアットなんかの高級ホテルが、自分とこのバーは23時で閉まっちゃうからっていうんで、もっと飲みたいお客さんにBARFIVEArrowsを勧める、っていう、ホテルのバーのお客さんを任せられるようなお店
で、ありながら、支配人のセンスで色々面白いイベントもやっていきたいという
仮面舞踏会とかやりたいんですって！どんなセンスなのよ

めちゃくちゃオシャレでありながら、支配人のセンスも秀逸なので、どっぷりBARFIVEArrowsの世界に浸ってしまったらかなり楽しいと思いますよ
お近くの方は、ぜひ近くなくても、ぜひ
店名
BARFIVEArrows（バーファイブアローズ）
ジャンル
バー、フレンチ、ダイニングバー
予約・お問い合わせ
050-5589-5775
予約可否
予約可
住所
東京都新宿区西新宿1-13-1今佐ビル6F
JR新宿駅西口徒歩3分
都営大江戸線都庁前駅徒歩5分
営業時間
18:00-02:00（L.O.01:30）
※深夜までお食事提供中
定休日
なし",,'23/09/10,,,,,,,,,0
