category1,subtotal,quantity,構成比
コース&セット,504300.0,90,19.056076178960097
未設定,280000.0,95,10.580411124546554
ジャパニーズカクテル,265200.0,152,10.021160822249094
オリジナルカクテル,172500.0,100,6.51828899637243
その他,171700.0,367,6.488059250302297
ワイン（グラス）,162600.0,112,6.144195888754535
スナック,138000.0,118,5.214631197097944
ウイスキー,126100.0,78,4.764963724304716
アラカルト,102000.0,74,3.8542926239419586
ウイスキー（ハイボール・ボトル・オリジナル）,100200.0,60,3.7862756952841594
ビール,97800.0,82,3.6955864570737607
ワイン,92700.0,11,3.5028718258766625
ご飯もの,73800.0,47,2.7886940749697704
イベント,68000.0,3,2.569528415961306
ジャパニーズウイスキー,65400.0,31,2.4712817412333736
黒板メニュー,37800.0,17,1.4283555018137848
カクテル,35500.0,24,1.3414449818621523
ノンアルコールカクテル,32900.0,25,1.24319830713422
ソフトドリンク,32000.0,39,1.2091898428053205
ジン,24900.0,16,0.94090084643289
デザート,19200.0,17,0.7255139056831923
ドリンク,19200.0,16,0.7255139056831923
日本酒,10200.0,6,0.3854292623941959
テキーラ,6800.0,4,0.2569528415961306
サラダ,5800.0,4,0.21916565900846433
ブランデー,1800.0,1,0.06801692865779928
ウォッカ,0.0,1,0.0
