year_month,売上,客数,組数,客単価,営業日数,日平均売上,日平均客数
2022-11,3428250.0,484,221,7083.161157024793,30,114275.0,16.133333333333333
2022-12,37450.0,4,4,9362.5,1,37450.0,4.0
2023-01,2808780.0,430,204,6532.046511627907,26,108030.0,16.53846153846154
2023-02,3721740.0,591,278,6297.36040609137,28,132919.2857142857,21.107142857142858
2023-03,5007380.0,761,335,6580.0,31,161528.38709677418,24.548387096774192
2023-04,4684190.0,682,348,6868.313782991202,25,187367.6,27.28
2023-05,4149670.0,696,337,5962.169540229885,31,133860.32258064515,22.451612903225808
2023-06,4856920.0,750,360,6475.893333333333,30,161897.33333333334,25.0
2023-07,4982840.0,785,399,6347.5668789808915,31,160736.7741935484,25.322580645161292
2023-08,4967830.0,760,507,6536.618421052632,31,160252.5806451613,24.516129032258064
2023-09,4404240.0,741,370,5943.643724696356,30,146808.0,24.7
2023-10,3544780.0,694,349,5107.752161383285,29,122233.79310344828,23.93103448275862
2023-11,3997710.0,678,321,5896.327433628318,28,142775.35714285713,24.214285714285715
2023-12,4670650.0,862,372,5418.38747099768,31,150666.12903225806,27.806451612903224
2024-01,3856610.0,620,267,6220.3387096774195,26,148331.15384615384,23.846153846153847
2024-02,3321290.0,651,292,5101.8279569892475,29,114527.24137931035,22.448275862068964
2024-03,3430970.0,716,299,4791.8575418994415,31,110676.45161290323,23.096774193548388
2024-04,3288050.0,720,306,4566.736111111111,30,109601.66666666667,24.0
2024-05,4210040.0,777,303,5418.326898326898,31,135807.74193548388,25.06451612903226
2024-06,3314480.0,630,238,5261.079365079365,30,110482.66666666667,21.0
2024-07,4055800.0,670,262,6053.432835820896,30,135193.33333333334,22.333333333333332
2024-08,2945260.0,562,233,5240.67615658363,30,98175.33333333333,18.733333333333334
2024-09,4473520.0,796,304,5620.0,30,149117.33333333334,26.533333333333335
2024-10,4700580.0,907,372,5182.557883131201,31,151631.61290322582,29.258064516129032
2024-11,3507670.0,724,292,4844.848066298343,30,116922.33333333333,24.133333333333333
2024-12,5037260.0,907,304,5553.759647188534,31,162492.25806451612,29.258064516129032
2025-01,2634590.0,498,198,5290.341365461847,26,101330.38461538461,19.153846153846153
2025-02,3225080.0,742,249,4346.469002695418,28,115181.42857142857,26.5
2025-03,3683110.0,810,299,4547.049382716049,31,118810.0,26.129032258064516
2025-04,3788620.0,801,294,4729.862671660425,30,126287.33333333333,26.7
2025-05,3212750.0,612,245,5249.591503267974,31,103637.09677419355,19.741935483870968
2025-06,2417030.0,489,191,4942.80163599182,30,80567.66666666667,16.3
2025-07,3015350.0,664,239,4541.189759036145,31,97269.35483870968,21.419354838709676
2025-08,3166730.0,514,201,6160.953307392996,31,102152.58064516129,16.580645161290324
2025-09,2435940.0,468,178,5205.0,29,83997.93103448275,16.137931034482758
2025-10,2859530.0,554,200,5161.606498194946,31,92242.90322580645,17.870967741935484
2025-11,3338960.0,658,230,5074.407294832827,30,111298.66666666667,21.933333333333334
2025-12,4325510.0,765,234,5654.261437908497,31,139532.5806451613,24.677419354838708
2026-01,2751170.0,493,171,5580.466531440163,27,101895.18518518518,18.25925925925926
2026-02,618800.0,114,39,5428.070175438596,8,77350.0,14.25
