2026/04/06 18:49 時点

[補足情報]
1. 伝票金額は、加算・値引をした結果の金額です。

項目名横の記号について(下記参照)
 H.  -->>  伝票ヘッダ情報 
 C.  -->>  お客様情報
 D.  -->>  伝票明細情報

"H.集計対象営業年月日","H.曜日","H.伝票発行日","H.伝票処理日","H.客数（合計）","H.小計","H.総商品数","D.商品カテゴリ1","D.商品カテゴリ2","D.商品","D.サブメニュー","D.価格","D.数量","D.オーダー日時","D.オーダーステータス"
"2026/03/30","月","2026/03/30 13:00:06","2026/03/30 13:57:06","0","11560","4","テイクアウト","出前館","00000002579:Uberうな重松","","9400","1","2026/03/30 13:00:06","20:配膳済"
"2026/03/30","月","2026/03/30 13:00:06","2026/03/30 13:57:06","0","11560","4","ウーバーイーツ","鰻料理","00000003299:Uber山椒小袋","","30","1","2026/03/30 13:00:06","20:配膳済"
"2026/03/30","月","2026/03/30 13:00:06","2026/03/30 13:57:06","0","11560","4","ウーバーイーツ","鰻料理","00000003299:Uber山椒小袋","","30","1","2026/03/30 13:00:06","20:配膳済"
"2026/03/30","月","2026/03/30 13:00:06","2026/03/30 13:57:06","0","11560","4","テイクアウト","ウーバーイーツ","00000001478:Uberとろろサラダ","","2100","1","2026/03/30 13:00:06","20:配膳済"
"2026/03/30","月","2026/03/30 14:49:45","2026/03/30 16:53:48","0","14060","6","テイクアウト","出前館","00000002580:Uberうな重竹","","7800","1","2026/03/30 14:49:45","20:配膳済"
"2026/03/30","月","2026/03/30 14:49:45","2026/03/30 16:53:48","0","14060","6","テイクアウト","出前館","00000002581:Uberうな重梅","","5700","1","2026/03/30 14:49:45","20:配膳済"
"2026/03/30","月","2026/03/30 14:49:45","2026/03/30 16:53:48","0","14060","6","テイクアウト","ウーバーイーツ","00000001205:大盛り","","200","1","2026/03/30 14:49:45","20:配膳済"
"2026/03/30","月","2026/03/30 14:49:45","2026/03/30 16:53:48","0","14060","6","ウーバーイーツ","鰻料理","00000002226:Uber鰻のタレ","","300","1","2026/03/30 14:49:45","20:配膳済"
"2026/03/30","月","2026/03/30 14:49:45","2026/03/30 16:53:48","0","14060","6","ウーバーイーツ","鰻料理","00000003299:Uber山椒小袋","","30","1","2026/03/30 14:49:45","20:配膳済"
"2026/03/30","月","2026/03/30 14:49:45","2026/03/30 16:53:48","0","14060","6","ウーバーイーツ","鰻料理","00000003299:Uber山椒小袋","","30","1","2026/03/30 14:49:45","20:配膳済"
