2026/04/15 13:38 時点

[補足情報]
1. 伝票金額は、加算・値引をした結果の金額です。

項目名横の記号について(下記参照)
 H.  -->>  伝票ヘッダ情報 
 C.  -->>  お客様情報
 D.  -->>  伝票明細情報

"H.伝票番号","H.集計対象営業年月日","H.曜日","H.伝票発行日","H.伝票処理日","H.客数（合計）","H.小計","H.総商品数","D.商品カテゴリ1","D.商品カテゴリ2","D.商品","D.サブメニュー","D.価格","D.数量","D.オーダー日時","D.オーダーステータス"
"No:202600100000126","2026/04/06","月","2026/04/06 11:31:29","2026/04/06 11:58:03","2","4320","4","ドリンク","ビール","00000000014:オールフリー","","600","1","2026/04/06 11:31:29","20:配膳済"
"No:202600100000126","2026/04/06","月","2026/04/06 11:31:29","2026/04/06 11:58:03","2","4320","4","ランチ","ランチ","00000001786:サバ定食","並盛x1","1200","1","2026/04/06 11:31:29","20:配膳済"
"No:202600100000126","2026/04/06","月","2026/04/06 11:31:29","2026/04/06 11:58:03","2","4320","4","ランチ","ランチ","00000004028:しょうが焼き定食","並盛x1","1200","1","2026/04/06 11:31:29","20:配膳済"
"No:202600100000126","2026/04/06","月","2026/04/06 11:31:29","2026/04/06 11:58:03","2","4320","4","フード","お刺身","00000001072:お刺身盛合せ","三点1人前x1","1320","1","2026/04/06 11:31:29","20:配膳済"
"No:202600100000127","2026/04/06","月","2026/04/06 11:32:56","2026/04/06 12:16:12","2","3600","2","ランチ","ランチ","00000002463:海鮮丼","並盛x1","1800","1","2026/04/06 11:32:56","20:配膳済"
"No:202600100000127","2026/04/06","月","2026/04/06 11:32:56","2026/04/06 12:16:12","2","3600","2","ランチ","ランチ","00000004030:お刺身定食","並盛x1","1800","1","2026/04/06 11:32:56","20:配膳済"
"No:202600100000127","2026/04/06","月","2026/04/06 11:32:56","2026/04/06 12:14:31","2","1800","1","ランチ","ランチ","00000002463:海鮮丼","並盛x1","1800","1","2026/04/06 11:32:56","20:配膳済"
"No:202600100000127","2026/04/06","月","2026/04/06 11:32:56","2026/04/06 12:16:12","2","1800","1","ランチ","ランチ","00000004030:お刺身定食","並盛x1","1800","1","2026/04/06 11:32:56","20:配膳済"
"No:202600100000128","2026/04/06","月","2026/04/06 11:45:07","2026/04/06 12:07:15","3","3500","3","ランチ","ランチ","00000003135:チキン南蛮定食","大盛りx1","1200","1","2026/04/06 11:46:24","20:配膳済"
"No:202600100000128","2026/04/06","月","2026/04/06 11:45:07","2026/04/06 12:07:15","3","3500","3","ランチ","ランチ","00000003135:チキン南蛮定食","大盛りx1","1200","1","2026/04/06 11:46:24","20:配膳済"
"No:202600100000128","2026/04/06","月","2026/04/06 11:45:07","2026/04/06 12:07:15","3","3500","3","ランチ","ランチ","00000004027:とり天定食","天つゆx1 / 大盛りx1","1100","1","2026/04/06 11:46:24","20:配膳済"
"No:202600100000129","2026/04/06","月","2026/04/06 12:01:04","2026/04/06 12:24:11","1","1680","3","ランチ","ランチ","00000001786:サバ定食","並盛x1","1200","1","2026/04/06 12:01:30","20:配膳済"
"No:202600100000129","2026/04/06","月","2026/04/06 12:01:04","2026/04/06 12:24:11","1","1680","3","ランチ","サイドメニュー","00000004042:納豆","","150","1","2026/04/06 12:01:30","20:配膳済"
"No:202600100000129","2026/04/06","月","2026/04/06 12:01:04","2026/04/06 12:24:11","1","1680","3","ランチ","サイドメニュー","00000004044:サラダ","","330","1","2026/04/06 12:01:30","20:配膳済"
"No:202600100000130","2026/04/06","月","2026/04/06 12:01:49","2026/04/06 13:04:50","7","15030","9","ランチ","ランチ","00000004029:カキフライ定食","並盛x1","1800","1","2026/04/06 12:07:59","20:配膳済"
"No:202600100000130","2026/04/06","月","2026/04/06 12:01:49","2026/04/06 13:04:50","7","15030","9","ランチ","ランチ","00000003311:エビフライ定食","並盛x1","1800","1","2026/04/06 12:07:59","20:配膳済"
"No:202600100000130","2026/04/06","月","2026/04/06 12:01:49","2026/04/06 13:04:50","7","15030","9","ランチ","ランチ","00000002463:海鮮丼","並盛x1","1800","1","2026/04/06 12:07:59","20:配膳済"
"No:202600100000130","2026/04/06","月","2026/04/06 12:01:49","2026/04/06 13:04:50","7","15030","9","ランチ","ランチ","00000003820:鰻玉丼定食","並盛x1","2750","1","2026/04/06 12:07:59","20:配膳済"
"No:202600100000130","2026/04/06","月","2026/04/06 12:01:49","2026/04/06 13:04:50","7","15030","9","ランチ","ランチ","00000003820:鰻玉丼定食","並盛x1","2750","1","2026/04/06 12:07:59","20:配膳済"
"No:202600100000130","2026/04/06","月","2026/04/06 12:01:49","2026/04/06 13:04:50","7","15030","9","ランチ","ランチ","00000003135:チキン南蛮定食","大盛りx1","1200","1","2026/04/06 12:07:59","20:配膳済"
"No:202600100000130","2026/04/06","月","2026/04/06 12:01:49","2026/04/06 13:04:50","7","15030","9","ランチ","サイドメニュー","00000004045:トロロ","","330","1","2026/04/06 12:07:59","20:配膳済"
"No:202600100000130","2026/04/06","月","2026/04/06 12:01:49","2026/04/06 13:04:50","7","15030","9","ランチ","ランチ","00000004034:穴子天丼定食","大盛りx1","1500","1","2026/04/06 12:07:59","20:配膳済"
"No:202600100000130","2026/04/06","月","2026/04/06 12:01:49","2026/04/06 13:04:50","7","15030","9","フード","揚げ物","00000000130:メヒカリの唐揚げ","","1100","1","2026/04/06 12:07:59","20:配膳済"
"No:202600100000131","2026/04/06","月","2026/04/06 12:23:39","2026/04/06 12:49:56","1","1200","1","ランチ","ランチ","00000001786:サバ定食","並盛x1","1200","1","2026/04/06 12:24:53","20:配膳済"
"No:202600100000132","2026/04/06","月","2026/04/06 12:28:59","2026/04/06 13:23:45","2","2600","2","ランチ","ランチ","00000004027:とり天定食","おろしソースx1 / 並盛x1","1100","1","2026/04/06 12:30:10","20:配膳済"
"No:202600100000132","2026/04/06","月","2026/04/06 12:28:59","2026/04/06 13:23:45","2","2600","2","ランチ","ランチ","00000004034:穴子天丼定食","大盛りx1","1500","1","2026/04/06 12:30:10","20:配膳済"
"No:202600100000133","2026/04/06","月","2026/04/06 12:30:30","2026/04/06 12:52:12","1","1200","1","ランチ","ランチ","00000001786:サバ定食","並盛x1","1200","1","2026/04/06 12:30:56","20:配膳済"
"No:202600100000134","2026/04/06","月","2026/04/06 12:32:03","2026/04/06 13:45:56","2","3600","2","ランチ","ランチ","00000003311:エビフライ定食","並盛x1","1800","1","2026/04/06 12:32:03","20:配膳済"
"No:202600100000134","2026/04/06","月","2026/04/06 12:32:03","2026/04/06 13:45:56","2","3600","2","ランチ","ランチ","00000003311:エビフライ定食","並盛x1","1800","1","2026/04/06 12:50:13","20:配膳済"
"No:202600100000134","2026/04/06","月","2026/04/06 12:32:03","2026/04/06 13:45:33","2","1800","1","ランチ","ランチ","00000003311:エビフライ定食","並盛x1","1800","1","2026/04/06 12:32:03","20:配膳済"
"No:202600100000134","2026/04/06","月","2026/04/06 12:32:03","2026/04/06 13:45:56","2","1800","1","ランチ","ランチ","00000003311:エビフライ定食","並盛x1","1800","1","2026/04/06 12:50:13","20:配膳済"
"No:202600100000135","2026/04/06","月","2026/04/06 12:35:00","2026/04/06 13:10:44","1","1350","2","ランチ","ランチ","00000001786:サバ定食","並盛x1","1200","1","2026/04/06 12:35:00","20:配膳済"
"No:202600100000135","2026/04/06","月","2026/04/06 12:35:00","2026/04/06 13:10:44","1","1350","2","ランチ","サイドメニュー","00000004042:納豆","","150","1","2026/04/06 12:35:00","20:配膳済"
"No:202600100000136","2026/04/06","月","2026/04/06 12:35:18","2026/04/06 13:07:07","2","3000","2","ランチ","ランチ","00000004030:お刺身定食","並盛x1","1800","1","2026/04/06 12:35:18","20:配膳済"
