2026/04/20 09:16 時点

[補足情報]
1. 伝票金額は、加算・値引をした結果の金額です。

項目名横の記号について(下記参照)
 H.  -->>  伝票ヘッダ情報 
 C.  -->>  お客様情報
 D.  -->>  伝票明細情報

"H.集計対象営業年月日","H.曜日","H.伝票発行日","H.伝票処理日","H.客数（合計）","H.小計","H.総商品数","D.商品カテゴリ1","D.商品カテゴリ2","D.商品","D.サブメニュー","D.価格","D.オーダー日時","D.数量","D.オーダーステータス"
"2026/04/13","月","2026/04/13 11:56:15","2026/04/13 12:10:24","1","1200","1","ランチ","ランチ","00000004028:しょうが焼き定食","並盛x1","1200","2026/04/13 11:56:15","1","20:配膳済"
"2026/04/13","月","2026/04/13 12:05:20","2026/04/13 12:29:07","1","1680","3","ランチ","ランチ","00000001786:サバ定食","大盛りx1","1200","2026/04/13 12:05:20","1","20:配膳済"
"2026/04/13","月","2026/04/13 12:05:20","2026/04/13 12:29:07","1","1680","3","ランチ","サイドメニュー","00000004041:生卵","","150","2026/04/13 12:05:20","1","20:配膳済"
"2026/04/13","月","2026/04/13 12:05:20","2026/04/13 12:29:07","1","1680","3","ランチ","サイドメニュー","00000004044:サラダ","","330","2026/04/13 12:05:20","1","20:配膳済"
"2026/04/13","月","2026/04/13 12:08:23","2026/04/13 12:29:46","1","1200","1","ランチ","ランチ","00000002484:豚しゃぶ定食","大盛りx1","1200","2026/04/13 12:08:50","1","20:配膳済"
"2026/04/13","月","2026/04/13 12:21:33","2026/04/13 13:08:39","3","3500","3","ランチ","ランチ","00000004027:とり天定食","天つゆx1 / 大盛りx1","1100","2026/04/13 12:22:21","1","20:配膳済"
"2026/04/13","月","2026/04/13 12:21:33","2026/04/13 13:08:39","3","3500","3","ランチ","ランチ","00000003135:チキン南蛮定食","大盛りx1","1200","2026/04/13 12:22:21","1","20:配膳済"
"2026/04/13","月","2026/04/13 12:21:33","2026/04/13 13:08:39","3","3500","3","ランチ","ランチ","00000003135:チキン南蛮定食","大盛りx1","1200","2026/04/13 12:26:15","1","20:配膳済"
"2026/04/13","月","2026/04/13 12:33:09","2026/04/13 13:32:56","5","6000","5","ランチ","ランチ","00000001786:サバ定食","大盛りx1","1200","2026/04/13 12:35:05","1","20:配膳済"
"2026/04/13","月","2026/04/13 12:33:09","2026/04/13 13:32:56","5","6000","5","ランチ","ランチ","00000004028:しょうが焼き定食","大盛りx1","1200","2026/04/13 12:35:05","1","20:配膳済"
"2026/04/13","月","2026/04/13 12:33:09","2026/04/13 13:32:56","5","6000","5","ランチ","ランチ","00000003135:チキン南蛮定食","大盛りx1","1200","2026/04/13 12:35:05","1","20:配膳済"
"2026/04/13","月","2026/04/13 12:33:09","2026/04/13 13:32:56","5","6000","5","ランチ","ランチ","00000002484:豚しゃぶ定食","大盛りx1","1200","2026/04/13 12:35:05","1","20:配膳済"
"2026/04/13","月","2026/04/13 12:33:09","2026/04/13 13:32:56","5","6000","5","ランチ","ランチ","00000002484:豚しゃぶ定食","大盛りx1","1200","2026/04/13 12:35:05","1","20:配膳済"
"2026/04/13","月","2026/04/13 12:33:09","2026/04/13 13:31:19","5","1200","1","ランチ","ランチ","00000001786:サバ定食","大盛りx1","1200","2026/04/13 12:35:05","1","20:配膳済"
"2026/04/13","月","2026/04/13 12:33:09","2026/04/13 13:32:04","5","1200","1","ランチ","ランチ","00000004028:しょうが焼き定食","大盛りx1","1200","2026/04/13 12:35:05","1","20:配膳済"
"2026/04/13","月","2026/04/13 12:33:09","2026/04/13 13:32:18","5","1200","1","ランチ","ランチ","00000003135:チキン南蛮定食","大盛りx1","1200","2026/04/13 12:35:05","1","20:配膳済"
