2026/05/09 20:33 時点

[補足情報]
1. 伝票金額は、加算・値引をした結果の金額です。

項目名横の記号について(下記参照)
 H.  -->>  伝票ヘッダ情報 
 C.  -->>  お客様情報
 D.  -->>  伝票明細情報

"H.集計対象営業年月日","H.曜日","H.伝票発行日","H.伝票処理日","H.客数（合計）","H.小計","H.総商品数","D.商品カテゴリ1","D.商品カテゴリ2","D.商品","D.サブメニュー","D.価格","D.オーダー日時","D.数量","D.オーダーステータス","H.伝票番号"
"2026/04/20","月","2026/04/20 11:45:01","2026/04/20 12:19:51","1","2880","1","フード","ランチ","00000002532:うなとろ丼","","2880","2026/04/20 11:45:01","1","20:配膳済","No:202600200000230"
"2026/04/20","月","2026/04/20 13:13:28","2026/04/20 13:52:18","0","7600","2","テイクアウト","出前館","00000002581:Uberうな重梅","","5700","2026/04/20 13:13:28","1","20:配膳済","No:202600200000231"
"2026/04/20","月","2026/04/20 13:13:28","2026/04/20 13:52:18","0","7600","2","ウーバーイーツ","海鮮逸品","00000002345:Uberチョレギサラダ","","1900","2026/04/20 13:13:28","1","20:配膳済","No:202600200000231"
"2026/04/20","月","2026/04/20 17:02:26","2026/04/20 18:51:33","2","21875","13","フード","お通し","00000000443:お通し","","700","2026/04/20 17:02:26","1","20:配膳済","No:202600200000232"
"2026/04/20","月","2026/04/20 17:02:26","2026/04/20 18:51:33","2","21875","13","フード","お通し","00000000443:お通し","","700","2026/04/20 17:02:26","1","20:配膳済","No:202600200000232"
"2026/04/20","月","2026/04/20 17:02:26","2026/04/20 18:51:33","2","21875","13","ドリンク","焼酎グラス","00000000424:三岳 グラス","","850","2026/04/20 17:26:15","1","20:配膳済","No:202600200000232"
"2026/04/20","月","2026/04/20 17:02:26","2026/04/20 18:51:33","2","21875","13","フード","一品料理","00000003526:旬菜3点盛り","","1000","2026/04/20 17:31:05","1","20:配膳済","No:202600200000232"
"2026/04/20","月","2026/04/20 17:02:26","2026/04/20 18:51:33","2","21875","13","フード","お刺身","00000002060:馬刺 赤身","","1400","2026/04/20 17:31:05","1","20:配膳済","No:202600200000232"
"2026/04/20","月","2026/04/20 17:02:26","2026/04/20 18:51:33","2","21875","13","フード","鰻料理","00000000636:うなぎ蒲焼(ハーフ)","","3600","2026/04/20 17:31:05","1","20:配膳済","No:202600200000232"
"2026/04/20","月","2026/04/20 17:02:26","2026/04/20 18:51:33","2","21875","13","フード","揚げ物","00000000370:大和芋の磯辺揚","","1000","2026/04/20 17:31:05","1","20:配膳済","No:202600200000232"
"2026/04/20","月","2026/04/20 17:02:26","2026/04/20 18:51:33","2","21875","13","フード","一品料理","00000000387:マグロ山かけ","","1100","2026/04/20 17:31:14","1","20:配膳済","No:202600200000232"
"2026/04/20","月","2026/04/20 17:02:26","2026/04/20 18:51:33","2","21875","13","ドリンク","焼酎グラス","00000000424:三岳 グラス","","850","2026/04/20 17:47:24","1","20:配膳済","No:202600200000232"
"2026/04/20","月","2026/04/20 17:02:26","2026/04/20 18:51:33","2","21875","13","ドリンク","焼酎グラス","00000000424:三岳 グラス","","850","2026/04/20 18:16:09","1","20:配膳済","No:202600200000232"
"2026/04/20","月","2026/04/20 17:02:26","2026/04/20 18:51:33","2","21875","13","フード","一品料理","00000000496:ライス","","200","2026/04/20 18:16:09","1","20:配膳済","No:202600200000232"
"2026/04/20","月","2026/04/20 17:02:26","2026/04/20 18:51:33","2","21875","13","テイクアウト","出前館","00000002596:TOうな重梅","","4200","2026/04/20 18:16:09","1","20:配膳済","No:202600200000232"
"2026/04/20","月","2026/04/20 17:02:26","2026/04/20 18:51:33","2","21875","13","テイクアウト","出前館","00000002596:TOうな重梅","","4200","2026/04/20 18:16:09","1","20:配膳済","No:202600200000232"
"2026/04/20","月","2026/04/20 17:55:54","2026/04/20 21:34:43","0","5930","3","テイクアウト","出前館","00000002581:Uberうな重梅","","5700","2026/04/20 17:55:54","1","20:配膳済","No:202600200000233"
"2026/04/20","月","2026/04/20 17:55:54","2026/04/20 21:34:43","0","5930","3","テイクアウト","ウーバーイーツ","00000001205:大盛り","","200","2026/04/20 17:55:54","1","20:配膳済","No:202600200000233"
"2026/04/20","月","2026/04/20 17:55:54","2026/04/20 21:34:43","0","5930","3","ウーバーイーツ","鰻料理","00000003299:Uber山椒小袋","","30","2026/04/20 17:55:54","1","20:配膳済","No:202600200000233"
"2026/04/20","月","2026/04/20 19:00:35","2026/04/20 21:11:59","2","23300","6","コース","コース","00000000510:麻布しきコース","","10000","2026/04/20 19:00:35","1","20:配膳済","No:202600200000234"
"2026/04/20","月","2026/04/20 19:00:35","2026/04/20 21:11:59","2","23300","6","コース","コース","00000000510:麻布しきコース","","10000","2026/04/20 19:00:35","1","20:配膳済","No:202600200000234"
"2026/04/20","月","2026/04/20 19:00:35","2026/04/20 21:11:59","2","23300","6","ドリンク","ソフトドリンク","00000001187:ジンジャーエール","","500","2026/04/20 19:30:22","1","20:配膳済","No:202600200000234"
"2026/04/20","月","2026/04/20 19:00:35","2026/04/20 21:11:59","2","23300","6","ドリンク","サワー","00000000415:生レモンサワー","","800","2026/04/20 19:30:22","1","20:配膳済","No:202600200000234"
