店舗ID,店舗名,会計ID,レシートNo,テーブル,媒体,営業日,来店日時,会計日時,人数,チェックイン人数,小計,割増計,割引計,合計,消費税合計,税率10%対象額,税率10%消費税額,税率8%対象額,税率8%消費税額,非課税対象額,不課税対象額,預り金,お釣り,修正履歴
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,67114846,12493,2,一休,2026/01/05,2026/01/05 16:55:11,2026/01/05 20:30:01,2,0,27600,0,0,27600,2509,27600,2509,0,0,0,0,27600,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,67128991,12494,1,一休,2026/01/05,2026/01/05 16:54:16,2026/01/05 21:39:54,2,0,19600,0,0,19600,1781,19600,1781,0,0,0,0,19600,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,67130706,12495,3,ぐるなび,2026/01/05,2026/01/05 19:33:07,2026/01/05 21:50:24,3,0,25190,0,0,25190,2290,25190,2290,0,0,0,0,25200,10,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,67204950,12496,3,一休,2026/01/06,2026/01/06 18:41:20,2026/01/06 20:19:23,2,0,19460,0,0,19460,1769,19460,1769,0,0,0,0,19460,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,67286476,12497,"5,6",食べログ,2026/01/07,2026/01/07 17:25:26,2026/01/07 19:15:58,7,0,69350,0,0,69350,6304,69350,6304,0,0,0,0,69350,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,67295789,12498,3,一休,2026/01/07,2026/01/07 17:27:17,2026/01/07 20:09:30,2,0,19580,0,0,19580,1780,19580,1780,0,0,0,0,19580,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,67302518,12499,2,食べログ,2026/01/07,2026/01/07 19:18:01,2026/01/07 20:41:43,2,0,18040,0,0,18040,1640,18040,1640,0,0,0,0,18040,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,67310970,12500,3,食べログ,2026/01/07,2026/01/07 20:36:39,2026/01/07 21:21:24,2,0,16820,0,0,16820,1529,16820,1529,0,0,0,0,16820,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,67396243,12501,"5,6",食べログ,2026/01/08,2026/01/08 18:17:43,2026/01/08 20:51:04,6,0,63900,0,0,63900,5809,63900,5809,0,0,0,0,63900,0,会計取り消し
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,67397471,12502,"5,6",食べログ,2026/01/08,2026/01/08 18:17:43,2026/01/08 20:56:52,6,0,63900,0,0,63900,5809,63900,5809,0,0,0,0,63900,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,67405963,12503,1,一休,2026/01/08,2026/01/08 20:07:58,2026/01/08 21:38:12,4,0,16260,0,0,16260,1478,16260,1478,0,0,0,0,16260,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,67408981,12504,2,ぐるなび,2026/01/08,2026/01/08 18:57:29,2026/01/08 21:55:15,4,0,39200,0,0,39200,3563,39200,3563,0,0,0,0,40000,800,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,67412711,12505,"9,8",一休,2026/01/08,2026/01/08 20:39:08,2026/01/08 22:17:17,6,0,42760,0,0,42760,3887,42760,3887,0,0,0,0,42760,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,67469945,12506,2,一休,2026/01/09,2026/01/09 17:50:11,2026/01/09 18:39:59,2,0,23610,0,0,23610,2146,23610,2146,0,0,0,0,23610,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,67480169,12507,4,食べログ,2026/01/09,2026/01/09 18:07:49,2026/01/09 19:40:36,2,0,13250,0,0,13250,1204,13250,1204,0,0,0,0,13250,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,67487746,12508,3,ぐるなび,2026/01/09,2026/01/09 18:02:01,2026/01/09 20:10:40,3,0,30790,0,0,30790,2799,30790,2799,0,0,0,0,31000,210,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,67502795,12509,1,食べログ,2026/01/09,2026/01/09 18:26:35,2026/01/09 20:57:08,2,0,19600,0,0,19600,1781,19600,1781,0,0,0,0,19600,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,67525859,12510,"7,8,9,16,17,18",一休,2026/01/09,2026/01/09 18:31:51,2026/01/09 22:10:09,5,0,49000,0,0,49000,4454,49000,4454,0,0,0,0,49000,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,67526522,12511,2,食べログ,2026/01/09,2026/01/09 19:53:13,2026/01/09 22:12:31,3,0,25630,0,0,25630,2330,25630,2330,0,0,0,0,25630,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,67659212,12512,"7,18",食べログ,2026/01/10,2026/01/10 18:35:03,2026/01/10 20:38:09,2,0,20350,0,0,20350,1850,20350,1850,0,0,0,0,20350,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,67662172,12513,1,一休,2026/01/10,2026/01/10 18:48:51,2026/01/10 20:46:33,2,0,20350,0,0,20350,1850,20350,1850,0,0,0,0,20350,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,67664880,12514,3,一休,2026/01/10,2026/01/10 17:55:16,2026/01/10 20:54:11,2,0,20280,0,0,20280,1843,20280,1843,0,0,0,0,20280,0,
