èWåvä˙ä‘,îÑè„,âÔåvêî,âÔåvíPâø,ãqêî,ãqíPâø,è§ïiêî,åªã‡éxï•çáåväz,åªã‡ÇªÇÃëºéxï•çáåväz,äÑà¯äz
20251201,179061,9,19895,37,4839,323,55500,123561,0
20251202,104262,9,11584,24,4344,164,61854,42408,0
20251203,84908,8,10613,19,4468,179,75756,9152,0
20251204,224977,13,17305,46,4890,419,78731,146246,0
20251205,552230,17,32484,110,5020,628,370273,181957,0
20251206,435695,25,17427,95,4586,725,126601,309094,0
20251207,81302,10,8130,23,3534,188,43456,37846,0
20251208,99974,11,9088,22,4544,228,63297,36677,0
20251209,186672,12,15556,43,4341,368,78080,108592,0
20251210,308419,13,23724,60,5140,487,58801,249618,0
20251211,146489,13,11268,33,4439,278,72448,74041,0
20251212,448525,14,32037,85,5276,606,307397,141128,0
20251213,488822,22,22219,106,4611,855,374649,114173,0
20251214,58228,7,8318,14,4159,120,15020,43208,0
20251215,147683,9,16409,34,4343,328,30160,117523,0
20251216,300167,16,18760,63,4764,554,128530,171637,0
20251217,277208,13,21323,66,4200,454,118591,158617,0
20251218,441785,8,55223,89,4963,380,38539,403246,0
20251219,631130,26,24274,139,4540,843,491322,139808,0
20251220,445577,28,15913,109,4087,798,403348,42229,0
20251221,168534,10,16853,36,4681,257,111548,56986,0
20251222,398678,10,39867,71,5615,391,354818,43860,0
20251223,225534,11,20503,50,4510,408,104998,120536,0
20251226,421528,20,21076,93,4532,666,195414,226114,0
20251227,489633,25,19585,119,4114,834,435548,54085,0
20251228,465453,29,16050,93,5004,921,317984,147469,0
20251229,464595,29,16020,114,4075,869,322987,141608,0
20251230,413548,21,19692,80,5169,713,185712,227836,0
