2026/02/09 07:56 時点

[補足情報]
1. 伝票金額は、加算・値引をした結果の金額です。

項目名横の記号について(下記参照)
 H.  -->>  伝票ヘッダ情報 
 C.  -->>  お客様情報
 D.  -->>  伝票明細情報

"H.伝票番号","H.集計対象営業年月日","H.曜日","H.伝票発行日","H.伝票処理日","H.客数（合計）","H.小計","H.総商品数","D.商品カテゴリ1","D.商品カテゴリ2","D.商品","D.サブメニュー","D.価格","D.オーダー日時","D.数量"
"No:202500100005994","2025/12/29","月","2025/12/29 11:01:50","2025/12/29 11:02:02","4","32000","1","フード","フリー","00000002315:その他（税込）","","32000","2025/12/29 11:01:50","1"
"No:202500100005995","2025/12/29","月","2025/12/29 11:40:32","2025/12/29 12:03:36","1","7500","2","フード","鰻料理","00000002553:うな重 松","並盛x1","6900","2025/12/29 11:40:43","1"
"No:202500100005995","2025/12/29","月","2025/12/29 11:40:32","2025/12/29 12:03:36","1","7500","2","フード","鰻料理","00000002558:肝焼き","","600","2025/12/29 11:40:43","1"
"No:202500100005996","2025/12/29","月","2025/12/29 11:46:07","2025/12/29 11:46:42","0","1200","1","ロケットナウ","お弁当","00000003686:ロケット生姜焼き弁当","","1200","2025/12/29 11:46:16","1"
"No:202500100005997","2025/12/29","月","2025/12/29 11:46:20","2025/12/29 11:47:02","0","12600","3","ロケットナウ","鰻料理","00000003689:ロケットうな重梅","","4200","2025/12/29 11:46:29","1"
"No:202500100005997","2025/12/29","月","2025/12/29 11:46:20","2025/12/29 11:47:02","0","12600","3","ロケットナウ","鰻料理","00000003689:ロケットうな重梅","","4200","2025/12/29 11:46:29","1"
"No:202500100005997","2025/12/29","月","2025/12/29 11:46:20","2025/12/29 11:47:02","0","12600","3","ロケットナウ","鰻料理","00000003689:ロケットうな重梅","","4200","2025/12/29 11:46:29","1"
"No:202500100005998","2025/12/29","月","2025/12/29 11:55:33","2025/12/29 11:56:01","0","3430","1","ウーバーイーツ","鰻料理","00000004189:梅肝重30％オフ","","3430","2025/12/29 11:55:51","1"
"No:202500100005999","2025/12/29","月","2025/12/29 11:59:25","2025/12/29 12:51:12","2","10000","2","フード","鰻料理","00000002555:うな重 梅","並盛x1","4200","2025/12/29 11:59:57","1"
"No:202500100005999","2025/12/29","月","2025/12/29 11:59:25","2025/12/29 12:51:12","2","10000","2","フード","鰻料理","00000002554:うな重 竹","並盛x1","5800","2025/12/29 11:59:57","1"
"No:202500100006000","2025/12/29","月","2025/12/29 12:05:44","2025/12/29 12:54:00","2","10000","2","フード","鰻料理","00000002554:うな重 竹","並盛x1","5800","2025/12/29 12:05:55","1"
"No:202500100006000","2025/12/29","月","2025/12/29 12:05:44","2025/12/29 12:54:00","2","10000","2","フード","鰻料理","00000002555:うな重 梅","並盛x1","4200","2025/12/29 12:05:55","1"
"No:202500100006001","2025/12/29","月","2025/12/29 12:08:37","2025/12/29 13:00:51","4","16950","4","フード","鰻料理","00000002555:うな重 梅","並盛x1","4200","2025/12/29 12:11:06","1"
"No:202500100006001","2025/12/29","月","2025/12/29 12:08:37","2025/12/29 13:00:51","4","16950","4","フード","鰻料理","00000002555:うな重 梅","並盛x1","4200","2025/12/29 12:11:06","1"
"No:202500100006001","2025/12/29","月","2025/12/29 12:08:37","2025/12/29 13:00:51","4","16950","4","フード","鰻料理","00000002554:うな重 竹","並盛x1","5800","2025/12/29 12:11:06","1"
"No:202500100006001","2025/12/29","月","2025/12/29 12:08:37","2025/12/29 13:00:51","4","16950","4","ランチ","ランチ","00000003820:鰻玉丼定食","並盛x1","2750","2025/12/29 12:13:37","1"
"No:202500100006001","2025/12/29","月","2025/12/29 12:08:37","2025/12/29 13:00:51","4","16950","4","フード","鰻料理","00000002555:うな重 梅","並盛x1","0","2025/12/29 12:19:34","0"
"No:202500100006001","2025/12/29","月","2025/12/29 12:08:37","2025/12/29 13:00:51","4","16950","4","フード","お刺身","00000001072:お刺身盛合せ","三点２人前x1","0","2025/12/29 12:19:34","0"
"No:202500100006001","2025/12/29","月","2025/12/29 12:08:37","2025/12/29 13:00:51","4","16950","4","フード","おすすめ","00000000163:穴子天ぷら","","0","2025/12/29 12:19:34","0"
"No:202500100006002","2025/12/29","月","2025/12/29 12:11:27","2025/12/29 13:32:04","3","26110","20","ドリンク","ソフトドリンク","00000000047:コーラ","","550","2025/12/29 12:11:55","1"
"No:202500100006002","2025/12/29","月","2025/12/29 12:11:27","2025/12/29 13:32:04","3","26110","20","ドリンク","ソフトドリンク","00000000047:コーラ","","550","2025/12/29 12:11:55","1"
"No:202500100006002","2025/12/29","月","2025/12/29 12:11:27","2025/12/29 13:32:04","3","26110","20","ドリンク","ウイスキー","00000003245:角ハイボール","普通x1","700","2025/12/29 12:11:55","1"
"No:202500100006002","2025/12/29","月","2025/12/29 12:11:27","2025/12/29 13:32:04","3","26110","20","ドリンク","ビール","00000000009:ﾌﾟﾚﾐｱﾑﾓﾙﾂ ﾀﾝﾌﾞﾗｰ","","770","2025/12/29 12:20:35","1"
"No:202500100006002","2025/12/29","月","2025/12/29 12:11:27","2025/12/29 13:32:04","3","26110","20","フード","鰻料理","00000002555:うな重 梅","並盛x1","4200","2025/12/29 12:20:35","1"
"No:202500100006002","2025/12/29","月","2025/12/29 12:11:27","2025/12/29 13:32:04","3","26110","20","フード","お刺身","00000001072:お刺身盛合せ","三点２人前x1","2200","2025/12/29 12:20:35","1"
"No:202500100006002","2025/12/29","月","2025/12/29 12:11:27","2025/12/29 13:32:04","3","26110","20","フード","おすすめ","00000000163:穴子天ぷら","","1100","2025/12/29 12:20:35","1"
"No:202500100006002","2025/12/29","月","2025/12/29 12:11:27","2025/12/29 13:32:04","3","26110","20","フード","鰻料理","00000002555:うな重 梅","並盛x1","4200","2025/12/29 12:26:25","1"
"No:202500100006002","2025/12/29","月","2025/12/29 12:11:27","2025/12/29 13:32:04","3","26110","20","フード","鰻料理","00000002555:うな重 梅","並盛x1","4200","2025/12/29 12:26:25","1"
"No:202500100006002","2025/12/29","月","2025/12/29 12:11:27","2025/12/29 13:32:04","3","26110","20","ドリンク","ウイスキー","00000003245:角ハイボール","普通x1","700","2025/12/29 12:26:25","1"
"No:202500100006002","2025/12/29","月","2025/12/29 12:11:27","2025/12/29 13:32:04","3","26110","20","ドリンク","ウイスキー","00000003245:角ハイボール","普通x1","700","2025/12/29 12:45:37","1"
