2026/02/09 09:23 時点

[補足情報]
1. 伝票金額は、加算・値引をした結果の金額です。

項目名横の記号について(下記参照)
 H.  -->>  伝票ヘッダ情報 
 C.  -->>  お客様情報
 D.  -->>  伝票明細情報

"H.伝票番号","H.集計対象営業年月日","H.曜日","H.伝票発行日","H.伝票処理日","H.客数（合計）","H.小計","H.総商品数","D.商品カテゴリ1","D.商品カテゴリ2","D.商品","D.サブメニュー","D.価格","D.数量","D.オーダー日時","D.オーダーステータス"
"No:202400100006722","2025/01/01","水","2025/01/01 11:08:22","2025/01/01 12:36:19","1","9490","5","ドリンク","お通し","00000000319:お通し","","660","1","2025/01/01 11:36:09","20:配膳済"
"No:202400100006722","2025/01/01","水","2025/01/01 11:08:22","2025/01/01 12:36:19","1","9490","5","フード","鰻料理","00000002554:うな重 竹","","5800","1","2025/01/01 11:36:09","20:配膳済"
"No:202400100006722","2025/01/01","水","2025/01/01 11:08:22","2025/01/01 12:36:19","1","9490","5","ドリンク","ビール","00000000010:ﾌﾟﾚﾐｱﾑﾓﾙﾂ 小ｸﾞﾗｽ","","500","1","2025/01/01 11:36:09","20:配膳済"
"No:202400100006722","2025/01/01","水","2025/01/01 11:08:22","2025/01/01 12:36:19","1","9490","5","フード","お刺身","00000001072:お刺身盛合せ","三点1人前x1","1320","1","2025/01/01 11:36:09","20:配膳済"
"No:202400100006722","2025/01/01","水","2025/01/01 11:08:22","2025/01/01 12:36:19","1","9490","5","ドリンク","日本酒","00000000112:酔鯨","とっくりx1","1210","1","2025/01/01 11:47:31","20:配膳済"
"No:202400100006723","2025/01/01","水","2025/01/01 11:08:29","2025/01/01 13:12:38","3","23100","9","フード","揚げ物","00000000130:メヒカリの唐揚げ","","1100","1","2025/01/01 12:11:45","20:配膳済"
"No:202400100006723","2025/01/01","水","2025/01/01 11:08:29","2025/01/01 13:12:38","3","23100","9","フード","鰻料理","00000002554:うな重 竹","","5800","1","2025/01/01 12:11:45","20:配膳済"
"No:202400100006723","2025/01/01","水","2025/01/01 11:08:29","2025/01/01 13:12:38","3","23100","9","フード","鰻料理","00000002553:うな重 松","","6900","1","2025/01/01 12:11:45","20:配膳済"
"No:202400100006723","2025/01/01","水","2025/01/01 11:08:29","2025/01/01 13:12:38","3","23100","9","フード","鰻料理","00000000052:うなぎ白焼き","","6000","1","2025/01/01 12:11:45","20:配膳済"
"No:202400100006723","2025/01/01","水","2025/01/01 11:08:29","2025/01/01 13:12:38","3","23100","9","ドリンク","お通し","00000000319:お通し","","660","1","2025/01/01 12:11:45","20:配膳済"
"No:202400100006723","2025/01/01","水","2025/01/01 11:08:29","2025/01/01 13:12:38","3","23100","9","ドリンク","お通し","00000000319:お通し","","660","1","2025/01/01 12:11:45","20:配膳済"
"No:202400100006723","2025/01/01","水","2025/01/01 11:08:29","2025/01/01 13:12:38","3","23100","9","ドリンク","お通し","00000000319:お通し","","660","1","2025/01/01 12:11:45","20:配膳済"
"No:202400100006723","2025/01/01","水","2025/01/01 11:08:29","2025/01/01 13:12:38","3","23100","9","ドリンク","日本酒","00000000124:あつかん","とっくりx1","660","1","2025/01/01 12:15:00","20:配膳済"
"No:202400100006723","2025/01/01","水","2025/01/01 11:08:29","2025/01/01 13:12:38","3","23100","9","ドリンク","日本酒","00000000124:あつかん","とっくりx1","660","1","2025/01/01 12:31:53","20:配膳済"
"No:202400100006724","2025/01/01","水","2025/01/01 11:08:35","2025/01/01 12:46:59","2","15410","8","ドリンク","お通し","00000000319:お通し","","660","1","2025/01/01 11:40:06","20:配膳済"
"No:202400100006724","2025/01/01","水","2025/01/01 11:08:35","2025/01/01 12:46:59","2","15410","8","ドリンク","お通し","00000000319:お通し","","660","1","2025/01/01 11:40:06","20:配膳済"
"No:202400100006724","2025/01/01","水","2025/01/01 11:08:35","2025/01/01 12:46:59","2","15410","8","フード","鰻料理","00000002553:うな重 松","","6900","1","2025/01/01 11:40:06","20:配膳済"
"No:202400100006724","2025/01/01","水","2025/01/01 11:08:35","2025/01/01 12:46:59","2","15410","8","フード","鰻料理","00000002555:うな重 梅","","4200","1","2025/01/01 11:40:06","20:配膳済"
"No:202400100006724","2025/01/01","水","2025/01/01 11:08:35","2025/01/01 12:46:59","2","15410","8","フード","おすすめ","00000002645:海鮮パクチー春巻2本","","800","1","2025/01/01 11:40:06","20:配膳済"
"No:202400100006724","2025/01/01","水","2025/01/01 11:08:35","2025/01/01 12:46:59","2","15410","8","フード","フード","00000003414:白子ポン酢","","990","1","2025/01/01 11:40:06","20:配膳済"
"No:202400100006724","2025/01/01","水","2025/01/01 11:08:35","2025/01/01 12:46:59","2","15410","8","ドリンク","ビール","00000000014:オールフリー","","600","1","2025/01/01 11:41:05","20:配膳済"
"No:202400100006724","2025/01/01","水","2025/01/01 11:08:35","2025/01/01 12:46:59","2","15410","8","ドリンク","ビール","00000000014:オールフリー","","600","1","2025/01/01 11:41:05","20:配膳済"
"No:202400100006725","2025/01/01","水","2025/01/01 11:08:43","2025/01/01 12:59:51","1","13930","6","フード","鰻料理","00000002558:肝焼き","","600","1","2025/01/01 12:13:09","20:配膳済"
"No:202400100006725","2025/01/01","水","2025/01/01 11:08:43","2025/01/01 12:59:51","1","13930","6","フード","鰻料理","00000002555:うな重 梅","","4200","1","2025/01/01 12:13:09","20:配膳済"
"No:202400100006725","2025/01/01","水","2025/01/01 11:08:43","2025/01/01 12:59:51","1","13930","6","フード","ふぐ料理","00000000092:ふぐ刺し","","6600","1","2025/01/01 12:13:09","20:配膳済"
"No:202400100006725","2025/01/01","水","2025/01/01 11:08:43","2025/01/01 12:59:51","1","13930","6","ドリンク","お通し","00000000319:お通し","","660","1","2025/01/01 12:13:09","20:配膳済"
"No:202400100006725","2025/01/01","水","2025/01/01 11:08:43","2025/01/01 12:59:51","1","13930","6","ドリンク","ビール","00000000009:ﾌﾟﾚﾐｱﾑﾓﾙﾂ ﾀﾝﾌﾞﾗｰ","","770","1","2025/01/01 12:13:09","20:配膳済"
"No:202400100006725","2025/01/01","水","2025/01/01 11:08:43","2025/01/01 12:59:51","1","13930","6","ドリンク","日本酒","00000000044:ヒレ酒","とっくりx1","1100","1","2025/01/01 12:37:50","20:配膳済"
"No:202400100006726","2025/01/01","水","2025/01/01 11:08:49","2025/01/01 12:32:35","2","10230","5","ランチ","ランチ","00000002567:うな重 梅 定食","並盛x1","3300","1","2025/01/01 11:59:11","20:配膳済"
"No:202400100006726","2025/01/01","水","2025/01/01 11:08:49","2025/01/01 12:32:35","2","10230","5","ランチ","ランチ","00000002566:うな重 竹 定食","並盛x1","4400","1","2025/01/01 11:59:11","20:配膳済"
"No:202400100006726","2025/01/01","水","2025/01/01 11:08:49","2025/01/01 12:32:35","2","10230","5","ドリンク","日本酒","00000000628:銀盤","とっくりx1","1210","1","2025/01/01 12:00:31","20:配膳済"
