集計期間,売上,会計数,会計単価,客数,客単価,商品数,現金支払合計額,現金その他支払合計額,割引額
20250103,211860,20,10593,53,3997,498,151228,60632,0
20250104,308573,16,19285,70,4408,612,202709,105864,0
20250105,89078,12,7423,24,3711,214,77704,11374,0
20250106,12903,3,4301,6,2150,33,12903,0,0
20250107,63426,7,9060,16,3964,153,33880,29546,0
20250108,109692,6,18282,20,5484,215,47421,62271,0
20250109,152416,15,10161,37,4119,352,71885,80531,0
20250110,341571,22,15525,64,5337,675,200373,141198,0
20250111,353758,30,11791,82,4314,748,280014,73744,0
20250112,424974,11,38634,87,4884,569,353760,71214,0
20250113,200917,17,11818,46,4367,424,97482,103435,0
20250114,76549,7,10935,15,5103,159,31306,45243,0
20250115,140831,9,15647,30,4694,266,67417,73414,0
20250116,96954,6,16159,22,4407,230,33968,62986,0
20250117,365323,18,20295,69,5294,670,190150,175173,-2500
20250118,395257,28,14116,96,4117,784,228812,166445,0
20250119,186880,16,11680,43,4346,418,97725,89155,0
20250120,142318,14,10165,31,4590,338,51458,90860,0
20250121,156112,13,12008,35,4460,369,93478,62634,0
20250122,69388,6,11564,19,3652,161,31592,37796,0
20250123,193401,16,12087,52,3719,404,87306,106095,0
20250124,389878,19,20519,87,4481,629,215612,174266,0
20250125,296472,24,12353,70,4235,685,240108,56364,0
20250126,112181,8,14022,24,4674,167,103304,8877,0
20250127,213367,17,12551,45,4741,397,154781,58586,0
20250128,218151,11,19831,44,4957,485,41437,176714,0
20250129,108892,12,9074,31,3512,205,58916,49976,0
20250130,156789,12,13065,37,4237,257,93022,63767,0
20250131,394457,12,32871,71,5555,560,287246,107211,0
20250201,290764,24,12115,74,3929,584,153388,137376,0
20250202,111562,11,10142,23,4850,243,47674,63888,0
20250203,65692,7,9384,12,5474,144,30448,35244,0
20250204,151558,13,11658,37,4096,340,76802,74756,0
20250205,89991,8,11248,22,4090,194,37224,52767,0
20250206,339830,19,17885,63,5394,707,196133,143697,0
20250207,389023,23,16914,78,4987,832,237297,151726,0
20250208,286465,22,13021,64,4476,637,182944,103521,0
20250209,140378,15,9358,29,4840,315,61904,78474,0
20250210,166951,14,11925,37,4512,286,127505,39446,0
20250212,363685,21,17318,71,5122,671,252746,110939,-500
20250213,165684,15,11045,37,4477,354,87815,77869,0
20250214,387762,21,18464,89,4356,741,247581,140181,0
20250215,400252,21,19059,76,5266,679,282197,118055,0
20250216,70378,7,10054,15,4691,162,33803,36575,0
20250217,205623,19,10822,46,4470,484,116600,89023,0
20250218,126390,13,9722,28,4513,288,108889,17501,0
20250219,135395,9,15043,32,4231,311,115299,20096,0
20250220,164186,13,12629,41,4004,389,94743,69443,0
20250221,343192,21,16342,69,4973,594,177322,165870,0
20250222,289857,19,15255,58,4997,631,117645,172212,0
20250223,255464,28,9123,68,3756,602,151690,103774,0
20250224,190245,20,9512,46,4135,419,98956,91289,0
20250225,105193,8,13149,22,4781,278,34430,70763,0
20250226,154537,10,15453,33,4682,223,102652,51885,0
20250227,85041,8,10630,21,4049,201,28677,56364,0
20250228,373351,21,17778,84,4444,687,261585,111766,0
20250301,216967,17,12762,45,4821,460,173616,43351,0
20250302,237319,17,13959,56,4237,501,147471,89848,0
20250303,98120,8,12265,22,4460,224,61061,37059,0
20250304,156438,16,9777,38,4116,350,79816,76622,0
20250305,94083,9,10453,18,5226,225,22583,71500,0
20250306,112728,14,8052,29,3887,262,69179,43549,0
20250307,429033,23,18653,93,4613,823,272193,156840,0
20250308,167805,11,15255,41,4092,389,69322,98483,0
20250309,98494,10,9849,21,4690,238,41360,57134,0
20250310,141878,13,10913,34,4172,317,49555,92323,0
20250311,72831,6,12138,20,3641,158,8569,64262,0
20250312,173140,16,10821,40,4328,391,30591,142549,0
20250313,191919,16,11994,38,5050,414,78782,113137,0
20250314,414753,18,23041,94,4412,687,165122,249631,-6000
20250315,383546,25,15341,83,4621,764,191457,192089,0
20250316,125719,15,8381,34,3697,282,80377,45342,0
20250317,197511,14,14107,44,4488,389,150772,46739,0
20250318,118701,9,13189,26,4565,280,92301,26400,0
20250319,442430,21,21068,99,4468,732,316247,126183,0
20250320,150183,11,13653,31,4844,342,104313,45870,0
20250321,401988,11,36544,88,4568,510,333813,68175,0
20250322,244563,22,11116,58,4216,584,120978,123585,0
20250323,104005,15,6933,40,2600,243,43802,60203,0
20250324,115465,13,8881,28,4123,233,62612,52853,0
20250325,173657,10,17365,33,5262,392,29458,144199,0
20250326,171248,13,13172,36,4756,380,73546,97702,0
20250327,229161,13,17627,50,4583,427,79200,149961,0
20250328,506227,22,23010,118,4290,889,118525,387702,0
20250329,286242,19,15065,64,4472,623,195613,90629,0
20250330,262573,17,15445,53,4954,533,126353,136220,0
20250331,157107,8,19638,33,4760,293,77445,79662,0
20250401,106007,10,10600,31,3419,267,27775,78232,0
20250402,82727,9,9191,18,4595,188,60496,22231,0
20250403,294932,16,18433,60,4915,528,160754,134178,0
20250404,375609,14,26829,77,4878,724,133921,241688,0
20250405,184657,17,10862,46,4014,398,88869,95788,0
20250406,169411,19,8916,42,4033,346,101310,68101,0
20250407,113982,5,22796,22,5181,251,108812,5170,0
20250408,89943,11,8176,20,4497,212,23738,66205,0
20250409,137606,12,11467,28,4914,302,64764,72842,0
20250410,182259,17,10721,48,3797,450,107382,74877,0
20250411,489068,20,24453,105,4657,706,178627,310441,0
20250412,301849,32,9432,91,3317,664,126713,175136,0
20250413,196100,13,15084,44,4456,315,133777,62323,0
20250414,211968,13,16305,57,3718,481,91561,120407,-3000
20250415,209143,15,13942,38,5503,494,86416,122727,0
20250416,321407,15,21427,67,4797,553,90695,230712,0
20250417,151012,12,12584,33,4576,292,57524,93488,0
20250418,406090,9,45121,73,5562,640,98010,308080,0
20250419,259395,22,11790,58,4472,597,128788,130607,0
20250420,143979,14,10284,31,4644,326,100386,43593,0
20250421,149491,9,16610,30,4983,252,36157,113334,0
20250422,231849,16,14490,49,4731,421,95425,136424,0
20250423,196526,13,15117,46,4272,445,133353,63173,0
20250424,99473,11,9043,24,4144,245,84293,15180,0
20250425,447226,18,24845,94,4757,775,361935,85291,0
20250426,363728,10,36372,78,4663,443,310029,53699,0
20250427,267597,22,12163,69,3878,609,173943,93654,0
20250428,202664,16,12666,42,4825,440,69058,133606,0
20250429,78645,6,13107,20,3932,186,20284,58361,0
20250430,77174,9,8574,18,4287,153,44262,32912,0
20250501,133991,10,13399,29,4620,305,65417,68574,0
20250502,277682,24,11570,77,3606,657,177328,100354,0
20250503,245355,27,9087,64,3833,535,125543,119812,0
20250504,355880,35,10168,92,3868,833,170442,185438,0
20250505,251090,28,8967,67,3747,589,141552,109538,0
20250506,204570,14,14612,45,4546,448,97984,106586,0
20250507,54857,7,7836,9,6095,90,40612,14245,0
20250508,115522,11,10502,25,4620,225,76945,38577,0
20250509,372881,10,37288,77,4842,488,165428,207453,0
20250510,242553,20,12127,61,3976,480,152199,90354,0
20250511,138413,10,13841,29,4772,324,94622,43791,0
20250512,102289,8,12786,25,4091,232,83083,19206,0
