"H.伝票番号","H.集計対象営業年月日","H.曜日","H.伝票発行日","H.伝票処理日","H.客数（合計）","H.小計","H.総商品数","D.商品カテゴリ1","D.商品カテゴリ2","D.商品","D.サブメニュー","D.価格","D.数量","D.オーダー日時","D.オーダーステータス"
"No:202400200004949","2025/03/01","土","2025/03/01 11:39:18","2025/03/01 12:18:33","2","10300","2","フード","ランチ","00000001984:ランチうな重","","5500","1","2025/03/01 11:39:18","20:配膳済"
"No:202400200004949","2025/03/01","土","2025/03/01 11:39:18","2025/03/01 12:18:33","2","10300","2","フード","ランチ","00000001986:黒毛和牛うな重","","4800","1","2025/03/01 11:39:18","20:配膳済"
"No:202400200004950","2025/03/01","土","2025/03/01 15:18:47","2025/03/01 21:24:09","0","8900","1","テイクアウト","menu","00000002585:menuうな重松","","8900","1","2025/03/01 15:18:47","20:配膳済"
"No:202400200004951","2025/03/01","土","2025/03/01 16:44:15","2025/03/01 21:24:19","0","10520","5","テイクアウト","出前館","00000002579:Uberうな重松","","8900","1","2025/03/01 16:44:15","20:配膳済"
"No:202400200004951","2025/03/01","土","2025/03/01 16:44:15","2025/03/01 21:24:19","0","10520","5","テイクアウト","出前館","00000000520:Uber肝焼き","","650","1","2025/03/01 16:44:15","20:配膳済"
"No:202400200004951","2025/03/01","土","2025/03/01 16:44:15","2025/03/01 21:24:19","0","10520","5","テイクアウト","出前館","00000000520:Uber肝焼き","","650","1","2025/03/01 16:44:15","20:配膳済"
"No:202400200004951","2025/03/01","土","2025/03/01 16:44:15","2025/03/01 21:24:19","0","10520","5","ウーバーイーツ","鰻料理","00000002226:Uber鰻のタレ","","300","1","2025/03/01 16:44:15","20:配膳済"
"No:202400200004951","2025/03/01","土","2025/03/01 16:44:15","2025/03/01 21:24:19","0","10520","5","ウーバーイーツ","鰻料理","00000003299:Uber山椒小袋","","20","1","2025/03/01 16:44:15","20:配膳済"
"No:202400200004952","2025/03/01","土","2025/03/01 17:12:07","2025/03/01 17:53:22","1","10200","6","フード","お通し","00000000443:お通し","","700","1","2025/03/01 17:12:07","20:配膳済"
"No:202400200004952","2025/03/01","土","2025/03/01 17:12:07","2025/03/01 17:53:22","1","10200","6","フード","鰻料理","00000002577:うな重竹","","5800","1","2025/03/01 17:14:56","20:配膳済"
