取引No,来店日,来店時間,会計日,会計時間,合計,小計,内消費税,修正金額合計,修正後合計,修正後内消費税,現金,クレジットカード(Airペイ),交通系電子マネー(Airペイ),QUICPay(Airペイ),iD(Airペイ),QR決済(Airペイ),QR決済(Airペイ QR),クレジットカード/電子マネー(Square),ポイント(Airペイ ポイント),ポイント(ホットペッパーグルメ),Pontaポイント(Airウォレット),金券内訳,売掛内訳,金券合計,売掛合計,おつり,現金以外おつり不支払額,全体割引/割増(税込),個別割引/割増(税込),まとめ買い割引(税込),割引/割増合計(税込),人数,商品点数,滞在時間,伝票名,レジID,レジ担当者名,リソース名,ID,カテゴリー名,メニュー名,種別１,種別２,価格,注文数量,個別割引/割増数量,個別割引/割増単価,単位,個別割引/割増合計額,まとめ買い割引名,まとめ買い割引セット価格,まとめ買い割引セット数,まとめ買い割引数,まとめ買い割引合計額
HD0020260201171633272,2026/02/01,17:15:15,2026/02/01,18:32:33,4158,4158,378,0,4158,378,0,4158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,01:17:18,"T5",0001,"小島陽","未設定",A2609D23F74B4913A843B0AFCDB35C76,"アルコール","ウーロンハイ","ノーマル","",495,1,0,0,-,0,"",0,0,0,0
HD0020260201171633272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2609D23F74B4913A843B0AFCDB35C76,"お通し","お通し","女性","",330,2,0,0,-,0,"",0,0,0,0
HD0020260201171633272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2609D23F74B4913A843B0AFCDB35C76,"単品料理","ニラ玉","","",660,1,0,0,-,0,"",0,0,0,0
HD0020260201171633272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2609D23F74B4913A843B0AFCDB35C76,"ビール","瓶ビール【赤星】","","",770,1,0,0,-,0,"",0,0,0,0
HD0020260201171633272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2609D23F74B4913A843B0AFCDB35C76,"串焼き","豆苗しゃぶ串","","",308,1,0,0,-,0,"",0,0,0,0
HD0020260201171633272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2609D23F74B4913A843B0AFCDB35C76,"サワー","翠ジン","","",550,1,0,0,-,0,"",0,0,0,0
HD0020260201171633272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2609D23F74B4913A843B0AFCDB35C76,"単品料理","丸ごとガリトマト","","",715,1,0,0,-,0,"",0,0,0,0
HD0020260201190125098,2026/02/01,19:00:47,2026/02/01,19:07:08,3907,3907,355,0,3907,355,0,0,0,0,0,3907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,00:06:21,"臨時",0001,"小島陽","未設定",32C23409F07B4D7CA7F9D585CFFEE0D4,"単品料理","イカの一夜干し","","",858,1,0,0,-,0,"",0,0,0,0
HD0020260201190125098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32C23409F07B4D7CA7F9D585CFFEE0D4,"ソフトドリンク","レッドブル","","",440,1,0,0,-,0,"",0,0,0,0
HD0020260201190125098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32C23409F07B4D7CA7F9D585CFFEE0D4,"串焼き","レタス巻き","レタス明太マヨ","",365,1,0,0,-,0,"",0,0,0,0
HD0020260201190125098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32C23409F07B4D7CA7F9D585CFFEE0D4,"串焼き","お好み焼き串","","",308,1,0,0,-,0,"",0,0,0,0
HD0020260201190125098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32C23409F07B4D7CA7F9D585CFFEE0D4,"単品料理","2倍シャカシャカポテト","チリガーリック","",1078,1,0,0,-,0,"",0,0,0,0
HD0020260201190125098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32C23409F07B4D7CA7F9D585CFFEE0D4,"単品料理","桃色片想いのチキン南蛮","","",858,1,0,0,-,0,"",0,0,0,0
HD0020260201190020399,2026/02/01,18:58:29,2026/02/01,19:08:02,2167,2167,197,0,2167,197,0,0,0,0,0,2167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,00:09:33,"臨時",0001,"小島陽","未設定",3833F3F1C1654329AEACB662C5E2F510,"単品料理","たたききゅうり","","",495,1,0,0,-,0,"",0,0,0,0
HD0020260201190020399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3833F3F1C1654329AEACB662C5E2F510,"ソフトドリンク","レッドブル","","",440,1,0,0,-,0,"",0,0,0,0
HD0020260201190020399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3833F3F1C1654329AEACB662C5E2F510,"串焼き","焼き鳥【せせり】塩","","",308,1,0,0,-,0,"",0,0,0,0
HD0020260201190020399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3833F3F1C1654329AEACB662C5E2F510,"串焼き","焼き鳥【ぼんじり】","塩","",308,1,0,0,-,0,"",0,0,0,0
HD0020260201190020399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3833F3F1C1654329AEACB662C5E2F510,"串焼き","焼き鳥【砂肝】","","",308,1,0,0,-,0,"",0,0,0,0
HD0020260201190020399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3833F3F1C1654329AEACB662C5E2F510,"串焼き","焼き鳥【軟骨】","","",308,1,0,0,-,0,"",0,0,0,0
HD0020260201191854529,2026/02/01,19:18:34,2026/02/01,20:28:41,7562,7562,687,0,7562,687,10562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,2,16,01:10:07,"T5",0001,"小島陽","未設定",FCBA2DAFDD524ECA88CCCAEDFD3A17C6,"串焼き","アスパラ肉巻き","","",330,1,0,0,-,0,"",0,0,0,0
HD0020260201191854529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FCBA2DAFDD524ECA88CCCAEDFD3A17C6,"串焼き","えのき肉巻き","","",308,1,0,0,-,0,"",0,0,0,0
HD0020260201191854529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FCBA2DAFDD524ECA88CCCAEDFD3A17C6,"アルコール","角ハイボール","メガ角ハイボール","",900,3,0,0,-,0,"",0,0,0,0
HD0020260201191854529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FCBA2DAFDD524ECA88CCCAEDFD3A17C6,"お通し","お通し","女性","",330,1,0,0,-,0,"",0,0,0,0
