店舗ID,営業日,会計日時,オーダー日時,会計ID,分類ID,分類名称,メニューID,メニュー名称,主副区別,売価(税込),売価(税抜),原価(税込),原価(税抜),販売数,販売金額(税込),値割引金額,親メニューID,親メニュー名,消費税率区分,ユーザーID
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:45:42,2026/02/10 21:37:22,71478827,309679,松・飲み放題（コース内）,2665314,★飲放★　（酒！）ジャスミン茶割り,0,0,0,112,104,1,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:45:42,2026/02/10 21:37:22,71478827,309679,松・飲み放題（コース内）,774610,ICE,1,0,0,0,0,1,0,,2665314,★飲放★　ジャスミン茶割り,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:45:42,2026/02/10 21:33:51,71478827,309679,松・飲み放題（コース内）,2734192,★飲放★　（酒！）知覧にっぽん紅茶割り,0,0,0,137,127,1,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:45:42,2026/02/10 21:33:51,71478827,309679,松・飲み放題（コース内）,774610,ICE,1,0,0,0,0,1,0,,2734192,★飲放★　知覧にっぽん紅茶割り,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:45:42,2026/02/10 21:30:08,71478827,309679,松・飲み放題（コース内）,2665467,★飲放★　茉莉花×ジャスミン,0,0,0,52,49,2,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:45:42,2026/02/10 21:30:08,71478827,309679,松・飲み放題（コース内）,774610,ICE,1,0,0,0,0,2,0,,2665467,★飲放★　茉莉花×ジャスミン,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:45:42,2026/02/10 21:28:43,71478827,309679,松・飲み放題（コース内）,2665738,★飲放★　日置ハイボール,0,0,0,83,77,1,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:45:42,2026/02/10 21:28:43,71478827,309679,松・飲み放題（コース内）,2665276,★飲放★　加賀棒ほうじ茶,0,0,0,37,35,1,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:45:42,2026/02/10 21:28:43,71478827,309679,松・飲み放題（コース内）,774610,ICE,1,0,0,0,0,1,0,,2665276,★飲放★　加賀棒ほうじ茶,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:45:42,2026/02/10 21:16:30,71478827,309679,松・飲み放題（コース内）,2665314,★飲放★　（酒！）ジャスミン茶割り,0,0,0,112,104,2,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:45:42,2026/02/10 21:16:30,71478827,302254,日本酒,2712557,（２合）楽器正宗　福島県　特別本醸造　華やかクリア,0,2720,2473,580,538,1,2720,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:45:42,2026/02/10 21:10:19,71478827,309679,松・飲み放題（コース内）,2734192,★飲放★　（酒！）知覧にっぽん紅茶割り,0,0,0,137,127,1,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:45:42,2026/02/10 21:10:19,71478827,309679,松・飲み放題（コース内）,774610,ICE,1,0,0,0,0,1,0,,2734192,★飲放★　知覧にっぽん紅茶割り,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:45:42,2026/02/10 21:10:19,71478827,309679,松・飲み放題（コース内）,2665314,★飲放★　（酒！）ジャスミン茶割り,0,0,0,112,104,1,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:45:42,2026/02/10 21:10:19,71478827,309679,松・飲み放題（コース内）,774610,ICE,1,0,0,0,0,1,0,,2665314,★飲放★　ジャスミン茶割り,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 20:52:01,2026/02/10 20:44:47,71459797,302248,ウィスキー・ジン・リキュール,2590343,白州,0,1800,1637,200,186,1,1800,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 20:52:01,2026/02/10 20:44:47,71459797,302248,ウィスキー・ジン・リキュール,766509,ソーダ,1,0,0,0,0,1,0,,2590343,白州,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 20:52:01,2026/02/10 20:44:47,71459797,302248,ウィスキー・ジン・リキュール,2590344,山崎,0,1800,1637,200,186,1,1800,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 20:52:01,2026/02/10 20:44:47,71459797,302248,ウィスキー・ジン・リキュール,766509,ソーダ,1,0,0,0,0,1,0,,2590344,山崎,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 20:39:04,2026/02/10 20:35:19,71455217,314443,プレミア限定酒（日本酒）,2683965,（１合）而今　三重県　にごり　,0,3300,3000,380,352,1,3300,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:45:42,2026/02/10 20:29:40,71478827,309679,松・飲み放題（コース内）,2665738,★飲放★　日置ハイボール,0,0,0,83,77,1,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:45:42,2026/02/10 20:29:40,71478827,309679,松・飲み放題（コース内）,2665467,★飲放★　茉莉花×ジャスミン,0,0,0,52,49,1,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:45:42,2026/02/10 20:29:40,71478827,309679,松・飲み放題（コース内）,774610,ICE,1,0,0,0,0,1,0,,2665467,★飲放★　茉莉花×ジャスミン,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:45:42,2026/02/10 20:29:40,71478827,302254,日本酒,2712557,（２合）楽器正宗　福島県　特別本醸造　華やかクリア,0,2720,2473,580,538,1,2720,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:01:36,2026/02/10 20:22:29,71463320,309679,松・飲み放題（コース内）,2665599,★飲放★　角ハイボール,0,0,0,45,42,2,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:01:36,2026/02/10 20:22:29,71463320,309679,松・飲み放題（コース内）,2665331,★飲放★　（酒！）黒烏龍茶割り,0,0,0,115,107,1,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:01:36,2026/02/10 20:22:29,71463320,309679,松・飲み放題（コース内）,774610,ICE,1,0,0,0,0,1,0,,2665331,★飲放★　黒烏龍茶割り,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:01:36,2026/02/10 20:22:29,71463320,309679,松・飲み放題（コース内）,2734169,★飲放★　ジンジャーエール,0,0,0,30,28,1,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:22:23,2026/02/10 20:16:48,71470784,302248,ウィスキー・ジン・リキュール,2636356,角,0,750,682,45,42,2,1500,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:22:23,2026/02/10 20:16:48,71470784,302248,ウィスキー・ジン・リキュール,766509,ソーダ,1,0,0,0,0,2,0,,2636356,角,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:22:23,2026/02/10 20:16:48,71470784,302249,サワー,2590349,別天地瀬戸内レモンサワー,0,820,746,203,188,1,820,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:22:23,2026/02/10 20:03:01,71470784,330874,別天地一推し,2661580,和牛のしゃぶしゃぶ（一人前）,0,3480,3164,1145,1061,3,10440,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:45:42,2026/02/10 19:58:00,71478827,309679,松・飲み放題（コース内）,2665314,★飲放★　（酒！）ジャスミン茶割り,0,0,0,112,104,3,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:45:42,2026/02/10 19:58:00,71478827,309679,松・飲み放題（コース内）,774610,ICE,1,0,0,0,0,3,0,,2665314,★飲放★　ジャスミン茶割り,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:45:42,2026/02/10 19:58:00,71478827,309679,松・飲み放題（コース内）,2665467,★飲放★　茉莉花×ジャスミン,0,0,0,52,49,1,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:45:42,2026/02/10 19:58:00,71478827,309679,松・飲み放題（コース内）,774610,ICE,1,0,0,0,0,1,0,,2665467,★飲放★　茉莉花×ジャスミン,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:01:36,2026/02/10 19:54:51,71463320,309679,松・飲み放題（コース内）,2665599,★飲放★　角ハイボール,0,0,0,45,42,2,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 20:39:04,2026/02/10 19:51:47,71455217,314443,プレミア限定酒（日本酒）,2711385,（１合）黒龍　福井県　しずく　,0,6000,5455,1300,1204,1,6000,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 20:08:59,2026/02/10 19:44:14,71445590,302251,果実酒,2590363,うぐいすとまり 鶯とろ,0,920,837,165,153,1,920,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 20:08:59,2026/02/10 19:44:14,71445590,302251,果実酒,766510,ロック,1,0,0,0,0,1,0,,2590363,うぐいすとまり 鶯とろ,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 20:08:59,2026/02/10 19:44:14,71445590,302247,ビール・ノンアルコール,2631905,アサヒスーパードライ（生ビール）,0,750,682,210,195,1,750,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 20:08:59,2026/02/10 19:44:14,71445590,302248,ウィスキー・ジン・リキュール,2624613,響,0,2300,2091,214,199,1,2300,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 20:08:59,2026/02/10 19:44:14,71445590,302248,ウィスキー・ジン・リキュール,766507,ロック,1,0,0,0,0,1,0,,2624613,響,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:45:42,2026/02/10 19:38:54,71478827,302254,日本酒,2725498,（２合）仙禽・モダン零式　栃木県　生酒　新古な味,0,3120,2837,660,612,1,3120,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:45:42,2026/02/10 19:33:55,71478827,309679,松・飲み放題（コース内）,2665741,★飲放★　ROKUジンハイ,0,0,0,114,106,1,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:45:42,2026/02/10 19:33:42,71478827,309679,松・飲み放題（コース内）,2665738,★飲放★　日置ハイボール,0,0,0,83,77,1,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:45:42,2026/02/10 19:33:42,71478827,309679,松・飲み放題（コース内）,2665733,★飲放★　Maker's Markハイボール,0,0,0,80,75,1,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:45:42,2026/02/10 19:33:42,71478827,302254,日本酒,2712578,（２合）紀土　和歌山県　純米大吟醸　柔らか吟醸香,0,2800,2546,600,556,1,2800,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:45:42,2026/02/10 19:33:42,71478827,302254,日本酒,766516,3,1,0,0,0,0,1,0,,2712578,（２合）紀土　和歌山県　純米大吟醸　柔らか吟醸香,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:22:23,2026/02/10 19:29:34,71470784,302247,ビール・ノンアルコール,2631905,アサヒスーパードライ（生ビール）,0,750,682,210,195,1,750,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:01:36,2026/02/10 19:27:43,71463320,309679,松・飲み放題（コース内）,2665599,★飲放★　角ハイボール,0,0,0,45,42,2,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:01:36,2026/02/10 19:27:43,71463320,309679,松・飲み放題（コース内）,2665314,★飲放★　（酒！）ジャスミン茶割り,0,0,0,112,104,1,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:01:36,2026/02/10 19:27:43,71463320,309679,松・飲み放題（コース内）,774610,ICE,1,0,0,0,0,1,0,,2665314,★飲放★　ジャスミン茶割り,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:45:42,2026/02/10 19:27:18,71478827,309679,松・飲み放題（コース内）,2665605,★飲放★　フロンティアハイボール,0,0,0,90,84,1,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:45:42,2026/02/10 19:27:18,71478827,309679,松・飲み放題（コース内）,2665314,★飲放★　（酒！）ジャスミン茶割り,0,0,0,112,104,1,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 20:08:59,2026/02/10 19:22:18,71445590,302248,ウィスキー・ジン・リキュール,2624608,知多,0,1300,1182,171,159,2,2600,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 20:08:59,2026/02/10 19:22:18,71445590,302248,ウィスキー・ジン・リキュール,766509,ソーダ,1,0,0,0,0,2,0,,2624608,知多,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:22:23,2026/02/10 19:21:49,71470784,302248,ウィスキー・ジン・リキュール,2636356,角,0,750,682,45,42,1,750,,,,10,line:U991a4fd13da4730021e99fc56f561bd6
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:22:23,2026/02/10 19:21:49,71470784,302248,ウィスキー・ジン・リキュール,766509,ソーダ,1,0,0,0,0,1,0,,2636356,角,10,line:U991a4fd13da4730021e99fc56f561bd6
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 20:52:01,2026/02/10 19:17:05,71459797,302248,ウィスキー・ジン・リキュール,2657546,竹鶴,0,1100,1000,171,159,2,2200,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 20:52:01,2026/02/10 19:17:05,71459797,302248,ウィスキー・ジン・リキュール,766509,ソーダ,1,0,0,0,0,2,0,,2657546,竹鶴,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 20:08:59,2026/02/10 19:15:06,71445590,330874,別天地一推し,2590326,からすみ蕎麦しゃぶ（しゃぶしゃぶ注文限定）,0,900,819,91,85,2,1800,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 20:08:59,2026/02/10 19:15:06,71445590,330874,別天地一推し,2670903,追加　和牛（一人前　1/2枚×２）,0,2500,2273,850,788,4,10000,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:22:23,2026/02/10 19:10:21,71470784,302247,ビール・ノンアルコール,2631905,アサヒスーパードライ（生ビール）,0,750,682,210,195,1,750,,,,10,line:U991a4fd13da4730021e99fc56f561bd6
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:45:42,2026/02/10 19:07:27,71478827,309679,松・飲み放題（コース内）,2665599,★飲放★　角ハイボール,0,0,0,45,42,1,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:45:42,2026/02/10 19:07:27,71478827,309679,松・飲み放題（コース内）,2665250,★飲放★　黒烏龍茶,0,0,0,14,13,1,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:45:42,2026/02/10 19:07:27,71478827,309679,松・飲み放題（コース内）,774610,ICE,1,0,0,0,0,1,0,,2665250,★飲放★　黒烏龍茶,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:45:42,2026/02/10 19:07:27,71478827,309679,松・飲み放題（コース内）,2665605,★飲放★　フロンティアハイボール,0,0,0,90,84,4,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:22:23,2026/02/10 19:07:10,71470784,302248,ウィスキー・ジン・リキュール,2636356,角,0,750,682,45,42,1,750,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:22:23,2026/02/10 19:07:10,71470784,302248,ウィスキー・ジン・リキュール,766509,ソーダ,1,0,0,0,0,1,0,,2636356,角,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:45:42,2026/02/10 19:05:45,71478827,302290,別天地コース,2642570,★松阪牛しゃぶしゃぶ,0,0,0,1895,1755,6,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:45:42,2026/02/10 19:05:45,71478827,302290,別天地コース,2590428,★八寸　前菜４種盛り,0,0,0,224,208,6,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:45:42,2026/02/10 19:05:45,71478827,302290,別天地コース,2642565,★白子と根セロリ昆布だし,0,0,0,0,0,6,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:45:42,2026/02/10 19:05:45,71478827,302290,別天地コース,2642575,★朧昆布おにぎり,0,0,0,356,330,6,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:45:42,2026/02/10 19:05:45,71478827,302290,別天地コース,2642574,★からすみ蕎麦しゃぶ,0,0,0,91,85,6,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:45:42,2026/02/10 19:05:45,71478827,302290,別天地コース,2642506,★先付け　胡麻豆腐と雲丹,0,0,0,99,92,6,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:45:42,2026/02/10 19:05:45,71478827,302290,別天地コース,2660165,★別天地コース 9800　☆飲み放付☆,0,0,0,0,0,6,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/10,2026/02/10 21:45:42,2026/02/10 19:05:45,71478827,302290,別天地コース,2642568,★金目鯛の煮付け,0,0,0,165,153,6,0,,,,10,
