店舗ID,店舗名,会計ID,レシートNo,テーブル,媒体,営業日,来店日時,会計日時,人数,チェックイン人数,小計,割増計,割引計,合計,消費税合計,税率10%対象額,税率10%消費税額,税率8%対象額,税率8%消費税額,非課税対象額,不課税対象額,預り金,お釣り,修正履歴
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,71439434,12598,12,食べログ,2026/02/10,2026/02/10 19:04:31,2026/02/10 19:47:01,2,0,5270,0,0,5270,479,5270,479,0,0,0,0,5270,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,71445590,12599,"7,17,18,8,19",食べログ,2026/02/10,2026/02/10 18:09:17,2026/02/10 20:08:59,4,1,42630,0,0,42630,3875,42630,3875,0,0,0,0,42630,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,71455217,12600,1,食べログ,2026/02/10,2026/02/10 19:02:43,2026/02/10 20:39:04,2,0,23680,0,0,23680,2152,23680,2152,0,0,0,0,23680,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,71459797,12601,4,ホットペッパー,2026/02/10,2026/02/10 17:50:14,2026/02/10 20:52:01,2,0,24600,0,0,24600,2236,24600,2236,0,0,0,0,24600,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,71463320,12602,3,食べログ,2026/02/10,2026/02/10 18:59:26,2026/02/10 21:01:36,4,0,31920,0,0,31920,2901,31920,2901,0,0,0,0,31920,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,71470784,12603,2,食べログ,2026/02/10,2026/02/10 18:26:36,2026/02/10 21:22:23,3,1,30610,0,0,30610,2782,30610,2782,0,0,0,0,30610,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,71478827,12604,"5,6",食べログ,2026/02/10,2026/02/10 19:05:38,2026/02/10 21:45:42,6,0,70160,0,0,70160,6378,70160,6378,0,0,0,0,70160,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,71621709,12605,3,食べログ,2026/02/11,2026/02/11 18:59:32,2026/02/11 21:19:26,3,0,23940,0,0,23940,2176,23940,2176,0,0,0,0,23940,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,71722529,12606,4,食べログ,2026/02/12,2026/02/12 19:03:03,2026/02/12 21:05:03,3,0,21610,0,0,21610,1964,21610,1964,0,0,0,0,21610,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,71723992,12607,"23,24",食べログ,2026/02/12,2026/02/12 19:30:26,2026/02/12 21:10:57,2,0,12960,0,0,12960,1178,12960,1178,0,0,0,0,12960,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,71725820,12608,3,一休,2026/02/12,2026/02/12 18:02:26,2026/02/12 21:18:29,2,0,16770,0,0,16770,1524,16770,1524,0,0,0,0,16770,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,71728685,12609,1,食べログ,2026/02/12,2026/02/12 19:14:01,2026/02/12 21:30:55,2,2,12960,0,0,12960,1178,12960,1178,0,0,0,0,12960,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,71729633,12610,2,食べログ,2026/02/12,2026/02/12 18:27:16,2026/02/12 21:34:49,2,0,23750,0,0,23750,2159,23750,2159,0,0,0,0,23750,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,71731998,12611,"6,5",食べログ,2026/02/12,2026/02/12 18:58:27,2026/02/12 21:45:46,6,3,32880,0,0,32880,2989,32880,2989,0,0,0,0,32880,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,71830064,12612,4,食べログ,2026/02/13,2026/02/13 19:19:15,2026/02/13 20:31:38,2,2,22920,0,0,22920,2083,22920,2083,0,0,0,0,22920,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,71830797,12613,2,食べログ,2026/02/13,2026/02/13 17:12:03,2026/02/13 20:33:49,2,1,12950,0,0,12950,1177,12950,1177,0,0,0,0,12950,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,71856797,12614,"5,6",食べログ,2026/02/13,2026/02/13 19:02:32,2026/02/13 21:46:01,7,0,119720,0,0,119720,10883,119720,10883,0,0,0,0,119720,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,71857654,12615,3,食べログ,2026/02/13,2026/02/13 17:12:21,2026/02/13 21:48:46,2,2,15960,0,0,15960,1450,15960,1450,0,0,0,0,15960,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,71862832,12616,1,食べログ,2026/02/13,2026/02/13 20:12:09,2026/02/13 22:05:02,2,2,21000,0,0,21000,1909,21000,1909,0,0,0,0,21000,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,72029127,12617,5,食べログ,2026/02/14,2026/02/14 18:57:29,2026/02/14 21:43:31,2,0,12960,0,0,12960,1178,12960,1178,0,0,0,0,12960,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,72036170,12618,2,食べログ,2026/02/14,2026/02/14 18:47:40,2026/02/14 22:05:55,2,0,16710,0,0,16710,1519,16710,1519,0,0,0,0,16710,0,
