"H.伝票番号","H.集計対象営業年月日","H.曜日","H.伝票発行日","H.伝票処理日","H.客数（合計）","H.小計","H.総商品数","D.商品カテゴリ1","D.商品カテゴリ2","D.サブメニュー","D.価格","D.オーダー日時","D.数量","D.オーダーステータス","D.商品"
"No:202500100007267","2026/02/16","月","2026/02/16 11:43:35","2026/02/16 12:07:36","1","1100","1","ランチ","ランチ","天つゆx1 / 大盛りx1","1100","2026/02/16 11:43:35","1","20:配膳済","00000004027:とり天定食"
"No:202500100007268","2026/02/16","月","2026/02/16 11:45:10","2026/02/16 14:34:14","0","3430","1","ウーバーイーツ","鰻料理","","3430","2026/02/16 11:45:10","1","20:配膳済","00000004189:梅肝重30％オフ"
"No:202500100007269","2026/02/16","月","2026/02/16 11:49:16","2026/02/16 12:19:24","1","1350","2","ランチ","ランチ","並盛x1","1200","2026/02/16 11:52:13","1","20:配膳済","00000001786:サバ定食"
"No:202500100007269","2026/02/16","月","2026/02/16 11:49:16","2026/02/16 12:19:24","1","1350","2","ランチ","サイドメニュー","","150","2026/02/16 11:52:13","1","20:配膳済","00000004042:納豆"
"No:202500100007270","2026/02/16","月","2026/02/16 11:50:43","2026/02/16 12:02:07","1","1200","1","ランチ","ランチ","並盛x1","1200","2026/02/16 11:50:43","1","20:配膳済","00000002484:豚しゃぶ定食"
"No:202500100007271","2026/02/16","月","2026/02/16 11:53:35","2026/02/16 12:20:45","1","1800","1","ランチ","ランチ","少なめx1","1800","2026/02/16 11:53:35","1","20:配膳済","00000004029:カキフライ定食"
"No:202500100007272","2026/02/16","月","2026/02/16 12:05:03","2026/02/16 12:55:52","1","4070","3","ランチ","ランチ","並盛x1","2750","2026/02/16 12:09:27","1","20:配膳済","00000003820:鰻玉丼定食"
"No:202500100007272","2026/02/16","月","2026/02/16 12:05:03","2026/02/16 12:55:52","1","4070","3","ランチ","ランチ単品","","550","2026/02/16 12:09:27","1","20:配膳済","00000004038:ランチ肝焼き"
"No:202500100007272","2026/02/16","月","2026/02/16 12:05:03","2026/02/16 12:55:52","1","4070","3","ドリンク","ビール","","770","2026/02/16 12:09:27","1","20:配膳済","00000000009:ﾌﾟﾚﾐｱﾑﾓﾙﾂ ﾀﾝﾌﾞﾗｰ"
"No:202500100007273","2026/02/16","月","2026/02/16 12:06:29","2026/02/16 14:08:15","3","28010","10","コース","コース","","7000","2026/02/16 12:06:29","1","20:配膳済","00000003093:ランチ麻布しきコース"
"No:202500100007273","2026/02/16","月","2026/02/16 12:06:29","2026/02/16 14:08:15","3","28010","10","コース","コース","","7000","2026/02/16 12:06:29","1","20:配膳済","00000003093:ランチ麻布しきコース"
"No:202500100007273","2026/02/16","月","2026/02/16 12:06:29","2026/02/16 14:08:15","3","28010","10","コース","コース","","7000","2026/02/16 12:06:29","1","20:配膳済","00000003093:ランチ麻布しきコース"
"No:202500100007273","2026/02/16","月","2026/02/16 12:06:29","2026/02/16 14:08:15","3","28010","10","ドリンク","ビール","","900","2026/02/16 12:16:38","1","20:配膳済","00000000013:黒ラベル 瓶"
"No:202500100007273","2026/02/16","月","2026/02/16 12:06:29","2026/02/16 14:08:15","3","28010","10","ドリンク","ビール","","900","2026/02/16 12:21:57","1","20:配膳済","00000000013:黒ラベル 瓶"
"No:202500100007273","2026/02/16","月","2026/02/16 12:06:29","2026/02/16 14:08:15","3","28010","10","ドリンク","日本酒","","1100","2026/02/16 12:21:57","1","20:配膳済","00000000044:ヒレ酒"
"No:202500100007273","2026/02/16","月","2026/02/16 12:06:29","2026/02/16 14:08:15","3","28010","10","ドリンク","日本酒","","1100","2026/02/16 12:21:57","1","20:配膳済","00000000044:ヒレ酒"
"No:202500100007273","2026/02/16","月","2026/02/16 12:06:29","2026/02/16 14:08:15","3","28010","10","ドリンク","ビール","","900","2026/02/16 12:45:45","1","20:配膳済","00000000013:黒ラベル 瓶"
"No:202500100007273","2026/02/16","月","2026/02/16 12:06:29","2026/02/16 14:08:15","3","28010","10","ドリンク","日本酒","","1210","2026/02/16 14:03:55","1","20:配膳済","00000004259:奥"
"No:202500100007273","2026/02/16","月","2026/02/16 12:06:29","2026/02/16 14:08:15","3","28010","10","ドリンク","ビール","","900","2026/02/16 14:04:04","1","20:配膳済","00000000013:黒ラベル 瓶"
"No:202500100007274","2026/02/16","月","2026/02/16 12:15:26","2026/02/16 12:35:31","1","1500","1","ランチ","ランチ","並盛x1","1500","2026/02/16 12:15:26","1","20:配膳済","00000004034:穴子天丼定食"
"No:202500100007275","2026/02/16","月","2026/02/16 12:16:04","2026/02/16 13:05:32","5","7540","7","ランチ","ランチ","並盛x1","1200","2026/02/16 12:22:32","1","20:配膳済","00000004028:しょうが焼き定食"
"No:202500100007275","2026/02/16","月","2026/02/16 12:16:04","2026/02/16 13:05:32","5","7540","7","ドリンク","ビール","","770","2026/02/16 12:22:32","1","20:配膳済","00000000009:ﾌﾟﾚﾐｱﾑﾓﾙﾂ ﾀﾝﾌﾞﾗｰ"
"No:202500100007275","2026/02/16","月","2026/02/16 12:16:04","2026/02/16 13:05:32","5","7540","7","ランチ","ランチ","並盛x1","1200","2026/02/16 12:22:32","1","20:配膳済","00000002484:豚しゃぶ定食"
"No:202500100007275","2026/02/16","月","2026/02/16 12:16:04","2026/02/16 13:05:32","5","7540","7","ランチ","ランチ","並盛x1","1200","2026/02/16 12:16:04","1","20:配膳済","00000004028:しょうが焼き定食"
"No:202500100007275","2026/02/16","月","2026/02/16 12:16:04","2026/02/16 13:05:32","5","7540","7","ドリンク","ビール","","770","2026/02/16 12:22:32","1","20:配膳済","00000000009:ﾌﾟﾚﾐｱﾑﾓﾙﾂ ﾀﾝﾌﾞﾗｰ"
"No:202500100007275","2026/02/16","月","2026/02/16 12:16:04","2026/02/16 13:05:32","5","7540","7","ランチ","ランチ","並盛x1","1200","2026/02/16 12:22:32","1","20:配膳済","00000001786:サバ定食"
"No:202500100007275","2026/02/16","月","2026/02/16 12:16:04","2026/02/16 13:05:32","5","7540","7","ランチ","ランチ","並盛x1","1200","2026/02/16 12:22:32","1","20:配膳済","00000004028:しょうが焼き定食"
"No:202500100007275","2026/02/16","月","2026/02/16 12:16:04","2026/02/16 12:45:30","5","1200","1","ランチ","ランチ","並盛x1","1200","2026/02/16 12:22:32","1","20:配膳済","00000004028:しょうが焼き定食"
"No:202500100007275","2026/02/16","月","2026/02/16 12:16:04","2026/02/16 13:04:19","5","1970","2","ドリンク","ビール","","770","2026/02/16 12:22:32","1","20:配膳済","00000000009:ﾌﾟﾚﾐｱﾑﾓﾙﾂ ﾀﾝﾌﾞﾗｰ"
"No:202500100007275","2026/02/16","月","2026/02/16 12:16:04","2026/02/16 13:04:19","5","1970","2","ランチ","ランチ","並盛x1","1200","2026/02/16 12:22:32","1","20:配膳済","00000002484:豚しゃぶ定食"
"No:202500100007275","2026/02/16","月","2026/02/16 12:16:04","2026/02/16 13:04:42","5","1200","1","ランチ","ランチ","並盛x1","1200","2026/02/16 12:16:04","1","20:配膳済","00000004028:しょうが焼き定食"
