2026/03/02 09:29 時点

[補足情報]
1. 伝票金額は、加算・値引をした結果の金額です。

項目名横の記号について(下記参照)
 H.  -->>  伝票ヘッダ情報 
 C.  -->>  お客様情報
 D.  -->>  伝票明細情報

"H.集計対象営業年月日","H.曜日","H.伝票発行日","H.伝票処理日","H.客数（合計）","H.小計","H.総商品数","D.商品カテゴリ1","D.商品カテゴリ2","D.商品","D.サブメニュー","D.価格","D.数量","D.オーダー日時","D.オーダーステータス"
"2026/02/16","月","2026/02/16 11:43:35","2026/02/16 12:07:36","1","1100","1","ランチ","ランチ","00000004027:とり天定食","天つゆx1 / 大盛りx1","1100","1","2026/02/16 11:43:35","20:配膳済"
"2026/02/16","月","2026/02/16 11:45:10","2026/02/16 14:34:14","0","3430","1","ウーバーイーツ","鰻料理","00000004189:梅肝重30％オフ","","3430","1","2026/02/16 11:45:10","20:配膳済"
"2026/02/16","月","2026/02/16 11:49:16","2026/02/16 12:19:24","1","1350","2","ランチ","ランチ","00000001786:サバ定食","並盛x1","1200","1","2026/02/16 11:52:13","20:配膳済"
"2026/02/16","月","2026/02/16 11:49:16","2026/02/16 12:19:24","1","1350","2","ランチ","サイドメニュー","00000004042:納豆","","150","1","2026/02/16 11:52:13","20:配膳済"
"2026/02/16","月","2026/02/16 11:50:43","2026/02/16 12:02:07","1","1200","1","ランチ","ランチ","00000002484:豚しゃぶ定食","並盛x1","1200","1","2026/02/16 11:50:43","20:配膳済"
"2026/02/16","月","2026/02/16 11:53:35","2026/02/16 12:20:45","1","1800","1","ランチ","ランチ","00000004029:カキフライ定食","少なめx1","1800","1","2026/02/16 11:53:35","20:配膳済"
"2026/02/16","月","2026/02/16 12:05:03","2026/02/16 12:55:52","1","4070","3","ランチ","ランチ","00000003820:鰻玉丼定食","並盛x1","2750","1","2026/02/16 12:09:27","20:配膳済"
"2026/02/16","月","2026/02/16 12:05:03","2026/02/16 12:55:52","1","4070","3","ランチ","ランチ単品","00000004038:ランチ肝焼き","","550","1","2026/02/16 12:09:27","20:配膳済"
"2026/02/16","月","2026/02/16 12:05:03","2026/02/16 12:55:52","1","4070","3","ドリンク","ビール","00000000009:ﾌﾟﾚﾐｱﾑﾓﾙﾂ ﾀﾝﾌﾞﾗｰ","","770","1","2026/02/16 12:09:27","20:配膳済"
"2026/02/16","月","2026/02/16 12:06:29","2026/02/16 14:08:15","3","28010","10","コース","コース","00000003093:ランチ麻布しきコース","","7000","1","2026/02/16 12:06:29","20:配膳済"
"2026/02/16","月","2026/02/16 12:06:29","2026/02/16 14:08:15","3","28010","10","コース","コース","00000003093:ランチ麻布しきコース","","7000","1","2026/02/16 12:06:29","20:配膳済"
"2026/02/16","月","2026/02/16 12:06:29","2026/02/16 14:08:15","3","28010","10","コース","コース","00000003093:ランチ麻布しきコース","","7000","1","2026/02/16 12:06:29","20:配膳済"
"2026/02/16","月","2026/02/16 12:06:29","2026/02/16 14:08:15","3","28010","10","ドリンク","ビール","00000000013:黒ラベル 瓶","","900","1","2026/02/16 12:16:38","20:配膳済"
"2026/02/16","月","2026/02/16 12:06:29","2026/02/16 14:08:15","3","28010","10","ドリンク","ビール","00000000013:黒ラベル 瓶","","900","1","2026/02/16 12:21:57","20:配膳済"
"2026/02/16","月","2026/02/16 12:06:29","2026/02/16 14:08:15","3","28010","10","ドリンク","日本酒","00000000044:ヒレ酒","","1100","1","2026/02/16 12:21:57","20:配膳済"
"2026/02/16","月","2026/02/16 12:06:29","2026/02/16 14:08:15","3","28010","10","ドリンク","日本酒","00000000044:ヒレ酒","","1100","1","2026/02/16 12:21:57","20:配膳済"
"2026/02/16","月","2026/02/16 12:06:29","2026/02/16 14:08:15","3","28010","10","ドリンク","ビール","00000000013:黒ラベル 瓶","","900","1","2026/02/16 12:45:45","20:配膳済"
"2026/02/16","月","2026/02/16 12:06:29","2026/02/16 14:08:15","3","28010","10","ドリンク","日本酒","00000004259:奥","","1210","1","2026/02/16 14:03:55","20:配膳済"
"2026/02/16","月","2026/02/16 12:06:29","2026/02/16 14:08:15","3","28010","10","ドリンク","ビール","00000000013:黒ラベル 瓶","","900","1","2026/02/16 14:04:04","20:配膳済"
"2026/02/16","月","2026/02/16 12:15:26","2026/02/16 12:35:31","1","1500","1","ランチ","ランチ","00000004034:穴子天丼定食","並盛x1","1500","1","2026/02/16 12:15:26","20:配膳済"
"2026/02/16","月","2026/02/16 12:16:04","2026/02/16 13:05:32","5","7540","7","ランチ","ランチ","00000004028:しょうが焼き定食","並盛x1","1200","1","2026/02/16 12:22:32","20:配膳済"
"2026/02/16","月","2026/02/16 12:16:04","2026/02/16 13:05:32","5","7540","7","ドリンク","ビール","00000000009:ﾌﾟﾚﾐｱﾑﾓﾙﾂ ﾀﾝﾌﾞﾗｰ","","770","1","2026/02/16 12:22:32","20:配膳済"
"2026/02/16","月","2026/02/16 12:16:04","2026/02/16 13:05:32","5","7540","7","ランチ","ランチ","00000002484:豚しゃぶ定食","並盛x1","1200","1","2026/02/16 12:22:32","20:配膳済"
"2026/02/16","月","2026/02/16 12:16:04","2026/02/16 13:05:32","5","7540","7","ランチ","ランチ","00000004028:しょうが焼き定食","並盛x1","1200","1","2026/02/16 12:16:04","20:配膳済"
"2026/02/16","月","2026/02/16 12:16:04","2026/02/16 13:05:32","5","7540","7","ドリンク","ビール","00000000009:ﾌﾟﾚﾐｱﾑﾓﾙﾂ ﾀﾝﾌﾞﾗｰ","","770","1","2026/02/16 12:22:32","20:配膳済"
"2026/02/16","月","2026/02/16 12:16:04","2026/02/16 13:05:32","5","7540","7","ランチ","ランチ","00000001786:サバ定食","並盛x1","1200","1","2026/02/16 12:22:32","20:配膳済"
"2026/02/16","月","2026/02/16 12:16:04","2026/02/16 13:05:32","5","7540","7","ランチ","ランチ","00000004028:しょうが焼き定食","並盛x1","1200","1","2026/02/16 12:22:32","20:配膳済"
"2026/02/16","月","2026/02/16 12:16:04","2026/02/16 12:45:30","5","1200","1","ランチ","ランチ","00000004028:しょうが焼き定食","並盛x1","1200","1","2026/02/16 12:22:32","20:配膳済"
"2026/02/16","月","2026/02/16 12:16:04","2026/02/16 13:04:19","5","1970","2","ドリンク","ビール","00000000009:ﾌﾟﾚﾐｱﾑﾓﾙﾂ ﾀﾝﾌﾞﾗｰ","","770","1","2026/02/16 12:22:32","20:配膳済"
"2026/02/16","月","2026/02/16 12:16:04","2026/02/16 13:04:19","5","1970","2","ランチ","ランチ","00000002484:豚しゃぶ定食","並盛x1","1200","1","2026/02/16 12:22:32","20:配膳済"
"2026/02/16","月","2026/02/16 12:16:04","2026/02/16 13:04:42","5","1200","1","ランチ","ランチ","00000004028:しょうが焼き定食","並盛x1","1200","1","2026/02/16 12:16:04","20:配膳済"
"2026/02/16","月","2026/02/16 12:16:04","2026/02/16 13:04:56","5","1970","2","ドリンク","ビール","00000000009:ﾌﾟﾚﾐｱﾑﾓﾙﾂ ﾀﾝﾌﾞﾗｰ","","770","1","2026/02/16 12:22:32","20:配膳済"
"2026/02/16","月","2026/02/16 12:16:04","2026/02/16 13:04:56","5","1970","2","ランチ","ランチ","00000001786:サバ定食","並盛x1","1200","1","2026/02/16 12:22:32","20:配膳済"
"2026/02/16","月","2026/02/16 12:16:04","2026/02/16 13:05:32","5","1200","1","ランチ","ランチ","00000004028:しょうが焼き定食","並盛x1","1200","1","2026/02/16 12:22:32","20:配膳済"
"2026/02/16","月","2026/02/16 12:17:19","2026/02/16 14:34:23","0","5320","2","ウーバーイーツ","鰻料理","00000004189:梅肝重30％オフ","","3430","1","2026/02/16 12:17:19","20:配膳済"
"2026/02/16","月","2026/02/16 12:17:19","2026/02/16 14:34:23","0","5320","2","ウーバーイーツ","お弁当","00000004190:カキフライ弁当30％オフ","","1890","1","2026/02/16 12:17:19","20:配膳済"
"2026/02/16","月","2026/02/16 12:24:15","2026/02/16 12:52:24","1","1200","1","ランチ","ランチ","00000001786:サバ定食","並盛x1","1200","1","2026/02/16 12:24:15","20:配膳済"
"2026/02/16","月","2026/02/16 12:30:28","2026/02/16 13:14:43","2","5100","2","ランチ","ランチ","00000002567:うな重 梅 定食","並盛x1","3300","1","2026/02/16 12:31:07","20:配膳済"
"2026/02/16","月","2026/02/16 12:30:28","2026/02/16 13:14:43","2","5100","2","ランチ","ランチ","00000003820:鰻玉丼定食","並盛x1","0","0","2026/02/16 12:30:28","30:キャンセル済"
"2026/02/16","月","2026/02/16 12:30:28","2026/02/16 13:14:43","2","5100","2","ランチ","ランチ","00000004031:とんかつ定食","並盛x1","1800","1","2026/02/16 12:30:28","20:配膳済"
"2026/02/16","月","2026/02/16 12:30:28","2026/02/16 13:14:23","2","3300","1","ランチ","ランチ","00000002567:うな重 梅 定食","並盛x1","3300","1","2026/02/16 12:31:07","20:配膳済"
"2026/02/16","月","2026/02/16 12:30:28","2026/02/16 13:14:43","2","1800","1","ランチ","ランチ","00000004031:とんかつ定食","並盛x1","1800","1","2026/02/16 12:30:28","20:配膳済"
"2026/02/16","月","2026/02/16 12:49:44","2026/02/16 12:58:51","1","1200","1","ランチ","ランチ","00000004028:しょうが焼き定食","並盛x1","1200","1","2026/02/16 12:49:44","20:配膳済"
"2026/02/16","月","2026/02/16 13:09:52","2026/02/16 13:30:34","1","1200","1","ランチ","ランチ","00000003135:チキン南蛮定食","並盛x1","1200","1","2026/02/16 13:09:52","20:配膳済"
"2026/02/16","月","2026/02/16 13:10:20","2026/02/16 13:28:32","0","1100","1","ランチ","ランチ","00000004027:とり天定食","おろしソースx1 / 並盛x1","1100","1","2026/02/16 13:10:20","20:配膳済"
"2026/02/16","月","2026/02/16 13:16:31","2026/02/16 13:48:37","2","2400","2","ランチ","ランチ","00000001786:サバ定食","少なめx1","1200","1","2026/02/16 13:16:31","20:配膳済"
"2026/02/16","月","2026/02/16 13:16:31","2026/02/16 13:48:37","2","2400","2","ランチ","ランチ","00000001786:サバ定食","並盛x1","1200","1","2026/02/16 13:16:31","20:配膳済"
"2026/02/16","月","2026/02/16 13:16:31","2026/02/16 13:48:18","2","1200","1","ランチ","ランチ","00000001786:サバ定食","少なめx1","1200","1","2026/02/16 13:16:31","20:配膳済"
"2026/02/16","月","2026/02/16 13:16:31","2026/02/16 13:48:37","2","1200","1","ランチ","ランチ","00000001786:サバ定食","並盛x1","1200","1","2026/02/16 13:16:31","20:配膳済"
"2026/02/16","月","2026/02/16 12:17:19","2026/02/16 14:34:23","0","-5320","-2","ウーバーイーツ","鰻料理","00000004189:梅肝重30％オフ","","-3430","-1","2026/02/16 12:17:19","20:配膳済"
"2026/02/16","月","2026/02/16 12:17:19","2026/02/16 14:34:23","0","-5320","-2","ウーバーイーツ","お弁当","00000004190:カキフライ弁当30％オフ","","-1890","-1","2026/02/16 12:17:19","20:配膳済"
"2026/02/16","月","2026/02/16 14:38:17","2026/02/16 14:38:23","0","5320","2","ウーバーイーツ","鰻料理","00000004189:梅肝重30％オフ","","3430","1","2026/02/16 14:38:17","20:配膳済"
"2026/02/16","月","2026/02/16 14:38:17","2026/02/16 14:38:23","0","5320","2","ウーバーイーツ","お弁当","00000004190:カキフライ弁当30％オフ","","1890","1","2026/02/16 14:38:17","20:配膳済"
"2026/02/16","月","2026/02/16 17:03:30","2026/02/16 17:41:43","0","1800","1","ロケットナウ","お弁当","00000003684:ロケット牡蠣フライ弁当","","1800","1","2026/02/16 17:03:30","20:配膳済"
"2026/02/16","月","2026/02/16 17:33:23","2026/02/16 20:03:00","2","14860","19","ドリンク","ビール","00000000009:ﾌﾟﾚﾐｱﾑﾓﾙﾂ ﾀﾝﾌﾞﾗｰ","","770","1","2026/02/16 17:33:23","20:配膳済"
"2026/02/16","月","2026/02/16 17:33:23","2026/02/16 20:03:00","2","14860","19","ドリンク","ウイスキー","00000003245:角ハイボール","普通x1","700","1","2026/02/16 17:33:23","20:配膳済"
"2026/02/16","月","2026/02/16 17:33:23","2026/02/16 20:03:00","2","14860","19","フード","お通し","00000004006:お通し","","660","1","2026/02/16 17:33:23","20:配膳済"
"2026/02/16","月","2026/02/16 17:33:23","2026/02/16 20:03:00","2","14860","19","フード","お通し","00000004006:お通し","","660","1","2026/02/16 17:33:23","20:配膳済"
