"H.伝票番号","H.集計対象営業年月日","H.曜日","H.伝票発行日","H.伝票処理日","H.客数（合計）","H.小計","H.総商品数","D.商品カテゴリ1","D.商品カテゴリ2","D.商品","D.サブメニュー","D.価格","D.数量","D.オーダー日時","D.オーダーステータス"
"No:202500100007813","2026/03/09","月","2026/03/09 11:26:57","2026/03/09 12:15:57","5","19700","7","ランチ","ランチ","00000002566:うな重 竹 定食","並盛x1","4400","1","2026/03/09 11:26:57","20:配膳済"
"No:202500100007813","2026/03/09","月","2026/03/09 11:26:57","2026/03/09 12:15:57","5","19700","7","ランチ","ランチ","00000002566:うな重 竹 定食","並盛x1","4400","1","2026/03/09 11:26:57","20:配膳済"
"No:202500100007813","2026/03/09","月","2026/03/09 11:26:57","2026/03/09 12:15:57","5","19700","7","ランチ","ランチ","00000002566:うな重 竹 定食","並盛x1","4400","1","2026/03/09 11:26:57","20:配膳済"
"No:202500100007813","2026/03/09","月","2026/03/09 11:26:57","2026/03/09 12:15:57","5","19700","7","ランチ","ランチ","00000002566:うな重 竹 定食","並盛x1","4400","1","2026/03/09 11:26:57","20:配膳済"
"No:202500100007813","2026/03/09","月","2026/03/09 11:26:57","2026/03/09 12:15:57","5","19700","7","ランチ","ランチ","00000003311:エビフライ定食","並盛x1","1800","1","2026/03/09 11:26:57","20:配膳済"
"No:202500100007813","2026/03/09","月","2026/03/09 11:26:57","2026/03/09 12:15:57","5","19700","7","ランチ","サイドメニュー","00000004042:納豆","","150","1","2026/03/09 11:29:39","20:配膳済"
"No:202500100007813","2026/03/09","月","2026/03/09 11:26:57","2026/03/09 12:15:57","5","19700","7","ランチ","サイドメニュー","00000004041:生卵","","150","1","2026/03/09 11:29:39","20:配膳済"
"No:202500100007814","2026/03/09","月","2026/03/09 11:31:54","2026/03/09 14:08:22","0","13200","3","ウーバーイーツ","鰻料理","00000004086:uberうな重梅","","4400","1","2026/03/09 11:31:54","20:配膳済"
"No:202500100007814","2026/03/09","月","2026/03/09 11:31:54","2026/03/09 14:08:22","0","13200","3","ウーバーイーツ","鰻料理","00000004086:uberうな重梅","","4400","1","2026/03/09 11:31:54","20:配膳済"
"No:202500100007814","2026/03/09","月","2026/03/09 11:31:54","2026/03/09 14:08:22","0","13200","3","ウーバーイーツ","鰻料理","00000004086:uberうな重梅","","4400","1","2026/03/09 11:31:54","20:配膳済"
"No:202500100007815","2026/03/09","月","2026/03/09 11:32:59","2026/03/09 12:01:46","4","6000","4","ランチ","ランチ","00000002463:海鮮丼","少なめx1","1800","1","2026/03/09 11:34:34","20:配膳済"
"No:202500100007815","2026/03/09","月","2026/03/09 11:32:59","2026/03/09 12:01:46","4","6000","4","ランチ","ランチ","00000001786:サバ定食","少なめx1","1200","1","2026/03/09 11:34:34","20:配膳済"
"No:202500100007815","2026/03/09","月","2026/03/09 11:32:59","2026/03/09 12:01:46","4","6000","4","ランチ","ランチ","00000004029:カキフライ定食","少なめx1","1800","1","2026/03/09 11:34:34","20:配膳済"
"No:202500100007815","2026/03/09","月","2026/03/09 11:32:59","2026/03/09 12:01:46","4","6000","4","ランチ","ランチ","00000004028:しょうが焼き定食","並盛x1","1200","1","2026/03/09 11:34:34","20:配膳済"
"No:202500100007816","2026/03/09","月","2026/03/09 11:41:52","2026/03/09 12:23:07","1","1200","1","ランチ","ランチ","00000004028:しょうが焼き定食","大盛りx1","1200","1","2026/03/09 11:43:18","20:配膳済"
"No:202500100007817","2026/03/09","月","2026/03/09 11:58:19","2026/03/09 13:48:25","3","4200","3","ランチ","ランチ","00000004034:穴子天丼定食","並盛x1","1500","1","2026/03/09 11:59:06","20:配膳済"
"No:202500100007817","2026/03/09","月","2026/03/09 11:58:19","2026/03/09 13:48:25","3","4200","3","ランチ","ランチ","00000003135:チキン南蛮定食","並盛x1","1200","1","2026/03/09 11:59:06","20:配膳済"
"No:202500100007817","2026/03/09","月","2026/03/09 11:58:19","2026/03/09 13:48:25","3","4200","3","ランチ","ランチ","00000004034:穴子天丼定食","並盛x1","1500","1","2026/03/09 11:59:06","20:配膳済"
"No:202500100007817","2026/03/09","月","2026/03/09 11:58:19","2026/03/09 13:46:23","3","1500","1","ランチ","ランチ","00000004034:穴子天丼定食","並盛x1","1500","1","2026/03/09 11:59:06","20:配膳済"
"No:202500100007817","2026/03/09","月","2026/03/09 11:58:19","2026/03/09 13:48:25","3","2700","2","ランチ","ランチ","00000003135:チキン南蛮定食","並盛x1","1200","1","2026/03/09 11:59:06","20:配膳済"
"No:202500100007817","2026/03/09","月","2026/03/09 11:58:19","2026/03/09 13:48:25","3","2700","2","ランチ","ランチ","00000004034:穴子天丼定食","並盛x1","1500","1","2026/03/09 11:59:06","20:配膳済"
